case,dx,k,pmfu,pmfd,puen,pven,puu,pvu,pud,pvd,pmfude_rate
2,1500.0,6,3CBE1E45,00000000,41B739C6,00000000,41B9FA8E,00000000,41B9FA8E,00000000,3AE7EDC0
2,1500.0,7,3CCC9D19,00000000,41B4C21C,00000000,41B739C6,00000000,41B739C6,00000000,3AE35D58
2,1500.0,8,3CDAD2D1,00000000,41B2853D,00000000,41B4C21C,00000000,41B4C21C,00000000,3ADF9E78
2,1500.0,9,3CE8CC63,00000000,41B078CF,00000000,41B2853D,00000000,41B2853D,00000000,3ADC70E9
2,1500.0,10,3CF6928A,00000000,41AE9510,00000000,41B078CF,00000000,41B078CF,00000000,3ACEA8DA
2,1500.0,11,3D01BD89,00000000,41ACD40D,00000000,41AE9510,00000000,41AE9510,00000000,3ABFA49E
2,1500.0,12,3D07B89F,00000000,41AB3115,00000000,41ACD40D,00000000,41ACD40D,00000000,3AB2A2D2
2,1500.0,13,3D0D49CA,00000000,41A9A869,00000000,41AB3115,00000000,41AB3115,00000000,3AA744CE
2,1500.0,14,3D127CCF,00000000,41A836FA,00000000,41A9A869,00000000,41A9A869,00000000,3A9DAAF5
2,1500.0,15,3D175D9B,00000000,41A6DA44,00000000,41A836FA,00000000,41A836FA,00000000,3A959EA1
2,1500.0,16,3D1BF53F,00000000,41A5902C,00000000,41A6DA44,00000000,41A6DA44,00000000,3A8E9933
2,1500.0,17,3D204736,00000000,41A456EC,00000000,41A5902C,00000000,41A5902C,00000000,3A8832B1
2,1500.0,18,3D245238,00000000,41A32D01,00000000,41A456EC,00000000,41A456EC,00000000,3A822072
2,1500.0,19,3D28114A,00000000,41A2111F,00000000,41A32D01,00000000,41A32D01,00000000,3A785627
2,1500.0,20,3D2B7CD6,00000000,41A10228,00000000,41A2111F,00000000,41A2111F,00000000,3A6C5745
2,1500.0,21,3D2E8C1A,00000000,419FFF21,00000000,41A10228,00000000,41A10228,00000000,3A600D4C
2,1500.0,22,3D3136E1,00000000,419F0732,00000000,419FFF21,00000000,419FFF21,00000000,3A53535E
2,1500.0,23,3D33770C,00000000,419E199C,00000000,419F0732,00000000,419F0732,00000000,3A4623CB
2,1500.0,24,3D354663,00000000,419D35B7,00000000,419E199C,00000000,419E199C,00000000,3A395360
2,1500.0,25,3D36A0F7,00000000,419C5AF1,00000000,419D35B7,00000000,419D35B7,00000000,3A2EF7D0
2,1500.0,26,3D37831A,00000000,419B88C8,00000000,419C5AF1,00000000,419C5AF1,00000000,3A268573
2,1500.0,27,3D37E41E,00000000,419ABECA,00000000,419B88C8,00000000,419B88C8,00000000,3A1E26A0
2,1500.0,28,3D37BB20,00000000,4199FC8F,00000000,419ABECA,00000000,419ABECA,00000000,3A15D731
2,1500.0,29,3D37005E,00000000,419941BD,00000000,4199FC8F,00000000,4199FC8F,00000000,3A0D95B5
2,1500.0,30,3D35ADB7,00000000,41988E03,00000000,419941BD,00000000,419941BD,00000000,3A0561A9
2,1500.0,31,3D33BF29,00000000,4197E11C,00000000,41988E03,00000000,41988E03,00000000,39FA7C67
2,1500.0,32,3D313341,00000000,41973ACA,00000000,4197E11C,00000000,4197E11C,00000000,39EA5DEF
