case,dx,k,ztenu,ztenv,pvom,pvol,puen,pven,ptte
2,1500.0,25,00000000,00000000,36C0771F,00000000,419C5AF1,00000000,B94FF9FD
2,1500.0,26,00000000,00000000,36C0786C,00000000,419B88C8,00000000,396A0B46
2,1500.0,27,00000000,00000000,36BFE68D,00000000,419ABECA,00000000,39637B0C
2,1500.0,28,00000000,00000000,36BEC871,00000000,4199FC8F,00000000,395CDF0B
2,1500.0,29,00000000,00000000,36BD0ADD,00000000,419941BD,00000000,3956287A
2,1500.0,30,00000000,00000000,36BAC492,00000000,41988E03,00000000,394F5B37
2,1500.0,31,00000000,00000000,36B7E01D,00000000,4197E11C,00000000,39487015
2,1500.0,32,00000000,00000000,36B469BE,00000000,41973ACA,00000000,39416B86
2,1500.0,33,00000000,00000000,36B06C1D,00000000,41969AD8,00000000,393A4461
2,1500.0,34,00000000,00000000,36ABDF99,00000000,4196011A,00000000,39330678
2,1500.0,35,00000000,00000000,36A6DECF,00000000,41956D6C,00000000,392BB3A2
2,1500.0,36,00000000,00000000,36A17102,00000000,4194DFB0,00000000,39245888
2,1500.0,37,00000000,00000000,369B9F72,00000000,419457D2,00000000,391CFE7A
2,1500.0,38,00000000,00000000,369589A5,00000000,4193D5C7,00000000,3915AF60
2,1500.0,39,00000000,00000000,368F3E0D,00000000,4193598D,00000000,390E7872
2,1500.0,40,00000000,00000000,3688D6FF,00000000,4192E32E,00000000,39077795
2,1500.0,41,00000000,00000000,36826BB8,00000000,419272C0,00000000,39009568
2,1500.0,42,00000000,00000000,3678049D,00000000,41920869,00000000,38F3E132
2,1500.0,43,00000000,00000000,366B8863,00000000,4191A464,00000000,38E73E65
2,1500.0,44,00000000,00000000,369CDE74,00000000,41914709,00000000,38EC6974
2,1500.0,45,00000000,00000000,35D4E4F3,00000000,4190F0DC,00000000,38B6F410
2,1500.0,46,00000000,00000000,36BC2716,00000000,4190A2A8,00000000,37DBDA6F
2,1500.0,47,00000000,00000000,36BC2714,00000000,41905DBD,00000000,381AC227
2,1500.0,48,00000000,00000000,36BC2714,00000000,419024A8,00000000,37308484
2,1500.0,49,00000000,00000000,36BC2715,00000000,41900000,00000000,B8461D3A
3,1500.0,1,00000000,00000000,00000000,00000000,42263741,00000000,00000000
3,1500.0,2,00000000,00000000,BA2AB351,00000000,421886F0,00000000,B9EAC1B6
3,1500.0,3,00000000,00000000,B713C042,00000000,420DC514,00000000,39FBD8D5
3,1500.0,4,00000000,00000000,B6BCF7C8,00000000,4204BF23,00000000,393B57C8
3,1500.0,5,00000000,00000000,B64446C9,00000000,41F9E55F,00000000,39CC1C0D
3,1500.0,6,00000000,00000000,B5090EC3,00000000,41EC2179,00000000,39CC75F6
3,1500.0,7,00000000,00000000,35E37BE4,00000000,41DFCB2A,00000000,39CCA77F
3,1500.0,8,00000000,00000000,367AE439,00000000,41D49AD5,00000000,39CC4A26
3,1500.0,9,00000000,00000000,36BD9B4E,00000000,41CA5CB1,00000000,39CB5096
3,1500.0,10,00000000,00000000,371EC69E,00000000,41C0E9FA,00000000,39C70F71
3,1500.0,11,00000000,00000000,375C0901,00000000,41B824EA,00000000,39C20F51
3,1500.0,12,00000000,00000000,3786B878,00000000,41AFF614,00000000,39BDA3C9
3,1500.0,13,00000000,00000000,379AD396,00000000,41A84AB7,00000000,39BA3443
