case,dx,k,paph,pten,plglac,plude,pmfus,pmfds,pmfuq,pmfdq,pmful,pdmfup,pdmfdp,pdpmel,ptent_in,ptenq_in,pcte_in,pmfu,pmfd
1,1500.0,33,47985B0D,439011F4,00000000,35A1716E,421DD700,00000000,38785B08,00000000,37FE5309,36122780,00000000,00000000,37923866,3295BAC7,00000000,3C8386C4,00000000
1,1500.0,34,479BE286,4390AD7A,00000000,359D021E,420BE980,00000000,386A865C,00000000,37E2B883,360A3380,00000000,00000000,37942E2D,3297BC99,00000000,3C812637,00000000
1,1500.0,35,479F5670,439142DD,00000000,3596632F,41F5F400,00000000,385BA61C,00000000,37C8E623,36024B80,00000000,00000000,37961028,3299AA25,00000000,3C7D041E,00000000
1,1500.0,36,47A2B5F3,4391D23B,00000000,358DA6EB,41D5EF00,00000000,384BD7E8,00000000,37B0BE27,35F4FE00,00000000,00000000,3797DEB5,329B83CC,00000000,3C7737D1,00000000
1,1500.0,37,47A60021,43925BA7,00000000,3582EB07,41B7AB00,00000000,383B37AC,00000000,379A20E1,35E5BD00,00000000,00000000,37999A17,329D49D2,00000000,3C70EE44,00000000
1,1500.0,38,47A933EB,4392DF2E,00000000,356CB058,419AFC00,00000000,3829DF20,00000000,3784F0A4,35D6F600,00000000,00000000,379B4274,329EFC5F,00000000,3C6A31DA,00000000
1,1500.0,39,47AC501F,43935CD3,00000000,35503E6A,417F7200,00000000,3817E5FC,00000000,37621F2F,35C89900,00000000,00000000,379CD7D3,32A09B78,00000000,3C63109B,00000000
1,1500.0,40,47AF535C,4393D48A,00000000,35348E59,414B6600,00000000,38056284,00000000,373CBF6A,35BA9C00,00000000,00000000,379E5A12,32A226FC,00000000,3C5B9C27,00000000
1,1500.0,41,47B23C0A,4394463E,00000000,3517EAB0,411AE100,00000000,37ED4698,00000000,371A3B09,35AE4A00,00000000,00000000,379FC8EB,32A39EA3,00000000,3C53EB69,00000000
1,1500.0,42,47B50844,4394B1C7,00000000,34F47463,40DC5000,00000000,37D2FD18,00000000,36F5901A,35A4F500,00000000,00000000,37A123E1,32A501ED,00000000,3C4C1666,00000000
1,1500.0,43,47B7B5C4,439516EC,00000000,34BA1E55,4089D400,3F4CFC00,37B8E6C8,B538CF5A,36BD1572,34848800,00000000,00000000,37A26A36,32A65017,00000000,3C443706,BB503DCD
1,1500.0,44,47BA41BE,43957553,00000000,3482FD23,3FF6B000,3FE75A00,379F21C8,B61A0220,368B955D,34F9C000,00000000,00000000,37A39AC9,32A787F9,00000000,3C3C69EB,BB503DCD
1,1500.0,45,47BCA8A3,4395CC77,00000000,33D85D52,BE888000,40086300,3785E080,B57F7300,36417C42,339FC000,00000000,00000000,37A4B3EE,32A8A7DE,00000000,3C34CEB8,BB22CE89
1,1500.0,46,47BEE5BD,43961B8A,00000000,00000000,C011D400,40043700,375ADD60,B3EC5C00,35A07C4B,B498C800,00000000,00000000,37A5B30E,32A9AD1D,00000000,3C2D88D5,BAF0EBA2
1,1500.0,47,47C0F26C,43966139,00000000,00000000,BFE14000,3FD98B00,37110CE0,34A0AEC0,2EE8E9FF,B41C0000,00000000,00000000,37A693E1,32AA9355,00000000,3C2D88D5,BAA361F0
1,1500.0,48,47C2C476,43969AF0,00000000,00000000,BF8251AB,3FA89B80,36A7D0B8,349C5F40,00000000,B34B0000,00000000,00000000,37A74E19,32AB5205,00000000,3BC8C47D,BA3D05BC
1,1500.0,49,47C4491D,4396C000,00000000,00000000,BECC7E33,3EF31D00,3603AA62,3484D2E0,00000000,00000000,00000000,00000000,37A7C5AC,32ABCC77,00000000,3B1D84F8,B9944DE3
2,1500.0,1,459C4000,43468000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2,1500.0,2,45EE9B40,43468000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2,1500.0,3,46202EB0,434B9019,00000000,361F78EC,C2A8CC40,00000000,B30A0D90,00000000,375999CF,371308C3,00000000,00000000,3582ADB6,3085D09A,00000000,3C8FDFC8,00000000
2,1500.0,4,4648C210,4352E4EE,00000000,366076EB,42235A00,00000000,34A262FB,00000000,37C6B4A0,37542FED,00000000,00000000,361FF473,3123CB36,00000000,3C9FEABC,00000000
2,1500.0,5,467106C0,43593B0F,00000000,369232B3,42A33240,00000000,359ED539,00000000,38203F51,378CFBFA,00000000,00000000,3671BADC,3177880C,00000000,3CAF42A3,00000000
2,1500.0,6,468C7DC8,435ED2A6,00000000,36B25615,4329FC60,00000000,369603CE,00000000,3869D6A3,37AEC2F0,00000000,00000000,369CF328,31A0B775,00000000,3CBE1E45,00000000
2,1500.0,7,46A04FA4,4363D5B8,00000000,36CE9400,4377A800,00000000,373B466E,00000000,389D553E,37CCC116,00000000,00000000,36BD4A87,31C1D588,00000000,3CCC9D19,00000000
2,1500.0,8,46B3F860,4368615C,00000000,36E689FD,439C6300,00000000,37B91161,00000000,38C6D161,37E5E8B4,00000000,00000000,36DA9F3B,31DFDE72,00000000,3CDAD2D1,00000000
2,1500.0,9,46C77754,436C8A9C,35D616C6,36FB2674,43B6A2E0,00000000,381C355E,00000000,38F000A0,37FABE54,00000000,00000000,36F5790C,31FB5D3B,00000000,3CE8CC63,00000000
2,1500.0,10,46DACBE0,43706136,371840E8,36FC15E5,43CB14C0,00000000,386B7A0E,00000000,390C7600,37FD03B0,00000000,00000000,37071EC9,320A5CF7,00000000,3CF6928A,00000000
2,1500.0,11,46EDF550,4373F146,3780BA4A,36F29FE2,43D87F00,00000000,38A1C03D,00000000,391E4238,37EE61B0,00000000,00000000,37129D72,3216223F,00000000,3D01BD89,00000000
2,1500.0,12,47007974,4377444D,37A6F31F,36E4A773,43E02240,00000000,38D007C8,00000000,392BD37F,37D88668,00000000,00000000,371D5733,32211DE6,00000000,3D07B89F,00000000
2,1500.0,13,4709E1F6,437A61EB,37C3CDDD,36D61AA0,43E373A0,00000000,38FF0A0C,00000000,3934D954,37CFD328,00000000,00000000,3727649E,322B6915,00000000,3D0D49CA,00000000
2,1500.0,14,471333CA,437D5054,37DFD51D,36C9D096,43E3A840,00000000,391677EB,00000000,393B810A,37D2ED50,00000000,00000000,3730D9BA,3235184C,00000000,3D127CCF,00000000
2,1500.0,15,471C6E89,43800A52,37FF2373,36BF835C,43E19B80,00000000,392C2652,00000000,3941BF7F,37D378C0,00000000,00000000,3739C709,323E3C74,00000000,3D175D9B,00000000
2,1500.0,16,472591C4,43815993,38106478,36B686A7,43DDC380,00000000,394025E2,00000000,3947A050,37D30230,00000000,00000000,37423A56,3246E3AC,00000000,3D1BF53F,00000000
2,1500.0,17,472E9D0C,438297B8,381C7A85,36AE555E,43D87140,00000000,39522407,00000000,394D27F3,37DE9B90,00000000,00000000,374A3F40,324F19DC,00000000,3D204736,00000000
2,1500.0,18,47378FE4,4383C64B,379FE368,36A68FEE,43D01980,00000000,39638060,00000000,395254C3,37E328C0,00000000,00000000,3751DFB1,3256E928,00000000,3D245238,00000000
2,1500.0,19,474069D0,4384E69C,37533C50,369EEF75,43C9DA60,00000000,397335EC,00000000,3957205E,37E45D50,00000000,00000000,37592425,325E5A43,00000000,3D28114A,00000000
2,1500.0,20,47492A4A,4385F9D0,378778E4,36974218,43C45980,00000000,39805D81,00000000,395B8111,37E265F0,00000000,00000000,376013F5,326574B1,00000000,3D2B7CD6,00000000
2,1500.0,21,4751D0C6,438700E3,37A5ACCF,368F64AC,43BDC300,00000000,3985C8BA,00000000,395F6BA7,37DE7F80,00000000,00000000,3766B583,326C3EFD,00000000,3D2E8C1A,00000000
2,1500.0,22,475A5CB1,4387FCB1,37C3C3A1,36873F98,43B62CA0,00000000,3989B4D6,00000000,3962D59B,37D9A070,00000000,00000000,376D0E5D,3272BED7,00000000,3D3136E1,00000000
2,1500.0,23,4762CD6E,4388EDFE,00000000,367D9E75,43ADC0C0,00000000,398C102F,00000000,3965B719,37D3DD10,00000000,38093C06,37732369,3278F940,00000000,3D33770C,00000000
2,1500.0,24,476B2254,4389D572,00000000,366D3786,43A4FCC0,00000000,398CBEA5,00000000,3968082D,37CD42E0,00000000,394AAF34,3778F8F1,327EF2A2,00000000,3D354663,00000000
2,1500.0,25,47735AB4,438AB3A4,00000000,3651EA64,439BDEC0,00000000,398BAC35,00000000,3969C3CB,3722ABE0,00000000,39882A06,377E92B2,32825766,00000000,3D36A0F7,00000000
2,1500.0,26,477B75D0,438B8914,00000000,36395B4B,43926520,00000000,398A7F8A,00000000,395C2A90,37001DC0,00000000,00000000,3781F9FE,32851892,00000000,3D37831A,00000000
2,1500.0,27,4781B970,438C563B,00000000,3622FDC6,4388B260,00000000,39897189,00000000,394CB0ED,36F83D00,00000000,00000000,37848FE3,3287BE59,00000000,3D37E41E,00000000
2,1500.0,28,4785A886,438D1B7E,00000000,360EAB6B,437DBE80,00000000,39873E72,00000000,393D5AB3,36EFD400,00000000,00000000,37870C57,328A4A13,00000000,3D37BB20,00000000
2,1500.0,29,478987B5,438DD93C,00000000,35F88252,436A05C0,00000000,3983F34D,00000000,392E3E52,36E70000,00000000,00000000,37897084,328CBCF2,00000000,3D37005E,00000000
2,1500.0,30,478D5682,438E8FC4,00000000,35D73A88,43566440,00000000,397F3F80,00000000,391F70D5,36DDC180,00000000,00000000,378BBD70,328F1800,00000000,3D35ADB7,00000000
2,1500.0,31,47911463,438F3F60,00000000,35B94265,43430240,00000000,3974B04A,00000000,391105C5,36D41F80,00000000,00000000,378DF402,32915C2B,00000000,3D33BF29,00000000
2,1500.0,32,4794C0C7,438FE84B,00000000,359E5EA2,43300300,00000000,39686644,00000000,39030EA8,36CA2300,00000000,00000000,37901502,32938A40,00000000,3D313341,00000000
2,1500.0,33,47985B0D,43908ABD,00000000,358657FB,431D8800,00000000,395A9688,00000000,38EB3742,36BFDC80,00000000,00000000,3792211D,3295A2EF,00000000,3D2E0B75,00000000
2,1500.0,34,479BE286,439126E2,00000000,3561F2F1,430BACC0,00000000,394B7948,00000000,38D175C2,36B55E00,00000000,00000000,379418E6,3297A6CF,00000000,3D2A4C70,00000000
2,1500.0,35,479F5670,4391BCDF,00000000,353C2172,42F51500,00000000,393B4B68,00000000,38B8F178,36AABE00,00000000,00000000,3795FCD2,32999658,00000000,3D25FE33,00000000
2,1500.0,36,47A2B5F3,43924CD2,00000000,351ADA6D,42D46B00,00000000,392A4C10,00000000,38A1BEDD,36A01580,00000000,00000000,3797CD41,329B71ED,00000000,3D212C14,00000000
2,1500.0,37,47A60021,4392D6CF,00000000,34FB8114,42B57C00,00000000,3918BBCC,00000000,388BEDA9,36957980,00000000,00000000,37998A75,329D39D0,00000000,3D1BE49A,00000000
2,1500.0,38,47A933EB,43935AE2,00000000,34C8F614,42986180,00000000,3906DB84,00000000,386F138C,368AF900,00000000,00000000,379B3494,329EEE29,00000000,3D163939,00000000
2,1500.0,39,47AC501F,4393D90C,00000000,349D6466,427A5A00,00000000,38E9D308,00000000,384934FD,36808700,00000000,00000000,379CCBA5,32A08EFF,00000000,3D103DE6,00000000
2,1500.0,40,47AF535C,43945145,00000000,3471AAED,4247D000,00000000,38C645C0,00000000,3826411F,366BD800,00000000,00000000,379E4F86,32A21C30,00000000,3D0A089C,00000000
2,1500.0,41,47B23C0A,4394C375,00000000,3433E660,42198300,00000000,38A804A8,00000000,38064AE0,3655BE00,00000000,00000000,379FBFEF,32A39570,00000000,3D03A187,00000000
2,1500.0,42,47B50844,43952F75,00000000,33FF1248,41DF2400,00000000,388CDE40,00000000,37D28B8C,363CA500,00000000,00000000,37A11C64,32A4FA41,00000000,3CFA368F,00000000
2,1500.0,43,47B7B5C4,4395950A,00000000,33A5DF61,4193EC00,00000000,386612B0,00000000,379DD74C,361AF600,00000000,00000000,37A26423,32A649DE,00000000,3CED22EF,00000000
2,1500.0,44,47BA41BE,4395F3DB,00000000,332F0CEB,41226C00,00000000,38359DE0,00000000,375A4D2B,35CB1800,00000000,00000000,37A3960A,32A7831D,00000000,3CE0415C,00000000
2,1500.0,45,47BCA8A3,43964B61,00000000,3175E197,40360800,3F835DE1,3808E0E0,B4F8172F,36F6DFDA,B5867000,00000000,00000000,37A4B06D,32A8A446,00000000,3CD3CCB5,BB806D6A
2,1500.0,46,47BEE5BD,43969ACD,00000000,00000000,C08E7800,4006F2D6,37C414E0,B5CEBDFC,353BDCBE,B5758000,00000000,00000000,37A5B0AF,32A9AAAF,00000000,3CD4E357,BB806D6A
2,1500.0,47,47C0F26C,4396E0CC,00000000,00000000,C08695BF,4045F00B,3788F4B6,B469FDF6,00000000,B558A400,00000000,00000000,37A69282,32AA91EE,00000000,3C905F44,BB806D6A
