case,dx,k,ptu,pqu,plu,pmfu,pmfus,pmfuq,pmful,plude,pdmfup,plglac,pmfude_rate,ptenh_out,pqenh_out,klab
2,1500.0,8,437304F5,3A834B80,3B689877,3F19B9AB,48513BA3,3A1DAEB2,3B0BABD1,3921F49C,3A21834D,00000000,3D1D181A,43675CD9,3938523A,2
2,1500.0,9,43784B3E,3ACB216D,3B83F606,3F238AF0,485D9EF5,3A81C487,3B289A88,39306F5E,3A30263B,386B6D09,3D1ADC92,436B7F71,397AD47A,2
2,1500.0,10,437CBE37,3B0EC3A5,3B91D4D6,3F2D3817,48698978,3AC132FC,3B455991,39311794,3A31BE9F,399E132C,3D112E15,436F4F31,39A43180,2
2,1500.0,11,43803A1D,3B3BD7BD,3B9C22C0,3F36498C,487453A9,3B05C158,3B5E5B20,392A7218,3A277706,39FE0077,3D06A17A,4372D86B,39E217B0,2
2,1500.0,12,4381CE5D,3B6AD728,3BA20D0D,3F3EB0BF,487DFC76,3B2EEDD3,3B716B23,3920A19F,3A181C4D,3A1D73B1,3CFAFC89,437624F3,3A1A9460,2
2,1500.0,13,43832ED8,3B8D3046,3BA3D70A,3F468322,4883598F,3B5AF751,3B7E187D,391668E7,3A11FFA6,3A315EFD,3CEB03EA,43793CBC,3A4D4C3F,2
2,1500.0,14,438468D5,3BA4C818,3BA3D70A,3F4DD13D,48874E04,3B847AEA,3B83B91D,390DC6C9,3A142D8D,3A401E44,3CDD869A,437C2513,3A853669,2
2,1500.0,15,4385857A,3BBBEC69,3BA3D70A,3F54ABD1,488AEC0A,3B9C1DE7,3B881C0B,39068A1D,3A148F82,3A4BE76C,3CD237CE,437EE330,3AA9641D,2
2,1500.0,16,43868B56,3BD27430,3BA3D70A,3F5B1F9C,488E401E,3BB42361,3B8C3D30,390039D9,3A143C37,3A552402,3CC85A63,4380BEFF,3AD3018C,2
2,1500.0,17,43877E46,3BE86411,3BA3D70A,3F613182,48914FDB,3BCC6CE4,3B901FAF,38F4F0F9,3A1C6233,3A511497,3CBF5C43,4381FC9B,3B0123DE,2
2,1500.0,18,438855E1,3BFF1111,3BA3D70A,3F66DFB6,48941215,3BE6083A,3B93C260,38EA05C9,3A1F94C1,398129FC,3CB6D485,43832BE4,3B1BB403,2
2,1500.0,19,438933C5,3C0AEEBE,3BA3D70A,3F6C2338,48969FBB,3C002734,3B9720C7,38DF4E87,3A206D8C,00000000,3CAE755A,43844E0C,3B3945C8,2
2,1500.0,20,438A0F4E,3C164A12,3BA3D70A,3F70F160,4898EB25,3C0D7325,3B9A3414,38D48529,3A1F0BEF,00000000,3CA60808,43856416,3B59E7BA,2
2,1500.0,21,438ADDBB,3C218403,3BA3D70A,3F753DE1,489AE306,3C1ABA61,3B9CF467,38C97845,3A1C4E84,00000000,3C9D65F6,43866EDC,3B7DA229,2
2,1500.0,22,438BA039,3C2C946B,3BA3D70A,3F78FD31,489C8158,3C27DA77,3B9F5A5D,38BE06B4,3A18E273,00000000,3C94753D,43876F21,3B923B5C,2
