case,dx,k,puen,pven,pten,pqen,pqte,pverv,puu,pvu,pmfus,pmfuq,pmful,plude
1,1500.0,45,40B2BBCA,00000000,4395CC77,3CAAD321,32A8A7DE,BD36169C,40B96FC3,00000000,00000000,00000000,00000000,00000000
1,1500.0,46,40ACA69F,00000000,43961B8A,3CAF3EA8,32A9AD1D,BD029446,40B2BBCA,00000000,00000000,00000000,00000000,00000000
1,1500.0,47,40A74A69,00000000,43966139,3CB32FE1,32AA9355,BCA74C5C,40ACA69F,00000000,00000000,00000000,00000000,00000000
1,1500.0,48,40A2D9D6,00000000,43969AF0,3CB67400,32AB5205,BC2B5A02,40A74A69,00000000,00000000,00000000,00000000,00000000
1,1500.0,49,40A00000,00000000,4396C000,3CB8697E,32ABCC77,BB41B38D,40A2D9D6,00000000,00000000,00000000,00000000,00000000
2,1500.0,1,41CA7C65,00000000,43468000,36F520CD,00000000,80000000,41CA7C65,00000000,00000000,00000000,00000000,00000000
2,1500.0,2,41C502AB,00000000,43468000,36AD2812,00000000,80000000,41CA7C65,00000000,00000000,00000000,00000000,00000000
2,1500.0,3,41C0B51F,00000000,434B9019,370CC500,3085D09A,BC1138DF,41C502AB,00000000,00000000,00000000,00000000,00000000
2,1500.0,4,41BD1924,00000000,4352E4EE,379C702D,3123CB36,BD11DC37,41C0B51F,00000000,00000000,00000000,00000000,00000000
2,1500.0,5,41B9FA8E,00000000,43593B0F,38139E9C,3177880C,BD91A17B,41BD1924,00000000,00000000,00000000,00000000,00000000
2,1500.0,6,41B739C6,00000000,435ED2A6,3878D94F,31A0B775,BDDAE6B2,41B9FA8E,00000000,00000000,00000000,00000000,00000000
2,1500.0,7,41B4C21C,00000000,4363D5B8,38C1374E,31C1D588,BE11079E,41B739C6,00000000,00000000,00000000,00000000,00000000
2,1500.0,8,41B2853D,00000000,4368615C,390CFDFC,31DFDE72,BE32AF9D,41B4C21C,00000000,00000000,00000000,00000000,00000000
2,1500.0,9,41B078CF,00000000,436C8A9C,39440CD9,31FB5D3B,BE51DE9C,41B2853D,00000000,00000000,00000000,00000000,00000000
2,1500.0,10,41AE9510,00000000,43706136,3994E2EC,320A5CF7,BE6E3E50,41B078CF,00000000,00000000,00000000,00000000,00000000
2,1500.0,11,41ACD40D,00000000,4373F146,39DD7779,3216223F,BE83D00B,41AE9510,00000000,00000000,00000000,00000000,00000000
2,1500.0,12,41AB3115,00000000,4377444D,3A1C9D6D,32211DE6,BE8EF85B,41ACD40D,00000000,00000000,00000000,00000000,00000000
2,1500.0,13,41A9A869,00000000,437A61EB,3A54E96C,322B6915,BE9897FD,41AB3115,00000000,00000000,00000000,00000000,00000000
2,1500.0,14,41A836FA,00000000,437D5054,3A8C2A1E,3235184C,BEA0B5A0,41A9A869,00000000,00000000,00000000,00000000,00000000
2,1500.0,15,41A6DA44,00000000,43800A52,3AB3BA08,323E3C74,BEA75CB5,41A836FA,00000000,00000000,00000000,00000000,00000000
2,1500.0,16,41A5902C,00000000,43815993,3AE16178,3246E3AC,BEAC9BFF,41A6DA44,00000000,00000000,00000000,00000000,00000000
