case,dx,k,pmfu,pmfd,pmfus,pmfds,pmfuq,pmfdq,pmful,plglac,pdmfup,pdmfdp,pdpmel,pmflxr,pmflxs,pqsen,plude,pmfdde_rate,pmfude_rate
1,1500.0,32,3C85A3B8,00000000,4230CA00,00000000,38828248,00000000,380DE8AF,00000000,361A1C0B,00000000,00000000,397DB615,00000000,3C50FE74,35A3A836,00000000,3A29461A
1,1500.0,33,3C8386C4,00000000,421DD700,00000000,38785B08,00000000,37FE5309,00000000,36122793,00000000,00000000,39800F43,00000000,3C5DAA30,35A1716E,00000000,3A37EDD2
1,1500.0,34,3C812637,00000000,420BE980,00000000,386A865C,00000000,37E2B883,00000000,360A33AF,00000000,00000000,39813392,00000000,3C6A6A6F,359D021E,00000000,3A45BD41
1,1500.0,35,3C7D041E,00000000,41F5F400,00000000,385BA61C,00000000,37C8E623,00000000,36024BBF,00000000,00000000,398247F9,00000000,3C77354C,3596632F,00000000,3A525A89
1,1500.0,36,3C7737D1,00000000,41D5EF00,00000000,384BD7E8,00000000,37B0BE27,00000000,35F4FE0E,00000000,00000000,39834C90,00000000,3C820045,358DA6EB,00000000,3A5D6D87
1,1500.0,37,3C70EE44,00000000,41B7AB00,00000000,383B37AC,00000000,379A20E1,00000000,35E5BD73,00000000,00000000,3984418E,00000000,3C88606D,3582EB07,00000000,3A66A1FF
1,1500.0,38,3C6A31DA,00000000,419AFC00,00000000,3829DF20,00000000,3784F0A4,00000000,35D6F5FD,00000000,00000000,3985274B,00000000,3C8EB548,356CB058,00000000,3A6DAD0C
1,1500.0,39,3C63109B,00000000,417F7200,00000000,3817E5FC,00000000,37621F2F,00000000,35C89978,00000000,00000000,3985FE41,00000000,3C94F87E,35503E6A,00000000,3A724B3C
1,1500.0,40,3C5B9C27,00000000,414B6600,00000000,38056284,00000000,373CBF6A,00000000,35BA9C4D,00000000,00000000,3986C6DA,00000000,3C9B22D0,35348E59,00000000,3A781783
1,1500.0,41,3C53EB69,00000000,411AE100,00000000,37ED4698,00000000,371A3B09,00000000,35AE4980,00000000,00000000,39878176,00000000,3CA12C7D,3517EAB0,00000000,3A7C8426
1,1500.0,42,3C4C1666,00000000,40DC5000,00000000,37D2FD18,00000000,36F5901A,00000000,35A4F578,00000000,00000000,39882FC0,00000000,3CA70C84,34F47463,00000000,3A7DAC8F
1,1500.0,43,3C443706,BB503DCD,4089D400,3F4CFC00,37B8E6C8,B66911C0,36BD1572,00000000,359F2416,B57C0504,00000000,3988D4B5,00000000,3CACB8C2,34BA1E55,00000000,3A7B3A64
1,1500.0,44,3C3C69EB,BB503DCD,3FF6B000,3FE75A00,379F21C8,B61A0220,368B955D,00000000,3598ED4E,B534FA4B,00000000,3988F5D7,00000000,3CB224D5,3482FD23,38A204B6,3A74CFD6
1,1500.0,45,3C34CEB8,BB22CE89,BE888000,40086300,3785E080,B57F7300,36417C42,00000000,350FD8A7,B4F7C304,00000000,39893447,00000000,3CB74134,33D85D52,3A35BD10,3A69F4FF
1,1500.0,46,3C2D88D5,BAF0EBA2,C011D400,40043700,375ADD60,B3EC5C00,35A07C4B,00000000,00000000,B498C605,00000000,39893E43,00000000,3CBBF91E,00000000,3A2962DD,00000000
1,1500.0,47,3C2D88D5,BAA361F0,BFE14000,3FD98B00,37110CE0,34A0AEC0,2EE8E9FF,00000000,00000000,B41C031A,00000000,39891811,00000000,3CC02E29,00000000,3A1B1364,00000000
1,1500.0,48,3BC8C47D,BA3D05BC,BF8251AB,3FA89B80,36A7D0B8,349C5F40,00000000,00000000,00000000,B34B0E60,00000000,39890491,00000000,3CC3AA28,00000000,3A09BE24,00000000
1,1500.0,49,3B1D84F8,B9944DE3,BECC7E33,3EF31D00,3603AA62,3484D2E0,00000000,00000000,00000000,00000000,00000000,3988FE39,00000000,3CC5C0E4,00000000,39E5BD95,00000000
2,1500.0,1,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,3741A6B7,00000000,00000000,00000000
2,1500.0,2,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,3708CB70,00000000,00000000,00000000
2,1500.0,3,3C8FDFC8,00000000,C2A8CC40,00000000,B30A0D90,00000000,375999CF,00000000,371308C3,00000000,00000000,00000000,00000000,376893F8,361F78EC,00000000,3B0057A1
2,1500.0,4,3C9FEABC,00000000,42235A00,00000000,34A262FB,00000000,37C6B4A0,00000000,37542FED,00000000,00000000,00000000,371308C3,380A6B32,366076EB,00000000,3AF57E67
2,1500.0,5,3CAF42A3,00000000,42A33240,00000000,359ED539,00000000,38203F51,00000000,378CFBFA,00000000,00000000,00000000,37B39C58,388AFAC3,369232B3,00000000,3AEDBA40
2,1500.0,6,3CBE1E45,00000000,4329FC60,00000000,369603CE,00000000,3869D6A3,00000000,37AEC2F0,00000000,00000000,00000000,38204C29,38F7D255,36B25615,00000000,3AE7EDC0
2,1500.0,7,3CCC9D19,00000000,4377A800,00000000,373B466E,00000000,389D553E,00000000,37CCC114,00000000,00000000,00000000,3877ADA1,394A800F,36CE9400,00000000,3AE35D58
2,1500.0,8,3CDAD2D1,00000000,439C6300,00000000,37B91161,00000000,38C6D161,00000000,37E5E8B3,00000000,00000000,00000000,38AF0716,399AD35E,36E689FD,00000000,3ADF9E78
2,1500.0,9,3CE8CC63,00000000,43B6A2E0,00000000,381C355E,00000000,38F000A0,35D616C6,37FABE58,00000000,00000000,00000000,38E88143,39E0B65D,36FB2674,00000000,3ADC70E9
2,1500.0,10,3CF6928A,00000000,43CB14C0,00000000,386B7A0E,00000000,390C7600,371840E8,37FD03AD,00000000,00000000,00000000,3913986C,3A1C5FB3,36FC15E5,00000000,3ACEA8DA
2,1500.0,11,3D01BD89,00000000,43D87F00,00000000,38A1C03D,00000000,391E4238,3780BA4A,37EE61AC,00000000,00000000,00000000,393338E2,3A524831,36F29FE2,00000000,3ABFA49E
2,1500.0,12,3D07B89F,00000000,43E02240,00000000,38D007C8,00000000,392BD37F,37A6F31F,37D88667,00000000,00000000,00000000,39510518,3A89652B,36E4A773,00000000,3AB2A2D2
2,1500.0,13,3D0D49CA,00000000,43E373A0,00000000,38FF0A0C,00000000,3934D954,37C3CDDD,37CFD32A,00000000,00000000,00000000,396C15E5,3AAF41BB,36D61AA0,00000000,3AA744CE
2,1500.0,14,3D127CCF,00000000,43E3A840,00000000,391677EB,00000000,393B810A,37DFD51D,37D2ED52,00000000,00000000,00000000,39830825,3ADBD588,36C9D096,00000000,3A9DAAF5
2,1500.0,15,3D175D9B,00000000,43E19B80,00000000,392C2652,00000000,3941BF7F,37FF2373,37D378C3,00000000,00000000,00000000,399036FA,3B07F6D4,36BF835C,00000000,3A959EA1
2,1500.0,16,3D1BF53F,00000000,43DDC380,00000000,394025E2,00000000,3947A050,38106478,37D30232,00000000,00000000,00000000,399D6E86,3B25B7AD,36B686A7,00000000,3A8E9933
2,1500.0,17,3D204736,00000000,43D87140,00000000,39522407,00000000,394D27F3,381C7A85,37DE9B89,00000000,00000000,00000000,39AA9EA9,3B46F9D2,36AE555E,00000000,3A8832B1
2,1500.0,18,3D245238,00000000,43D01980,00000000,39638060,00000000,395254C3,379FE368,37E328B9,00000000,00000000,00000000,39B88862,3B6B65DA,36A68FEE,00000000,3A822072
2,1500.0,19,3D28114A,00000000,43C9DA60,00000000,397335EC,00000000,3957205E,37533C50,37E45D53,00000000,00000000,00000000,39C6BAEE,3B894111,369EEF75,00000000,3A785627
2,1500.0,20,3D2B7CD6,00000000,43C45980,00000000,39805D81,00000000,395B8111,378778E4,37E265F7,00000000,00000000,00000000,39D500C3,3B9DDB63,36974218,00000000,3A6C5745
2,1500.0,21,3D2E8C1A,00000000,43BDC300,00000000,3985C8BA,00000000,395F6BA7,37A5ACCF,37DE7F84,00000000,00000000,00000000,39E32722,3BB32826,368F64AC,00000000,3A600D4C
2,1500.0,22,3D3136E1,00000000,43B62CA0,00000000,3989B4D6,00000000,3962D59B,37C3C3A1,37D9A076,00000000,00000000,00000000,39F10F1A,3BC8C210,36873F98,00000000,3A53535E
2,1500.0,23,3D33770C,00000000,43ADC0C0,00000000,398C102F,00000000,3965B719,00000000,37D3DD15,00000000,38093C06,00000000,39FEA921,3BD27465,367D9E75,00000000,3A4623CB
2,1500.0,24,3D354663,00000000,43A4FCC0,00000000,398CBEA5,00000000,3968082D,00000000,37CD42CF,00000000,394AAF34,38732A90,39ED81A0,3BCB2CB4,366D3786,00000000,3A395360
2,1500.0,25,3D36A0F7,00000000,439BDEC0,00000000,398BAC35,00000000,3969C3CB,00000000,3722ABD1,00000000,39882A06,39909119,39882A06,3BDF6029,3651EA64,00000000,3A2EF7D0
2,1500.0,26,3D37831A,00000000,43926520,00000000,398A7F8A,00000000,395C2A90,00000000,37001DDD,00000000,00000000,3A0EE83F,00000000,3C118A84,36395B4B,00000000,3A268573
2,1500.0,27,3D37E41E,00000000,4388B260,00000000,39897189,00000000,394CB0ED,00000000,36F83CEA,00000000,00000000,3A10E8B6,00000000,3C1DB19F,3622FDC6,00000000,3A1E26A0
2,1500.0,28,3D37BB20,00000000,437DBE80,00000000,39873E72,00000000,393D5AB3,00000000,36EFD41A,00000000,00000000,3A12D930,00000000,3C2A23F6,360EAB6B,00000000,3A15D731
2,1500.0,29,3D37005E,00000000,436A05C0,00000000,3983F34D,00000000,392E3E52,00000000,36E7002D,00000000,00000000,3A14B8D8,00000000,3C36D977,35F88252,00000000,3A0D95B5
2,1500.0,30,3D35ADB7,00000000,43566440,00000000,397F3F80,00000000,391F70D5,00000000,36DDC169,00000000,00000000,3A1686D8,00000000,3C43C95F,35D73A88,00000000,3A0561A9
2,1500.0,31,3D33BF29,00000000,43430240,00000000,3974B04A,00000000,391105C5,00000000,36D41F42,00000000,00000000,3A18425B,00000000,3C50EB16,35B94265,00000000,39FA7C67
