case,dx,k,ptent,ptenq,pcte
3,1500.0,18,39B04268,B2984DD0,32B75143
3,1500.0,19,39B02301,B2EE8134,32B0C445
3,1500.0,20,39AD2DEC,B326542C,32AA1015
3,1500.0,21,39A93B0C,B358E61F,32A309C2
3,1500.0,22,39A5416C,B386F36F,329B9160
3,1500.0,23,396470CC,B3A392EE,32939DC5
3,1500.0,24,B84AB16D,B3C1F4BA,328BCC58
3,1500.0,25,B9333474,B3BDFD12,327BA21C
3,1500.0,26,39853FE0,B3B4A1A6,3261AEF1
3,1500.0,27,39825070,B3C6003E,3249B258
3,1500.0,28,397EAA38,B3D689C1,32338EED
3,1500.0,29,39789EA6,B3E5F543,321F29EF
3,1500.0,30,39727336,B3F3F78E,320C6A47
3,1500.0,31,396C1D62,B4002F72,31F672CF
3,1500.0,32,3965A88D,B405745C,31D70180
3,1500.0,33,395F1079,B409B294,31BA577E
3,1500.0,34,39585614,B40CD4E9,31A04CBE
3,1500.0,35,395189C7,B40ECEC2,3188BA5D
3,1500.0,36,394A9EF0,B40F9B9B,3166F56B
3,1500.0,37,3943B856,B40F3214,3140D15D
3,1500.0,38,393CCEF0,B40DA812,311EBEB2
3,1500.0,39,393603FA,B40AFC1C,31007275
3,1500.0,40,392F5774,B3F2BD3C,30CC4E49
3,1500.0,41,3928D537,B3DBB302,309E2114
3,1500.0,42,39227D75,B3D00023,306A40E1
3,1500.0,43,391C7951,B3C321D6,30202ADC
3,1500.0,44,391F5E5C,B3BD5720,2FB33924
3,1500.0,45,3904D98A,B3A858DA,2E070CDC
3,1500.0,46,3889D7CE,32027380,00000000
3,1500.0,47,38A0C36E,31743040,00000000
3,1500.0,48,38534F61,32B73C00,00000000
3,1500.0,49,B6F8EF20,B3879B59,00000000
4,1500.0,1,80000000,80000000,00000000
4,1500.0,2,B9BE2EBE,337B181C,00000000
4,1500.0,3,39A0958A,B191E333,3238C296
4,1500.0,4,39DE2668,B20DDA97,3281D015
4,1500.0,5,39D8C2AC,B247D945,32A85E3B
4,1500.0,6,39D4F297,B26E26C7,32CC61C3
4,1500.0,7,39D1472E,B2813544,32EBEE21
4,1500.0,8,39CD6496,B284AC5A,3303A112
4,1500.0,9,39C90632,B283BCD0,330F9EF4
4,1500.0,10,39C15396,B2B27B41,330F9CD5
4,1500.0,11,39B94A54,B2EA407D,330999D3
4,1500.0,12,39B22C05,B3114362,33012AF3
4,1500.0,13,39AC6E61,B334A8E8,32F3B07C
4,1500.0,14,39A787B5,B35D581E,32E7909B
4,1500.0,15,39A2B434,B3846AF9,32DD981D
4,1500.0,16,399E99D6,B39C6488,32D50948
4,1500.0,17,399BC378,B3B63F60,32CD4FB8
4,1500.0,18,3999B6B7,B3D25E99,32C5FCD6
4,1500.0,19,39974B5E,B3F09AC8,32BEBCDF
4,1500.0,20,39919B7E,B4086B82,32B75201
4,1500.0,21,398BE4F1,B419676F,32AF8D48
4,1500.0,22,39865833,B42ADB4C,32A74BAE
4,1500.0,23,390373A0,B43DE354,329E92FA
4,1500.0,24,B93349F2,B4512F41,329617BC
4,1500.0,25,B984CACA,B451CF23,328D5458
4,1500.0,26,393D2CDC,B44E0308,327DFC07
4,1500.0,27,3934E0F9,B459FB2D,32637965
4,1500.0,28,392C9C49,B4656ECE,324AFF98
4,1500.0,29,39244A9B,B4704010,32346F08
4,1500.0,30,391BFDA8,B47A45F2,321FAAE9
4,1500.0,31,3913A48D,B481B24D,320C98A6
4,1500.0,32,390B3656,B485BCE6,31F63EE5
4,1500.0,33,3902B8D6,B489352C,31D64FF6
4,1500.0,34,38F45576,B48C1340,31B9381F
4,1500.0,35,38E340B0,B48E4A70,319ECC06
4,1500.0,36,38D21C81,B48FD8AD,3186E357
4,1500.0,37,38C0EF86,B490BC72,3162A9DB
4,1500.0,38,38B010EC,B490F844,313BF349
4,1500.0,39,389F5316,B490923E,3119542E
4,1500.0,40,388F0D1A,B487B39E,30F638DF
4,1500.0,41,387E5A08,B4820864,30C0D69F
4,1500.0,42,385F9A07,B47F5D4C,3091427B
4,1500.0,43,38422843,B479E262,304D2380
4,1500.0,44,3826702F,B473CB70,2FFC3418
4,1500.0,45,38446D77,B4711DDA,2F3DD673
4,1500.0,46,37167484,B46147A9,285BB558
4,1500.0,47,B882C0B4,B3CE9319,00000000
4,1500.0,48,B8DD595B,B3912B18,00000000
4,1500.0,49,B92C0136,B44A2230,00000000
5,1500.0,1,00000000,00000000,00000000
5,1500.0,2,B9D76C5F,33581DCB,00000000
5,1500.0,3,39FCEE9D,302CF57F,322023C7
5,1500.0,4,3938ECBD,2EDF06C0,32624B7C
5,1500.0,5,39C7FD6E,3127BC82,3293C215
5,1500.0,6,39C70AAE,3190A03E,32B49CBE
5,1500.0,7,39C601BA,31DF5420,32D1C48C
5,1500.0,8,39C484DD,321DD887,32EB155D
5,1500.0,9,39C2794B,324F8874,3300B6C6
5,1500.0,10,39BD6826,322B69DA,3301D504
5,1500.0,11,39B7C0BD,31E5F125,32FAD5CF
5,1500.0,12,39B2C2F1,315F3AE8,32ED4BD2
5,1500.0,13,39AEEEF6,B102168C,32E06B1A
5,1500.0,14,39ABA844,B20C9F4B,32D5CBBA
5,1500.0,15,39A8614C,B282CC84,32CD0B1D
5,1500.0,16,39A59DF4,B2C8B58A,32C57FD5
5,1500.0,17,39A3EA99,B30AF3A7,32BEA6AE
5,1500.0,18,39A2DAC7,B3360DDB,32B81D0D
5,1500.0,19,39A267D1,B365445B,32B19919
5,1500.0,20,399E1705,B38C3334,32AAE386
5,1500.0,21,3999B33C,B3A76DE8,32A3D2C1
5,1500.0,22,39957830,B3C37AAA,329C47CB
5,1500.0,23,3912D1CA,B3E31BA1,3294554D
5,1500.0,24,B935BF6D,B4013F66,328C9C25
5,1500.0,25,B88051EF,B400FE5C,327AD254
5,1500.0,26,39682373,B3F8BCD7,3260AB3F
5,1500.0,27,3961A38F,B405CFC2,32488160
5,1500.0,28,395B00E2,B40EC83F,32323809
5,1500.0,29,39545578,B41727B0,321DB41E
5,1500.0,30,394D8C02,B41EC5D8,320ADC89
5,1500.0,31,3946A670,B4258811,31F33454
5,1500.0,32,393F9D65,B42B4BDE,31D3AE04
5,1500.0,33,393871F2,B42FFCF0,31B6FBCC
5,1500.0,34,393132FC,B43384C3,319CF653
5,1500.0,35,3929DB9F,B435D4F8,31857618
5,1500.0,36,39227490,B436E798,3160AB5B
5,1500.0,37,391B1292,B436C11A,313AE07D
5,1500.0,38,3913B99E,B43563F2,31194643
5,1500.0,39,390C76C7,B432E68D,30F72974
5,1500.0,40,39055ED6,B42184F7,30C40B13
5,1500.0,41,38FCF3D1,B415CE04,3097ABF5
5,1500.0,42,38EF9C04,B41013DC,30611FFE
5,1500.0,43,39010B23,B4124822,301933FA
5,1500.0,44,38A9095C,B40A00D9,2FA0D9E3
5,1500.0,45,389FE3B4,B3B3F166,284AECD2
5,1500.0,46,37BDC68F,B3164D68,00000000
5,1500.0,47,37EAAAC5,B34F1464,00000000
5,1500.0,48,3793266E,B360819D,00000000
5,1500.0,49,37CBC285,B38BF677,00000000
6,1500.0,1,00000000,00000000,00000000
6,1500.0,2,B9E26276,321B02DC,00000000
6,1500.0,3,B912DEC6,B09396AD,3310E5E2
6,1500.0,4,3A00B67E,30994C35,32CDDC7D
6,1500.0,5,39A226C7,B15AE70D,32535B49
6,1500.0,6,3A088457,31501097,327A1939
6,1500.0,7,398ACE7F,31081C5C,3291F4F5
6,1500.0,8,398A2B15,3193A7BD,32A42E93
6,1500.0,9,3989215E,31E72D9E,32B45597
6,1500.0,10,3985CFDF,31BDC5FD,32B651F5
6,1500.0,11,3981FC08,317DBDEF,32B0BF4D
6,1500.0,12,397D2F51,30E25A44,32A7D209
6,1500.0,13,3977D390,B0D3A114,329E727E
6,1500.0,14,3973978E,B1C3D392,3296A4D5
6,1500.0,15,396F306F,B2315E02,32903EE9
6,1500.0,16,396B7679,B2871A42,328AC530
