case,dx,k,ptent,ptenq,pcte
7,4500.0,18,3A84B0B2,B43D3AE5,3397EBD1
7,4500.0,19,3A8417ED,B4665824,33925BEB
7,4500.0,20,3A80CACA,B4894F4E,338CAC0B
7,4500.0,21,3A79FA7F,B4A0D83F,3386B817
7,4500.0,22,3A7272FA,B4B9438A,33806559
7,4500.0,23,3A3A3607,B4D3A030,33735F25
7,4500.0,24,39DC61FD,B4EF1614,33663D50
7,4500.0,25,B808D53B,B4EBE7EE,33504889
7,4500.0,26,BA240091,B4E327C9,333AFBF5
7,4500.0,27,39F03E69,B4F2E142,33274530
7,4500.0,28,3A2E6445,B500EDE9,33150D29
7,4500.0,29,3A28B4A2,B507EB28,33043EA1
7,4500.0,30,3A22F1E1,B50E4E6F,32E98C23
7,4500.0,31,3A1D1269,B51400BC,32CD226F
7,4500.0,32,3A171BB0,B518E2D7,32B31E10
7,4500.0,33,3A11108B,B51CE9B3,329B5DA1
7,4500.0,34,3A0AECBC,B51FFDB6,3285C200
7,4500.0,35,3A04BBB7,B5221417,326459A1
7,4500.0,36,39FCF0B4,B5232D11,3241001E
7,4500.0,37,39F07938,B5233DDC,32213D99
7,4500.0,38,39E401C0,B52258B2,3204D67A
7,4500.0,39,39D7C491,B52080E5,31D71D8C
7,4500.0,40,39CBB92A,B5136954,31AB1B90
7,4500.0,41,39C0048B,B50AB402,31846C86
7,4500.0,42,39B4B04E,B5062CC7,3144241D
7,4500.0,43,39A9DF58,B50126A4,310611B4
7,4500.0,44,39AE1424,B4FE15D5,3095F863
7,4500.0,45,398113C4,B4ED207F,2EE1DED4
7,4500.0,46,382D7239,B42525E6,00000000
7,4500.0,47,38A16A2E,B434B336,00000000
7,4500.0,48,B743C4C0,B3EAFA2D,00000000
7,4500.0,49,B9581466,B4D3F0CB,00000000
8,4500.0,1,00000000,00000000,00000000
8,4500.0,2,00000000,00000000,00000000
8,4500.0,3,343A5421,303ECCEF,00000000
8,4500.0,4,350ED8CD,31124674,00000000
8,4500.0,5,35620C3A,31677910,00000000
8,4500.0,6,3595BCFA,319954F8,00000000
8,4500.0,7,35B6A4DD,31BB0707,00000000
8,4500.0,8,35D47CB9,31D9963F,00000000
8,4500.0,9,35EFCEB7,31F59017,00000000
8,4500.0,10,36048118,3207AF34,00000000
8,4500.0,11,36103351,3213A949,00000000
8,4500.0,12,361B1D40,321ED646,00000000
8,4500.0,13,362557E7,32294FC6,00000000
8,4500.0,14,362EF7A7,32332AA7,00000000
8,4500.0,15,36380D4A,323C781B,00000000
8,4500.0,16,3640A6D9,32454681,00000000
8,4500.0,17,3648D028,324DA1F4,00000000
8,4500.0,18,3650934C,325594C9,00000000
8,4500.0,19,3657F8E6,325D27D5,00000000
8,4500.0,20,365F0870,326462C0,00000000
8,4500.0,21,3665C867,326B4C30,00000000
8,4500.0,22,366C3E74,3271E9F0,00000000
8,4500.0,23,36726F8E,32784114,00000000
8,4500.0,24,36786015,327E5619,00000000
8,4500.0,25,367E13D0,3282166F,00000000
8,4500.0,26,3681C707,3284E461,00000000
8,4500.0,27,368468E9,32879670,00000000
8,4500.0,28,3686F0E3,328A2DF7,00000000
8,4500.0,29,36896024,328CAC2E,00000000
8,4500.0,30,368BB7B6,328F1223,00000000
8,4500.0,31,368DF882,329160C7,00000000
8,4500.0,32,36902356,329398EB,00000000
8,4500.0,33,369238DF,3295BB42,00000000
8,4500.0,34,36942E7F,3297BCED,00000000
8,4500.0,35,3696105B,3299AA59,00000000
8,4500.0,36,3697DED1,329B83E9,00000000
8,4500.0,37,36999A22,329D49DD,00000000
8,4500.0,38,369B4276,329EFC61,00000000
8,4500.0,39,369CD7D3,32A09B78,00000000
8,4500.0,40,369E5A12,32A226FC,00000000
8,4500.0,41,369FC8EB,32A39EA3,00000000
8,4500.0,42,36A123E1,32A501ED,00000000
8,4500.0,43,36A26A36,32A65017,00000000
8,4500.0,44,36A39AC9,32A787F9,00000000
8,4500.0,45,36A4B3EE,32A8A7DE,00000000
8,4500.0,46,36A5B30E,32A9AD1D,00000000
8,4500.0,47,36A693E1,32AA9355,00000000
8,4500.0,48,36A74E19,32AB5205,00000000
8,4500.0,49,36A7C5AC,32ABCC77,00000000
9,4500.0,1,00000000,00000000,00000000
9,4500.0,2,00000000,00000000,00000000
9,4500.0,3,341691A7,301A2EC0,00000000
9,4500.0,4,350683BF,3109BE35,00000000
9,4500.0,5,355A3D9F,315F7A7F,00000000
9,4500.0,6,35921102,31959271,00000000
9,4500.0,7,35B32E0F,31B77AF1,00000000
9,4500.0,8,35D13628,31D63B8E,00000000
9,4500.0,9,35ECB44E,31F2629E,00000000
9,4500.0,10,3603083F,32062D4F,00000000
9,4500.0,11,360ECD61,32123AC1,00000000
9,4500.0,12,3619C8F9,321D79D5,00000000
9,4500.0,13,36241435,3228044F,00000000
9,4500.0,14,362DC395,3231EF31,00000000
9,4500.0,15,3636E7FE,323B4BC5,00000000
9,4500.0,16,363F8F96,32442889,00000000
9,4500.0,17,3647C63C,324C91A6,00000000
9,4500.0,18,364F961D,32549186,00000000
9,4500.0,19,365707E6,325C310D,00000000
9,4500.0,20,365E231E,326377EE,00000000
9,4500.0,21,3664EE4B,326A6CD9,00000000
9,4500.0,22,366B6F22,327115A4,00000000
9,4500.0,23,3671AAA1,3277776E,00000000
9,4500.0,24,3677A531,327D96B9,00000000
9,4500.0,25,367D629F,3281BBB6,00000000
9,4500.0,26,3681731C,32848E73,00000000
9,4500.0,27,36841982,32874521,00000000
9,4500.0,28,3686A5D7,3289E11E,00000000
9,4500.0,29,3689194F,328C63A5,00000000
9,4500.0,30,368B74F1,328ECDC3,00000000
9,4500.0,31,368DB9AA,3291206D,00000000
9,4500.0,32,368FE849,32935C73,00000000
9,4500.0,33,3692017C,3295828B,00000000
9,4500.0,34,369405D8,3297934C,00000000
9,4500.0,35,3695F5D7,32998F33,00000000
9,4500.0,36,3697D1DB,329B76A3,00000000
9,4500.0,37,36999A26,329D49E1,00000000
9,4500.0,38,369B4277,329EFC61,00000000
9,4500.0,39,369CD7D3,32A09B78,00000000
9,4500.0,40,369E5A12,32A226FC,00000000
9,4500.0,41,369FC8EB,32A39EA3,00000000
9,4500.0,42,36A123E1,32A501ED,00000000
9,4500.0,43,36A26A36,32A65017,00000000
9,4500.0,44,36A39AC9,32A787F9,00000000
9,4500.0,45,36A4B3EE,32A8A7DE,00000000
9,4500.0,46,36A5B30E,32A9AD1D,00000000
9,4500.0,47,36A693E1,32AA9355,00000000
9,4500.0,48,36A74E19,32AB5205,00000000
9,4500.0,49,36A7C5AC,32ABCC77,00000000
10,4500.0,1,00000000,00000000,00000000
10,4500.0,2,00000000,00000000,00000000
10,4500.0,3,341013BE,301388F4,00000000
10,4500.0,4,350510E0,3108426F,00000000
10,4500.0,5,3558F16B,315E2651,00000000
10,4500.0,6,35917C01,3194F9DD,00000000
10,4500.0,7,35B2A870,31B6F21D,00000000
10,4500.0,8,35D0BE8B,31D5C112,00000000
10,4500.0,9,35EC4998,31F1F558,00000000
10,4500.0,10,3602D8DF,3205FCCC,00000000
10,4500.0,11,360EA393,32120FF3,00000000
10,4500.0,12,3619A464,321D545F,00000000
10,4500.0,13,3623F48C,3227E3E3,00000000
10,4500.0,14,362DA88F,3231D385,00000000
10,4500.0,15,3636D15B,323B3497,00000000
10,4500.0,16,363F7D1C,3244159E,00000000
10,4500.0,17,3647B7BA,324C82CB,00000000
10,4500.0,18,364F8B5C,32548683,00000000
10,4500.0,19,365700BB,325C29B6,00000000
10,4500.0,20,365E1F5D,32637416,00000000
10,4500.0,21,3664EDCB,326A6C55,00000000
10,4500.0,22,366B71BC,3271184E,00000000
10,4500.0,23,3671B02F,32777D1E,00000000
10,4500.0,24,3677AD8E,327D9F4A,00000000
10,4500.0,25,367D6DAD,3281C15F,00000000
10,4500.0,26,368179EE,3284956F,00000000
10,4500.0,27,36842192,32874D62,00000000
10,4500.0,28,3686AF19,3289EA99,00000000
10,4500.0,29,368923B6,328C6E4C,00000000
10,4500.0,30,368B8073,328ED98D,00000000
10,4500.0,31,368DBB91,3291225F,00000000
10,4500.0,32,368FE0F9,329354F7,00000000
10,4500.0,33,3691F15A,32957207,00000000
10,4500.0,34,3693ED48,32977A25,00000000
10,4500.0,35,3695D53A,32996DCD,00000000
10,4500.0,36,3697A990,329B4D60,00000000
10,4500.0,37,36996A8B,329D1922,00000000
10,4500.0,38,369B1854,329ED13B,00000000
10,4500.0,39,369CB2ED,32A075B0,00000000
10,4500.0,40,369E3A33,32A20659,00000000
10,4500.0,41,369FADD6,32A382E8,00000000
10,4500.0,42,36A10D59,32A4EADA,00000000
10,4500.0,43,36A257F9,32A63D6A,00000000
10,4500.0,44,36A38C93,32A7796C,00000000
10,4500.0,45,36A4A972,32A89D21,00000000
10,4500.0,46,36A5ABF7,32A9A5DA,00000000
10,4500.0,47,36A68FCA,32AA8F25,00000000
10,4500.0,48,36A74C7F,32AB5061,00000000
10,4500.0,49,36A7C5AC,32ABCC77,00000000
11,4500.0,1,00000000,00000000,00000000
11,4500.0,2,00000000,00000000,00000000
11,4500.0,3,34B687A9,2FBAE920,00000000
11,4500.0,4,35F206EC,30F7D5F0,00000000
11,4500.0,5,364DE26D,3152D361,00000000
11,4500.0,6,368C64B0,318FC344,00000000
11,4500.0,7,36ADF58E,31B2225C,00000000
11,4500.0,8,36CC669D,31D14E74,00000000
11,4500.0,9,36E844C5,31EDD7D4,00000000
11,4500.0,10,3700FCB0,3204152F,00000000
11,4500.0,11,370CEAC0,32104C8C,00000000
11,4500.0,12,37180C6D,321BB29D,00000000
11,4500.0,13,37227B38,32266181,00000000
11,4500.0,14,372C4BE3,32306E7A,00000000
11,4500.0,15,37358F8E,3239EB10,00000000
11,4500.0,16,373E548A,3242E5EE,00000000
11,4500.0,17,3746A6E4,324B6B69,00000000
11,4500.0,18,374E90E2,32538607,00000000
11,4500.0,19,37561B52,325B3ECB,00000000
11,4500.0,20,375D4DD3,32629D84,00000000
11,4500.0,21,37642F00,3269A8F6,00000000
11,4500.0,22,376AC4A1,3270670B,00000000
11,4500.0,23,377113C2,3276DCF0,00000000
11,4500.0,24,377720DC,327D0F37,00000000
11,4500.0,25,377CEFD7,328180F1,00000000
11,4500.0,26,37814209,32845C33,00000000
11,4500.0,27,3783F051,32871AF3,00000000
11,4500.0,28,37868420,3289BE97,00000000
11,4500.0,29,3788FEAA,328C485D,00000000
11,4500.0,30,378B6101,328EB959,00000000
11,4500.0,31,378DAC13,32911282,00000000
11,4500.0,32,378FE0B2,329354AE,00000000
11,4500.0,33,3791FF92,32958095,00000000
11,4500.0,34,3794094A,329796D3,00000000
11,4500.0,35,3795FE58,329997E8,00000000
11,4500.0,36,B81493EB,3392A2DC,32652EB4
11,4500.0,37,38E80D64,33163582,32417FFF
11,4500.0,38,3802779A,B0ABDD40,30C29DC7
11,4500.0,39,37FFC710,B12800B8,30A1F2E6
11,4500.0,40,37FB4900,31A33E0A,308D89DF
11,4500.0,41,37F6E32E,320B4849,3077A35A
11,4500.0,42,37F246F1,3210EDA9,30502C20
11,4500.0,43,37ED77D4,3215F998,3026A4DF
11,4500.0,44,37E89BA6,321A6AF0,2FF8B622
11,4500.0,45,37E3CEB0,321E4846,2F5C632A
11,4500.0,46,37E55A12,320277BD,00000000
11,4500.0,47,37B5BCE2,323BF918,00000000
11,4500.0,48,37B6771A,323D7677,00000000
11,4500.0,49,37B6EEAD,323E6B5B,00000000
12,4500.0,1,00000000,00000000,00000000
12,4500.0,2,00000000,00000000,00000000
12,4500.0,3,3504D0E5,300800EB,00000000
12,4500.0,4,360261BB,310582CC,00000000
12,4500.0,5,36565F46,315B8460,00000000
12,4500.0,6,36903FC1,3193B605,00000000
12,4500.0,7,36B177B2,31B5BA0E,00000000
12,4500.0,8,36CF983F,31D493B6,00000000
12,4500.0,9,36EB2CDA,31F0D1C4,00000000
12,4500.0,10,37024EF2,32056F8F,00000000
12,4500.0,11,370E1DE5,32118710,00000000
12,4500.0,12,371922D2,321CCFB0,00000000
12,4500.0,13,37237701,32276355,00000000
12,4500.0,14,372D2F08,32315713,00000000
12,4500.0,15,37365BDF,323ABC49,00000000
12,4500.0,16,373F0BBC,3243A185,00000000
12,4500.0,17,37474A8C,324C12FE,00000000
12,4500.0,18,374F2287,32541B2A,00000000
12,4500.0,19,37569C68,325BC2FA,00000000
12,4500.0,20,375DBFBA,32631227,00000000
12,4500.0,21,3764930F,326A0F6C,00000000
12,4500.0,22,376B1C21,3270C0A5,00000000
12,4500.0,23,37715FF1,32772AF3,00000000
12,4500.0,24,377762EF,327D52E0,00000000
12,4500.0,25,377D28BE,32819E14,00000000
12,4500.0,26,37815A0E,328474CB,00000000
12,4500.0,27,37840405,32872F20,00000000
12,4500.0,28,37869398,3289CE6F,00000000
12,4500.0,29,378909F5,328C53ED,00000000
12,4500.0,30,378B6826,328EC0AB,00000000
12,4500.0,31,378DAF17,32911599,00000000
12,4500.0,32,378FDF93,32935388,00000000
12,4500.0,33,3791FA4A,32957B2E,00000000
12,4500.0,34,3793FFD4,32978D23,00000000
12,4500.0,35,3795F0AA,329989E6,00000000
12,4500.0,36,3797CD30,329B71DB,00000000
12,4500.0,37,379995AD,329D454D,00000000
12,4500.0,38,379B4A4B,329F0466,00000000
12,4500.0,39,379CEB15,32A0AF30,00000000
12,4500.0,40,379E6B03,32A23855,00000000
12,4500.0,41,379FD78F,32A3ADA1,00000000
12,4500.0,42,37A13042,32A50E9A,00000000
12,4500.0,43,37A27461,32A65A80,00000000
12,4500.0,44,37A3A2D2,32A79033,00000000
12,4500.0,45,37A4B9EF,32A8AE03,00000000
12,4500.0,46,37A5B729,32A9B151,00000000
12,4500.0,47,37A69645,32AA95C8,00000000
12,4500.0,48,37A74F09,32AB52FB,00000000
12,4500.0,49,37A7C5AC,32ABCC77,00000000
13,4500.0,1,00000000,00000000,00000000
13,4500.0,2,00000000,00000000,00000000
13,4500.0,3,34E5B9B6,2FEB3D25,00000000
13,4500.0,4,35FC6501,310139DC,00000000
13,4500.0,5,3652735D,3157805F,00000000
13,4500.0,6,368E6796,3191D286,00000000
13,4500.0,7,36AFBA4E,31B3F1FA,00000000
13,4500.0,8,36CDF33D,31D2E499,00000000
13,4500.0,9,36E99E4A,31EF39A4,00000000
13,4500.0,10,3701920D,3204AE22,00000000
13,4500.0,11,370D6AB3,3210CF91,00000000
13,4500.0,12,371878B9,321C2182,00000000
13,4500.0,13,3722D57A,3226BDEE,00000000
13,4500.0,14,372C959E,3230B9FA,00000000
13,4500.0,15,3735CA28,323A2713,00000000
13,4500.0,16,373E815A,324313D1,00000000
13,4500.0,17,3746C72B,324B8C76,00000000
13,4500.0,18,374EA5D6,32539B7B,00000000
13,4500.0,19,37562621,325B49DC,00000000
13,4500.0,20,375D4F9B,32629F57,00000000
13,4500.0,21,376428D9,3269A2A9,00000000
13,4500.0,22,376AB79A,327059B5,00000000
13,4500.0,23,377100E4,3276C99E,00000000
13,4500.0,24,37770926,327CF6F0,00000000
13,4500.0,25,377CD418,328172BD,00000000
13,4500.0,26,37813235,32844BFD,00000000
13,4500.0,27,3783DE90,328708C5,00000000
13,4500.0,28,37867072,3289AA71,00000000
13,4500.0,29,3788E90B,328C3239,00000000
13,4500.0,30,378B4964,328EA12B,00000000
13,4500.0,31,378D9269,3290F83B,00000000
13,4500.0,32,378FC4E7,32933838,00000000
13,4500.0,33,3791E18E,329561D9,00000000
13,4500.0,34,3793E8F6,329775B9,00000000
13,4500.0,35,3795DB99,32997453,00000000
13,4500.0,36,3797B9DA,329B5E0F,00000000
13,4500.0,37,37998401,329D3334,00000000
13,4500.0,38,379B3A37,329EF3EF,00000000
13,4500.0,39,379CDC88,32A0A04A,00000000
13,4500.0,40,379E6B03,32A23855,00000000
13,4500.0,41,379FD78F,32A3ADA1,00000000
13,4500.0,42,37A13042,32A50E9A,00000000
13,4500.0,43,37A27461,32A65A80,00000000
13,4500.0,44,37A3A2D2,32A79033,00000000
13,4500.0,45,37A4B9EF,32A8AE03,00000000
13,4500.0,46,37A5B729,32A9B151,00000000
13,4500.0,47,37A69645,32AA95C8,00000000
13,4500.0,48,37A74F09,32AB52FB,00000000
13,4500.0,49,37A7C5AC,32ABCC77,00000000
14,4500.0,1,00000000,00000000,00000000
14,4500.0,2,00000000,00000000,00000000
14,4500.0,3,35163DC4,3019D8DA,00000000
14,4500.0,4,36066E1A,3109A80A,00000000
14,4500.0,5,365A2771,315F63C8,00000000
14,4500.0,6,369205B9,319586E3,00000000
14,4500.0,7,36B322A4,31B76F40,00000000
14,4500.0,8,36D12AA9,31D62FC8,00000000
14,4500.0,9,36ECA8C9,31F256D2,00000000
14,4500.0,10,37030287,32062774,00000000
14,4500.0,11,370EC7CB,32123509,00000000
14,4500.0,12,3719C3A0,321D745A,00000000
14,4500.0,13,37240F38,3227FF34,00000000
14,4500.0,14,372DBF19,3231EA99,00000000
14,4500.0,15,3736E42B,323B47DA,00000000
14,4500.0,16,373F8C93,32442574,00000000
14,4500.0,17,3747C43A,324C8F98,00000000
14,4500.0,18,374F9548,325490AD,00000000
14,4500.0,19,37570872,325C319C,00000000
14,4500.0,20,375E2540,32637A1D,00000000
14,4500.0,21,3764F23A,326A70DF,00000000
14,4500.0,22,376B7513,32711BB9,00000000
14,4500.0,23,3771B2CD,32777FCC,00000000
14,4500.0,24,3777AFCF,327DA199,00000000
14,4500.0,25,377D6FB6,3281C26A,00000000
14,4500.0,26,37817AAB,32849630,00000000
14,4500.0,27,378421D6,32874DA8,00000000
14,4500.0,28,3786AEAF,3289EA2C,00000000
14,4500.0,29,37892267,328C6CF5,00000000
14,4500.0,30,378B7E05,328ED70F,00000000
14,4500.0,31,378DC273,3291296C,00000000
14,4500.0,32,378FF07E,329364DC,00000000
14,4500.0,33,379208D7,32958A14,00000000
14,4500.0,34,37940C14,329799AF,00000000
14,4500.0,35,3795FAB0,32999429,00000000
14,4500.0,36,3797D50D,329B79E9,00000000
14,4500.0,37,37999B73,329D4B37,00000000
14,4500.0,38,379B4E0E,329F083F,00000000
14,4500.0,39,379CECE7,32A0B10D,00000000
14,4500.0,40,379E6C9D,32A239F9,00000000
14,4500.0,41,379FD8F2,32A3AF0C,00000000
14,4500.0,42,37A1316D,32A50FCC,00000000
14,4500.0,43,37A27557,32A65B7C,00000000
14,4500.0,44,37A3A394,32A790FA,00000000
14,4500.0,45,37A4BA7F,32A8AE97,00000000
14,4500.0,46,37A5B78C,32A9B1B6,00000000
14,4500.0,47,37A6967E,32AA9603,00000000
14,4500.0,48,37A74F20,32AB5313,00000000
14,4500.0,49,37A7C5AC,32ABCC77,00000000
15,4500.0,1,00000000,00000000,00000000
15,4500.0,2,00000000,00000000,00000000
15,4500.0,3,00000000,00000000,00000000
15,4500.0,4,00000000,00000000,00000000
15,4500.0,5,00000000,00000000,00000000
15,4500.0,6,00000000,00000000,00000000
15,4500.0,7,00000000,00000000,00000000
15,4500.0,8,00000000,00000000,00000000
15,4500.0,9,00000000,00000000,00000000
15,4500.0,10,00000000,00000000,00000000
15,4500.0,11,00000000,00000000,00000000
15,4500.0,12,00000000,00000000,00000000
15,4500.0,13,00000000,00000000,00000000
15,4500.0,14,00000000,00000000,00000000
15,4500.0,15,00000000,00000000,00000000
15,4500.0,16,00000000,00000000,00000000
15,4500.0,17,00000000,00000000,00000000
15,4500.0,18,00000000,00000000,00000000
15,4500.0,19,00000000,00000000,00000000
15,4500.0,20,00000000,00000000,00000000
15,4500.0,21,00000000,00000000,00000000
15,4500.0,22,00000000,00000000,00000000
15,4500.0,23,00000000,00000000,00000000
15,4500.0,24,00000000,00000000,00000000
15,4500.0,25,00000000,00000000,00000000
15,4500.0,26,00000000,00000000,00000000
15,4500.0,27,00000000,00000000,00000000
15,4500.0,28,00000000,00000000,00000000
15,4500.0,29,00000000,00000000,00000000
15,4500.0,30,00000000,00000000,00000000
15,4500.0,31,00000000,00000000,00000000
15,4500.0,32,00000000,00000000,00000000
15,4500.0,33,00000000,00000000,00000000
15,4500.0,34,00000000,00000000,00000000
15,4500.0,35,00000000,00000000,00000000
15,4500.0,36,00000000,00000000,00000000
15,4500.0,37,00000000,00000000,00000000
15,4500.0,38,00000000,00000000,00000000
15,4500.0,39,00000000,00000000,00000000
15,4500.0,40,00000000,00000000,00000000
15,4500.0,41,00000000,00000000,00000000
15,4500.0,42,00000000,00000000,00000000
15,4500.0,43,00000000,00000000,00000000
15,4500.0,44,00000000,00000000,00000000
15,4500.0,45,00000000,00000000,00000000
15,4500.0,46,00000000,00000000,00000000
15,4500.0,47,00000000,00000000,00000000
15,4500.0,48,00000000,00000000,00000000
15,4500.0,49,00000000,00000000,00000000
16,4500.0,1,00000000,00000000,00000000
16,4500.0,2,00000000,00000000,00000000
16,4500.0,3,00000000,00000000,00000000
16,4500.0,4,00000000,00000000,00000000
16,4500.0,5,00000000,00000000,00000000
16,4500.0,6,00000000,00000000,00000000
16,4500.0,7,00000000,00000000,00000000
16,4500.0,8,00000000,00000000,00000000
16,4500.0,9,00000000,00000000,00000000
16,4500.0,10,00000000,00000000,00000000
16,4500.0,11,00000000,00000000,00000000
16,4500.0,12,00000000,00000000,00000000
16,4500.0,13,00000000,00000000,00000000
16,4500.0,14,00000000,00000000,00000000
16,4500.0,15,00000000,00000000,00000000
16,4500.0,16,00000000,00000000,00000000
16,4500.0,17,00000000,00000000,00000000
16,4500.0,18,00000000,00000000,00000000
16,4500.0,19,00000000,00000000,00000000
16,4500.0,20,00000000,00000000,00000000
16,4500.0,21,00000000,00000000,00000000
16,4500.0,22,00000000,00000000,00000000
16,4500.0,23,00000000,00000000,00000000
16,4500.0,24,00000000,00000000,00000000
16,4500.0,25,00000000,00000000,00000000
16,4500.0,26,00000000,00000000,00000000
16,4500.0,27,00000000,00000000,00000000
16,4500.0,28,00000000,00000000,00000000
16,4500.0,29,00000000,00000000,00000000
16,4500.0,30,00000000,00000000,00000000
16,4500.0,31,00000000,00000000,00000000
16,4500.0,32,00000000,00000000,00000000
16,4500.0,33,00000000,00000000,00000000
16,4500.0,34,00000000,00000000,00000000
16,4500.0,35,00000000,00000000,00000000
16,4500.0,36,00000000,00000000,00000000
16,4500.0,37,00000000,00000000,00000000
16,4500.0,38,00000000,00000000,00000000
16,4500.0,39,00000000,00000000,00000000
16,4500.0,40,00000000,00000000,00000000
16,4500.0,41,00000000,00000000,00000000
16,4500.0,42,00000000,00000000,00000000
16,4500.0,43,00000000,00000000,00000000
16,4500.0,44,00000000,00000000,00000000
16,4500.0,45,00000000,00000000,00000000
16,4500.0,46,00000000,00000000,00000000
16,4500.0,47,00000000,00000000,00000000
16,4500.0,48,00000000,00000000,00000000
16,4500.0,49,00000000,00000000,00000000
17,4500.0,1,00000000,00000000,00000000
17,4500.0,2,00000000,00000000,00000000
17,4500.0,3,00000000,00000000,00000000
17,4500.0,4,00000000,00000000,00000000
17,4500.0,5,00000000,00000000,00000000
17,4500.0,6,00000000,00000000,00000000
17,4500.0,7,00000000,00000000,00000000
17,4500.0,8,00000000,00000000,00000000
17,4500.0,9,3504CB3E,3007FB21,00000000
17,4500.0,10,35DE23EC,30E378C0,00000000
17,4500.0,11,36372E34,313B93AA,00000000
17,4500.0,12,367A514E,318029A1,00000000
17,4500.0,13,369C8E36,31A05017,00000000
17,4500.0,14,36BA094C,31BE804E,00000000
17,4500.0,15,36D5CFC5,31DAF16D,00000000
17,4500.0,16,36F00EA4,31F5D18E,00000000
17,4500.0,17,370475D9,3207A3AF,00000000
17,4500.0,18,37104395,3213B9F1,00000000
17,4500.0,19,371B7E4B,321F39A5,00000000
17,4500.0,20,372631E5,322A2EFF,00000000
17,4500.0,21,373068B4,3234A490,00000000
17,4500.0,22,373A2BBE,323EA394,00000000
17,4500.0,23,374382E8,32483421,00000000
17,4500.0,24,374C752A,32515D5B,00000000
17,4500.0,25,375508A4,325A2586,00000000
17,4500.0,26,375D42CB,32629239,00000000
17,4500.0,27,3765286E,326AA861,00000000
17,4500.0,28,376CBDD1,32726C5C,00000000
17,4500.0,29,377406C4,3279E211,00000000
17,4500.0,30,377B0698,32808673,00000000
17,4500.0,31,3780E023,3283F7F2,00000000
17,4500.0,32,37841B30,328746D9,00000000
17,4500.0,33,37873593,328A744D,00000000
17,4500.0,34,378A3041,328D8149,00000000
17,4500.0,35,378D0C04,32906E9C,00000000
17,4500.0,36,378FC982,32933CF0,00000000
17,4500.0,37,37926935,3295ECC2,00000000
17,4500.0,38,3794EB6B,32987E62,00000000
17,4500.0,39,37975042,329AF1EE,00000000
17,4500.0,40,B808CEF3,32950492,3018418B
17,4500.0,41,380C3BF2,32A07C22,00000000
17,4500.0,42,38039343,32A26C5E,00000000
17,4500.0,43,37F697FA,32A43E25,00000000
17,4500.0,44,37E6E200,32A5EFFB,00000000
17,4500.0,45,37D81F64,32A77F9A,00000000
17,4500.0,46,37CA7471,32A8E96E,00000000
17,4500.0,47,37BE1662,32AA276C,00000000
17,4500.0,48,37B35F47,32AB2DB5,00000000
17,4500.0,49,37AB3CF7,32ABD386,00000000
18,4500.0,1,00000000,00000000,00000000
18,4500.0,2,00000000,00000000,00000000
18,4500.0,3,00000000,00000000,00000000
18,4500.0,4,00000000,00000000,00000000
18,4500.0,5,00000000,00000000,00000000
18,4500.0,6,00000000,00000000,00000000
18,4500.0,7,00000000,00000000,00000000
18,4500.0,8,34B0D4FE,2FB51373,00000000
18,4500.0,9,35CAF525,30CFD41E,00000000
18,4500.0,10,362E99C3,3132CA83,00000000
18,4500.0,11,367263F1,31783530,00000000
18,4500.0,12,3698C932,319C73E9,00000000
18,4500.0,13,36B65C9F,31BABD0D,00000000
18,4500.0,14,36D22885,31D733BB,00000000
18,4500.0,15,36EC5E89,31F20ACA,00000000
18,4500.0,16,37029412,3205B658,00000000
18,4500.0,17,370E5418,3211BE90,00000000
18,4500.0,18,37197E38,321D2D47,00000000
18,4500.0,19,37241F29,32280F86,00000000
18,4500.0,20,372E41EE,32327091,00000000
18,4500.0,21,3737F012,323C5A2F,00000000
18,4500.0,22,374131ED,3245D4EA,00000000
18,4500.0,23,374A0ECC,324EE83D,00000000
18,4500.0,24,37528D1C,32579ABD,00000000
18,4500.0,25,375AB28F,325FF23D,00000000
18,4500.0,26,3762842D,3267F3E5,00000000
18,4500.0,27,376A066B,326FA445,00000000
18,4500.0,28,37713D3C,32770769,00000000
18,4500.0,29,37782C25,327E20EA,00000000
18,4500.0,30,377ED637,328279F7,00000000
18,4500.0,31,37829F19,3285C1A3,00000000
18,4500.0,32,3785B33B,3288E8AF,00000000
18,4500.0,33,3788A889,328BF02B,00000000
18,4500.0,34,B8506960,32C4E034,3092D12F
18,4500.0,35,37F32802,3286A4E8,00000000
18,4500.0,36,37EC8E8B,328A5539,00000000
18,4500.0,37,37E603FE,328DE205,00000000
18,4500.0,38,37DF9D92,32914B3A,00000000
18,4500.0,39,37D95EEE,32949086,00000000
18,4500.0,40,37D34C18,3297B15D,00000000
18,4500.0,41,37CD699B,329AACD7,00000000
18,4500.0,42,37C7BC96,329D81AB,00000000
18,4500.0,43,37C24B15,32A02E05,00000000
18,4500.0,44,37BD1C62,32A2AF52,00000000
18,4500.0,45,37B839A7,32A501E6,00000000
18,4500.0,46,37B3AF00,32A72045,00000000
18,4500.0,47,37AF8DCE,32A901A0,00000000
18,4500.0,48,37ABF28D,32AA9566,00000000
18,4500.0,49,37A92343,32ABA668,00000000
1,9000.0,1,00000000,00000000,00000000
1,9000.0,2,BBD4764E,346DDA41,00000000
1,9000.0,3,3B132D9E,B12A56A3,33EDA35D
1,9000.0,4,3B1CB347,B19CED4C,33772E47
1,9000.0,5,3B17A38F,B207E3EE,32A84FF5
1,9000.0,6,3A891056,B3332D56,2BEC653C
