case,dx,k,ptenh,pqenh,pqsenh,ptu,pqu,plu,pmfu,pmfub_s,pqsen,pap,paph,pgeoh,pgeo,klab
1,1500.0,36,439172BC,3C634A93,3C7A8494,439172BC,3C634A93,00000000,00000000,3C0987C2,3C820045,47A45B0A,47A2B5F3,46816F8D,4675AA4E,0
1,1500.0,37,4391FF7C,3C706F3E,3C839B53,4391FF7C,3C706F3E,00000000,00000000,3C0987C2,3C88606D,47A79A06,47A60021,46687581,465BCCD2,0
1,1500.0,38,4392866D,3C7DA0AF,3C89EE74,4392866D,3C7DA0AF,00000000,00000000,3C0987C2,3C8EB548,47AAC205,47A933EB,464F2422,46430674,0
1,1500.0,39,43930794,3C8568A8,3C9035CD,43930794,3C8568A8,00000000,00000000,3C0987C2,3C94F87E,47ADD1BE,47AC501F,4636E8C8,462B55EF,0
1,1500.0,40,439382F0,3C8BF911,3C966AE9,439382F0,3C8BF911,00000000,00000000,3C0987C2,3C9B22D0,47B0C7B3,47AF535C,461FC317,4614BBFC,0
1,1500.0,41,4393F870,3C91E7A0,3C9C8691,4393F870,3C91E7A0,00000000,00000000,3C0987C2,3CA12C7D,47B3A227,47B23C0A,4609B4E1,45FE772C,0
1,1500.0,42,439467F8,3C977D49,3CA280C9,439467F8,3C977D49,00000000,00000000,3C0987C2,3CA70C84,47B65F04,47B50844,45E98497,45D5B4B1,0
1,1500.0,43,4394D15B,3C9CEBA9,3CA8506F,4394D15B,3C9CEBA9,00000000,00000000,3C0987C2,3CACB8C2,47B8FBC1,47B7B5C4,45C1E4CB,45AF427D,0
1,1500.0,44,43953459,3CA2291B,3CADEB3A,43953459,3CA2291B,00000000,00000000,3C0987C2,3CB224D5,47BB7530,47BA41BE,459CA02E,458B3BE2,0
1,1500.0,45,4395908F,3CA72989,3CB3446B,4395908F,3CA72989,00000000,00000000,3C0987C2,3CB74134,47BDC730,47BCA8A3,4573AF2C,45539398,0
1,1500.0,46,4395E569,3CABDDD9,3CB84BEC,4395B61A,3CB44622,3758C800,00000000,3C0987C2,3CBBF91E,47BFEC14,47BEE5BD,45337804,45165521,2
1,1500.0,47,43963206,3CB031B6,3CBCEC2C,43961CDA,3CB6E18D,322BCC77,00000000,3C0987C2,3CC02E29,47C1DB71,47C0F26C,44F2647A,44BF0A94,2
1,1500.0,48,43969592,3CB32FE1,3CC02E29,43967AD7,3CB9DE12,00000000,00000000,3C0987C2,3CC3AA28,47C386CA,47C2C476,448BB0AF,44425071,1
1,1500.0,49,4396A428,3CB8697E,3CC3AA28,4396DBED,3CBE633B,00000000,00000000,3C0987C2,3CC5C0E4,47C4C68E,47C4491D,43DA7F09,435A7F09,1
