case,dx,k,zmfd,zmfds,zmfdq,zdmfdp,ztd,zqd,pmfdde_rate,ztenh,zqenh
2,1500.0,9,00000000,00000000,00000000,00000000,436B7F71,397AD47A,00000000,436B7F71,397AD47A
2,1500.0,10,00000000,00000000,00000000,00000000,436F4F31,39A43180,00000000,436F4F31,39A43180
2,1500.0,11,00000000,00000000,00000000,00000000,4372D86B,39E217B0,00000000,4372D86B,39E217B0
2,1500.0,12,00000000,00000000,00000000,00000000,437624F3,3A1A9460,00000000,437624F3,3A1A9460
2,1500.0,13,00000000,00000000,00000000,00000000,43793CBC,3A4D4C3F,00000000,43793CBC,3A4D4C3F
2,1500.0,14,00000000,00000000,00000000,00000000,437C2513,3A853669,00000000,437C2513,3A853669
2,1500.0,15,00000000,00000000,00000000,00000000,437EE330,3AA9641D,00000000,437EE330,3AA9641D
2,1500.0,16,00000000,00000000,00000000,00000000,4380BEFF,3AD3018C,00000000,4380BEFF,3AD3018C
2,1500.0,17,00000000,00000000,00000000,00000000,4381FC9B,3B0123DE,00000000,4381FC9B,3B0123DE
2,1500.0,18,00000000,00000000,00000000,00000000,43832BE4,3B1BB403,00000000,43832BE4,3B1BB403
2,1500.0,19,00000000,00000000,00000000,00000000,43844E0C,3B3945C8,00000000,43844E0C,3B3945C8
2,1500.0,20,00000000,00000000,00000000,00000000,43856416,3B59E7BA,00000000,43856416,3B59E7BA
2,1500.0,21,00000000,00000000,00000000,00000000,43866EDC,3B7DA229,00000000,43866EDC,3B7DA229
2,1500.0,22,00000000,00000000,00000000,00000000,43876F21,3B923B5C,00000000,43876F21,3B923B5C
2,1500.0,23,00000000,00000000,00000000,00000000,4388656D,3BA72BAD,00000000,4388656D,3BA72BAD
2,1500.0,24,00000000,00000000,00000000,00000000,4389504C,3BBDB098,00000000,4389504C,3BBDB098
2,1500.0,25,00000000,00000000,00000000,00000000,438A311D,3BD5D78A,00000000,438A311D,3BD5D78A
2,1500.0,26,00000000,00000000,00000000,00000000,438B094B,3BED5601,00000000,438B094B,3BED5601
2,1500.0,27,00000000,00000000,00000000,00000000,438BD945,3C01F5AA,00000000,438BD945,3C01F5AA
2,1500.0,28,00000000,00000000,00000000,00000000,438CA172,3C0DAE42,00000000,438CA172,3C0DAE42
2,1500.0,29,00000000,00000000,00000000,00000000,438D6227,3C19CD54,00000000,438D6227,3C19CD54
2,1500.0,30,00000000,00000000,00000000,00000000,438E1BB9,3C264BA8,00000000,438E1BB9,3C264BA8
2,1500.0,31,00000000,00000000,00000000,00000000,438ECE68,3C332097,00000000,438ECE68,3C332097
2,1500.0,32,00000000,00000000,00000000,00000000,438F7A76,3C4043C4,00000000,438F7A76,3C4043C4
2,1500.0,33,00000000,00000000,00000000,00000000,43902013,3C4DAB61,00000000,43902013,3C4DAB61
2,1500.0,34,00000000,00000000,00000000,00000000,4390BF71,3C5B4DA2,00000000,4390BF71,3C5B4DA2
2,1500.0,35,00000000,00000000,00000000,00000000,439158B5,3C691FB8,00000000,439158B5,3C691FB8
2,1500.0,36,00000000,00000000,00000000,00000000,4391EBFC,3C77162E,00000000,4391EBFC,3C77162E
2,1500.0,37,00000000,00000000,00000000,00000000,43927960,3C829266,00000000,43927960,3C829266
2,1500.0,38,00000000,00000000,00000000,00000000,439300EC,3C899F06,00000000,439300EC,3C899F06
2,1500.0,39,00000000,00000000,00000000,00000000,439382AC,3C90A9DF,00000000,439382AC,3C90A9DF
2,1500.0,40,00000000,00000000,00000000,00000000,4393FE98,3C97AAE8,00000000,4393FE98,3C97AAE8
2,1500.0,41,00000000,00000000,00000000,00000000,439474A4,3C9E12A8,00000000,439474A4,3C9E12A8
2,1500.0,42,00000000,00000000,00000000,00000000,4394E4B2,3CA41B0B,00000000,4394E4B2,3CA41B0B
2,1500.0,43,00000000,00000000,00000000,00000000,43954E96,3CA9F918,00000000,43954E96,3CA9F918
2,1500.0,44,00000000,00000000,00000000,B7BA5555,4395B20D,3CAFA214,00000000,4395B20D,3CAFA214
2,1500.0,45,BE337778,C750E370,BB83442C,B83BDDEA,4395ED58,3CBB3EA1,00000000,43960EB6,3CB50949
2,1500.0,46,BE337778,C7507377,BB84BBE8,B82B8673,43961F6E,3CBD5698,80000000,439663FC,3CBA1E60
2,1500.0,47,BE337778,C7500D39,BB8612F5,B8175F7B,43964C6E,3CBF3FF0,80000000,4396B0FB,3CBECB55
2,1500.0,48,BE337778,C74FB2FF,BB8741B4,B7FB17EA,439673FD,3CC0EFCA,80000000,43971561,3CC215AE
