case,dx,k,prsl,ghtl,omg,tf,qvf,qcf,qif,uf,vf,qvftenz,thftenz,prsi,ghti
1,1500.0,40,47B0C7B3,44729580,BDF0D8B4,4393D48A,3C931C3C,00000000,00000000,40D97F3F,00000000,32A226FC,379E5A12,47AF535C,448248FA
1,1500.0,41,47B3A227,444F83E4,BDD0FAAA,4394463E,3C98F6C6,00000000,00000000,40D0C030,00000000,32A39EA3,379FC8EB,47B23C0A,4460990D
1,1500.0,42,47B65F04,442E46A1,BDB1D619,4394B1C7,3C9EAB8C,00000000,00000000,40C87A81,00000000,32A501ED,37A123E1,47B50844,443E6EBC
1,1500.0,43,47B8FBC1,440EEC5E,BD93A207,439516EC,3CA43087,00000000,00000000,40C0B2BE,00000000,32A65017,37A26A36,47B7B5C4,441E1E86
1,1500.0,44,47BB7530,43E316C6,BD6D379F,43957553,3CA9794D,00000000,00000000,40B96FC3,00000000,32A787F9,37A39AC9,47BA41BE,43FF746B
1,1500.0,45,47BDC730,43AC8A1B,BD36169C,4395CC77,3CAE7676,00000000,00000000,40B2BBCA,00000000,32A8A7DE,37A4B3EE,47BCA8A3,43C6B920
1,1500.0,46,47BFEC14,437530CF,BD029446,43961B8A,3CB31358,00000000,00000000,40ACA69F,00000000,32A9AD1D,37A5B30E,47BEE5BD,43925B16
1,1500.0,47,47C1DB71,431BCB0A,BCA74C5C,43966139,3CB731B1,00000000,00000000,40A74A69,00000000,32AA9355,37A693E1,47C0F26C,4345AB72
1,1500.0,48,47C386CA,429E7650,BC2B5A02,43969AF0,3CBA9BFC,00000000,00000000,40A2D9D6,00000000,32AB5205,37A74E19,47C2C476,42E3D546
1,1500.0,49,47C4C68E,41B22EB5,BB41B38D,4396C000,3CBCA8B6,00000000,00000000,40A00000,00000000,32ABCC77,37A7C5AC,47C4491D,42322EB5
2,1500.0,1,45C56DA0,46986446,80000000,43468000,36F52142,00000000,00000000,41CA7C65,00000000,00000000,00000000,459C4000,46A1FED9
2,1500.0,2,460BBE28,46881A9C,80000000,43468000,36AD284C,00000000,00000000,41C502AB,00000000,00000000,00000000,45EE9B40,468EC9B3
2,1500.0,3,46347860,467855B4,BC1138DF,434B9019,370CC54D,00000000,00000000,41C0B51F,00000000,3085D09A,3582ADB6,46202EB0,46816B84
2,1500.0,4,465CE468,46650492,BD11DC37,4352E4EE,379C70EC,00000000,00000000,41BD1924,00000000,3123CB36,361FF473,4648C210,466DD461
2,1500.0,5,46828094,46549716,BD91A17B,43593B0F,38139FF0,00000000,00000000,41B9FA8E,00000000,3177880C,3671BADC,467106C0,465C34C2
2,1500.0,6,469666B6,464640C2,BDDAE6B2,435ED2A6,3878DD17,00000000,00000000,41B739C6,00000000,31A0B775,369CF328,468C7DC8,464CF96B
2,1500.0,7,46AA2402,463981F2,BE11079E,4363D5B8,38C13BDD,00000000,00000000,41B4C21C,00000000,31C1D588,36BD4A87,46A04FA4,463F8819
2,1500.0,8,46BDB7DA,462E0530,BE32AF9D,4368615C,390D02D6,00000000,00000000,41B2853D,00000000,31DFDE72,36DA9F3B,46B3F860,46337BCB
2,1500.0,9,46D1219A,46238E3C,BE51DE9C,436C8A9C,3944163C,00000000,00000000,41B078CF,00000000,31FB5D3B,36F5790C,46C77754,46288E95
2,1500.0,10,46E46098,4619F0DF,BE6E3E50,43706136,3994EDC0,00000000,00000000,41AE9510,00000000,320A5CF7,37071EC9,46DACBE0,461E8DE3
2,1500.0,11,46F7741C,46110BA1,BE83D00B,4373F146,39DD8F6F,00000000,00000000,41ACD40D,00000000,3216223F,37129D72,46EDF550,461553DB
2,1500.0,12,47052DB5,4608C488,BE8EF85B,4377444D,3A1CB565,00000000,00000000,41AB3115,00000000,32211DE6,371D5733,47007974,460CC367
2,1500.0,13,470E8AE0,460106FC,BE9897FD,437A61EB,3A5515BB,00000000,00000000,41A9A869,00000000,322B6915,3727649E,4709E1F6,4604C5A9
2,1500.0,14,4717D12A,45F384C2,BEA0B5A0,437D5054,3A8C5087,00000000,00000000,41A836FA,00000000,3235184C,3730D9BA,471333CA,45FA90A0
2,1500.0,15,47210026,45E5D234,BEA75CB5,43800A52,3AB3F935,00000000,00000000,41A6DA44,00000000,323E3C74,3739C709,471C6E89,45EC78E3
2,1500.0,16,472A1768,45D8DFBC,BEAC9BFF,43815993,3AE1C4DA,00000000,00000000,41A5902C,00000000,3246E3AC,37423A56,472591C4,45DF2B85
2,1500.0,17,47331678,45CC9A68,BEB0847F,438297B8,3B0AF2A5,00000000,00000000,41A456EC,00000000,324F19DC,374A3F40,472E9D0C,45D293F2
2,1500.0,18,473BFCDA,45C0F230,BEB3289A,4383C64B,3B284012,00000000,00000000,41A32D01,00000000,3256E928,3751DFB1,47378FE4,45C6A0DE
2,1500.0,19,4744CA0D,45B5D95C,BEB49B98,4384E69C,3B48D744,00000000,00000000,41A2111F,00000000,325E5A43,37592425,474069D0,45BB4381
2,1500.0,20,474D7D88,45AB4420,BEB4F11F,4385F9D0,3B6CBF6F,00000000,00000000,41A10228,00000000,326574B1,376013F5,47492A4A,45B06F36
2,1500.0,21,475616BC,45A12844,BEB43CF7,438700E3,3B89FD05,00000000,00000000,419FFF21,00000000,326C3EFD,3766B583,4751D0C6,45A6190A
2,1500.0,22,475E9510,45977CE0,BEB292C4,4387FCB1,3B9F41B2,00000000,00000000,419F0732,00000000,3272BED7,376D0E5D,475A5CB1,459C377D
2,1500.0,23,4766F7E1,458E3A2D,BEB005CB,4388EDFE,3BB629BA,00000000,00000000,419E199C,00000000,3278F940,37732369,4762CD6E,4592C243
2,1500.0,24,476F3E84,45855952,BEACA8F3,4389D572,3BCEAE56,00000000,00000000,419D35B7,00000000,327EF2A2,3778F8F1,476B2254,4589B217
