case,dx,k,ptenh,pqenh,pqsenh,ptu,pqu,ptd,pqd,puu,pvu,pud,pvd,plu,klab
1,1500.0,41,4393F870,3C91E7A0,3C9C8691,4393F870,3C91E7A0,4393F870,3C91E7A0,40D97F3F,00000000,40D97F3F,00000000,00000000,0
1,1500.0,42,439467F8,3C977D49,3CA280C9,439467F8,3C977D49,439467F8,3C977D49,40D0C030,00000000,40D0C030,00000000,00000000,0
1,1500.0,43,4394D15B,3C9CEBA9,3CA8506F,4394D15B,3C9CEBA9,4394D15B,3C9CEBA9,40C87A81,00000000,40C87A81,00000000,00000000,0
1,1500.0,44,43953459,3CA2291B,3CADEB3A,43953459,3CA2291B,43953459,3CA2291B,40C0B2BE,00000000,40C0B2BE,00000000,00000000,0
1,1500.0,45,4395908F,3CA72989,3CB3446B,4395908F,3CA72989,4395908F,3CA72989,40B96FC3,00000000,40B96FC3,00000000,00000000,0
1,1500.0,46,4395E569,3CABDDD9,3CB84BEC,4395E569,3CABDDD9,4395E569,3CABDDD9,40B2BBCA,00000000,40B2BBCA,00000000,00000000,0
1,1500.0,47,43963206,3CB031B6,3CBCEC2C,43963206,3CB031B6,43963206,3CB031B6,40ACA69F,00000000,40ACA69F,00000000,00000000,0
1,1500.0,48,43969592,3CB32FE1,3CC02E29,43969592,3CB32FE1,43969592,3CB32FE1,40A74A69,00000000,40A74A69,00000000,00000000,0
1,1500.0,49,4396A428,3CB8697E,3CC3AA28,4396A428,3CB8697E,4396A428,3CB8697E,40A2D9D6,00000000,40A2D9D6,00000000,00000000,0
2,1500.0,1,43468000,36F520CD,00000000,43468000,36F520CD,43468000,36F520CD,41CA7C65,00000000,41CA7C65,00000000,00000000,0
2,1500.0,2,43526078,385C7CEA,386E427E,43526078,385C7CEA,43526078,385C7CEA,41CA7C65,00000000,41CA7C65,00000000,00000000,0
2,1500.0,3,434ECE7D,37BB3D2C,37D458DF,434ECE7D,37BB3D2C,434ECE7D,37BB3D2C,41C502AB,00000000,41C502AB,00000000,00000000,0
2,1500.0,4,43521392,37E17BA4,3807B190,43521392,37E17BA4,43521392,37E17BA4,41C0B51F,00000000,41C0B51F,00000000,00000000,0
2,1500.0,5,435850B1,384E563A,388544AB,435850B1,384E563A,435850B1,384E563A,41BD1924,00000000,41BD1924,00000000,00000000,0
2,1500.0,6,435DDC66,38A9D85F,38EB03D4,435DDC66,38A9D85F,435DDC66,38A9D85F,41B9FA8E,00000000,41B9FA8E,00000000,00000000,0
2,1500.0,7,4362D7D2,3901093A,393EBC11,4362D7D2,3901093A,4362D7D2,3901093A,41B739C6,00000000,41B739C6,00000000,00000000,0
2,1500.0,8,43675CD9,3938523A,39911B51,43675CD9,3938523A,43675CD9,3938523A,41B4C21C,00000000,41B4C21C,00000000,00000000,0
2,1500.0,9,436B7F71,397AD47A,39D1BE9D,436B7F71,397AD47A,436B7F71,397AD47A,41B2853D,00000000,41B2853D,00000000,00000000,0
2,1500.0,10,436F4F31,39A43180,3A1170B8,436F4F31,39A43180,436F4F31,39A43180,41B078CF,00000000,41B078CF,00000000,00000000,0
2,1500.0,11,4372D86B,39E217B0,3A42FA15,4372D86B,39E217B0,4372D86B,39E217B0,41AE9510,00000000,41AE9510,00000000,00000000,0
2,1500.0,12,437624F3,3A1A9460,3A7E20D5,437624F3,3A1A9460,437624F3,3A1A9460,41ACD40D,00000000,41ACD40D,00000000,00000000,0
2,1500.0,13,43793CBC,3A4D4C3F,3AA1BC94,43793CBC,3A4D4C3F,43793CBC,3A4D4C3F,41AB3115,00000000,41AB3115,00000000,00000000,0
2,1500.0,14,437C2513,3A853669,3ACA036E,437C2513,3A853669,437C2513,3A853669,41A9A869,00000000,41A9A869,00000000,00000000,0
2,1500.0,15,437EE330,3AA9641D,3AF90F87,437EE330,3AA9641D,437EE330,3AA9641D,41A836FA,00000000,41A836FA,00000000,00000000,0
2,1500.0,16,4380BEFF,3AD3018C,3B179A96,4380BEFF,3AD3018C,4380BEFF,3AD3018C,41A6DA44,00000000,41A6DA44,00000000,00000000,0
2,1500.0,17,4381FC9B,3B0123DE,3B362ACF,4381FC9B,3B0123DE,4381FC9B,3B0123DE,41A5902C,00000000,41A5902C,00000000,00000000,0
2,1500.0,18,43832BE4,3B1BB403,3B580671,43832BE4,3B1BB403,43832BE4,3B1BB403,41A456EC,00000000,41A456EC,00000000,00000000,0
2,1500.0,19,43844E0C,3B3945C8,3B7CD9DC,43844E0C,3B3945C8,43844E0C,3B3945C8,41A32D01,00000000,41A32D01,00000000,00000000,0
2,1500.0,20,43856416,3B59E7BA,3B9217D7,43856416,3B59E7BA,43856416,3B59E7BA,41A2111F,00000000,41A2111F,00000000,00000000,0
