case,dx,k,ptenh,pqenh,puen,pven,pten,pqsen,pgeo,pgeoh,paph,ptu,pqu,plu,puu,pvu,ptd_in,pqd_in,pmfd_in,pmfds_in,pmfdq_in,pdmfdp_in
1,1500.0,27,438B66C5,3BECA3BE,413B042A,00000000,438BE194,3C141482,4704DC21,47099116,4781B970,438D7A5C,3C3B0DB9,3B529952,4142E09A,00000000,438B66C5,3BECA3BE,00000000,00000000,00000000,00000000
1,1500.0,28,438C2E17,3C012B6C,41337525,00000000,438CA61A,3C1FD375,46F74124,4700272C,4785A886,438E1908,3C454AC3,3B41A6FC,413B042A,00000000,438C2E17,3C012B6C,00000000,00000000,00000000,00000000
1,1500.0,29,438CEDFC,3C0C67EE,412C3000,00000000,438D6320,3C2BD2A6,46E57F32,46EE33F1,478987B5,438EB1DD,3C4F920C,3B31BF82,41337525,00000000,438CEDFC,3C0C67EE,00000000,00000000,00000000,00000000
1,1500.0,30,438DA6C1,3C18008F,412531A0,00000000,438E18F6,3C3809DC,46D46A76,46DCCA74,478D5682,438F454D,3C59E489,3B22DB24,412C3000,00000000,438DA6C1,3C18008F,00000000,00000000,00000000,00000000
1,1500.0,31,438E58AB,3C23ED6A,411E7743,00000000,438EC7E3,3C4470A7,46C3FBED,46CC0A79,47911463,438FD3AC,3C644185,3B14EECC,412531A0,00000000,438E58AB,3C23ED6A,00000000,00000000,00000000,00000000
1,1500.0,32,438F03F8,3C30267C,4117FE88,00000000,438F7026,3C50FE74,46B42D6F,46BBED62,4794C0C7,43905D34,3C6EA6AD,3B07EBA1,411E7743,00000000,438F03F8,3C30267C,00000000,00000000,00000000,00000000
1,1500.0,33,438FA8DD,3C3CA2D9,4111C562,00000000,439011F4,3C5DAA30,46A4F9AC,46AC6D7C,47985B0D,4390E20B,3C790F71,3AF7816B,4117FE88,00000000,438FA8DD,3C3CA2D9,00000000,00000000,00000000,00000000
1,1500.0,34,43904787,3C495930,410BCA14,00000000,4390AD7A,3C6A6A6F,46965C1B,469D85DC,479BE286,4391623E,3C81BA9A,3AE0B405,4111C562,00000000,43904787,3C495930,00000000,00000000,00000000,00000000
1,1500.0,35,4390E01B,3C563F5F,41060B31,00000000,439142DD,3C77354C,468850F4,468F325A,479F5670,4391DDC9,3C86E757,3ACB44AC,410BCA14,00000000,4390E01B,3C563F5F,00000000,00000000,00000000,00000000
1,1500.0,36,439172BC,3C634A93,41008798,00000000,4391D23B,3C820045,4675AA4E,46816F8D,47A2B5F3,43925491,3C8C07FE,3AB70570,41060B31,00000000,439172BC,3C634A93,00000000,00000000,00000000,00000000
