case,dx,k,pcte,ztp1,ptte,ztt,pqte,zqq,zqp1,qcf,qif,uf,vf,pvom,pvol
1,1500.0,41,31852B5A,4394463E,3885B7FB,379FC8EB,B2F0AE3F,32A39EA3,3C9628FD,00000000,00000000,40D0C030,00000000,36A06D0A,00000000
1,1500.0,42,315FE485,4394B1C7,388BAFFF,37A123E1,B309B7D2,32A501ED,3C9BA7BE,00000000,00000000,40C87A81,00000000,37230E2D,00000000
1,1500.0,43,31333A70,439516EC,38489849,37A26A36,B306DBF4,32A65017,3CA0F6A3,00000000,00000000,40C0B2BE,00000000,B5CB9132,00000000
1,1500.0,44,3105BF1E,43957553,3838E383,37A39AC9,B22598C0,32A787F9,3CA609F3,00000000,00000000,40B96FC3,00000000,B4A77FA0,00000000
1,1500.0,45,306D07B3,4395CC77,382E9A8B,37A4B3EE,B2714990,32A8A7DE,3CAAD321,00000000,00000000,40B2BBCA,00000000,36083EC0,00000000
1,1500.0,46,00000000,43961B8A,3831F470,37A5B30E,B2DFEAB7,32A9AD1D,3CAF3EA8,00000000,00000000,40ACA69F,00000000,36E0F26C,00000000
1,1500.0,47,00000000,43966139,37A79679,37A693E1,B292819B,32AA9355,3CB32FE1,00000000,00000000,40A74A69,00000000,37966D48,00000000
1,1500.0,48,00000000,43969AF0,37849A42,37A74E19,B29DCD3B,32AB5205,3CB67400,00000000,00000000,40A2D9D6,00000000,37966D49,00000000
1,1500.0,49,00000000,4396C000,379CC8CC,37A7C5AC,B2C73DAD,32ABCC77,3CB8697E,00000000,00000000,40A00000,00000000,37966D49,00000000
2,1500.0,1,00000000,43468000,00000000,00000000,00000000,00000000,36F520CD,00000000,00000000,41CA7C65,00000000,00000000,00000000
2,1500.0,2,00000000,43468000,B9ED58D1,00000000,33505BA1,00000000,36AD2812,00000000,00000000,41C502AB,00000000,B908279B,00000000
2,1500.0,3,321A3909,434B9019,39F9D1A5,3582ADB6,303024A9,3085D09A,370CC500,00000000,00000000,41C0B51F,00000000,B5EAA92F,00000000
2,1500.0,4,325ABB85,4352E4EE,39352742,361FF473,2F0BA3F0,3123CB36,379C702D,00000000,00000000,41BD1924,00000000,B595AC65,00000000
2,1500.0,5,328F93C0,43593B0F,39C7834F,3671BADC,31205332,3177880C,38139E9C,00000000,00000000,41B9FA8E,00000000,B51A6870,00000000
2,1500.0,6,32B089F0,435ED2A6,39C6C572,369CF328,31880FC8,31A0B775,3878D94F,00000000,00000000,41B739C6,00000000,B3C8F437,00000000
2,1500.0,7,32CE2AC6,4363D5B8,39C5FDCD,36BD4A87,31D157BE,31C1D588,38C1374E,00000000,00000000,41B4C21C,00000000,34B9D925,00000000
2,1500.0,8,32E801A2,4368615C,39C4BDCC,36DA9F3B,3214837B,31DFDE72,390CFDFC,00000000,00000000,41B2853D,00000000,354A5FAB,00000000
2,1500.0,9,32FEEA28,436C8A9C,39C2F72C,36F5790C,324430AC,31FB5D3B,39440CD9,00000000,00000000,41B078CF,00000000,35986B38,00000000
2,1500.0,10,33010E69,43706136,39BE074C,37071EC9,321DFDC4,320A5CF7,3994E2EC,00000000,00000000,41AE9510,00000000,35FD888D,00000000
2,1500.0,11,32FAAA70,4373F146,39B8670E,37129D72,31D355A4,3216223F,39DD7779,00000000,00000000,41ACD40D,00000000,362F276D,00000000
2,1500.0,12,32EE6B22,4377444D,39B36081,371D5733,3142FD74,32211DE6,3A1C9D6D,00000000,00000000,41AB3115,00000000,3656492A,00000000
2,1500.0,13,32E15E85,437A61EB,39AF6365,3727649E,B10C4334,322B6915,3A54E96C,00000000,00000000,41A9A869,00000000,36762AC8,00000000
2,1500.0,14,32D6823B,437D5054,39AC3115,3730D9BA,B20DD8B6,3235184C,3A8C2A1E,00000000,00000000,41A836FA,00000000,3687CD3B,00000000
2,1500.0,15,32CD9AFB,43800A52,39A8E56F,3739C709,B281A3AD,323E3C74,3AB3BA08,00000000,00000000,41A6DA44,00000000,3691ED29,00000000
2,1500.0,16,32C5FBE3,43815993,39A6123C,37423A56,B2C5957A,3246E3AC,3AE16178,00000000,00000000,41A5902C,00000000,369A481A,00000000
2,1500.0,17,32BF1D62,438297B8,39A4191D,374A3F40,B308929B,324F19DC,3B0AA764,00000000,00000000,41A456EC,00000000,36A163E9,00000000
2,1500.0,18,32B89A91,4383C64B,39A2F4C8,3751DFB1,B3327EC4,3256E928,3B27D1C6,00000000,00000000,41A32D01,00000000,36A7973C,00000000
2,1500.0,19,32B226C0,4384E69C,39A26603,37592425,B3607401,325E5A43,3B483A2E,00000000,00000000,41A2111F,00000000,36AD0EA1,00000000
2,1500.0,20,32AB8936,4385F9D0,399F1C2E,376013F5,B389187B,326574B1,3B6BE547,00000000,00000000,41A10228,00000000,36B1E917,00000000
2,1500.0,21,32A4975A,438700E3,399AC6AB,3766B583,B3A39FDF,326C3EFD,3B8968E3,00000000,00000000,419FFF21,00000000,36B634D6,00000000
2,1500.0,22,329D31F2,4387FCB1,39966BD7,376D0E5D,B3BF4823,3272BED7,3B9E7C82,00000000,00000000,419F0732,00000000,36B9EB84,00000000
2,1500.0,23,32954F81,4388EDFE,39460C8E,37732369,B3DD006C,3278F940,3BB527EA,00000000,00000000,419E199C,00000000,36BD12B8,00000000
2,1500.0,24,328D8C19,4389D572,B8A3975B,3778F8F1,B3FC6708,327EF2A2,3BCD62B4,00000000,00000000,419D35B7,00000000,36BF6CB7,00000000
2,1500.0,25,327E0BD3,438AB3A4,B94FF623,377E92B2,B3FC01BA,32825766,3BE4FA2B,00000000,00000000,419C5AF1,00000000,36C0771F,00000000
2,1500.0,26,32639EBA,438B8914,396A0F20,3781F9FE,B3F69844,32851892,3BFBACC7,00000000,00000000,419B88C8,00000000,36C0786C,00000000
2,1500.0,27,324B3993,438C563B,39637EE3,37848FE3,B404DA8C,3287BE59,3C099F6F,00000000,00000000,419ABECA,00000000,36BFE68D,00000000
2,1500.0,28,3234BDA9,438D1B7E,395CE2DD,37870C57,B40DF0BC,328A4A13,3C15D0A4,00000000,00000000,4199FC8F,00000000,36BEC871,00000000
2,1500.0,29,32200EA8,438DD93C,39562C43,37897084,B416763E,328CBCF2,3C22625B,00000000,00000000,419941BD,00000000,36BD0ADD,00000000
2,1500.0,30,320D123C,438E8FC4,394F5EF4,378BBD70,B41E3D6D,328F1800,3C2F4BF9,00000000,00000000,41988E03,00000000,36BAC492,00000000
2,1500.0,31,31F75F47,438F3F60,394873C3,378DF402,B425317B,32915C2B,3C3C84D1,00000000,00000000,4197E11C,00000000,36B7E01D,00000000
2,1500.0,32,31D79F01,438FE84B,39416F23,37901502,B42B28E5,32938A40,3C4A0312,00000000,00000000,41973ACA,00000000,36B469BE,00000000
2,1500.0,33,31BAB743,43908ABD,393A47E9,3792211D,B43014A7,3295A2EF,3C57BCE1,00000000,00000000,41969AD8,00000000,36B06C1D,00000000
2,1500.0,34,31A07D92,439126E2,393309E9,379418E6,B433DB8A,3297A6CF,3C65A75B,00000000,00000000,4196011A,00000000,36ABDF99,00000000
2,1500.0,35,3188C91C,4391BCDF,392BB6F9,3795FCD2,B436720F,32999658,3C73B6F8,00000000,00000000,41956D6C,00000000,36A6DECF,00000000
2,1500.0,36,3166E264,43924CD2,39245BC3,3797CD41,B437D1A0,329B71ED,3C80EFC6,00000000,00000000,4194DFB0,00000000,36A17102,00000000
2,1500.0,37,31409DAB,4392D6CF,391D0197,37998A75,B437F694,329D39D0,3C8809E2,00000000,00000000,419457D2,00000000,369B9F72,00000000
2,1500.0,38,311E776B,43935AE2,3915B25E,379B3494,B436EF3F,329EEE29,3C8F22A3,00000000,00000000,4193D5C7,00000000,369589A5,00000000
2,1500.0,39,310020BB,4393D90C,390E7B50,379CCBA5,B434C384,32A08EFF,3C96321E,00000000,00000000,4193598D,00000000,368F3E0D,00000000
2,1500.0,40,30CBC00E,43945145,39077A52,379E4F86,B4221B5B,32A21C30,3C9CA8F0,00000000,00000000,4192E32E,00000000,3688D6FF,00000000
2,1500.0,41,309DB2FF,4394C375,39009804,379FBFEF,B41647C3,32A39570,3CA2C125,00000000,00000000,419272C0,00000000,36826BB8,00000000
2,1500.0,42,30699DCD,43952F75,38F3E629,37A11C64,B410CB3E,32A4FA41,3CA8AFE1,00000000,00000000,41920869,00000000,3678049D,00000000
2,1500.0,43,301FBB5C,4395950A,38E7431C,37A26423,B40AB417,32A649DE,3CAE6AB5,00000000,00000000,4191A464,00000000,366B8863,00000000
2,1500.0,44,2FB2BC60,4395F3DB,38EC6FBC,37A3960A,B4081EA6,32A7831D,3CB3E52E,00000000,00000000,41914709,00000000,369CDE74,00000000
2,1500.0,45,2E06AED8,43964B61,38B6F631,37A4B06D,B3FBDDB6,32A8A446,3CB90F7B,00000000,00000000,4190F0DC,00000000,35D4E4F3,00000000
2,1500.0,46,00000000,43969ACD,37DBF890,37A5B0AF,B30872DC,32A9AAAF,3CBDD48F,00000000,00000000,4190A2A8,00000000,36BC2716,00000000
2,1500.0,47,00000000,4396E0CC,381AD138,37A69282,B31AA78D,32AA91EE,3CC215AE,00000000,00000000,41905DBD,00000000,36BC2714,00000000
2,1500.0,48,00000000,43971AC5,3730C0C7,37A74D8F,B29E81C6,32AB5178,3CC59BD5,00000000,00000000,419024A8,00000000,36BC2714,00000000
2,1500.0,49,00000000,43974000,B8460E29,37A7C5AC,B3DCC970,32ABCC77,3CC7B8C5,00000000,00000000,41900000,00000000,36BC2715,00000000
3,1500.0,1,00000000,43468000,00000000,00000000,00000000,00000000,36F520CD,00000000,00000000,42263741,00000000,00000000,00000000
3,1500.0,2,00000000,43468000,B9E67C7E,00000000,3351DC4C,00000000,36AD2812,00000000,00000000,421886F0,00000000,BA2AB351,00000000
3,1500.0,3,321B4617,434B8FE0,39FBE79E,3643FBF7,3131FD52,3148B017,370CC08D,00000000,00000000,420DC514,00000000,B713C042,00000000
3,1500.0,4,325C20FD,4352E4B4,393B6AB1,36EFEA30,31A84E67,31F5AC39,379C6B8C,00000000,00000000,4204BF23,00000000,B6BCF7C8,00000000
3,1500.0,5,32906A22,43593AD2,39CC20F6,373549D7,32242B42,3239A3AD,38139A4C,00000000,00000000,41F9E55F,00000000,B64446C9,00000000
3,1500.0,6,32B176A9,435ED267,39CC76D1,376B6A5B,32656262,327110C0,3878D23C,00000000,00000000,41EC2179,00000000,B5090EC3,00000000
3,1500.0,7,32CF226E,4363D578,39CCAA57,378DF6AC,3295C271,32915EE6,38C13206,00000000,00000000,41DFCB2A,00000000,35E37BE4,00000000
3,1500.0,8,32E8FFA3,4368611A,39CC506D,37A3F62E,32BAE30E,32A7E58F,390CFA2E,00000000,00000000,41D49AD5,00000000,367AE439,00000000
3,1500.0,9,32FFEBD6,436C8A58,39CB5A13,37B81984,32E0A78D,32BC84A0,3944079E,00000000,00000000,41CA5CB1,00000000,36BD9B4E,00000000
