case,dx,k,ptenu,ptenv
4,1500.0,20,37F3F9D6,00000000
4,1500.0,21,37F9C75E,00000000
4,1500.0,22,37FED4F3,00000000
4,1500.0,23,38018E05,00000000
4,1500.0,24,38032458,00000000
4,1500.0,25,3803D6A3,00000000
4,1500.0,26,3803CFD5,00000000
4,1500.0,27,380370E1,00000000
4,1500.0,28,3802B9B9,00000000
4,1500.0,29,3801A74F,00000000
4,1500.0,30,38003922,00000000
4,1500.0,31,37FCDD56,00000000
4,1500.0,32,37F8919A,00000000
4,1500.0,33,37F39472,00000000
4,1500.0,34,37EDEE71,00000000
4,1500.0,35,37E7A9FE,00000000
4,1500.0,36,37E0D7BE,00000000
4,1500.0,37,37D98A25,00000000
4,1500.0,38,37D1D762,00000000
4,1500.0,39,37C9DC99,00000000
4,1500.0,40,37C1BD68,00000000
4,1500.0,41,37B98792,00000000
4,1500.0,42,37B156DA,00000000
4,1500.0,43,37A95C73,00000000
4,1500.0,44,37A1D986,00000000
4,1500.0,45,37D05E1D,00000000
4,1500.0,46,36BFD721,00000000
4,1500.0,47,37C465BA,00000000
4,1500.0,48,37C465BB,00000000
4,1500.0,49,37C465BB,00000000
5,1500.0,1,00000000,00000000
5,1500.0,2,BA280EE9,00000000
5,1500.0,3,B7141B68,00000000
5,1500.0,4,B6BE27D1,00000000
5,1500.0,5,B6477003,00000000
5,1500.0,6,B51872A6,00000000
5,1500.0,7,35DA5A8D,00000000
5,1500.0,8,3675ABC5,00000000
5,1500.0,9,36BAB3D4,00000000
5,1500.0,10,371ACB0F,00000000
5,1500.0,11,375701F8,00000000
5,1500.0,12,3783DA89,00000000
5,1500.0,13,3797B726,00000000
5,1500.0,14,37A77E67,00000000
5,1500.0,15,37B41FE7,00000000
5,1500.0,16,37BE9A77,00000000
5,1500.0,17,37C7902D,00000000
5,1500.0,18,37CF670A,00000000
5,1500.0,19,37D657C7,00000000
5,1500.0,20,37DC83FE,00000000
5,1500.0,21,37E1F63C,00000000
5,1500.0,22,37E6B22E,00000000
5,1500.0,23,37EAAC4E,00000000
5,1500.0,24,37ED98D1,00000000
5,1500.0,25,37EEE52B,00000000
5,1500.0,26,37EED54E,00000000
5,1500.0,27,37EE1612,00000000
5,1500.0,28,37ECA167,00000000
5,1500.0,29,37EA7657,00000000
5,1500.0,30,37E78E1F,00000000
5,1500.0,31,37E3ECF8,00000000
5,1500.0,32,37DF91CE,00000000
5,1500.0,33,37DA844E,00000000
5,1500.0,34,37D4CCCF,00000000
5,1500.0,35,37CE78FF,00000000
5,1500.0,36,37C79949,00000000
5,1500.0,37,37C042B6,00000000
5,1500.0,38,37B88C6A,00000000
5,1500.0,39,37B0933C,00000000
5,1500.0,40,37A87AAA,00000000
5,1500.0,41,37A052FD,00000000
5,1500.0,42,3798364C,00000000
5,1500.0,43,3801DF24,00000000
5,1500.0,44,361BB41D,00000000
5,1500.0,45,36DB1DD3,00000000
5,1500.0,46,37FBED5F,00000000
5,1500.0,47,37FBED5C,00000000
5,1500.0,48,37FBED5F,00000000
5,1500.0,49,37FBED5C,00000000
6,1500.0,1,00000000,00000000
6,1500.0,2,B905317F,00000000
6,1500.0,3,B988C8E1,00000000
6,1500.0,4,B8AFDDFC,00000000
6,1500.0,5,B620A4CC,00000000
6,1500.0,6,B4C110C7,00000000
6,1500.0,7,35A04632,00000000
6,1500.0,8,3630C7BA,00000000
6,1500.0,9,36859C5D,00000000
6,1500.0,10,36DFC316,00000000
6,1500.0,11,371B0C0D,00000000
6,1500.0,12,373DDB8D,00000000
6,1500.0,13,375A3306,00000000
6,1500.0,14,3770C1C9,00000000
6,1500.0,15,37815463,00000000
6,1500.0,16,3788B2A5,00000000
6,1500.0,17,378EF0D0,00000000
6,1500.0,18,3794601B,00000000
6,1500.0,19,37992985,00000000
6,1500.0,20,379D6896,00000000
6,1500.0,21,37A124B0,00000000
6,1500.0,22,37A46270,00000000
6,1500.0,23,37A71FFA,00000000
6,1500.0,24,37A92B0D,00000000
6,1500.0,25,37AA05C7,00000000
6,1500.0,26,37A9F043,00000000
6,1500.0,27,37A96263,00000000
6,1500.0,28,37A857EA,00000000
6,1500.0,29,37A6CF75,00000000
6,1500.0,30,37A4C53F,00000000
6,1500.0,31,37A23BF9,00000000
6,1500.0,32,379F31E4,00000000
6,1500.0,33,379BADAD,00000000
6,1500.0,34,3797B410,00000000
6,1500.0,35,37934CAD,00000000
6,1500.0,36,378E8588,00000000
6,1500.0,37,37896A30,00000000
6,1500.0,38,37840CD8,00000000
6,1500.0,39,377D0061,00000000
6,1500.0,40,3771B9BA,00000000
6,1500.0,41,37665C37,00000000
6,1500.0,42,375B0A56,00000000
6,1500.0,43,37500849,00000000
6,1500.0,44,378A8DF2,00000000
6,1500.0,45,36BC11B9,00000000
6,1500.0,46,37A62D49,00000000
6,1500.0,47,37A62D4B,00000000
6,1500.0,48,37A62D48,00000000
6,1500.0,49,37A62D49,00000000
7,1500.0,1,00000000,00000000
7,1500.0,2,BA2E3682,00000000
7,1500.0,3,B7184F0B,00000000
7,1500.0,4,B6C3AAD7,00000000
7,1500.0,5,B64D944F,00000000
7,1500.0,6,B51FC789,00000000
7,1500.0,7,35DEB057,00000000
7,1500.0,8,367B843C,00000000
7,1500.0,9,36BF5659,00000000
7,1500.0,10,3721562D,00000000
7,1500.0,11,37608C93,00000000
7,1500.0,12,3789B9B9,00000000
7,1500.0,13,379E6977,00000000
7,1500.0,14,37AED19F,00000000
7,1500.0,15,37BBD3F1,00000000
7,1500.0,16,37C682E7,00000000
