case,dx,k,pmfd,pmfds,pmfdq,pdmfdp,pdmfup,pmfdde_rate,pmfude_rate
2,1500.0,26,00000000,00000000,00000000,00000000,37001DC0,00000000,3A268573
2,1500.0,27,00000000,00000000,00000000,00000000,36F83D00,00000000,3A1E26A0
2,1500.0,28,00000000,00000000,00000000,00000000,36EFD400,00000000,3A15D731
2,1500.0,29,00000000,00000000,00000000,00000000,36E70000,00000000,3A0D95B5
2,1500.0,30,00000000,00000000,00000000,00000000,36DDC180,00000000,3A0561A9
2,1500.0,31,00000000,00000000,00000000,00000000,36D41F80,00000000,39FA7C67
2,1500.0,32,00000000,00000000,00000000,00000000,36CA2300,00000000,39EA5DEF
2,1500.0,33,00000000,00000000,00000000,00000000,36BFDC80,00000000,39DA73DB
2,1500.0,34,00000000,00000000,00000000,00000000,36B55E00,00000000,39CACC0C
2,1500.0,35,00000000,00000000,00000000,00000000,36AABE00,00000000,39BB76B8
2,1500.0,36,00000000,00000000,00000000,00000000,36A01580,00000000,39AC8549
2,1500.0,37,00000000,00000000,00000000,00000000,36957980,00000000,399E0856
2,1500.0,38,00000000,00000000,00000000,00000000,368AF900,00000000,399010CD
2,1500.0,39,00000000,00000000,00000000,00000000,36808700,00000000,3982ACFC
2,1500.0,40,00000000,00000000,00000000,00000000,366BD800,00000000,396CE0CD
2,1500.0,41,00000000,00000000,00000000,00000000,3655BE00,00000000,3955CB4E
2,1500.0,42,00000000,00000000,00000000,00000000,363CA500,00000000,393F9B45
2,1500.0,43,00000000,00000000,00000000,00000000,361AF600,00000000,392A6582
2,1500.0,44,00000000,00000000,00000000,00000000,35CB1800,00000000,39162E1A
2,1500.0,45,BB806D6A,3F835DE1,B4F8172F,00000000,B5867000,00000000,390B5165
2,1500.0,46,BB806D6A,4006F2D6,B5CEBDFC,00000000,B5758000,80000000,00000000
2,1500.0,47,BB806D6A,4045F00B,B469FDF6,00000000,B558A400,80000000,00000000
2,1500.0,48,BB806D6A,409ED7EB,35136FA0,00000000,B533B000,80000000,00000000
2,1500.0,49,BB806D6A,408D1554,362CED2B,00000000,00000000,80000000,00000000
3,1500.0,1,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3,1500.0,2,00000000,00000000,00000000,00000000,00000000,00000000,3C9036BF
3,1500.0,3,00000000,00000000,00000000,00000000,37140D95,00000000,3B00A4E5
3,1500.0,4,00000000,00000000,00000000,00000000,3755953F,00000000,3AF61200
3,1500.0,5,00000000,00000000,00000000,00000000,378DD7CE,00000000,3AEE4954
3,1500.0,6,00000000,00000000,00000000,00000000,37AFBA04,00000000,3AE87934
3,1500.0,7,00000000,00000000,00000000,00000000,37CDC518,00000000,3AE3E5FC
3,1500.0,8,00000000,00000000,00000000,00000000,37E6F0B4,00000000,3AE024DF
3,1500.0,9,00000000,00000000,00000000,00000000,37FBC690,00000000,3ADCF570
3,1500.0,10,00000000,00000000,00000000,00000000,37FD9640,00000000,3ACEF2D6
3,1500.0,11,00000000,00000000,00000000,00000000,37EEBE40,00000000,3ABFABD4
3,1500.0,12,00000000,00000000,00000000,00000000,37D8AA90,00000000,3AB271A8
3,1500.0,13,00000000,00000000,00000000,00000000,37D08F78,00000000,3AA6E415
3,1500.0,14,00000000,00000000,00000000,00000000,37D39640,00000000,3A9D22FC
3,1500.0,15,00000000,00000000,00000000,00000000,37D40E10,00000000,3A94F71B
3,1500.0,16,00000000,00000000,00000000,00000000,37D39000,00000000,3A8DD7E9
3,1500.0,17,00000000,00000000,00000000,00000000,37DF9410,00000000,3A875C55
3,1500.0,18,00000000,00000000,00000000,00000000,37E3BA60,00000000,3A813852
3,1500.0,19,00000000,00000000,00000000,00000000,37E4F6A0,00000000,3A766806
3,1500.0,20,00000000,00000000,00000000,00000000,37E2EB90,00000000,3A6A4FAC
3,1500.0,21,00000000,00000000,00000000,00000000,37DF0270,00000000,3A5DF013
3,1500.0,22,00000000,00000000,00000000,00000000,37DA28E0,00000000,3A51235A
3,1500.0,23,00000000,00000000,00000000,00000000,37D47280,00000000,3A43E436
3,1500.0,24,00000000,00000000,00000000,00000000,37CDE510,00000000,3A370923
3,1500.0,25,00000000,00000000,00000000,00000000,372DABC0,00000000,3A2CD28C
3,1500.0,26,00000000,00000000,00000000,00000000,37003D80,00000000,3A24A952
3,1500.0,27,00000000,00000000,00000000,00000000,36F88400,00000000,3A1C8FA9
3,1500.0,28,00000000,00000000,00000000,00000000,36F02600,00000000,3A148139
3,1500.0,29,00000000,00000000,00000000,00000000,36E75D00,00000000,3A0C7C46
3,1500.0,30,00000000,00000000,00000000,00000000,36DE2980,00000000,3A047FE0
3,1500.0,31,00000000,00000000,00000000,00000000,36D49180,00000000,39F91E56
3,1500.0,32,00000000,00000000,00000000,00000000,36CA9E00,00000000,39E95ACD
3,1500.0,33,00000000,00000000,00000000,00000000,36C05D00,00000000,39D9C0DD
3,1500.0,34,00000000,00000000,00000000,00000000,36B5E180,00000000,39CA5E87
3,1500.0,35,00000000,00000000,00000000,00000000,36AB4080,00000000,39BB43A8
3,1500.0,36,00000000,00000000,00000000,00000000,36A09280,00000000,39AC8232
3,1500.0,37,00000000,00000000,00000000,00000000,3695ED80,00000000,399E2B32
3,1500.0,38,00000000,00000000,00000000,00000000,368B6100,00000000,3990502E
3,1500.0,39,00000000,00000000,00000000,00000000,3680E200,00000000,39830056
3,1500.0,40,00000000,00000000,00000000,00000000,366C7C00,00000000,396D8627
3,1500.0,41,00000000,00000000,00000000,00000000,36565300,00000000,3956608B
3,1500.0,42,00000000,00000000,00000000,00000000,363D2900,00000000,39402105
3,1500.0,43,00000000,00000000,00000000,00000000,361B6200,00000000,392ADC74
3,1500.0,44,00000000,00000000,00000000,00000000,35CBA600,00000000,391696F0
3,1500.0,45,BB80C710,3F83BA61,B4F8C452,00000000,B586CE00,00000000,390BB2A5
3,1500.0,46,BB80C710,40075159,B5CF4E44,00000000,B5762800,80000000,00000000
3,1500.0,47,BB80C710,404678C9,B46AA0D8,00000000,B5593C00,80000000,00000000
3,1500.0,48,BB80C710,409F4786,3513D6AF,00000000,B5343000,80000000,00000000
3,1500.0,49,BB80C710,408D77DD,362D65F2,00000000,00000000,80000000,00000000
4,1500.0,1,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4,1500.0,2,00000000,00000000,00000000,00000000,00000000,00000000,3C9C2D4B
4,1500.0,3,00000000,00000000,00000000,00000000,37305346,00000000,3B0BA1D1
4,1500.0,4,00000000,00000000,00000000,00000000,377C96AA,00000000,3B05916A
4,1500.0,5,00000000,00000000,00000000,00000000,37A60F48,00000000,3B015C49
4,1500.0,6,00000000,00000000,00000000,00000000,37CB55F0,00000000,3AFC6FEF
4,1500.0,7,00000000,00000000,00000000,00000000,37EB63E0,00000000,3AF77E23
4,1500.0,8,00000000,00000000,00000000,00000000,3802DAD4,00000000,3AF36F57
4,1500.0,9,00000000,00000000,00000000,00000000,380DA08C,00000000,3AEFFE5B
4,1500.0,10,00000000,00000000,00000000,00000000,38092CC8,00000000,3AE0E894
4,1500.0,11,00000000,00000000,00000000,00000000,37FE8158,00000000,3AD01AAF
4,1500.0,12,00000000,00000000,00000000,00000000,37E39AC8,00000000,3AC18F17
4,1500.0,13,00000000,00000000,00000000,00000000,37E91BE0,00000000,3AB4DDB0
4,1500.0,14,00000000,00000000,00000000,00000000,37EB3940,00000000,3AAA3454
4,1500.0,15,00000000,00000000,00000000,00000000,37EB13E0,00000000,3AA14135
4,1500.0,16,00000000,00000000,00000000,00000000,37EE26C0,00000000,3A99709E
4,1500.0,17,00000000,00000000,00000000,00000000,37FD7250,00000000,3A9250B5
4,1500.0,18,00000000,00000000,00000000,00000000,37FDE1B0,00000000,3A8B8F9D
4,1500.0,19,00000000,00000000,00000000,00000000,37FE9B10,00000000,3A84F0D6
4,1500.0,20,00000000,00000000,00000000,00000000,37FB54C0,00000000,3A7C93C9
4,1500.0,21,00000000,00000000,00000000,00000000,37F6EF10,00000000,3A6EF8EA
4,1500.0,22,00000000,00000000,00000000,00000000,37F19960,00000000,3A60E781
4,1500.0,23,00000000,00000000,00000000,00000000,37EB6580,00000000,3A526ED2
4,1500.0,24,00000000,00000000,00000000,00000000,37E45E80,00000000,3A44839E
4,1500.0,25,00000000,00000000,00000000,00000000,37BB7510,00000000,3A397A0A
4,1500.0,26,00000000,00000000,00000000,00000000,370AD500,00000000,3A30D59F
4,1500.0,27,00000000,00000000,00000000,00000000,37069600,00000000,3A284768
4,1500.0,28,00000000,00000000,00000000,00000000,37022480,00000000,3A1FCA4D
4,1500.0,29,00000000,00000000,00000000,00000000,36FAFD80,00000000,3A175BF6
4,1500.0,30,00000000,00000000,00000000,00000000,36F14680,00000000,3A0EFA6D
4,1500.0,31,00000000,00000000,00000000,00000000,36E72A00,00000000,3A06A813
4,1500.0,32,00000000,00000000,00000000,00000000,36DCAD80,00000000,39FCCE6E
4,1500.0,33,00000000,00000000,00000000,00000000,36D1DE00,00000000,39EC79DB
4,1500.0,34,00000000,00000000,00000000,00000000,36C6CB80,00000000,39DC5E74
4,1500.0,35,00000000,00000000,00000000,00000000,36BB8880,00000000,39CC8A96
4,1500.0,36,00000000,00000000,00000000,00000000,36B02A00,00000000,39BD0ED1
4,1500.0,37,00000000,00000000,00000000,00000000,36A4C400,00000000,39ADFAA5
4,1500.0,38,00000000,00000000,00000000,00000000,36996280,00000000,399F5EAF
4,1500.0,39,00000000,00000000,00000000,00000000,368DFF80,00000000,39914924
4,1500.0,40,00000000,00000000,00000000,00000000,36827380,00000000,3984500A
4,1500.0,41,00000000,00000000,00000000,00000000,366D3000,00000000,39700368
4,1500.0,42,00000000,00000000,00000000,00000000,36539700,00000000,395835F8
4,1500.0,43,00000000,00000000,00000000,00000000,36346D00,00000000,39414BF7
4,1500.0,44,00000000,00000000,00000000,00000000,36066D00,00000000,392B47F6
4,1500.0,45,00000000,00000000,00000000,00000000,356A1800,00000000,391614DA
4,1500.0,46,BBCFD19F,3FC58868,B4E7B983,00000000,B5C7A200,00000000,3908CD00
4,1500.0,47,BBCFD19F,4049C5AB,B5C11A97,00000000,B5B0A000,80000000,00000000
4,1500.0,48,BBCFD19F,40C6BCC9,B402B33E,00000000,B5927600,80000000,00000000
4,1500.0,49,BBCFD19F,40AA7B32,365B6594,00000000,00000000,80000000,00000000
5,1500.0,1,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5,1500.0,2,00000000,00000000,00000000,00000000,00000000,00000000,3C8E054C
5,1500.0,3,00000000,00000000,00000000,00000000,371874CF,00000000,3AFE5A60
5,1500.0,4,00000000,00000000,00000000,00000000,375B6F0D,00000000,3AF3563C
5,1500.0,5,00000000,00000000,00000000,00000000,379128E8,00000000,3AEBB183
5,1500.0,6,00000000,00000000,00000000,00000000,37B2F612,00000000,3AE5FC9C
5,1500.0,7,00000000,00000000,00000000,00000000,37D0846C,00000000,3AE17F11
5,1500.0,8,00000000,00000000,00000000,00000000,37E90A4C,00000000,3ADDCFE0
5,1500.0,9,00000000,00000000,00000000,00000000,37FD3B50,00000000,3ADAAFF9
5,1500.0,10,00000000,00000000,00000000,00000000,37FA5950,00000000,3ACD8139
5,1500.0,11,00000000,00000000,00000000,00000000,37EA1088,00000000,3ABEA8F3
5,1500.0,12,00000000,00000000,00000000,00000000,37D2C0E8,00000000,3AB1CB8D
5,1500.0,13,00000000,00000000,00000000,00000000,37D16DE0,00000000,3AA69022
5,1500.0,14,00000000,00000000,00000000,00000000,37D3F4E0,00000000,3A9D24D1
5,1500.0,15,00000000,00000000,00000000,00000000,37D40CD0,00000000,3A9535EE
5,1500.0,16,00000000,00000000,00000000,00000000,37D3A940,00000000,3A8E3FD9
5,1500.0,17,00000000,00000000,00000000,00000000,37E43C60,00000000,3A87DE19
5,1500.0,18,00000000,00000000,00000000,00000000,37E47720,00000000,3A81C7F9
