case,dx,k,ptte
5,1500.0,16,39A5C42A
5,1500.0,17,39A4129B
5,1500.0,18,39A3045B
5,1500.0,19,39A292C9
5,1500.0,20,399E433A
5,1500.0,21,3999E088
5,1500.0,22,3995A66F
5,1500.0,23,39132FE1
5,1500.0,24,B935602A
5,1500.0,25,B87F24BD
5,1500.0,26,39688335
5,1500.0,27,39620304
5,1500.0,28,395B5FC2
5,1500.0,29,3954B379
5,1500.0,30,394DE8D9
5,1500.0,31,394701D2
5,1500.0,32,393FF708
5,1500.0,33,3938C98F
5,1500.0,34,3931884E
5,1500.0,35,392A2E67
5,1500.0,36,3922C497
5,1500.0,37,391B5FA8
5,1500.0,38,3914039C
5,1500.0,39,390CBD93
5,1500.0,40,3905A263
5,1500.0,41,38FD7460
5,1500.0,42,38F01612
5,1500.0,43,39017347
5,1500.0,44,38A918F7
5,1500.0,45,38A00FA1
5,1500.0,46,37C0EE9E
5,1500.0,47,37EDD2D4
5,1500.0,48,37964E7D
5,1500.0,49,37CEEA94
6,1500.0,1,00000000
6,1500.0,2,B9E19EE3
6,1500.0,3,B90FBB64
6,1500.0,4,3A00F70D
6,1500.0,5,39A22A77
6,1500.0,6,3A08849E
6,1500.0,7,398AD056
6,1500.0,8,398A2F23
6,1500.0,9,3989277F
6,1500.0,10,3985DA23
6,1500.0,11,39820A43
6,1500.0,12,397D522A
6,1500.0,13,3977FB9C
6,1500.0,14,3973C3BE
6,1500.0,15,396F5FE9
6,1500.0,16,396BA8A7
6,1500.0,17,39692B64
6,1500.0,18,3967CE02
6,1500.0,19,39674298
6,1500.0,20,3962BB96
6,1500.0,21,395CD442
6,1500.0,22,3956E604
6,1500.0,23,38FCE49D
6,1500.0,24,B9178087
6,1500.0,25,B7A78F11
6,1500.0,26,39289B7C
6,1500.0,27,392433B1
6,1500.0,28,391FBD25
6,1500.0,29,391B3A3B
6,1500.0,30,3916A36B
6,1500.0,31,3911F094
6,1500.0,32,390D2C53
6,1500.0,33,39084B7F
6,1500.0,34,39035AD8
6,1500.0,35,38FCB166
6,1500.0,36,38F296E4
6,1500.0,37,38E87245
6,1500.0,38,38DE5F82
6,1500.0,39,38D46E77
6,1500.0,40,38CAB944
6,1500.0,41,38C13121
6,1500.0,42,38B7FD64
6,1500.0,43,38AF36E4
6,1500.0,44,38B32515
6,1500.0,45,388D4551
6,1500.0,46,37CD4C36
6,1500.0,47,380692DF
6,1500.0,48,376278CE
6,1500.0,49,B7E4D2C4
7,1500.0,1,00000000
7,1500.0,2,B9E019A0
7,1500.0,3,3A010103
7,1500.0,4,393CD4E4
7,1500.0,5,39CDA489
7,1500.0,6,39CCB530
7,1500.0,7,39CBBE74
7,1500.0,8,39CA548B
7,1500.0,9,39C8599A
7,1500.0,10,39C316F7
7,1500.0,11,39BD27BC
7,1500.0,12,39B7E57D
7,1500.0,13,39B3BAD5
7,1500.0,14,39B05B63
7,1500.0,15,39ACE61B
7,1500.0,16,39A9F45A
7,1500.0,17,39A8016D
7,1500.0,18,39A6CF49
7,1500.0,19,39A63D79
7,1500.0,20,39A25E2D
7,1500.0,21,399DDD58
7,1500.0,22,39996937
7,1500.0,23,394205B1
7,1500.0,24,B8BF308D
7,1500.0,25,B94884F8
7,1500.0,26,396E694C
7,1500.0,27,3967CC4B
7,1500.0,28,39611EB6
7,1500.0,29,395A65F6
7,1500.0,30,3953891F
7,1500.0,31,394C9095
7,1500.0,32,394574DE
7,1500.0,33,393E3DBB
7,1500.0,34,3936E599
7,1500.0,35,392F7F26
7,1500.0,36,3927FE08
7,1500.0,37,39208195
7,1500.0,38,39190B2A
7,1500.0,39,3911AD6F
7,1500.0,40,390A737A
7,1500.0,41,39036875
7,1500.0,42,38F92E87
7,1500.0,43,38EC311E
7,1500.0,44,38F1A837
7,1500.0,45,38BA7E11
7,1500.0,46,37E008B2
7,1500.0,47,381DF0D2
7,1500.0,48,3732B053
7,1500.0,49,B84C2C6B
8,1500.0,1,00000000
8,1500.0,2,00000000
8,1500.0,3,343A5421
8,1500.0,4,350ED8CD
8,1500.0,5,35620C3A
8,1500.0,6,3595BCFA
8,1500.0,7,35B6A4DD
8,1500.0,8,35D47CB9
8,1500.0,9,35EFCEB7
8,1500.0,10,36048118
8,1500.0,11,36103351
8,1500.0,12,361B1D40
8,1500.0,13,362557E7
8,1500.0,14,362EF7A7
8,1500.0,15,36380D4A
8,1500.0,16,3640A6D9
8,1500.0,17,3648D028
8,1500.0,18,3650934C
8,1500.0,19,3657F8E6
8,1500.0,20,365F0870
8,1500.0,21,3665C867
8,1500.0,22,366C3E74
8,1500.0,23,36726F8E
8,1500.0,24,36786015
8,1500.0,25,367E13D0
8,1500.0,26,3681C707
8,1500.0,27,368468E9
8,1500.0,28,3686F0E3
8,1500.0,29,36896024
8,1500.0,30,368BB7B6
8,1500.0,31,368DF882
8,1500.0,32,36902356
8,1500.0,33,369238DF
8,1500.0,34,36942E7F
8,1500.0,35,3696105B
8,1500.0,36,3697DED1
8,1500.0,37,36999A22
8,1500.0,38,369B4276
8,1500.0,39,369CD7D3
8,1500.0,40,369E5A12
8,1500.0,41,369FC8EB
8,1500.0,42,36A123E1
8,1500.0,43,36A26A36
8,1500.0,44,36A39AC9
8,1500.0,45,36A4B3EE
8,1500.0,46,36A5B30E
8,1500.0,47,36A693E1
8,1500.0,48,36A74E19
8,1500.0,49,36A7C5AC
9,1500.0,1,00000000
9,1500.0,2,00000000
9,1500.0,3,341691A7
9,1500.0,4,350683BF
9,1500.0,5,355A3D9F
9,1500.0,6,35921102
9,1500.0,7,35B32E0F
9,1500.0,8,35D13628
9,1500.0,9,35ECB44E
9,1500.0,10,3603083F
9,1500.0,11,360ECD61
9,1500.0,12,3619C8F9
9,1500.0,13,36241435
9,1500.0,14,362DC395
9,1500.0,15,3636E7FE
9,1500.0,16,363F8F96
9,1500.0,17,3647C63C
9,1500.0,18,364F961D
9,1500.0,19,365707E6
9,1500.0,20,365E231E
9,1500.0,21,3664EE4B
9,1500.0,22,366B6F22
9,1500.0,23,3671AAA1
9,1500.0,24,3677A531
9,1500.0,25,367D629F
9,1500.0,26,3681731C
9,1500.0,27,36841982
9,1500.0,28,3686A5D7
9,1500.0,29,3689194F
9,1500.0,30,368B74F1
9,1500.0,31,368DB9AA
9,1500.0,32,368FE849
9,1500.0,33,3692017C
9,1500.0,34,369405D8
9,1500.0,35,3695F5D7
9,1500.0,36,3697D1DB
9,1500.0,37,36999A26
9,1500.0,38,369B4277
9,1500.0,39,369CD7D3
9,1500.0,40,369E5A12
9,1500.0,41,369FC8EB
9,1500.0,42,36A123E1
9,1500.0,43,36A26A36
9,1500.0,44,36A39AC9
9,1500.0,45,36A4B3EE
9,1500.0,46,36A5B30E
9,1500.0,47,36A693E1
9,1500.0,48,36A74E19
9,1500.0,49,36A7C5AC
10,1500.0,1,00000000
10,1500.0,2,00000000
10,1500.0,3,341013BE
10,1500.0,4,350510E0
10,1500.0,5,3558F16B
10,1500.0,6,35917C01
10,1500.0,7,35B2A870
10,1500.0,8,35D0BE8B
10,1500.0,9,35EC4998
10,1500.0,10,3602D8DF
10,1500.0,11,360EA393
10,1500.0,12,3619A464
10,1500.0,13,3623F48C
10,1500.0,14,362DA88F
10,1500.0,15,3636D15B
10,1500.0,16,363F7D1C
10,1500.0,17,3647B7BA
10,1500.0,18,364F8B5C
10,1500.0,19,365700BB
10,1500.0,20,365E1F5D
10,1500.0,21,3664EDCB
10,1500.0,22,366B71BC
10,1500.0,23,3671B02F
10,1500.0,24,3677AD8E
10,1500.0,25,367D6DAD
10,1500.0,26,368179EE
10,1500.0,27,36842192
10,1500.0,28,3686AF19
10,1500.0,29,368923B6
10,1500.0,30,368B8073
10,1500.0,31,368DBB91
10,1500.0,32,368FE0F9
10,1500.0,33,3691F15A
10,1500.0,34,3693ED48
10,1500.0,35,3695D53A
10,1500.0,36,3697A990
10,1500.0,37,36996A8B
10,1500.0,38,369B1854
10,1500.0,39,369CB2ED
10,1500.0,40,369E3A33
10,1500.0,41,369FADD6
10,1500.0,42,36A10D59
10,1500.0,43,36A257F9
10,1500.0,44,36A38C93
10,1500.0,45,36A4A972
10,1500.0,46,36A5ABF7
10,1500.0,47,36A68FCA
10,1500.0,48,36A74C7F
10,1500.0,49,36A7C5AC
11,1500.0,1,00000000
11,1500.0,2,00000000
11,1500.0,3,34B687A9
11,1500.0,4,35F206EC
11,1500.0,5,364DE26D
11,1500.0,6,368C64B0
11,1500.0,7,36ADF58E
11,1500.0,8,36CC669D
11,1500.0,9,36E844C5
11,1500.0,10,3700FCB0
11,1500.0,11,370CEAC0
