case,dx,zheat,zcape,zcape1,zcape2,ztauc,ztaubl,ztau,zmfub,zmfub1,zmfs,upbl,scale_fac,scale_fac2
6,9000.0,3FE4967F,450150E1,45018362,404A04BE,4472178C,42230370,456B2EFA,3F158E39,3E383079,3F800000,40E6DDB3,4078B1D4,3FFC5225
7,9000.0,3FB86545,45155C0D,45158EAD,404A81D8,446F6028,42231461,45688B6E,3F158E39,3E855B9F,3F800000,40E6DE70,4078B1D4,3FFC5225
8,9000.0,00000000,00000000,00000000,00000000,00000000,00000000,436926B7,3BB211F3,00000000,3F800000,00000000,4078B1D4,3FFC5225
9,9000.0,00000000,00000000,00000000,00000000,00000000,00000000,436926B7,3B798E49,00000000,3F800000,00000000,4078B1D4,3FFC5225
10,9000.0,00000000,00000000,00000000,00000000,00000000,00000000,436926B7,3BA4E4A3,00000000,3F800000,00000000,4078B1D4,3FFC5225
11,9000.0,00000000,00000000,00000000,00000000,00000000,00000000,436926B7,3C0987C2,3B8B8920,3F800000,46312590,4078B1D4,3FFC5225
12,9000.0,00000000,00000000,00000000,00000000,00000000,00000000,436926B7,3D109FA5,00000000,3F800000,00000000,4078B1D4,3FFC5225
13,9000.0,00000000,00000000,00000000,00000000,00000000,00000000,436926B7,3D0F34EF,00000000,3F800000,00000000,4078B1D4,3FFC5225
14,9000.0,00000000,00000000,00000000,00000000,00000000,00000000,436926B7,3D0F86FA,00000000,3F800000,00000000,4078B1D4,3FFC5225
15,9000.0,00000000,00000000,00000000,00000000,00000000,00000000,436926B7,00000000,00000000,3F800000,00000000,4078B1D4,3FFC5225
16,9000.0,00000000,00000000,00000000,00000000,00000000,00000000,436926B7,2EDBE6FF,00000000,3F800000,00000000,4078B1D4,3FFC5225
17,9000.0,00000000,00000000,00000000,00000000,00000000,00000000,436926B7,3C9636B1,3C9636B1,3F800000,00000000,4078B1D4,3FFC5225
18,9000.0,00000000,00000000,00000000,00000000,00000000,00000000,436926B7,3D007A5E,3D007A5E,3F800000,00000000,4078B1D4,3FFC5225
1,13500.0,3CE20CC2,449EF457,449F231E,3FBB1D33,446FDD51,41DDDF1A,44BE75AB,3C0987C2,3E81FCFA,3F800000,40E41352,3FCB458E,3FA14DAA
2,13500.0,3FB8CA1C,45123D70,45124FA7,3F91B5F6,446F4A51,416AB5E4,44BE00F2,3F158E39,3F1F776B,3F800000,41A057E3,3FCB458E,3FA14DAA
3,13500.0,3FB89DB9,45128098,45131865,4117CCFB,446F4ACE,42230370,44BE0155,3F158E39,3F1FE6BB,3F800000,40E6DDB3,3FCB458E,3FA14DAA
4,13500.0,3FA80031,452077E5,452077E5,00000000,4470F258,41DF282E,44BF51A3,3F08EBA5,3F2EFF08,3F800000,40E4197E,3FCB458E,3FA14DAA
5,13500.0,3FBB38C7,451093D4,45153AD6,4294E03E,446FB21D,446FB21D,44BE535D,3F158E39,3F1B579A,3F800000,00000000,3FCB458E,3FA14DAA
6,13500.0,3FE4967F,450150E1,45018362,404A04BE,4472178C,42230370,44C03A73,3F158E39,3EE15920,3F800000,40E6DDB3,3FCB458E,3FA14DAA
7,13500.0,3FB86545,45155C0D,45158EAD,404A81D8,446F6028,42231461,44BE1249,3F158E39,3F23286F,3F800000,40E6DE70,3FCB458E,3FA14DAA
8,13500.0,00000000,00000000,00000000,00000000,00000000,00000000,42BE9135,3BB211F3,00000000,3F800000,00000000,3FCB458E,3FA14DAA
9,13500.0,00000000,00000000,00000000,00000000,00000000,00000000,42BE9135,3B798E49,00000000,3F800000,00000000,3FCB458E,3FA14DAA
10,13500.0,00000000,00000000,00000000,00000000,00000000,00000000,42BE9135,3BA4E4A3,00000000,3F800000,00000000,3FCB458E,3FA14DAA
11,13500.0,00000000,00000000,00000000,00000000,00000000,00000000,42BE9135,3C0987C2,3BDA453B,3F800000,46312590,3FCB458E,3FA14DAA
12,13500.0,00000000,00000000,00000000,00000000,00000000,00000000,42BE9135,3D109FA5,00000000,3F800000,00000000,3FCB458E,3FA14DAA
13,13500.0,00000000,00000000,00000000,00000000,00000000,00000000,42BE9135,3D0F34EF,00000000,3F800000,00000000,3FCB458E,3FA14DAA
14,13500.0,00000000,00000000,00000000,00000000,00000000,00000000,42BE9135,3D0F86FA,00000000,3F800000,00000000,3FCB458E,3FA14DAA
15,13500.0,00000000,00000000,00000000,00000000,00000000,00000000,42BE9135,00000000,00000000,3F800000,00000000,3FCB458E,3FA14DAA
16,13500.0,00000000,00000000,00000000,00000000,00000000,00000000,42BE9135,2EDBE6FF,00000000,3F800000,00000000,3FCB458E,3FA14DAA
17,13500.0,00000000,00000000,00000000,00000000,00000000,00000000,42BE9135,3C9636B1,3C9636B1,3F800000,00000000,3FCB458E,3FA14DAA
18,13500.0,00000000,00000000,00000000,00000000,00000000,00000000,42BE9135,3D007A5E,3D007A5E,3F800000,00000000,3FCB458E,3FA14DAA
1,15000.0,3CE20CC2,449EF457,449F231E,3FBB1D33,446FDD51,41DDDF1A,448FDBD6,3C0987C2,3EAC1890,3F800000,40E41352,3F998937,3F800000
2,15000.0,3FB8CA1C,45123D70,45124FA7,3F91B5F6,446F4A51,416AB5E4,448F83AD,3F158E39,3F531F8D,3F800000,41A057E3,3F998937,3F800000
3,15000.0,3FB89DB9,45128098,45131865,4117CCFB,446F4ACE,42230370,448F83F8,3F158E39,3F53B2EC,3F800000,40E6DDB3,3F998937,3F800000
4,15000.0,3FA80031,452077E5,452077E5,00000000,4470F258,41DF282E,449081FC,3F08EBA5,3F67AF04,3F800000,40E4197E,3F998937,3F800000
5,15000.0,3FBB38C7,451093D4,45153AD6,4294E03E,446FB21D,446FB21D,448FC1ED,3F158E39,3F4DA9B9,3F800000,00000000,3F998937,3F800000
6,15000.0,3FE4967F,450150E1,45018362,404A04BE,4472178C,42230370,449131D5,3F158E39,3F152C55,3F800000,40E6DDB3,3F998937,3F800000
7,15000.0,3FB86545,45155C0D,45158EAD,404A81D8,446F6028,42231461,448F90C6,3F158E39,3F5802B2,3F800000,40E6DE70,3F998937,3F800000
8,15000.0,00000000,00000000,00000000,00000000,00000000,00000000,428FF0A4,3BB211F3,00000000,3F800000,00000000,3F998937,3F800000
9,15000.0,00000000,00000000,00000000,00000000,00000000,00000000,428FF0A4,3B798E49,00000000,3F800000,00000000,3F998937,3F800000
10,15000.0,00000000,00000000,00000000,00000000,00000000,00000000,428FF0A4,3BA4E4A3,00000000,3F800000,00000000,3F998937,3F800000
11,15000.0,00000000,00000000,00000000,00000000,00000000,00000000,428FF0A4,3C0987C2,3C0987C2,3F800000,46312590,3F998937,3F800000
12,15000.0,00000000,00000000,00000000,00000000,00000000,00000000,428FF0A4,3D109FA5,00000000,3F800000,00000000,3F998937,3F800000
13,15000.0,00000000,00000000,00000000,00000000,00000000,00000000,428FF0A4,3D0F34EF,00000000,3F800000,00000000,3F998937,3F800000
14,15000.0,00000000,00000000,00000000,00000000,00000000,00000000,428FF0A4,3D0F86FA,00000000,3F800000,00000000,3F998937,3F800000
15,15000.0,00000000,00000000,00000000,00000000,00000000,00000000,428FF0A4,00000000,00000000,3F800000,00000000,3F998937,3F800000
16,15000.0,00000000,00000000,00000000,00000000,00000000,00000000,428FF0A4,2EDBE6FF,00000000,3F800000,00000000,3F998937,3F800000
17,15000.0,00000000,00000000,00000000,00000000,00000000,00000000,428FF0A4,3C9636B1,3C9636B1,3F800000,00000000,3F998937,3F800000
