case,dx,k,paph,puen,pven,pmfu,pmfd,puu,pud,pvu,pvd,ptenu_in,ptenv_in
1,1500.0,49,47C4491D,40A00000,00000000,3B1D84F8,B9944DE3,40A2D9D6,40C1246E,00000000,80000000,00000000,00000000
2,1500.0,1,459C4000,41CA7C65,00000000,00000000,00000000,41CA7C65,41CA7C65,00000000,00000000,00000000,00000000
2,1500.0,2,45EE9B40,41C502AB,00000000,00000000,00000000,41CA7C65,41CA7C65,00000000,00000000,00000000,00000000
2,1500.0,3,46202EB0,41C0B51F,00000000,3C8FDFC8,00000000,41B53C84,41C502AB,00000000,00000000,00000000,00000000
2,1500.0,4,4648C210,41BD1924,00000000,3C9FEABC,00000000,41B25385,41C0B51F,00000000,00000000,00000000,00000000
2,1500.0,5,467106C0,41B9FA8E,00000000,3CAF42A3,00000000,41AFDDCE,41BD1924,00000000,00000000,00000000,00000000
2,1500.0,6,468C7DC8,41B739C6,00000000,3CBE1E45,00000000,41ADBAB6,41B9FA8E,00000000,00000000,00000000,00000000
2,1500.0,7,46A04FA4,41B4C21C,00000000,3CCC9D19,00000000,41ABD619,41B739C6,00000000,00000000,00000000,00000000
2,1500.0,8,46B3F860,41B2853D,00000000,3CDAD2D1,00000000,41AA2294,41B4C21C,00000000,00000000,00000000,00000000
2,1500.0,9,46C77754,41B078CF,00000000,3CE8CC63,00000000,41A896C8,41B2853D,00000000,00000000,00000000,00000000
2,1500.0,10,46DACBE0,41AE9510,00000000,3CF6928A,00000000,41A72BDE,41B078CF,00000000,00000000,00000000,00000000
2,1500.0,11,46EDF550,41ACD40D,00000000,3D01BD89,00000000,41A5DD1A,41AE9510,00000000,00000000,00000000,00000000
2,1500.0,12,47007974,41AB3115,00000000,3D07B89F,00000000,41A4A66B,41ACD40D,00000000,00000000,00000000,00000000
2,1500.0,13,4709E1F6,41A9A869,00000000,3D0D49CA,00000000,41A3847D,41AB3115,00000000,00000000,00000000,00000000
2,1500.0,14,471333CA,41A836FA,00000000,3D127CCF,00000000,41A274A2,41A9A869,00000000,00000000,00000000,00000000
2,1500.0,15,471C6E89,41A6DA44,00000000,3D175D9B,00000000,41A174A4,41A836FA,00000000,00000000,00000000,00000000
2,1500.0,16,472591C4,41A5902C,00000000,3D1BF53F,00000000,41A082A9,41A6DA44,00000000,00000000,00000000,00000000
2,1500.0,17,472E9D0C,41A456EC,00000000,3D204736,00000000,419F9D20,41A5902C,00000000,00000000,00000000,00000000
2,1500.0,18,47378FE4,41A32D01,00000000,3D245238,00000000,419EC2B0,41A456EC,00000000,00000000,00000000,00000000
