case,dx,k,pmfu,pmfd,paph
9,4500.0,2,00000000,00000000,45EE9B40
9,4500.0,3,00000000,00000000,46202EB0
9,4500.0,4,00000000,00000000,4648C210
9,4500.0,5,00000000,00000000,467106C0
9,4500.0,6,00000000,00000000,468C7DC8
9,4500.0,7,00000000,00000000,46A04FA4
9,4500.0,8,00000000,00000000,46B3F860
9,4500.0,9,00000000,00000000,46C77754
9,4500.0,10,00000000,00000000,46DACBE0
9,4500.0,11,00000000,00000000,46EDF550
9,4500.0,12,00000000,00000000,47007974
9,4500.0,13,00000000,00000000,4709E1F6
9,4500.0,14,00000000,00000000,471333CA
9,4500.0,15,00000000,00000000,471C6E89
9,4500.0,16,00000000,00000000,472591C4
9,4500.0,17,00000000,00000000,472E9D0C
9,4500.0,18,00000000,00000000,47378FE4
9,4500.0,19,00000000,00000000,474069D0
9,4500.0,20,00000000,00000000,47492A4A
9,4500.0,21,00000000,00000000,4751D0C6
9,4500.0,22,00000000,00000000,475A5CB1
9,4500.0,23,00000000,00000000,4762CD6E
9,4500.0,24,00000000,00000000,476B2254
9,4500.0,25,00000000,00000000,47735AB4
9,4500.0,26,00000000,00000000,477B75D0
9,4500.0,27,00000000,00000000,4781B970
9,4500.0,28,00000000,00000000,4785A886
9,4500.0,29,00000000,00000000,478987B5
9,4500.0,30,00000000,00000000,478D5682
9,4500.0,31,00000000,00000000,47911463
9,4500.0,32,00000000,00000000,4794C0C7
9,4500.0,33,00000000,00000000,47985B0D
9,4500.0,34,00000000,00000000,479BE286
9,4500.0,35,00000000,00000000,479F5670
9,4500.0,36,00000000,00000000,47A2B5F3
9,4500.0,37,00000000,00000000,47A60021
9,4500.0,38,00000000,00000000,47A933EB
9,4500.0,39,00000000,00000000,47AC501F
9,4500.0,40,00000000,00000000,47AF535C
9,4500.0,41,00000000,00000000,47B23C0A
9,4500.0,42,00000000,00000000,47B50844
9,4500.0,43,00000000,00000000,47B7B5C4
9,4500.0,44,00000000,00000000,47BA41BE
9,4500.0,45,00000000,00000000,47BCA8A3
9,4500.0,46,00000000,00000000,47BEE5BD
9,4500.0,47,00000000,00000000,47C0F26C
9,4500.0,48,00000000,00000000,47C2C476
9,4500.0,49,00000000,00000000,47C4491D
10,4500.0,1,00000000,00000000,459C4000
10,4500.0,2,00000000,00000000,45EE9B40
10,4500.0,3,00000000,00000000,46202EB0
10,4500.0,4,00000000,00000000,4648C210
10,4500.0,5,00000000,00000000,467106C0
10,4500.0,6,00000000,00000000,468C7DC8
10,4500.0,7,00000000,00000000,46A04FA4
10,4500.0,8,00000000,00000000,46B3F860
10,4500.0,9,00000000,00000000,46C77754
10,4500.0,10,00000000,00000000,46DACBE0
10,4500.0,11,00000000,00000000,46EDF550
10,4500.0,12,00000000,00000000,47007974
10,4500.0,13,00000000,00000000,4709E1F6
10,4500.0,14,00000000,00000000,471333CA
10,4500.0,15,00000000,00000000,471C6E89
10,4500.0,16,00000000,00000000,472591C4
10,4500.0,17,00000000,00000000,472E9D0C
10,4500.0,18,00000000,00000000,47378FE4
10,4500.0,19,00000000,00000000,474069D0
10,4500.0,20,00000000,00000000,47492A4A
10,4500.0,21,00000000,00000000,4751D0C6
10,4500.0,22,00000000,00000000,475A5CB1
10,4500.0,23,00000000,00000000,4762CD6E
10,4500.0,24,00000000,00000000,476B2254
10,4500.0,25,00000000,00000000,47735AB4
10,4500.0,26,00000000,00000000,477B75D0
10,4500.0,27,00000000,00000000,4781B970
10,4500.0,28,00000000,00000000,4785A886
10,4500.0,29,00000000,00000000,478987B5
10,4500.0,30,00000000,00000000,478D5682
10,4500.0,31,00000000,00000000,47911463
10,4500.0,32,00000000,00000000,4794C0C7
10,4500.0,33,00000000,00000000,47985B0D
10,4500.0,34,00000000,00000000,479BE286
10,4500.0,35,00000000,00000000,479F5670
10,4500.0,36,00000000,00000000,47A2B5F3
10,4500.0,37,00000000,00000000,47A60021
10,4500.0,38,00000000,00000000,47A933EB
10,4500.0,39,00000000,00000000,47AC501F
10,4500.0,40,00000000,00000000,47AF535C
10,4500.0,41,00000000,00000000,47B23C0A
10,4500.0,42,00000000,00000000,47B50844
10,4500.0,43,00000000,00000000,47B7B5C4
10,4500.0,44,00000000,00000000,47BA41BE
10,4500.0,45,00000000,00000000,47BCA8A3
10,4500.0,46,00000000,00000000,47BEE5BD
10,4500.0,47,00000000,00000000,47C0F26C
10,4500.0,48,00000000,00000000,47C2C476
10,4500.0,49,00000000,00000000,47C4491D
11,4500.0,1,00000000,00000000,459C4000
11,4500.0,2,00000000,00000000,45EE9B40
11,4500.0,3,00000000,00000000,46202EB0
11,4500.0,4,00000000,00000000,4648C210
11,4500.0,5,00000000,00000000,467106C0
11,4500.0,6,00000000,00000000,468C7DC8
11,4500.0,7,00000000,00000000,46A04FA4
11,4500.0,8,00000000,00000000,46B3F860
11,4500.0,9,00000000,00000000,46C77754
11,4500.0,10,00000000,00000000,46DACBE0
11,4500.0,11,00000000,00000000,46EDF550
11,4500.0,12,00000000,00000000,47007974
11,4500.0,13,00000000,00000000,4709E1F6
11,4500.0,14,00000000,00000000,471333CA
11,4500.0,15,00000000,00000000,471C6E89
11,4500.0,16,00000000,00000000,472591C4
11,4500.0,17,00000000,00000000,472E9D0C
11,4500.0,18,00000000,00000000,47378FE4
11,4500.0,19,00000000,00000000,474069D0
11,4500.0,20,00000000,00000000,47492A4A
11,4500.0,21,00000000,00000000,4751D0C6
11,4500.0,22,00000000,00000000,475A5CB1
11,4500.0,23,00000000,00000000,4762CD6E
11,4500.0,24,00000000,00000000,476B2254
11,4500.0,25,00000000,00000000,47735AB4
11,4500.0,26,00000000,00000000,477B75D0
11,4500.0,27,00000000,00000000,4781B970
11,4500.0,28,00000000,00000000,4785A886
11,4500.0,29,00000000,00000000,478987B5
11,4500.0,30,00000000,00000000,478D5682
11,4500.0,31,00000000,00000000,47911463
11,4500.0,32,00000000,00000000,4794C0C7
11,4500.0,33,00000000,00000000,47985B0D
11,4500.0,34,00000000,00000000,479BE286
11,4500.0,35,00000000,00000000,479F5670
11,4500.0,36,00000000,00000000,47A2B5F3
11,4500.0,37,3AFC6A1C,00000000,47A60021
11,4500.0,38,3B599942,00000000,47A933EB
11,4500.0,39,3B531AA1,00000000,47AC501F
11,4500.0,40,3B4C30BD,00000000,47AF535C
11,4500.0,41,3B450A3A,00000000,47B23C0A
11,4500.0,42,3B3DC1FF,00000000,47B50844
11,4500.0,43,3B367020,00000000,47B7B5C4
11,4500.0,44,3B2F2F3E,00000000,47BA41BE
11,4500.0,45,3B281CC4,00000000,47BCA8A3
11,4500.0,46,3B21599C,00000000,47BEE5BD
11,4500.0,47,3B21599C,00000000,47C0F26C
11,4500.0,48,3ABAABC3,00000000,47C2C476
11,4500.0,49,3A12759D,00000000,47C4491D
12,4500.0,1,00000000,00000000,459C4000
12,4500.0,2,00000000,00000000,45EE9B40
12,4500.0,3,00000000,00000000,46202EB0
12,4500.0,4,00000000,00000000,4648C210
12,4500.0,5,00000000,00000000,467106C0
12,4500.0,6,00000000,00000000,468C7DC8
12,4500.0,7,00000000,00000000,46A04FA4
12,4500.0,8,00000000,00000000,46B3F860
12,4500.0,9,00000000,00000000,46C77754
12,4500.0,10,00000000,00000000,46DACBE0
12,4500.0,11,00000000,00000000,46EDF550
12,4500.0,12,00000000,00000000,47007974
12,4500.0,13,00000000,00000000,4709E1F6
12,4500.0,14,00000000,00000000,471333CA
12,4500.0,15,00000000,00000000,471C6E89
12,4500.0,16,00000000,00000000,472591C4
12,4500.0,17,00000000,00000000,472E9D0C
12,4500.0,18,00000000,00000000,47378FE4
12,4500.0,19,00000000,00000000,474069D0
12,4500.0,20,00000000,00000000,47492A4A
12,4500.0,21,00000000,00000000,4751D0C6
12,4500.0,22,00000000,00000000,475A5CB1
12,4500.0,23,00000000,00000000,4762CD6E
12,4500.0,24,00000000,00000000,476B2254
12,4500.0,25,00000000,00000000,47735AB4
12,4500.0,26,00000000,00000000,477B75D0
12,4500.0,27,00000000,00000000,4781B970
12,4500.0,28,00000000,00000000,4785A886
12,4500.0,29,00000000,00000000,478987B5
12,4500.0,30,00000000,00000000,478D5682
12,4500.0,31,00000000,00000000,47911463
12,4500.0,32,00000000,00000000,4794C0C7
12,4500.0,33,00000000,00000000,47985B0D
12,4500.0,34,00000000,00000000,479BE286
12,4500.0,35,00000000,00000000,479F5670
12,4500.0,36,00000000,00000000,47A2B5F3
12,4500.0,37,00000000,00000000,47A60021
12,4500.0,38,00000000,00000000,47A933EB
12,4500.0,39,00000000,00000000,47AC501F
12,4500.0,40,00000000,00000000,47AF535C
12,4500.0,41,00000000,00000000,47B23C0A
12,4500.0,42,00000000,00000000,47B50844
12,4500.0,43,00000000,00000000,47B7B5C4
12,4500.0,44,00000000,00000000,47BA41BE
12,4500.0,45,00000000,00000000,47BCA8A3
12,4500.0,46,00000000,00000000,47BEE5BD
12,4500.0,47,00000000,00000000,47C0F26C
12,4500.0,48,00000000,00000000,47C2C476
12,4500.0,49,00000000,00000000,47C4491D
13,4500.0,1,00000000,00000000,459C4000
13,4500.0,2,00000000,00000000,45EE9B40
13,4500.0,3,00000000,00000000,46202EB0
13,4500.0,4,00000000,00000000,4648C210
13,4500.0,5,00000000,00000000,467106C0
13,4500.0,6,00000000,00000000,468C7DC8
13,4500.0,7,00000000,00000000,46A04FA4
13,4500.0,8,00000000,00000000,46B3F860
13,4500.0,9,00000000,00000000,46C77754
13,4500.0,10,00000000,00000000,46DACBE0
13,4500.0,11,00000000,00000000,46EDF550
13,4500.0,12,00000000,00000000,47007974
13,4500.0,13,00000000,00000000,4709E1F6
13,4500.0,14,00000000,00000000,471333CA
13,4500.0,15,00000000,00000000,471C6E89
13,4500.0,16,00000000,00000000,472591C4
13,4500.0,17,00000000,00000000,472E9D0C
13,4500.0,18,00000000,00000000,47378FE4
13,4500.0,19,00000000,00000000,474069D0
13,4500.0,20,00000000,00000000,47492A4A
13,4500.0,21,00000000,00000000,4751D0C6
13,4500.0,22,00000000,00000000,475A5CB1
13,4500.0,23,00000000,00000000,4762CD6E
13,4500.0,24,00000000,00000000,476B2254
13,4500.0,25,00000000,00000000,47735AB4
13,4500.0,26,00000000,00000000,477B75D0
13,4500.0,27,00000000,00000000,4781B970
13,4500.0,28,00000000,00000000,4785A886
13,4500.0,29,00000000,00000000,478987B5
13,4500.0,30,00000000,00000000,478D5682
13,4500.0,31,00000000,00000000,47911463
13,4500.0,32,00000000,00000000,4794C0C7
13,4500.0,33,00000000,00000000,47985B0D
13,4500.0,34,00000000,00000000,479BE286
13,4500.0,35,00000000,00000000,479F5670
13,4500.0,36,00000000,00000000,47A2B5F3
13,4500.0,37,00000000,00000000,47A60021
13,4500.0,38,00000000,00000000,47A933EB
13,4500.0,39,00000000,00000000,47AC501F
13,4500.0,40,00000000,00000000,47AF535C
13,4500.0,41,00000000,00000000,47B23C0A
13,4500.0,42,00000000,00000000,47B50844
13,4500.0,43,00000000,00000000,47B7B5C4
13,4500.0,44,00000000,00000000,47BA41BE
13,4500.0,45,00000000,00000000,47BCA8A3
13,4500.0,46,00000000,00000000,47BEE5BD
13,4500.0,47,00000000,00000000,47C0F26C
13,4500.0,48,00000000,00000000,47C2C476
13,4500.0,49,00000000,00000000,47C4491D
14,4500.0,1,00000000,00000000,459C4000
14,4500.0,2,00000000,00000000,45EE9B40
14,4500.0,3,00000000,00000000,46202EB0
14,4500.0,4,00000000,00000000,4648C210
14,4500.0,5,00000000,00000000,467106C0
14,4500.0,6,00000000,00000000,468C7DC8
14,4500.0,7,00000000,00000000,46A04FA4
14,4500.0,8,00000000,00000000,46B3F860
14,4500.0,9,00000000,00000000,46C77754
14,4500.0,10,00000000,00000000,46DACBE0
14,4500.0,11,00000000,00000000,46EDF550
14,4500.0,12,00000000,00000000,47007974
14,4500.0,13,00000000,00000000,4709E1F6
14,4500.0,14,00000000,00000000,471333CA
14,4500.0,15,00000000,00000000,471C6E89
14,4500.0,16,00000000,00000000,472591C4
14,4500.0,17,00000000,00000000,472E9D0C
14,4500.0,18,00000000,00000000,47378FE4
14,4500.0,19,00000000,00000000,474069D0
14,4500.0,20,00000000,00000000,47492A4A
14,4500.0,21,00000000,00000000,4751D0C6
14,4500.0,22,00000000,00000000,475A5CB1
14,4500.0,23,00000000,00000000,4762CD6E
14,4500.0,24,00000000,00000000,476B2254
14,4500.0,25,00000000,00000000,47735AB4
14,4500.0,26,00000000,00000000,477B75D0
14,4500.0,27,00000000,00000000,4781B970
14,4500.0,28,00000000,00000000,4785A886
14,4500.0,29,00000000,00000000,478987B5
14,4500.0,30,00000000,00000000,478D5682
14,4500.0,31,00000000,00000000,47911463
14,4500.0,32,00000000,00000000,4794C0C7
14,4500.0,33,00000000,00000000,47985B0D
14,4500.0,34,00000000,00000000,479BE286
14,4500.0,35,00000000,00000000,479F5670
14,4500.0,36,00000000,00000000,47A2B5F3
14,4500.0,37,00000000,00000000,47A60021
14,4500.0,38,00000000,00000000,47A933EB
14,4500.0,39,00000000,00000000,47AC501F
14,4500.0,40,00000000,00000000,47AF535C
14,4500.0,41,00000000,00000000,47B23C0A
14,4500.0,42,00000000,00000000,47B50844
14,4500.0,43,00000000,00000000,47B7B5C4
14,4500.0,44,00000000,00000000,47BA41BE
14,4500.0,45,00000000,00000000,47BCA8A3
14,4500.0,46,00000000,00000000,47BEE5BD
14,4500.0,47,00000000,00000000,47C0F26C
14,4500.0,48,00000000,00000000,47C2C476
14,4500.0,49,00000000,00000000,47C4491D
15,4500.0,1,00000000,00000000,459C4000
15,4500.0,2,00000000,00000000,45EE9B40
15,4500.0,3,00000000,00000000,46202EB0
15,4500.0,4,00000000,00000000,4648C210
15,4500.0,5,00000000,00000000,467106C0
15,4500.0,6,00000000,00000000,468C7DC8
15,4500.0,7,00000000,00000000,46A04FA4
15,4500.0,8,00000000,00000000,46B3F860
15,4500.0,9,00000000,00000000,46C77754
15,4500.0,10,00000000,00000000,46DACBE0
15,4500.0,11,00000000,00000000,46EDF550
15,4500.0,12,00000000,00000000,47007974
15,4500.0,13,00000000,00000000,4709E1F6
15,4500.0,14,00000000,00000000,471333CA
15,4500.0,15,00000000,00000000,471C6E89
15,4500.0,16,00000000,00000000,472591C4
15,4500.0,17,00000000,00000000,472E9D0C
15,4500.0,18,00000000,00000000,47378FE4
15,4500.0,19,00000000,00000000,474069D0
15,4500.0,20,00000000,00000000,47492A4A
15,4500.0,21,00000000,00000000,4751D0C6
15,4500.0,22,00000000,00000000,475A5CB1
15,4500.0,23,00000000,00000000,4762CD6E
15,4500.0,24,00000000,00000000,476B2254
15,4500.0,25,00000000,00000000,47735AB4
15,4500.0,26,00000000,00000000,477B75D0
15,4500.0,27,00000000,00000000,4781B970
15,4500.0,28,00000000,00000000,4785A886
15,4500.0,29,00000000,00000000,478987B5
15,4500.0,30,00000000,00000000,478D5682
15,4500.0,31,00000000,00000000,47911463
15,4500.0,32,00000000,00000000,4794C0C7
15,4500.0,33,00000000,00000000,47985B0D
15,4500.0,34,00000000,00000000,479BE286
15,4500.0,35,00000000,00000000,479F5670
15,4500.0,36,00000000,00000000,47A2B5F3
15,4500.0,37,00000000,00000000,47A60021
15,4500.0,38,00000000,00000000,47A933EB
15,4500.0,39,00000000,00000000,47AC501F
15,4500.0,40,00000000,00000000,47AF535C
15,4500.0,41,00000000,00000000,47B23C0A
15,4500.0,42,00000000,00000000,47B50844
15,4500.0,43,00000000,00000000,47B7B5C4
15,4500.0,44,00000000,00000000,47BA41BE
15,4500.0,45,00000000,00000000,47BCA8A3
15,4500.0,46,00000000,00000000,47BEE5BD
15,4500.0,47,00000000,00000000,47C0F26C
15,4500.0,48,00000000,00000000,47C2C476
15,4500.0,49,00000000,00000000,47C4491D
16,4500.0,1,00000000,00000000,459C4000
16,4500.0,2,00000000,00000000,45EE9B40
16,4500.0,3,00000000,00000000,46202EB0
16,4500.0,4,00000000,00000000,4648C210
16,4500.0,5,00000000,00000000,467106C0
16,4500.0,6,00000000,00000000,468C7DC8
16,4500.0,7,00000000,00000000,46A04FA4
16,4500.0,8,00000000,00000000,46B3F860
16,4500.0,9,00000000,00000000,46C77754
16,4500.0,10,00000000,00000000,46DACBE0
16,4500.0,11,00000000,00000000,46EDF550
16,4500.0,12,00000000,00000000,47007974
16,4500.0,13,00000000,00000000,4709E1F6
16,4500.0,14,00000000,00000000,471333CA
16,4500.0,15,00000000,00000000,471C6E89
16,4500.0,16,00000000,00000000,472591C4
16,4500.0,17,00000000,00000000,472E9D0C
16,4500.0,18,00000000,00000000,47378FE4
16,4500.0,19,00000000,00000000,474069D0
16,4500.0,20,00000000,00000000,47492A4A
16,4500.0,21,00000000,00000000,4751D0C6
16,4500.0,22,00000000,00000000,475A5CB1
16,4500.0,23,00000000,00000000,4762CD6E
16,4500.0,24,00000000,00000000,476B2254
16,4500.0,25,00000000,00000000,47735AB4
16,4500.0,26,00000000,00000000,477B75D0
16,4500.0,27,00000000,00000000,4781B970
16,4500.0,28,00000000,00000000,4785A886
16,4500.0,29,00000000,00000000,478987B5
16,4500.0,30,00000000,00000000,478D5682
16,4500.0,31,00000000,00000000,47911463
16,4500.0,32,00000000,00000000,4794C0C7
16,4500.0,33,00000000,00000000,47985B0D
16,4500.0,34,00000000,00000000,479BE286
16,4500.0,35,00000000,00000000,479F5670
16,4500.0,36,00000000,00000000,47A2B5F3
16,4500.0,37,00000000,00000000,47A60021
16,4500.0,38,00000000,00000000,47A933EB
16,4500.0,39,00000000,00000000,47AC501F
16,4500.0,40,00000000,00000000,47AF535C
16,4500.0,41,00000000,00000000,47B23C0A
16,4500.0,42,00000000,00000000,47B50844
16,4500.0,43,00000000,00000000,47B7B5C4
16,4500.0,44,00000000,00000000,47BA41BE
16,4500.0,45,00000000,00000000,47BCA8A3
16,4500.0,46,00000000,00000000,47BEE5BD
16,4500.0,47,00000000,00000000,47C0F26C
16,4500.0,48,00000000,00000000,47C2C476
16,4500.0,49,00000000,00000000,47C4491D
17,4500.0,1,00000000,00000000,459C4000
17,4500.0,2,00000000,00000000,45EE9B40
17,4500.0,3,00000000,00000000,46202EB0
17,4500.0,4,00000000,00000000,4648C210
17,4500.0,5,00000000,00000000,467106C0
17,4500.0,6,00000000,00000000,468C7DC8
17,4500.0,7,00000000,00000000,46A04FA4
17,4500.0,8,00000000,00000000,46B3F860
17,4500.0,9,00000000,00000000,46C77754
17,4500.0,10,00000000,00000000,46DACBE0
17,4500.0,11,00000000,00000000,46EDF550
17,4500.0,12,00000000,00000000,47007974
17,4500.0,13,00000000,00000000,4709E1F6
17,4500.0,14,00000000,00000000,471333CA
17,4500.0,15,00000000,00000000,471C6E89
17,4500.0,16,00000000,00000000,472591C4
17,4500.0,17,00000000,00000000,472E9D0C
17,4500.0,18,00000000,00000000,47378FE4
17,4500.0,19,00000000,00000000,474069D0
17,4500.0,20,00000000,00000000,47492A4A
17,4500.0,21,00000000,00000000,4751D0C6
17,4500.0,22,00000000,00000000,475A5CB1
17,4500.0,23,00000000,00000000,4762CD6E
17,4500.0,24,00000000,00000000,476B2254
17,4500.0,25,00000000,00000000,47735AB4
17,4500.0,26,00000000,00000000,477B75D0
17,4500.0,27,00000000,00000000,4781B970
17,4500.0,28,00000000,00000000,4785A886
17,4500.0,29,00000000,00000000,478987B5
17,4500.0,30,00000000,00000000,478D5682
17,4500.0,31,00000000,00000000,47911463
17,4500.0,32,00000000,00000000,4794C0C7
17,4500.0,33,00000000,00000000,47985B0D
17,4500.0,34,00000000,00000000,479BE286
17,4500.0,35,00000000,00000000,479F5670
17,4500.0,36,00000000,00000000,47A2B5F3
17,4500.0,37,00000000,00000000,47A60021
17,4500.0,38,00000000,00000000,47A933EB
17,4500.0,39,00000000,00000000,47AC501F
17,4500.0,40,00000000,00000000,47AF535C
17,4500.0,41,3C9636B1,00000000,47B23C0A
17,4500.0,42,3C5A96A9,00000000,47B50844
17,4500.0,43,3C186C30,00000000,47B7B5C4
17,4500.0,44,3BC90F11,00000000,47BA41BE
17,4500.0,45,3B75CA33,00000000,47BCA8A3
17,4500.0,46,3B068E9A,00000000,47BEE5BD
17,4500.0,47,3A778819,00000000,47C0F26C
17,4500.0,48,39A5A8CB,00000000,47C2C476
17,4500.0,49,384BF39C,00000000,47C4491D
18,4500.0,1,00000000,00000000,459C4000
18,4500.0,2,00000000,00000000,45EE9B40
18,4500.0,3,00000000,00000000,46202EB0
18,4500.0,4,00000000,00000000,4648C210
18,4500.0,5,00000000,00000000,467106C0
18,4500.0,6,00000000,00000000,468C7DC8
18,4500.0,7,00000000,00000000,46A04FA4
18,4500.0,8,00000000,00000000,46B3F860
18,4500.0,9,00000000,00000000,46C77754
18,4500.0,10,00000000,00000000,46DACBE0
18,4500.0,11,00000000,00000000,46EDF550
18,4500.0,12,00000000,00000000,47007974
18,4500.0,13,00000000,00000000,4709E1F6
18,4500.0,14,00000000,00000000,471333CA
18,4500.0,15,00000000,00000000,471C6E89
18,4500.0,16,00000000,00000000,472591C4
18,4500.0,17,00000000,00000000,472E9D0C
18,4500.0,18,00000000,00000000,47378FE4
18,4500.0,19,00000000,00000000,474069D0
18,4500.0,20,00000000,00000000,47492A4A
18,4500.0,21,00000000,00000000,4751D0C6
18,4500.0,22,00000000,00000000,475A5CB1
18,4500.0,23,00000000,00000000,4762CD6E
18,4500.0,24,00000000,00000000,476B2254
18,4500.0,25,00000000,00000000,47735AB4
18,4500.0,26,00000000,00000000,477B75D0
18,4500.0,27,00000000,00000000,4781B970
18,4500.0,28,00000000,00000000,4785A886
18,4500.0,29,00000000,00000000,478987B5
18,4500.0,30,00000000,00000000,478D5682
18,4500.0,31,00000000,00000000,47911463
18,4500.0,32,00000000,00000000,4794C0C7
18,4500.0,33,00000000,00000000,47985B0D
18,4500.0,34,00000000,00000000,479BE286
18,4500.0,35,3D007A5E,00000000,479F5670
18,4500.0,36,3CD548B6,00000000,47A2B5F3
18,4500.0,37,3CAE9B2F,00000000,47A60021
18,4500.0,38,3C8CAB90,00000000,47A933EB
18,4500.0,39,3C5E6F52,00000000,47AC501F
18,4500.0,40,3C2BF74F,00000000,47AF535C
18,4500.0,41,3C016390,00000000,47B23C0A
18,4500.0,42,3BBC48E2,00000000,47B50844
18,4500.0,43,3B834AA9,00000000,47B7B5C4
18,4500.0,44,3B2D2F6E,00000000,47BA41BE
18,4500.0,45,3AD3B70C,00000000,47BCA8A3
18,4500.0,46,3A67CE42,00000000,47BEE5BD
18,4500.0,47,39D5371C,00000000,47C0F26C
18,4500.0,48,390EB17C,00000000,47C2C476
18,4500.0,49,37AFAD4C,00000000,47C4491D
1,9000.0,1,00000000,00000000,459C4000
1,9000.0,2,00000000,00000000,45EE9B40
1,9000.0,3,3DF7C8AF,00000000,46202EB0
1,9000.0,4,3E206704,00000000,4648C210
1,9000.0,5,3E2CE0E7,00000000,467106C0
1,9000.0,6,3E2FE595,00000000,468C7DC8
1,9000.0,7,3E2FE597,00000000,46A04FA4
1,9000.0,8,3E2FE59B,00000000,46B3F860
1,9000.0,9,3E2FE5AB,00000000,46C77754
1,9000.0,10,3E2FE5D8,00000000,46DACBE0
1,9000.0,11,3E2FE621,00000000,46EDF550
1,9000.0,12,3E2FE677,00000000,47007974
1,9000.0,13,3E2FE6BC,00000000,4709E1F6
1,9000.0,14,3E2FE6B1,00000000,471333CA
1,9000.0,15,3E2FE5DE,00000000,471C6E89
1,9000.0,16,3E2FE391,00000000,472591C4
1,9000.0,17,3E2FDEB4,00000000,472E9D0C
1,9000.0,18,3E2FD5A2,00000000,47378FE4
1,9000.0,19,3E2FC601,00000000,474069D0
1,9000.0,20,3E2FAC9A,00000000,47492A4A
1,9000.0,21,3E2F8537,00000000,4751D0C6
1,9000.0,22,3E2F4AAB,00000000,475A5CB1
1,9000.0,23,3E2EF709,00000000,4762CD6E
1,9000.0,24,3E2E8364,00000000,476B2254
1,9000.0,25,3E2DE7DB,00000000,47735AB4
1,9000.0,26,3E2D20A9,00000000,477B75D0
1,9000.0,27,3E2C296F,00000000,4781B970
1,9000.0,28,3E2AFB7C,00000000,4785A886
1,9000.0,29,3E299039,00000000,478987B5
1,9000.0,30,3E27E176,00000000,478D5682
1,9000.0,31,3E25E9A9,00000000,47911463
1,9000.0,32,3E23A43B,00000000,4794C0C7
1,9000.0,33,3E210DD5,00000000,47985B0D
1,9000.0,34,3E1E24AB,00000000,479BE286
1,9000.0,35,3E1AE8B6,00000000,479F5670
1,9000.0,36,3E175BF3,00000000,47A2B5F3
1,9000.0,37,3E138281,00000000,47A60021
1,9000.0,38,3E0F62BB,00000000,47A933EB
1,9000.0,39,3E0B0539,00000000,47AC501F
1,9000.0,40,3E0674C6,00000000,47AF535C
1,9000.0,41,3E01BF69,00000000,47B23C0A
1,9000.0,42,3DF9E7B0,00000000,47B50844
1,9000.0,43,3DF043DC,BCFEFDD3,47B7B5C4
1,9000.0,44,3DE6B668,BCFEFDD3,47BA41BE
1,9000.0,45,3DDD6610,BCC75B58,47BCA8A3
1,9000.0,46,3DD47E2F,BC9380E4,47BEE5BD
1,9000.0,47,3DD47E2F,BC480FD6,47C0F26C
1,9000.0,48,3D75D6F9,BBE77534,47C2C476
1,9000.0,49,3CC0E1E7,BB359935,47C4491D
2,9000.0,1,00000000,00000000,459C4000
2,9000.0,2,00000000,00000000,45EE9B40
2,9000.0,3,3E302C80,00000000,46202EB0
2,9000.0,4,3E43D176,00000000,4648C210
2,9000.0,5,3E569B2C,00000000,467106C0
2,9000.0,6,3E68CCB9,00000000,468C7DC8
2,9000.0,7,3E7A8CA1,00000000,46A04FA4
2,9000.0,8,3E85F982,00000000,46B3F860
2,9000.0,9,3E8E87DF,00000000,46C77754
2,9000.0,10,3E96F6C3,00000000,46DACBE0
2,9000.0,11,3E9EDDF5,00000000,46EDF550
2,9000.0,12,3EA630C5,00000000,47007974
2,9000.0,13,3EAD01E4,00000000,4709E1F6
2,9000.0,14,3EB35FB9,00000000,471333CA
2,9000.0,15,3EB958E0,00000000,471C6E89
2,9000.0,16,3EBEF872,00000000,472591C4
2,9000.0,17,3EC442B3,00000000,472E9D0C
2,9000.0,18,3EC93611,00000000,47378FE4
2,9000.0,19,3ECDCC72,00000000,474069D0
2,9000.0,20,3ED1FC8D,00000000,47492A4A
2,9000.0,21,3ED5BBA9,00000000,4751D0C6
2,9000.0,22,3ED8FFB9,00000000,475A5CB1
2,9000.0,23,3EDBC13D,00000000,4762CD6E
2,9000.0,24,3EDDF899,00000000,476B2254
2,9000.0,25,3EDFA0FC,00000000,47735AB4
2,9000.0,26,3EE0B5E3,00000000,477B75D0
2,9000.0,27,3EE12CAE,00000000,4781B970
2,9000.0,28,3EE0FA7D,00000000,4785A886
2,9000.0,29,3EE015CD,00000000,478987B5
2,9000.0,30,3EDE7720,00000000,478D5682
2,9000.0,31,3EDC198B,00000000,47911463
2,9000.0,32,3ED8FB48,00000000,4794C0C7
2,9000.0,33,3ED51E23,00000000,47985B0D
2,9000.0,34,3ED087D1,00000000,479BE286
2,9000.0,35,3ECB4221,00000000,479F5670
2,9000.0,36,3EC55AF2,00000000,47A2B5F3
2,9000.0,37,3EBEE410,00000000,47A60021
2,9000.0,38,3EB7F2D9,00000000,47A933EB
2,9000.0,39,3EB09FBF,00000000,47AC501F
2,9000.0,40,3EA905A9,00000000,47AF535C
2,9000.0,41,3EA12E9B,00000000,47B23C0A
2,9000.0,42,3E993163,00000000,47B50844
2,9000.0,43,3E912FCE,00000000,47B7B5C4
2,9000.0,44,3E894CDE,00000000,47BA41BE
2,9000.0,45,3E81AC9D,BD1D4261,47BCA8A3
2,9000.0,46,3E825735,BD1D4261,47BEE5BD
2,9000.0,47,3E30C89A,BD1D4261,47C0F26C
2,9000.0,48,3DCC86CA,BD1D4261,47C2C476
