case,dx,k,pmfu,pmfd,paph
3,1500.0,23,3D338E76,00000000,4762CD6E
3,1500.0,24,3D355AFF,00000000,476B2254
3,1500.0,25,3D36B4A5,00000000,47735AB4
3,1500.0,26,3D379824,00000000,477B75D0
3,1500.0,27,3D37FCB9,00000000,4781B970
3,1500.0,28,3D37D945,00000000,4785A886
3,1500.0,29,3D3725B3,00000000,478987B5
3,1500.0,30,3D35DB83,00000000,478D5682
3,1500.0,31,3D33F63F,00000000,47911463
3,1500.0,32,3D3173F4,00000000,4794C0C7
3,1500.0,33,3D2E5592,00000000,47985B0D
3,1500.0,34,3D2A9F3B,00000000,479BE286
3,1500.0,35,3D26586F,00000000,479F5670
3,1500.0,36,3D218C0F,00000000,47A2B5F3
3,1500.0,37,3D1C4847,00000000,47A60021
3,1500.0,38,3D169E43,00000000,47A933EB
3,1500.0,39,3D10A1D7,00000000,47AC501F
3,1500.0,40,3D0A68F6,00000000,47AF535C
3,1500.0,41,3D03FD6A,00000000,47B23C0A
3,1500.0,42,3CFAE538,00000000,47B50844
3,1500.0,43,3CEDC877,00000000,47B7B5C4
3,1500.0,44,3CE0DDE7,00000000,47BA41BE
3,1500.0,45,3CD4608E,BB80C710,47BCA8A3
3,1500.0,46,3CD577F2,BB80C710,47BEE5BD
3,1500.0,47,3C90C40B,BB80C710,47C0F26C
3,1500.0,48,3C277BEF,BB80C710,47C2C476
3,1500.0,49,3B8367DC,BB80C710,47C4491D
4,1500.0,1,00000000,00000000,459C4000
4,1500.0,2,00000000,00000000,45EE9B40
4,1500.0,3,3C9C2D4B,00000000,46202EB0
4,1500.0,4,3CADA185,00000000,4648C210
4,1500.0,5,3CBE53B2,00000000,467106C0
4,1500.0,6,3CCE7F3A,00000000,468C7DC8
4,1500.0,7,3CDE4630,00000000,46A04FA4
4,1500.0,8,3CEDBDF5,00000000,46B3F860
4,1500.0,9,3CFCF490,00000000,46C77754
4,1500.0,10,3D05F9C3,00000000,46DACBE0
4,1500.0,11,3D0CFFFA,00000000,46EDF550
4,1500.0,12,3D137EAE,00000000,47007974
4,1500.0,13,3D19871C,00000000,4709E1F6
4,1500.0,14,3D1F26B3,00000000,471333CA
4,1500.0,15,3D246B76,00000000,471C6E89
4,1500.0,16,3D295FAF,00000000,472591C4
4,1500.0,17,3D2E07B3,00000000,472E9D0C
4,1500.0,18,3D3262CD,00000000,47378FE4
4,1500.0,19,3D366C74,00000000,474069D0
4,1500.0,20,3D3A1D7A,00000000,47492A4A
4,1500.0,21,3D3D6D9E,00000000,4751D0C6
4,1500.0,22,3D405548,00000000,475A5CB1
4,1500.0,23,3D42CEDC,00000000,4762CD6E
4,1500.0,24,3D44D4AC,00000000,476B2254
4,1500.0,25,3D4663F9,00000000,47735AB4
4,1500.0,26,3D477A9B,00000000,477B75D0
4,1500.0,27,3D481079,00000000,4781B970
4,1500.0,28,3D481C6C,00000000,4785A886
4,1500.0,29,3D47963C,00000000,478987B5
4,1500.0,30,3D467725,00000000,478D5682
4,1500.0,31,3D44BA4D,00000000,47911463
