case,dx,k,pten,pqen,pqsen,ptenh,pqenh,paph,pap,pgeoh,pmfu,pmfd,pmfus,pmfds,pmfuq,pmfdq,pmful,pdmfup,pdmfdp,plglac_in,plude_in,pmfdde_rate_in
1,1500.0,26,438B1530,3BE49954,3C089D80,438A97AB,3BD7C3EA,477B75D0,477F7458,47135C7E,3C8D62EB,00000000,45ACF224,00000000,39435745,00000000,387C82EC,36492266,00000000,00000000,3585EFE6,00000000
1,1500.0,27,438BE194,3BFA6A9F,3C141482,438B66C5,3BECA3BE,4781B970,4783B0FB,47099116,3C8C9905,00000000,45AB54C4,00000000,394D76A0,00000000,38675376,3641561B,00000000,00000000,358F4983,00000000
1,1500.0,28,438CA61A,3C088296,3C1FD375,438C2E17,3C012B6C,4785A886,4787981E,4700272C,3C8BA26E,00000000,45A98974,00000000,3957398B,00000000,38534112,36398DE8,00000000,00000000,35972591,00000000
1,1500.0,29,438D6320,3C142D59,3C2BD2A6,438CEDFC,3C0C67EE,478987B5,478B6F1C,46EE33F1,3C8A79C5,00000000,45A78A19,00000000,39608EEC,00000000,38404B90,3631C19D,00000000,00000000,359D483B,00000000
1,1500.0,30,438E18F6,3C202DB4,3C3809DC,438DA6C1,3C18008F,478D5682,478F3572,46DCCA74,3C8919FB,00000000,45A550FD,00000000,396962D4,00000000,382E6F9B,3629EB32,00000000,00000000,35A17FD8,00000000
1,1500.0,31,438EC7E3,3C2C7B4C,3C4470A7,438E58AB,3C23ED6A,47911463,4792EA95,46CC0A79,3C877E8C,00000000,45A2D908,00000000,39719EC5,00000000,381DA719,36220961,00000000,00000000,35A3A855,00000000
1,1500.0,32,438F7026,3C390D4A,3C50FE74,438F03F8,3C30267C,4794C0C7,47968DEA,46BBED62,3C85A3B8,00000000,45A01E06,00000000,39792A6F,00000000,380DE8AF,361A1C0B,00000000,00000000,35A3A836,00000000
1,1500.0,33,439011F4,3C45DA2C,3C5DAA30,438FA8DD,3C3CA2D9,47985B0D,479A1ECA,46AC6D7C,3C8386C4,00000000,459D1CF8,00000000,397FEC07,00000000,37FE5309,36122793,00000000,00000000,35A1716E,00000000
1,1500.0,34,4390AD7A,3C52D7CA,3C6A6A6F,43904787,3C495930,479BE286,479D9C7B,469D85DC,3C812637,00000000,4599D44E,00000000,3982E4CB,00000000,37E2B883,360A33AF,00000000,00000000,359D021E,00000000
1,1500.0,35,439142DD,3C5FFB4B,3C77354C,4390E01B,3C563F5F,479F5670,47A10632,468F325A,3C7D041E,00000000,4596442B,00000000,398554CD,00000000,37C8E623,36024BBF,00000000,00000000,3596632F,00000000
1,1500.0,36,4391D23B,3C6D3922,3C820045,439172BC,3C634A93,47A2B5F3,47A45B0A,46816F8D,3C7737D1,00000000,45926E8B,00000000,39873A3E,00000000,37B0BE27,35F4FE0E,00000000,00000000,358DA6EB,00000000
1,1500.0,37,43925BA7,3C7A84A1,3C88606D,4391FF7C,3C706F3E,47A60021,47A79A06,46687581,3C70EE44,00000000,458E576E,00000000,39888AFE,00000000,379A20E1,35E5BD73,00000000,00000000,3582EB07,00000000
1,1500.0,38,4392DF2E,3C83E823,3C8EB548,4392866D,3C7DA0AF,47A933EB,47AAC205,464F2422,3C6A31DA,00000000,458A04E8,00000000,39893F06,00000000,3784F0A4,35D6F5FD,00000000,00000000,356CB058,00000000
1,1500.0,39,43935CD3,3C8A86A6,3C94F87E,43930794,3C8568A8,47AC501F,47ADD1BE,4636E8C8,3C63109B,00000000,45857F1C,00000000,39895134,00000000,37621F2F,35C89978,00000000,00000000,35503E6A,00000000
1,1500.0,40,4393D48A,3C9083DF,3C9B22D0,439382F0,3C8BF911,47AF535C,47B0C7B3,461FC317,3C5B9C27,00000000,4580D036,00000000,3988BFC3,00000000,373CBF6A,35BA9C4D,00000000,00000000,35348E59,00000000
1,1500.0,41,4394463E,3C9628FD,3CA12C7D,4393F870,3C91E7A0,47B23C0A,47B3A227,4609B4E1,3C53EB69,00000000,45780C2E,00000000,39879C7E,00000000,371A3B09,35AE4980,00000000,00000000,3517EAB0,00000000
1,1500.0,42,4394B1C7,3C9BA7BE,3CA70C84,439467F8,3C977D49,47B50844,47B65F04,45E98497,3C4C1666,00000000,456E5D99,00000000,3985F4E9,00000000,36F5901A,35A4F578,00000000,00000000,34F47463,00000000
1,1500.0,43,439516EC,3CA0F6A3,3CACB8C2,4394D15B,3C9CEBA9,47B7B5C4,47B8FBC1,45C1E4CB,3C443706,BB503DCD,4564B23D,C4723A4B,3983D494,B886EDE9,36BD1572,359F2416,B57C0504,00000000,34BA1E55,00000000
1,1500.0,44,43957553,3CA609F3,3CB224D5,43953459,3CA2291B,47BA41BE,47BB7530,459CA02E,3C3C69EB,BB503DCD,455B2AB6,C471A554,39814B64,B888B89D,368B955D,3598ED4E,B534FA4B,00000000,3482FD23,38A204B6
1,1500.0,45,4395CC77,3CAAD321,3CB74134,4395908F,3CA72989,47BCA8A3,47BDC730,4573AF2C,3C34CEB8,BB22CE89,4551EB10,C43C8066,397CDC70,B8589C17,36417C42,350FD8A7,B4F7C304,00000000,33D85D52,3A35BD10
1,1500.0,46,43961B8A,3CAF3EA8,3CBBF91E,4395E569,3CABDDD9,47BEE5BD,47BFEC14,45337804,3C2D88D5,BAF0EBA2,45491BC6,C40B2EED,3976AF67,B822345B,35A07C4B,00000000,B498C605,00000000,00000000,3A2962DD
1,1500.0,47,43966139,3CB32FE1,3CC02E29,43963206,3CB031B6,47C0F26C,47C1DB71,44F2647A,3C2D88D5,BAA361F0,4548EBF4,C3BC6BDF,3977F058,B7DE6363,2EE8E9FF,00000000,B41C031A,00000000,00000000,3A1B1364
1,1500.0,48,43969AF0,3CB67400,3CC3AA28,43969592,3CB32FE1,47C2C476,47C386CA,448BB0AF,3B9F1CF7,BA3D05BC,00000000,C359A099,00000000,B781DCE0,00000000,00000000,B34B0E60,00000000,00000000,3A09BE24
1,1500.0,49,4396C000,3CB8697E,3CC5C0E4,4396A428,3CB8697E,47C4491D,47C4C68E,43DA7F09,3AF9AD08,B9944DE3,00000000,C2AA82C8,00000000,B6CD5D02,00000000,00000000,00000000,00000000,00000000,39E5BD95
2,1500.0,1,43468000,36F520CD,3741A6B7,43468000,36F520CD,459C4000,45C56DA0,4846A5A1,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2,1500.0,2,43468000,36AD2812,3708CB70,43526078,385C7CEA,45EE9B40,460BBE28,482F17FA,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2,1500.0,3,434B9019,370CC500,376893F8,4349080C,36E35909,46202EB0,46347860,481EB386,3C8FDFC8,00000000,45C56243,00000000,33BA8428,00000000,375999CF,371308C3,00000000,00000000,361F78EC,00000000
2,1500.0,4,4352E4EE,379C702D,380A6B32,434F3A84,3762D2AD,4648C210,465CE468,4811D1BD,3C9FEABC,00000000,45DB59F7,00000000,351809E8,00000000,37C6B4A0,37542FED,00000000,00000000,366076EB,00000000
2,1500.0,5,43593B0F,38139E9C,388AFAC3,435850B1,384E563A,467106C0,46828094,4807038C,3CAF42A3,00000000,45F040E0,00000000,36160BF0,00000000,38203F51,378CFBFA,00000000,00000000,369232B3,00000000
2,1500.0,6,435ED2A6,3878D94F,38F7D255,435DDC66,38A9D85F,468C7DC8,469666B6,47FB5988,3CBE1E45,00000000,460222C7,00000000,36D51524,00000000,3869D6A3,37AEC2F0,00000000,00000000,36B25615,00000000
2,1500.0,7,4363D5B8,38C1374E,394A800F,4362D7D2,3901093A,46A04FA4,46AA2402,47EADD9D,3CCC9D19,00000000,460BBA75,00000000,376ED7B3,00000000,389D553E,37CCC114,00000000,00000000,36CE9400,00000000
2,1500.0,8,4368615C,390CFDFC,399AD35E,43675CD9,3938523A,46B3F860,46BDB7DA,47DC177C,3CDAD2D1,00000000,4614EB27,00000000,37E074D5,00000000,38C6D161,37E5E8B3,00000000,00000000,36E689FD,00000000
2,1500.0,9,436C8A9C,39440CD9,39E0B65D,436B7F71,397AD47A,46C77754,46D1219A,47CEB167,3CE8CC63,00000000,461DBC4B,00000000,3838B878,00000000,38F000A0,37FABE58,00000000,386B6D09,36FB2674,00000000
2,1500.0,10,43706136,3994E2EC,3A1C5FB3,436F4F31,39A43180,46DACBE0,46E46098,47C26D5A,3CF6928A,00000000,46263773,00000000,388981B9,00000000,390C7600,37FD03AD,00000000,399E132C,36FC15E5,00000000
2,1500.0,11,4373F146,39DD7779,3A524831,4372D86B,39E217B0,46EDF550,46F7741C,47B71CE9,3D01BD89,00000000,462DE567,00000000,38BE6592,00000000,391E4238,37EE61AC,00000000,39FE0077,36F29FE2,00000000
2,1500.0,12,4377444D,3A1C9D6D,3A89652B,437624F3,3A1A9460,47007974,47052DB5,47AC9C6A,3D07B89F,00000000,4634C562,00000000,38F901A5,00000000,392BD37F,37D88667,00000000,3A1D73B1,36E4A773,00000000
2,1500.0,13,437A61EB,3A54E96C,3AAF41BB,43793CBC,3A4D4C3F,4709E1F6,470E8AE0,47A2CFD3,3D0D49CA,00000000,463AF905,00000000,391BD891,00000000,3934D954,37CFD32A,00000000,3A315EFD,36D61AA0,00000000
2,1500.0,14,437D5054,3A8C2A1E,3ADBD588,437C2513,3A853669,471333CA,4717D12A,4799A0AD,3D127CCF,00000000,46409A39,00000000,393C94E8,00000000,393B810A,37D2ED52,00000000,3A401E44,36C9D096,00000000
