case,i,k,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,rh_ice,target_graupel_diameter_m,target_hail_diameter_m,graupel_density_kg_m3,hail_density_kg_m3,theta_before_k,qv_before,qg_before,qng_before_per_kg,qvolg_before_m3_per_kg,qh_before,qnh_before_per_kg,qvolh_before_m3_per_kg,theta_after_k,qv_after,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qh_after,qnh_after_per_kg,qvolh_after_m3_per_kg
6,3,8, 1.5000000000000000E+001, 9.7200000286102295E-001, 7.6900000000000000E+004, 9.2765557765960693E-001, 2.5800000000000000E+002, 7.5000000000000000E-001, 1.0000000474974513E-003, 3.0000000260770321E-003, 4.0000000000000000E+002, 7.0000000000000000E+002, 2.7812045288085938E+002, 9.8628143314272165E-004, 1.2499999684223440E-005, 5.9683063507080078E+001, 3.1249999921101335E-008, 1.2499999684223440E-005, 1.2631337642669678E+000, 1.7857141543231592E-008, 2.7812017822265625E+002, 9.8637212067842484E-004, 1.2423452062648721E-005, 5.9317577362060547E+001, 3.1058629446079067E-008, 1.2485821571317501E-005, 1.2617011070251465E+000, 1.7836887522548750E-008
7,4,8, 6.0000000000000000E+001, 9.7399997711181641E-001, 7.6550000000000000E+004, 9.2644649744033813E-001, 2.6500000000000000E+002, 2.0000000298023224E-001, 4.9999998882412910E-003, 8.0000003799796104E-003, 7.0000000000000000E+002, 8.5000000000000000E+002, 2.8603918457031250E+002, 4.9659487558528781E-004, 4.9999998736893758E-006, 1.0913475602865219E-001, 7.1428569725640045E-009, 1.9999999494757503E-005, 8.7769210338592529E-002, 2.3529411308231829E-008, 2.8603866577148438E+002, 4.9676519120112062E-004, 4.9477707761980128E-006, 1.0799474269151688E-001, 7.0682437680602561E-009, 1.9881908883689903E-005, 8.7250977754592896E-002, 2.3390482439822335E-008
8,1,9, 3.0000000000000000E+002, 9.7599995136260986E-001, 7.6200000000000000E+004, 9.2523348331451416E-001, 2.6800000000000000E+002, 9.9900001287460327E-001, 9.9999997473787516E-005, 1.9999999494757503E-004, 1.7000000000000000E+002, 9.0000000000000000E+002, 2.8965661621093750E+002, 3.2319680321961641E-003, 9.9999997473787516E-006, 1.1234461718750000E+005, 5.8823527382401153E-008, 1.4999999621068127E-005, 3.9788723144531250E+003, 1.6666666269316011E-008, 2.8965612792968750E+002, 3.2321230974048376E-003, 9.8926175269298255E-006, 4.1162299804687500E+003, 5.8191865548451460E-008, 1.4952331184758805E-005, 1.1751783447265625E+003, 1.6613702413792453E-008
9,2,9, 1.0000000000000000E+001, 9.7799998521804810E-001, 7.5850000000000000E+004, 9.2401647567749023E-001, 2.5000000000000000E+002, 1.0099999904632568E+000, 8.0000003799796104E-003, 1.0000000474974513E-003, 8.0000000000000000E+002, 9.0000000000000000E+002, 2.7055795288085938E+002, 6.2610034365206957E-004, 2.4999999368446879E-005, 1.1656848341226578E-001, 3.1249999921101335E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7055795288085938E+002, 6.2610022723674774E-004, 2.5000092136906460E-005, 1.1656848341226578E-001, 3.1250550591721549E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
10,3,9, 6.0000000000000000E+001, 9.7999995946884155E-001, 7.5500000000000000E+004, 9.2279547452926636E-001, 2.6000000000000000E+002, 1.1000000238418579E+000, 2.0000000949949026E-003, 1.9999999552965164E-002, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.8175256347656250E+002, 1.7707757651805878E-003, 4.9999998736893758E-006, 2.3873226642608643E+000, 9.9999999392252903E-009, 1.9999999494757503E-005, 5.3051616996526718E-003, 2.2222222284540294E-008, 2.8175262451171875E+002, 1.7707529477775097E-003, 5.0194544201076496E-006, 2.3873226642608643E+000, 1.0114439064068392E-008, 2.0003355530207045E-005, 5.3051616996526718E-003, 2.2228936913393227E-008
11,4,9, 1.0000000000000000E+003, 9.8199999332427979E-001, 7.5150000000000000E+004, 9.2157047986984253E-001, 2.7200000000000000E+002, 1.0010000467300415E+000, 9.9999997764825821E-003, 2.9999999329447746E-002, 8.0000000000000000E+002, 9.0000000000000000E+002, 2.9514834594726562E+002, 4.6021374873816967E-003, 9.9999997473787516E-006, 2.3873228579759598E-002, 1.2499999257897798E-008, 1.4999999621068127E-005, 1.1789250420406461E-003, 1.6666666269316011E-008, 2.9514834594726562E+002, 4.6021356247365475E-003, 1.0001226655731443E-005, 3.1834881752729416E-002, 1.2507214819379442E-008, 1.5000501662143506E-005, 2.5904981885105371E-003, 1.6667669910930272E-008
0,1,10, 1.0000000149011612E-001, 7.9999995231628418E-001, 6.8500000000000000E+004, 8.9747947454452515E-001, 2.3800000000000000E+002, 1.0499999523162842E+000, 1.9999999494757503E-004, 5.0000002374872565E-004, 1.7000000000000000E+002, 9.0000000000000000E+002, 2.6518713378906250E+002, 2.0681321620941162E-004, 2.4999998277053237E-004, 3.5107693750000000E+005, 1.4705881312693236E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6518713378906250E+002, 2.0680956367868930E-004, 2.5000362074933946E-004, 1.0402277343750000E+005, 1.4706095043948153E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,10, 1.0000000000000000E+000, 8.0199992656707764E-001, 6.8150000000000000E+004, 8.9616602659225464E-001, 2.4500000000000000E+002, 1.0499999523162842E+000, 5.0000002374872565E-004, 5.0000002374872565E-004, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.7338684082031250E+002, 4.3726889998652041E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999998277053237E-004, 4.2441289062500000E+003, 2.7777775812865002E-007, 2.7338687133789062E+002, 4.3725795694626868E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5001092581078410E-004, 4.2441289062500000E+003, 2.7779967126662086E-007
2,3,10, 5.0000000000000000E+000, 8.0399996042251587E-001, 6.7800000000000000E+004, 8.9484781026840210E-001, 2.5000000000000000E+002, 1.2000000476837158E+000, 1.0000000474974513E-003, 1.0000000474974513E-003, 3.0000000000000000E+002, 7.5000000000000000E+002, 2.7937710571289062E+002, 8.3220395026728511E-004, 1.2499999138526618E-004, 7.9577410888671875E+002, 4.1666663719297503E-007, 1.2499999138526618E-004, 3.1830966186523438E+002, 1.6666665203501907E-007, 2.7937777709960938E+002, 8.3198974607512355E-004, 1.2513434921856970E-004, 7.9577410888671875E+002, 4.1745695966710628E-007, 1.2507986684795469E-004, 3.1830966186523438E+002, 1.6682639625287266E-007
3,4,10, 3.0000000000000000E+001, 8.0599993467330933E-001, 6.7450000000000000E+004, 8.9352464675903320E-001, 2.5500000000000000E+002, 1.5000000000000000E+000, 3.0000000260770321E-003, 2.0000000949949026E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.8538665771484375E+002, 1.6973682213574648E-003, 2.4999998277053237E-004, 3.5367744445800781E+001, 4.9999994189420249E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8538977050781250E+002, 1.6963826492428780E-003, 2.5098558398894966E-004, 3.5367744445800781E+001, 5.0579762955749175E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,1,11, 1.0000000000000000E+000, 8.0799996852874756E-001, 6.7100000000000000E+004, 8.9219665527343750E-001, 2.4000000000000000E+002, 9.4999998807907104E-001, 2.5000001187436283E-004, 5.0000002374872565E-004, 2.5000000000000000E+002, 9.0000000000000000E+002, 2.6899899291992188E+002, 2.3732120462227613E-004, 2.4999998277053237E-004, 1.2223090625000000E+005, 9.9999988378840499E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6899887084960938E+002, 2.3735567810945213E-004, 2.4996549473144114E-004, 7.0725726562500000E+004, 9.9986198165424867E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2,11, 5.0000000000000000E+000, 8.0999994277954102E-001, 6.6750000000000000E+004, 8.9086365699768066E-001, 2.4800000000000000E+002, 8.9999997615814209E-001, 5.0000002374872565E-004, 1.0000000474974513E-003, 5.0000000000000000E+002, 8.0000000000000000E+002, 2.7838153076171875E+002, 5.1935331430286169E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999998277053237E-004, 5.9683062744140625E+002, 3.1249999210558599E-007, 2.7838131713867188E+002, 5.1941850688308477E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4993479019030929E-004, 5.9667498779296875E+002, 3.1241850706464902E-007
6,3,11, 1.5000000000000000E+001, 8.1199997663497925E-001, 6.6400000000000000E+004, 8.8952565193176270E-001, 2.5800000000000000E+002, 7.5000000000000000E-001, 1.0000000474974513E-003, 3.0000000260770321E-003, 4.0000000000000000E+002, 7.0000000000000000E+002, 2.9004223632812500E+002, 1.1422445531934500E-003, 1.2499999138526618E-004, 5.9683062744140625E+002, 3.1249999210558599E-007, 1.2499999138526618E-004, 1.2631337165832520E+001, 1.7857141187960224E-007, 2.9003918457031250E+002, 1.1432024184614420E-003, 1.2419139966368675E-004, 5.9296990966796875E+002, 3.1047852644405793E-007, 1.2485076149459928E-004, 1.2616256713867188E+001, 1.7835822063716478E-007
7,4,11, 6.0000000000000000E+001, 8.1399995088577271E-001, 6.6050000000000000E+004, 8.8818264007568359E-001, 2.6500000000000000E+002, 2.0000000298023224E-001, 4.9999998882412910E-003, 8.0000003799796104E-003, 7.0000000000000000E+002, 8.5000000000000000E+002, 2.9836206054687500E+002, 5.7553872466087341E-004, 4.9999998736893758E-005, 1.0913475751876831E+000, 7.1428566172926367E-008, 1.9999999494757503E-004, 8.7769210338592529E-001, 2.3529410952960461E-007, 2.9835644531250000E+002, 5.7730253320187330E-004, 4.9458929424872622E-005, 1.0795376300811768E+000, 7.0655609363257099E-008, 1.9877725571859628E-004, 8.7232613563537598E-001, 2.3385558733934886E-007
8,1,12, 3.0000000000000000E+002, 8.1599992513656616E-001, 6.5700000000000000E+004, 8.8683450222015381E-001, 2.6800000000000000E+002, 9.9900001287460327E-001, 9.9999997473787516E-005, 1.9999999494757503E-004, 1.7000000000000000E+002, 9.0000000000000000E+002, 3.0219842529296875E+002, 3.7484925705939531E-003, 9.9999997473787516E-005, 1.1234462500000000E+006, 5.8823525250772946E-007, 1.4999999257270247E-004, 3.9788722656250000E+004, 1.6666665203501907E-007, 3.0219326782226562E+002, 3.7501077167689800E-003, 9.8880387668032199E-005, 4.1143253906250000E+004, 5.8164931715509738E-007, 1.4950442709960043E-004, 1.1750298828125000E+004, 1.6611603825822385E-007
9,2,12, 1.0000000000000000E+001, 8.1799995899200439E-001, 6.5350000000000000E+004, 8.8548129796981812E-001, 2.5000000000000000E+002, 1.0099999904632568E+000, 8.0000003799796104E-003, 1.0000000474974513E-003, 8.0000000000000000E+002, 9.0000000000000000E+002, 2.8233233642578125E+002, 7.2669802466407418E-004, 2.4999998277053237E-004, 1.1656848192214966E+000, 3.1249999210558599E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8233233642578125E+002, 7.2669703513383865E-004, 2.5000097230076790E-004, 1.1656848192214966E+000, 3.1250584697772865E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
10,3,12, 6.0000000000000000E+001, 8.1999993324279785E-001, 6.5000000000000000E+004, 8.8412278890609741E-001, 2.6000000000000000E+002, 1.1000000238418579E+000, 2.0000000949949026E-003, 1.9999999552965164E-002, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.9407681274414062E+002, 2.0568240433931351E-003, 4.9999998736893758E-005, 2.3873226165771484E+001, 9.9999994063182385E-008, 1.9999999494757503E-004, 5.3051616996526718E-002, 2.2222221218726190E-007, 2.9407757568359375E+002, 2.0565842278301716E-003, 5.0204722356284037E-005, 2.3873226165771484E+001, 1.0120425031345803E-007, 2.0003519603051245E-004, 5.3051616996526718E-002, 2.2229264118323044E-007
11,4,12, 1.0000000000000000E+003, 8.2199996709823608E-001, 6.4650000000000000E+004, 8.8275915384292603E-001, 2.7200000000000000E+002, 1.0010000467300415E+000, 9.9999997764825821E-003, 2.9999999329447746E-002, 8.0000000000000000E+002, 9.0000000000000000E+002, 3.0812481689453125E+002, 5.3495843894779682E-003, 9.9999997473787516E-005, 2.3873227834701538E-001, 1.2499999968440534E-007, 1.4999999257270247E-004, 1.1789250187575817E-002, 1.6666665203501907E-007, 3.0812487792968750E+002, 5.3495666943490505E-003, 1.0001249756896868E-004, 3.1834954023361206E-001, 1.2507352664670179E-007, 1.5000510029494762E-004, 2.5904994457960129E-002, 1.6667686963955930E-007
