case,i,k,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,rh_ice,target_ice_diameter_m,target_snow_diameter_m,theta_before_k,qv_before,qi_before,qni_before_per_kg,qs_before,qns_before_per_kg,theta_after_k,qv_after,qi_after,qni_after_per_kg,qs_after,qns_after_per_kg
11,4,3, 1.0000000000000000E+003, 1.3019999265670776E+000, 9.6150000000000000E+004, 9.8883825540542603E-001, 2.7200000000000000E+002, 1.0010000467300415E+000, 1.9999999494757503E-004, 9.4999996945261955E-003, 2.7507025146484375E+002, 3.5969903692603111E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7507025146484375E+002, 3.5969903692603111E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
0,1,4, 1.0000000149011612E-001, 1.1200000047683716E+000, 8.9500000000000000E+004, 9.6878272294998169E-001, 2.3800000000000000E+002, 1.0499999523162842E+000, 7.9999997979030013E-005, 5.0000002374872565E-004, 2.4566912841796875E+002, 1.5828722098376602E-004, 2.4999999368446879E-006, 1.6707599609375000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4566912841796875E+002, 1.5828711912035942E-004, 2.5001038466143655E-006, 1.6707599609375000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,4, 1.0000000000000000E+000, 1.1219999790191650E+000, 8.9150000000000000E+004, 9.6769803762435913E-001, 2.4500000000000000E+002, 1.0499999523162842E+000, 7.9999997979030013E-005, 1.9999999494757503E-004, 2.5317814636230469E+002, 3.3426668960601091E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999999368446879E-006, 5.9683081054687500E+003, 2.5317816162109375E+002, 3.3426313893869519E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5035574253706727E-006, 5.9683081054687500E+003
2,3,4, 5.0000000000000000E+000, 1.1239999532699585E+000, 8.8800000000000000E+004, 9.6661037206649780E-001, 2.5000000000000000E+002, 1.2000000476837158E+000, 7.9999997979030013E-005, 5.0000002374872565E-004, 2.5863574218750000E+002, 6.3539890106767416E-004, 1.2499999684223440E-006, 8.3537998046875000E+003, 1.2499999684223440E-006, 1.9098579406738281E+002, 2.5863589477539062E+002, 6.3534808577969670E-004, 1.2867469649791019E-006, 8.3537998046875000E+003, 1.2640858813028899E-006, 1.9098579406738281E+002
3,4,4, 3.0000000000000000E+001, 1.1260000467300415E+000, 8.8450000000000000E+004, 9.6551960706710815E-001, 2.5500000000000000E+002, 1.5000000000000000E+000, 9.8999997135251760E-005, 2.0000000949949026E-003, 2.6410650634765625E+002, 1.2943751644343138E-003, 2.4999999936881068E-007, 8.9747894287109375E+002, 2.2500000795844244E-006, 5.3714761734008789E+000, 2.6410708618164062E+002, 1.2941766763105989E-003, 3.6758569876838010E-007, 8.9747894287109375E+002, 2.3309073640120914E-006, 5.3714761734008789E+000
4,1,5, 1.0000000000000000E+000, 1.1280000209808350E+000, 8.8100000000000000E+004, 9.6442574262619019E-001, 2.4000000000000000E+002, 9.4999998807907104E-001, 7.9999997979030013E-005, 5.0000002374872565E-004, 2.4885275268554688E+002, 1.8075201660394669E-004, 2.4999999368446879E-006, 1.6707599609375000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4885275268554688E+002, 1.8075335538014770E-004, 2.4986543394334149E-006, 1.6698605468750000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2,5, 5.0000000000000000E+000, 1.1299999952316284E+000, 8.7750000000000000E+004, 9.6332883834838867E-001, 2.4800000000000000E+002, 8.9999997615814209E-001, 7.9999997979030013E-005, 2.5000001187436283E-004, 2.5744064331054688E+002, 3.9506366010755301E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999999368446879E-006, 3.0557727050781250E+003, 2.5744055175781250E+002, 3.9509826456196606E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4653970740473596E-006, 3.0134775390625000E+003
6,3,5, 1.5000000000000000E+001, 1.1319999694824219E+000, 8.7400000000000000E+004, 9.6222877502441406E-001, 2.5800000000000000E+002, 7.5000000000000000E-001, 7.9999997979030013E-005, 1.0000000474974513E-003, 2.6812750244140625E+002, 8.6779217235743999E-004, 1.2499999684223440E-006, 8.3537998046875000E+003, 1.2499999684223440E-006, 2.3873224258422852E+001, 2.6812655639648438E+002, 8.6811440996825695E-004, 9.6633391422074055E-007, 6.4580483398437500E+003, 1.2114279570596409E-006, 2.3136552810668945E+001
7,4,5, 6.0000000000000000E+001, 1.1340000629425049E+000, 8.7050000000000000E+004, 9.6112555265426636E-001, 2.6500000000000000E+002, 2.0000000298023224E-001, 7.9999997979030013E-005, 4.9999998882412910E-003, 2.7571841430664062E+002, 4.3669537990354002E-004, 4.9999999873762135E-007, 3.3415200195312500E+003, 1.9999999949504854E-006, 3.0557733774185181E-001, 2.7571728515625000E+002, 4.3708345037885010E-004, 2.4999997094710125E-007, 1.6707598876953125E+003, 1.8619278989717714E-006, 2.8448146581649780E-001
8,1,6, 3.0000000000000000E+002, 1.1360000371932983E+000, 8.6700000000000000E+004, 9.6001911163330078E-001, 2.6800000000000000E+002, 9.9900001287460327E-001, 7.9999997979030013E-005, 4.9999998736893758E-005, 2.7916110229492188E+002, 2.8405534103512764E-003, 9.9999999747524271E-007, 6.6830400390625000E+003, 1.4999999393694452E-006, 2.2918303125000000E+005, 2.7915878295898438E+002, 2.8413394466042519E-003, 9.6389476311742328E-007, 6.4417470703125000E+003, 7.4999996968472260E-007, 1.1459150781250000E+005
9,2,6, 1.0000000000000000E+001, 1.1380000114440918E+000, 8.6350000000000000E+004, 9.5890951156616211E-001, 2.5000000000000000E+002, 1.0099999904632568E+000, 9.9999997473787516E-005, 5.0000002374872565E-004, 2.6071282958984375E+002, 5.4996769176796079E-004, 2.4999999368446879E-006, 8.7155576171875000E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6071286010742188E+002, 5.4996251128613949E-004, 2.5025904051290127E-006, 8.7065263671875000E+003, 2.5904305367419056E-009, 9.0308189392089844E+000
10,3,6, 6.0000000000000000E+001, 1.1399999856948853E+000, 8.6000000000000000E+004, 9.5779669284820557E-001, 2.6000000000000000E+002, 1.1000000238418579E+000, 1.5000000712461770E-004, 1.0000000474974513E-003, 2.7145635986328125E+002, 1.5545763308182359E-003, 1.9999999949504854E-006, 2.1372229003906250E+003, 4.9999999873762135E-007, 9.5492906570434570E+000, 2.7145730590820312E+002, 1.5542604960501194E-003, 2.1432961148093455E-006, 1.9840948486328125E+003, 6.7259350089443615E-007, 1.6267720031738281E+002
11,4,6, 1.0000000000000000E+003, 1.1419999599456787E+000, 8.5650000000000000E+004, 9.5668065547943115E-001, 2.7200000000000000E+002, 1.0010000467300415E+000, 1.9999999494757503E-004, 9.4999996945261955E-003, 2.8431640625000000E+002, 4.0379525162279606E-003, 9.9999998245167004E-014, 4.6180728531908244E-005, 9.9999998245167004E-014, 2.2275650213288145E-009, 2.8431640625000000E+002, 4.0379525162279606E-003, 9.9999998245167004E-014, 0.0000000000000000E+000, 9.9999998245167004E-014, 0.0000000000000000E+000
0,1,7, 1.0000000149011612E-001, 9.5999997854232788E-001, 7.9000000000000000E+004, 9.3482851982116699E-001, 2.3800000000000000E+002, 1.0499999523162842E+000, 7.9999997979030013E-005, 5.0000002374872565E-004, 2.5459214782714844E+002, 1.7932539049070328E-004, 2.4999999368446879E-005, 1.6707600000000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5459214782714844E+002, 1.7932425544131547E-004, 2.5001130779855885E-005, 1.6707600000000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,7, 1.0000000000000000E+000, 9.6199995279312134E-001, 7.8650000000000000E+004, 9.3364256620407104E-001, 2.4500000000000000E+002, 1.0499999523162842E+000, 7.9999997979030013E-005, 1.9999999494757503E-004, 2.6241305541992188E+002, 3.7889226223342121E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999999368446879E-005, 5.9683082031250000E+004, 2.6241317749023438E+002, 3.7885401980020106E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5038234525709413E-005, 5.9683082031250000E+004
2,3,7, 5.0000000000000000E+000, 9.6399998664855957E-001, 7.8300000000000000E+004, 9.3245279788970947E-001, 2.5000000000000000E+002, 1.2000000476837158E+000, 7.9999997979030013E-005, 5.0000002374872565E-004, 2.6811007690429688E+002, 7.2060566162690520E-004, 1.2499999684223440E-005, 8.3538000000000000E+004, 1.2499999684223440E-005, 1.9098580322265625E+003, 2.6811175537109375E+002, 7.2005728725343943E-004, 1.2898153727292083E-005, 8.3538000000000000E+004, 1.2650205462705344E-005, 1.9098580322265625E+003
3,4,7, 3.0000000000000000E+001, 9.6599996089935303E-001, 7.7950000000000000E+004, 9.3125927448272705E-001, 2.5500000000000000E+002, 1.5000000000000000E+000, 9.8999997135251760E-005, 2.0000000949949026E-003, 2.7382278442382812E+002, 1.4687298098579049E-003, 2.4999999368446879E-006, 8.9747890625000000E+003, 2.2500000341096893E-005, 5.3714759826660156E+001, 2.7382922363281250E+002, 1.4666119823232293E-003, 3.7637978493876290E-006, 8.9747890625000000E+003, 2.3354034055955708E-005, 5.3714759826660156E+001
