case,repetition,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,rain_diameter_m,ice_diameter_m,theta_before_k,qv_before,qr_before,qnr_before_per_kg,qi_before,qni_before_per_kg,qg_before,qng_before_per_kg,qvolg_before_m3_per_kg,theta_after_k,qv_after,qr_after,qnr_after_per_kg,qi_after,qni_after_per_kg,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qc_after,qs_after,qh_after
0,3, 6.0000000000000000E+001, 8.3000004291534424E-001, 7.2000000000000000E+004, 9.1035729646682739E-001, 2.6500000000000000E+002, 5.0000002374872565E-004, 9.9999997473787516E-005, 2.9109451293945312E+002, 2.8555709868669510E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-005, 6.9724460937500000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9109451293945312E+002, 2.8555709868669510E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-005, 6.9724460937500000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,3, 6.0000000000000000E+001, 8.3200001716613770E-001, 7.1650000000000000E+004, 9.0908986330032349E-001, 2.6500000000000000E+002, 5.0000002374872565E-004, 9.9999997473787516E-005, 2.9150033569335938E+002, 2.8695201035588980E-003, 5.0000002374872565E-004, 7.6394350585937500E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9150033569335938E+002, 2.8695201035588980E-003, 5.0000002374872565E-004, 7.6394350585937500E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,3, 6.0000000000000000E+001, 8.3400005102157593E-001, 7.1300000000000000E+004, 9.0781807899475098E-001, 2.6500000000000000E+002, 7.9999997979030013E-005, 9.9999997473787516E-005, 2.9190869140625000E+002, 2.8836058918386698E-003, 5.0000002374872565E-004, 1.8650972500000000E+006, 1.9999999494757503E-005, 6.9724460937500000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9190954589843750E+002, 2.8836058918386698E-003, 4.9750308971852064E-004, 1.8557823750000000E+006, 1.9999999494757503E-005, 6.9724460937500000E+004, 2.4969372134364676E-006, 2.4268008422851562E+002, 2.7743747299524557E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,3, 6.0000000000000000E+001, 8.3600002527236938E-001, 7.0950000000000000E+004, 9.0654176473617554E-001, 2.6500000000000000E+002, 5.0000002374872565E-004, 7.9999999798019417E-006, 2.9231967163085938E+002, 2.8978309128433466E-003, 5.0000002374872565E-004, 7.6394350585937500E+003, 1.9999999494757503E-005, 1.1023156000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9231967163085938E+002, 2.8978309128433466E-003, 5.0000002374872565E-004, 7.6394350585937500E+003, 1.9710067135747522E-005, 2.8648354000000000E+007, 2.8993156320211710E-007, 6.5349170519368727E-009, 3.2214619860582161E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,3, 6.0000000000000000E+001, 8.3800005912780762E-001, 7.0600000000000000E+004, 9.0526098012924194E-001, 2.7100000000000000E+002, 3.0000001424923539E-004, 3.9999998989515007E-005, 2.9936117553710938E+002, 4.5962422154843807E-003, 5.0000002374872565E-004, 3.5367761718750000E+004, 1.9999999494757503E-005, 1.0090168750000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9937930297851562E+002, 4.5962422154843807E-003, 4.5000002137385309E-004, 3.5367761718750000E+004, 1.9999999494757503E-005, 9.9430925000000000E+005, 5.0000002374872565E-005, 0.0000000000000000E+000, 5.5555560152242833E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,3, 6.0000000000000000E+001, 8.4000003337860107E-001, 7.0250000000000000E+004, 9.0397566556930542E-001, 2.6900000000000000E+002, 3.0000001424923539E-004, 3.9999998989515007E-005, 2.9757437133789062E+002, 3.9777182973921299E-003, 5.0000002374872565E-004, 3.5367761718750000E+004, 1.9999999494757503E-005, 1.0090168750000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9759228515625000E+002, 3.9777182973921299E-003, 4.5000002137385309E-004, 3.1830986328125000E+004, 1.9999999494757503E-005, 9.9427412500000000E+005, 5.0000002374872565E-005, 3.5367763671875000E+003, 5.5555563704956512E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
6,3, 6.0000000000000000E+001, 8.4200006723403931E-001, 6.9900000000000000E+004, 9.0268576145172119E-001, 2.6700000000000000E+002, 5.0000002374872565E-004, 7.9999997979030013E-005, 2.9578399658203125E+002, 3.4336200915277004E-003, 5.0000002374872565E-004, 7.6394350585937500E+003, 1.9999999494757503E-005, 1.3366079687500000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9580169677734375E+002, 3.4336200915277004E-003, 4.5000002137385309E-004, 6.8754912109375000E+003, 1.9706511011463590E-005, 1.3169939062500000E+005, 5.0293492677155882E-005, 7.6394354248046875E+002, 5.5881660188106252E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,3, 6.0000000000000000E+001, 8.4400004148483276E-001, 6.9550000000000000E+004, 9.0139120817184448E-001, 2.6300000000000000E+002, 7.9999997979030013E-004, 1.5000000712461770E-004, 2.9177120971679688E+002, 2.5254625361412764E-003, 5.0000002374872565E-004, 1.8650970458984375E+003, 1.9999999494757503E-005, 2.1372230468750000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9178845214843750E+002, 2.5254625361412764E-003, 4.5000002137385309E-004, 1.6785872802734375E+003, 1.9705030354089104E-005, 2.1057023437500000E+004, 5.0294973334530368E-005, 1.8650970458984375E+002, 5.5883297989112179E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,3, 6.0000000000000000E+001, 8.4600001573562622E-001, 6.9200000000000000E+004, 9.0009200572967529E-001, 2.5800000000000000E+002, 1.2000000569969416E-003, 2.5000001187436283E-004, 2.8663735961914062E+002, 1.6911257989704609E-003, 1.0000000474974513E-003, 1.1052425537109375E+003, 4.9999998736893758E-005, 1.2045140625000000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8667062377929688E+002, 1.6911257989704609E-003, 9.0000004274770617E-004, 9.9471826171875000E+002, 4.8518078983761370E-005, 1.1688141601562500E+004, 1.0148192814085633E-004, 1.1052426910400391E+002, 1.1275769651319933E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
9,3, 6.0000000000000000E+001, 8.4800004959106445E-001, 6.8850000000000000E+004, 8.9878809452056885E-001, 2.4800000000000000E+002, 2.0000000949949026E-003, 5.0000002374872565E-004, 2.7592709350585938E+002, 7.1240420220419765E-004, 2.0000000949949026E-003, 4.7746469116210938E+002, 9.9999997473787516E-005, 3.1911520996093750E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7598825073242188E+002, 7.1240420220419765E-004, 1.8000000854954123E-003, 4.2971820068359375E+002, 9.4087066827341914E-005, 9.4087070312500000E+003, 2.0591294742189348E-004, 4.7746471405029297E+001, 2.2879218875004881E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
10,3, 6.0000000000000000E+001, 8.5000002384185791E-001, 6.8500000000000000E+004, 8.9747947454452515E-001, 2.4000000000000000E+002, 4.0000001899898052E-003, 1.0000000474974513E-003, 2.6741558837890625E+002, 3.3587610232643783E-004, 2.0000000949949026E-003, 5.9683086395263672E+001, 1.9999999494757503E-004, 8.4544061279296875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6747216796875000E+002, 3.3587610232643783E-004, 1.8000000854954123E-003, 1.6976518249511719E+002, 1.8818408716470003E-004, 1.8818408203125000E+004, 2.1181593183428049E-004, 1.8862802505493164E+001, 2.3535102400273900E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
11,3, 6.0000000000000000E+001, 8.5200005769729614E-001, 6.8150000000000000E+004, 8.9616602659225464E-001, 2.6500000000000000E+002, 1.1999999696854502E-004, 3.9999998989515007E-005, 2.9570413208007812E+002, 3.0168907251209021E-003, 4.9999998882412910E-003, 5.5262130000000000E+006, 2.0000000949949026E-003, 1.0090169600000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9587997436523438E+002, 3.0168907251209021E-003, 4.4999998062849045E-003, 4.9735920000000000E+006, 1.8000000854954123E-003, 9.0811528000000000E+007, 7.0000003324821591E-004, 9.9029695312500000E+004, 7.7777775686627137E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
