case,repetition,dt_s,cell_depth_m,rho_kg_m3,pressure_pa,exner,temperature_k,cloud_diameter_m,rain_diameter_m,ice_diameter_m,snow_diameter_m,graupel_diameter_m,hail_diameter_m,graupel_density_kg_m3,hail_density_kg_m3,theta_before_k,qv_before,qc_before,qnc_before_per_kg,qr_before,qnr_before_per_kg,qi_before,qni_before_per_kg,qs_before,qns_before_per_kg,qg_before,qng_before_per_kg,qvolg_before_m3_per_kg,qh_before,qnh_before_per_kg,qvolh_before_m3_per_kg,theta_after_k,qv_after,qc_after,qnc_after_per_kg,qr_after,qnr_after_per_kg,qi_after,qni_after_per_kg,qs_after,qns_after_per_kg,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qh_after,qnh_after_per_kg,qvolh_after_m3_per_kg
5,2, 1.0000000000000000E+001, 6.7500000000000000E+002, 9.6750003099441528E-001, 8.1125000000000000E+004, 9.4194954633712769E-001, 2.6000000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.7602328491210938E+002, 1.7006458947435021E-003, 2.0000000233721948E-007, 1.4147106445312500E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.7602328491210938e+02,1.7006458947435021e-03,2.0000000233721948e-07,1.4147106445312500e+04,0.0000000000000000e+00,0.0000000000000000e+00,3.6193957718553894e-18,2.5601985953471740e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6,2, 1.0000000000000000E+001, 7.4000000000000000E+002, 9.6900004148483276E-001, 8.0950000000000000E+004, 9.4136822223663330E-001, 2.4000000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.5494805908203125E+002, 2.8421881143003702E-004, 7.9999997979030013E-004, 5.6588424000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.5498855590820312e+02,2.8421881143003702e-04,6.4982700860127807e-04,5.3983940000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,1.5017298574093729e-04,2.6044822500000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
7,2, 1.0000000000000000E+001, 8.0500000000000000E+002, 9.7050005197525024E-001, 8.0775000000000000E+004, 9.4078594446182251E-001, 2.3800000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.5297996520996094E+002, 2.3352670541498810E-004, 7.9999997979030013E-004, 5.6588424000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.5317723083496094e+02,2.3352670541498810e-04,5.2854476962238550e-05,1.9282010000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,7.4714550282806158e-04,3.7306412000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
8,2, 1.0000000000000000E+001, 8.7000000000000000E+002, 9.7200006246566772E-001, 8.0600000000000000E+004, 9.4020277261734009E-001, 2.3500000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.4994607543945312E+002, 1.7244301852770150E-004, 7.9999997979030013E-004, 5.6588424000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.5015026855468750e+02,1.7244301852770150e-04,1.6967533156275749e-07,1.1617365000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,7.9983030445873737e-04,5.5426688000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
9,2, 1.0000000000000000E+001, 3.5000000000000000E+002, 9.7350001335144043E-001, 8.0425000000000000E+004, 9.3961870670318604E-001, 2.3000000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.4478013610839844E+002, 1.0172451584367082E-004, 7.9999997979030013E-004, 5.6588424000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.4497227478027344e+02,1.0172451584367082e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.9999997979030013e-04,5.6580520000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
10,2, 1.0000000000000000E+001, 4.1500000000000000E+002, 9.7500002384185791E-001, 8.0250000000000000E+004, 9.3903368711471558E-001, 2.3000000000000000E+002, 7.9999999798019417E-006, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.4493263244628906E+002, 1.0194634523941204E-004, 7.9999997979030013E-004, 2.9841551360000000E+009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.4512489318847656e+02,1.0194634523941204e-04,2.1595042198896408e-08,6.4442925000000000e+05,0.0000000000000000e+00,0.0000000000000000e+00,7.9997838474810123e-04,1.6976060160000000e+09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
11,2, 1.0000000000000000E+001, 4.8000000000000000E+002, 9.7650003433227539E-001, 8.0075000000000000E+004, 9.3844783306121826E-001, 2.3000000000000000E+002, 5.9999998484272510E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.4508554077148438E+002, 1.0216914233751595E-004, 7.9999997979030013E-004, 7.0735525000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.4527792358398438e+02,1.0216914233751595e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.9999992158263922e-04,7.0734305000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
12,2, 1.0000000000000000E+001, 5.4500000000000000E+002, 9.7800004482269287E-001, 7.9900000000000000E+004, 9.3786102533340454E-001, 2.2500000000000000E+002, 7.9999997979030013E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.3990760803222656E+002, 5.8605324738891795E-005, 4.9999998882412910E-003, 1.8650970000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.4103147888183594e+02,5.8605324738891795e-05,-4.6566128730773926e-10,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000003539025784e-03,1.8650970000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
13,2, 1.0000000000000000E+001, 6.1000000000000000E+002, 9.7950005531311035E-001, 7.9725000000000000E+004, 9.3727326393127441E-001, 2.6514999389648438E+002, 5.9999998484272510E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.8289508056640625E+002, 2.6092259213328362E-003, 1.0000000474974513E-003, 8.8419420000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 2.8294210815429688E+002, 3.9999999899009708E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.8289508056640625e+02,2.6092259213328362e-03,1.0000000474974513e-03,8.8419420000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,1.1529389887243724e-08,1.7415988159179688e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.9598994404077530e-03,2.8290982055664062e+02,3.9197980186145287e-06,4.0089224057737738e-05,1.4119476079940796e-02,8.0178452321888471e-08
14,2, 1.0000000000000000E+001, 6.7500000000000000E+002, 9.8100006580352783E-001, 7.9550000000000000E+004, 9.3668460845947266E-001, 2.6600000000000000E+002, 5.9999998484272510E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.8398031616210938E+002, 2.7934010140597820E-003, 1.0000000474974513E-003, 8.8419420000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 2.8294210815429688E+002, 3.9999999899009708E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.8398031616210938e+02,2.7934010140597820e-03,1.0000000474974513e-03,8.8419420000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,1.0414015605419991e-07,1.5731140136718750e+03,0.0000000000000000e+00,0.0000000000000000e+00,1.9598067738115788e-03,2.8290985107421875e+02,3.9196133911900688e-06,4.0089198591886088e-05,1.4119462110102177e-02,8.0178388373042253e-08
15,2, 1.0000000000000000E+001, 7.4000000000000000E+002, 9.8250001668930054E-001, 7.9375000000000000E+004, 9.3609499931335449E-001, 2.6814999389648438E+002, 2.4000000848900527E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.8645596313476562E+002, 3.3011385239660740E-003, 1.0000000474974513E-003, 1.3815531200000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 2.8294210815429688E+002, 3.9999999899009708E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.8645596313476562e+02,3.3011385239660740e-03,1.0000000474974513e-03,1.3815531200000000e+08,0.0000000000000000e+00,0.0000000000000000e+00,1.1647015298876795e-06,1.7593679687500000e+04,0.0000000000000000e+00,0.0000000000000000e+00,1.9587459973990917e-03,2.8290985107421875e+02,3.9174924495455343e-06,4.0089224057737738e-05,1.4119475148618221e-02,8.0178452321888471e-08
16,2, 1.0000000000000000E+001, 8.0500000000000000E+002, 9.8400002717971802E-001, 7.9200000000000000E+004, 9.3550449609756470E-001, 2.6814999389648438E+002, 5.9999998484272510E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.8663677978515625E+002, 3.3084326423704624E-003, 1.0000000474974513E-003, 8.8419420000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 2.8294210815429688E+002, 3.9999999899009708E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.8663677978515625e+02,3.3084326423704624e-03,1.0000000474974513e-03,8.8419420000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,1.9261608485976467e-07,2.9096088867187500e+03,0.0000000000000000e+00,0.0000000000000000e+00,1.9597182981669903e-03,2.8290982055664062e+02,3.9194360397232231e-06,4.0089224057737738e-05,1.4119475148618221e-02,8.0178459427315829e-08
17,2, 1.0000000000000000E+001, 8.7000000000000000E+002, 9.8550003767013550E-001, 7.9025000000000000E+004, 9.3491309881210327E-001, 2.7000000000000000E+002, 5.9999998484272510E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.8879690551757812E+002, 3.8116946816444397E-003, 1.0000000474974513E-003, 8.8419420000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 2.8294210815429688E+002, 3.9999999899009708E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.8879690551757812e+02,3.8116946816444397e-03,1.0000000474974513e-03,8.8419420000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,1.2983933572741080e-07,1.9613194580078125e+03,0.0000000000000000e+00,0.0000000000000000e+00,1.7264966154471040e-03,2.8234823608398438e+02,3.4529928143456345e-06,2.7337367646396160e-04,2.5981438159942627e-01,5.4674740113114240e-07
18,2, 1.0000000000000000E+001, 3.5000000000000000E+002, 9.8700004816055298E-001, 7.8850000000000000E+004, 9.3432068824768066E-001, 2.7114999389648438E+002, 5.9999998484272510E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.9021084594726562E+002, 4.1613169014453888E-003, 1.0000000474974513E-003, 8.8419420000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 2.8294210815429688E+002, 3.9999999899009708E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.9021084594726562e+02,4.1613169014453888e-03,1.0000000474974513e-03,8.8419420000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000949949026e-03,2.8294210815429688e+02,3.9999999899009708e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
19,2, 1.0000000000000000E+001, 4.1500000000000000E+002, 9.8850005865097046E-001, 7.8675000000000000E+004, 9.3372738361358643E-001, 2.7116000366210938E+002, 5.9999998484272510E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.9040597534179688E+002, 4.1736639104783535E-003, 1.0000000474974513E-003, 8.8419420000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 2.8294210815429688E+002, 3.9999999899009708E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.9040597534179688e+02,4.1736639104783535e-03,1.0000000474974513e-03,8.8419420000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000949949026e-03,2.8294210815429688e+02,3.9999999899009708e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
20,2, 1.0000000000000000E+001, 4.8000000000000000E+002, 9.9000000953674316E-001, 7.8500000000000000E+004, 9.3313312530517578E-001, 2.6814999389648438E+002, 5.9999998484272510E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.8736520385742188E+002, 3.3379343803972006E-003, 1.0000000474974513E-003, 8.8419420000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 3.3953056335449219E+001, 2.2222222924028756E-006,2.8736520385742188e+02,3.3379343803972006e-03,1.0000000474974513e-03,8.8419420000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,1.1913225250737014e-07,1.7995810546875000e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9998808857053518e-03,3.3953056335449219e+01,2.2220899609237676e-06
21,2, 1.0000000000000000E+001, 5.4500000000000000E+002, 9.9150002002716064E-001, 7.8325000000000000E+004, 9.3253791332244873E-001, 2.6814999389648438E+002, 5.9999998484272510E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 8.0000000000000000E+002, 7.0000000000000000E+002, 2.8754861450195312E+002, 3.3453926444053650E-003, 2.0000000949949026E-003, 1.7683884000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 1.7683882141113281E+002, 2.5000001642183634E-006, 2.0000000949949026E-003, 4.3653930664062500E+001, 2.8571430448209867E-006,2.8754861450195312e+02,3.3453926444053650e-03,2.0000000949949026e-03,1.7683884000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,3.1193138738672133e-07,4.7119555664062500e+03,0.0000000000000000e+00,0.0000000000000000e+00,1.1520301923155785e-03,1.7374606323242188e+02,1.4400378631762578e-06,2.8476580046117306e-03,4.5007007598876953e+01,3.9167157410702202e-06
22,2, 1.0000000000000000E+001, 6.1000000000000000E+002, 9.9300003051757812E-001, 7.8150000000000000E+004, 9.3194174766540527E-001, 2.6000000000000000E+002, 5.9999998484272510E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.7898739624023438E+002, 1.7653858521953225E-003, 1.0000000474974513E-003, 8.8419420000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 3.4862232500000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.7898739624023438e+02,1.7653858521953225e-03,1.0000000474974513e-03,8.8419420000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,9.3308999203145504e-04,3.2529597500000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,6.6910062741953880e-05,8.5938623046875000e+03,1.2149291706009535e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
23,2, 1.0000000000000000E+001, 6.7500000000000000E+002, 9.9450004100799561E-001, 7.7975000000000000E+004, 9.3134468793869019E-001, 2.6000000000000000E+002, 1.5999999959603883E-005, 1.0000000474974513E-003, 3.9999998989515007E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.7916625976562500E+002, 1.7693479312583804E-003, 1.0000000474974513E-003, 4.6627427200000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 5.0450848000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.7916625976562500e+02,1.7693479312583804e-03,1.0000000474974513e-03,4.6627427200000000e+08,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000474974513e-03,5.0450848000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
24,2, 1.0000000000000000E+001, 7.4000000000000000E+002, 9.9600005149841309E-001, 7.7800000000000000E+004, 9.3074661493301392E-001, 2.7300000000000000E+002, 5.9999998484272510E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.9331292724609375E+002, 4.8312572762370110E-003, 1.0000000474974513E-003, 8.8419420000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 3.4862232500000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.9331292724609375e+02,4.8312572762370110e-03,1.0000000474974513e-03,8.8419420000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000474974513e-03,3.4862232500000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
25,2, 1.0000000000000000E+001, 8.0500000000000000E+002, 9.9750006198883057E-001, 7.7625000000000000E+004, 9.3014758825302124E-001, 2.7298999023437500E+002, 5.9999998484272510E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.9349105834960938E+002, 4.8386179842054844E-003, 1.0000000474974513E-003, 8.8419420000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 3.4862232500000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.9349105834960938e+02,4.8386179842054844e-03,1.0000000474974513e-03,8.8419420000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,9.3141454271972179e-04,3.2471187500000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,6.8585519329644740e-05,5.3904785156250000e+03,7.6206141841339559e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
26,2, 1.0000000000000000E+001, 8.7000000000000000E+002, 9.9900001287460327E-001, 7.7450000000000000E+004, 9.2954760789871216E-001, 2.6000000000000000E+002, 5.9999998484272510E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.7970596313476562E+002, 1.7813416197896004E-003, 1.0000000474974513E-003, 8.8419420000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 3.0557743750000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.7970596313476562e+02,1.7813416197896004e-03,1.0000000474974513e-03,8.8419420000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.6604610130757526e-14,3.2365584047511220e-04,1.9000000320374966e-03,2.9029856250000000e+05,1.0000000474974513e-04,1.4147097656250000e+04,5.6641073342689197e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
27,2, 1.0000000000000000E+001, 3.5000000000000000E+002, 1.0005000829696655E+000, 7.7275000000000000E+004, 9.2894661426544189E-001, 2.6000000000000000E+002, 1.5999999959603883E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 9.9999997473787516E-005, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.7988690185546875E+002, 1.7853756435215473E-003, 1.0000000474974513E-003, 4.6627427200000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 3.8197192000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.7988690185546875e+02,1.7853756435215473e-03,1.0000000474974513e-03,4.6627427200000000e+08,0.0000000000000000e+00,0.0000000000000000e+00,9.7667133983157101e-15,4.5539666898548603e-03,2.0000000949949026e-03,3.8197192000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
