case,repetition,dt_s,cell_depth_m,rho_kg_m3,pressure_pa,exner,temperature_k,cloud_diameter_m,rain_diameter_m,snow_diameter_m,graupel_diameter_m,hail_diameter_m,graupel_density_kg_m3,hail_density_kg_m3,theta_before_k,qv_before,qc_before,qnc_before_per_kg,qr_before,qnr_before_per_kg,qs_before,qns_before_per_kg,qg_before,qng_before_per_kg,qvolg_before_m3_per_kg,qh_before,qnh_before_per_kg,qvolh_before_m3_per_kg,theta_after_k,qv_after,qc_after,qnc_after_per_kg,qr_after,qnr_after_per_kg,qs_after,qns_after_per_kg,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qh_after,qnh_after_per_kg,qvolh_after_m3_per_kg
20,0, 1.0000000149011612E-001, 8.0000000000000000E+002, 1.2500000000000000E+000, 9.2500000000000000E+004, 9.7795766592025757E-001, 2.7400000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 6.0000000521540642E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.8017572021484375E+002, 4.3693017214536667E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 1.2631344795227051E+001, 1.4285715224104933E-006, 2.8017568969726562E+002, 4.3693017214536667E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.4151819856306247E-008, 6.0504148714244366E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9993590265512466E-004, 1.2630534172058105E+001, 1.4284086091720383E-006
21,0, 1.0000000149011612E-001, 3.5000000000000000E+002, 1.2515000104904175E+000, 9.2275000000000000E+004, 9.7727692127227783E-001, 2.8500000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 2.0000000949949026E-003, 4.0000001899898052E-003, 1.7000000000000000E+002, 5.0000000000000000E+002, 2.9162664794921875E+002, 9.3632536008954048E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 1.4147105000000000E+006, 2.0000000949949026E-003, 2.8086162109375000E+003, 1.1764706869143993E-005, 2.0000000949949026E-003, 1.1936617279052734E+002, 3.9999999899009708E-006, 2.9142163085937500E+002, 9.3632536008954048E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.0284527717158198E-004, 1.3614433750000000E+006, 1.4226039638742805E-003, 1.0062863750000000E+006, 1.9792753737419844E-003, 2.7795124511718750E+003, 1.1619769793469459E-005, 1.9952754955738783E-003, 1.1908419799804688E+002, 3.9853011912782677E-006
22,0, 1.0000000149011612E-001, 4.2500000000000000E+002, 1.2530000209808350E+000, 9.2050000000000000E+004, 9.7659504413604736E-001, 2.7600000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.8261459350585938E+002, 5.0672292709350586E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.9999997979030013E-004, 1.5278869628906250E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 2.8294210815429688E+002, 3.9999999899009708E-006, 2.0000000949949026E-003, 4.3653926849365234E+001, 2.8571430448209867E-006, 2.8261401367187500E+002, 5.0672292709350586E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.0173322930932045E-004, 1.5280789794921875E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9988480489701033E-003, 2.8277911376953125E+002, 3.9964156712812837E-006, 1.9994189497083426E-003, 4.3641242980957031E+001, 2.8556671622936847E-006
23,0, 1.0000000149011612E-001, 5.0000000000000000E+002, 1.2545000314712524E+000, 9.1825000000000000E+004, 9.7591203451156616E-001, 2.6000000000000000E+002, 7.9999997979030013E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 8.0000003799796104E-003, 9.9999997764825821E-003, 9.0000000000000000E+002, 9.0000000000000000E+002, 2.6641744995117188E+002, 1.5024765161797404E-003, 2.0000000949949026E-003, 7.4603890000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000000745058060E-002, 2.0723295593261719E+002, 5.5555556173203513E-005, 5.0000000745058060E-002, 1.0610329437255859E+002, 5.5555556173203513E-005, 2.6643200683593750E+002, 1.5024765161797404E-003, 1.9533068407326937E-003, 7.2862140000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0023995339870453E-002, 2.0723295593261719E+002, 5.5582218919880688E-005, 5.0022698938846588E-002, 1.0610329437255859E+002, 5.5580774642294273E-005
0,1, 1.0000000000000000E+000, 3.5000000000000000E+002, 1.0900000333786011E+000, 8.9500000000000000E+004, 9.6878272294998169E-001, 2.4200000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.4979801940917969E+002, 3.1234105699695647E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4979801940917969E+002, 3.1234105699695647E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,1, 1.0000000000000000E+000, 4.2500000000000000E+002, 1.0915000438690186E+000, 8.9275000000000000E+004, 9.6808576583862305E-001, 2.4314999389648438E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.5116575622558594E+002, 3.4963732468895614E-004, 7.9999997979030013E-004, 5.6588424000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 7.6394345703125000E+003, 3.9999999899009708E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5116894531250000E+002, 3.4963732468895614E-004, 7.8824587399140000E-004, 5.5756988000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0117543172091246E-003, 7.6394345703125000E+003, 4.0366153370996471E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,1, 1.0000000000000000E+000, 5.0000000000000000E+002, 1.0930000543594360E+000, 8.9050000000000000E+004, 9.6738761663436890E-001, 2.4319999694824219E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.5139871215820312E+002, 3.5219584242440760E-004, 7.9999997979030013E-004, 5.6588424000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 7.6394355468750000E+003, 3.9999999899009708E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5140190124511719E+002, 3.5219584242440760E-004, 7.8823784133419394E-004, 5.5756424000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0117622334510088E-003, 7.6394355468750000E+003, 4.0366244320466649E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,1, 1.0000000000000000E+000, 5.7500000000000000E+002, 1.0945000648498535E+000, 8.8825000000000000E+004, 9.6668815612792969E-001, 2.5500000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.6378723144531250E+002, 1.0234586661681533E-003, 7.9999997979030013E-004, 5.6588424000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 7.6394350585937500E+003, 3.9999999899009708E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6379080200195312E+002, 1.0234586661681533E-003, 7.8822614159435034E-004, 5.5755596000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0117738749831915E-003, 7.6394350585937500E+003, 4.0294185055245180E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,1, 1.0000000000000000E+000, 6.5000000000000000E+002, 1.0960000753402710E+000, 8.8600000000000000E+004, 9.6598744392395020E-001, 2.7000000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 3.0000000260770321E-003, 3.0000000260770321E-003, 8.0000000000000000E+002, 7.0000000000000000E+002, 2.7950674438476562E+002, 3.3997648861259222E-003, 7.9999997979030013E-004, 5.6588424000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 1.7683882141113281E+002, 2.5000001642183634E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7950872802734375E+002, 3.3997648861259222E-003, 7.9410558100789785E-004, 5.6171480000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0058944355696440E-003, 1.7683882141113281E+002, 2.5065494355658302E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,1, 1.0000000000000000E+000, 7.2500000000000000E+002, 1.0975000858306885E+000, 8.8375000000000000E+004, 9.6528548002243042E-001, 2.7289999389648438E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.8271429443359375E+002, 4.2222519405186176E-003, 7.9999997979030013E-004, 5.6588424000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 2.0210151672363281E+002, 2.8571430448209867E-006, 2.8271459960937500E+002, 4.2222519405186176E-003, 7.9347507562488317E-004, 5.6126880000000000E+007, 5.6577073337393813E-006, 6.0456562042236328E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0008673891425133E-003, 2.0210151672363281E+002, 2.8571428174473112E-006
6,1, 1.0000000000000000E+000, 8.0000000000000000E+002, 1.0989999771118164E+000, 8.8150000000000000E+004, 9.6458220481872559E-001, 2.6000000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 4.0000001899898052E-003, 3.0000000260770321E-003, 9.0000000000000000E+002, 7.0000000000000000E+002, 2.6954675292968750E+002, 1.5651151770725846E-003, 1.5000000130385160E-003, 1.0610329600000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 6.6314544677734375E+001, 2.2222222924028756E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6954959106445312E+002, 1.5651151770725846E-003, 1.4910078607499599E-003, 1.0546723200000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0089922472834587E-003, 6.6314544677734375E+001, 2.2341585008689435E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,1, 1.0000000000000000E+000, 3.5000000000000000E+002, 1.1004999876022339E+000, 8.7925000000000000E+004, 9.6387767791748047E-001, 2.6000000000000000E+002, 5.9999998484272510E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 8.0000003799796104E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.6974377441406250E+002, 1.5691203298047185E-003, 2.4999999441206455E-003, 2.2104852000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9999998882412910E-003, 3.7301925659179688E+001, 9.9999997473787516E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6975573730468750E+002, 1.5691203298047185E-003, 2.4615461006760597E-003, 2.1764848000000000E+007, 5.4514384828507900E-007, 1.7352458834648132E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0379084423184395E-003, 3.7301925659179688E+001, 9.9999997473787516E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,1, 1.0000000000000000E+000, 4.2500000000000000E+002, 1.1019999980926514E+000, 8.7700000000000000E+004, 9.6317183971405029E-001, 2.6000000000000000E+002, 5.9999998484272510E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 9.9999997764825821E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.6994143676757812E+002, 1.5731459716334939E-003, 2.4999999441206455E-003, 2.2104852000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9999998882412910E-003, 1.0610328674316406E+001, 5.5555556173203513E-006, 2.6994879150390625E+002, 1.5731459716334939E-003, 2.4733676109462976E-003, 2.1869370000000000E+007, 3.3095566323027015E-006, 2.4079179763793945E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0233225338160992E-003, 1.0610328674316406E+001, 5.5814693951106165E-006
9,1, 1.0000000000000000E+000, 5.0000000000000000E+002, 1.1035000085830688E+000, 8.7475000000000000E+004, 9.6246474981307983E-001, 2.7314999389648438E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.8380258178710938E+002, 4.3440982699394226E-003, 7.9999997979030013E-004, 5.6588424000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 7.6394345703125000E+003, 3.9999999899009708E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8380258178710938E+002, 4.3440982699394226E-003, 7.8817317262291908E-004, 5.5751852000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0118269603699446E-003, 7.6394345703125000E+003, 4.0118270590028260E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
10,1, 1.0000000000000000E+000, 5.7500000000000000E+002, 1.1050000190734863E+000, 8.7250000000000000E+004, 9.6175634860992432E-001, 2.7320001220703125E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.8406362915039062E+002, 4.3711801990866661E-003, 7.9999997979030013E-004, 5.6588424000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 7.6394355468750000E+003, 3.9999999899009708E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8406335449218750E+002, 4.3711801990866661E-003, 7.8816519817337394E-004, 5.5751284000000000E+007, 1.2655516911763698E-005, 1.5528311729431152E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9991793669760227E-003, 7.6363007812500000E+003, 3.9974465835257433E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
11,1, 1.0000000000000000E+000, 6.5000000000000000E+002, 1.1065000295639038E+000, 8.7025000000000000E+004, 9.6104657649993896E-001, 2.7500000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.8614639282226562E+002, 4.9906847998499870E-003, 7.9999997979030013E-004, 5.6588424000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 2.0210151672363281E+002, 2.8571430448209867E-006, 2.8614401245117188E+002, 4.9906847998499870E-003, 7.9344830010086298E-004, 5.6124988000000000E+007, 1.3413343367574271E-005, 2.2849550247192383E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9931383430957794E-003, 2.0140814208984375E+002, 2.8397162168403156E-006
12,1, 1.0000000000000000E+000, 7.2500000000000000E+002, 1.1080000400543213E+000, 8.6800000000000000E+004, 9.6033555269241333E-001, 2.8000000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.9156475830078125E+002, 7.1071684360504150E-003, 1.5000000130385160E-003, 1.0610329600000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 7.6394350585937500E+003, 3.9999999899009708E-006, 2.0000000949949026E-003, 2.0210151672363281E+002, 2.8571430448209867E-006, 2.9151031494140625E+002, 7.1071684360504150E-003, 1.4654833357781172E-003, 1.0366174400000000E+008, 1.9179211813025177E-004, 5.2341503906250000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8711241427809000E-003, 7.1471655273437500E+003, 3.5990526612295071E-006, 1.9716005772352219E-003, 1.9923171997070312E+002, 2.7850173864862882E-006
13,1, 1.0000000000000000E+000, 8.0000000000000000E+002, 1.1095000505447388E+000, 8.6575000000000000E+004, 9.5962321758270264E-001, 2.7400000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.8552871704101562E+002, 4.6683275140821934E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 7.0735525000000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8547149658203125E+002, 4.6683275140821934E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6518644406460226E-004, 3.8948490625000000E+005, 8.3481357432901859E-004, 5.9050975000000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
14,1, 1.0000000000000000E+000, 3.5000000000000000E+002, 1.1110000610351562E+000, 8.6350000000000000E+004, 9.5890951156616211E-001, 2.7400000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 5.0000002374872565E-004, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.8574124145507812E+002, 4.6804910525679588E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 3.0557740234375000E+004, 1.9999999949504854E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8573471069335938E+002, 4.6804910525679588E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8825630831997842E-005, 5.7526873779296875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.8117440938949585E-004, 2.9982470703125000E+004, 1.9414312646404142E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
15,1, 1.0000000000000000E+000, 4.2500000000000000E+002, 1.1125000715255737E+000, 8.6125000000000000E+004, 9.5819449424743652E-001, 2.7400000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 2.0000000949949026E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.8595446777343750E+002, 4.6927188523113728E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 4.7746469116210938E+002, 1.9999999949504854E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8595352172851562E+002, 4.6927188523113728E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7688636237144237E-006, 1.3220345973968506E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9723122548311949E-004, 4.7614266967773438E+002, 1.9913857158826431E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
16,1, 1.0000000000000000E+000, 5.0000000000000000E+002, 1.1140000820159912E+000, 8.5900000000000000E+004, 9.5747816562652588E-001, 2.7400000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 4.0000001899898052E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.8616839599609375E+002, 4.7050109133124352E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 5.9683086395263672E+001, 1.9999999949504854E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8616799926757812E+002, 4.7050109133124352E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1138185982417781E-006, 1.0504869371652603E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9888618569821119E-004, 5.9616611480712891E+001, 1.9965345927630551E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
17,1, 1.0000000000000000E+000, 5.7500000000000000E+002, 1.1154999732971191E+000, 8.5675000000000000E+004, 9.5676046609878540E-001, 2.7400000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 8.0000003799796104E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.8638305664062500E+002, 4.7173667699098587E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 7.4603862762451172E+000, 1.9999999949504854E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8638290405273438E+002, 4.7173667699098587E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5607308152284531E-007, 4.3014075607061386E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9954393226653337E-004, 7.4569835662841797E+000, 1.9985811832157196E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
18,1, 1.0000000000000000E+000, 6.5000000000000000E+002, 1.1169999837875366E+000, 8.5450000000000000E+004, 9.5604145526885986E-001, 2.7400000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 2.0000000949949026E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.8659844970703125E+002, 4.7297887504100800E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 3.4104623413085938E+002, 1.4285715224104933E-006, 2.8659756469726562E+002, 4.7297887504100800E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5832191568042617E-006, 2.0137078762054443E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9741679150611162E-004, 3.4016525268554688E+002, 1.4220111097529298E-006
19,1, 1.0000000000000000E+000, 7.2500000000000000E+002, 1.1184999942779541E+000, 8.5225000000000000E+004, 9.5532107353210449E-001, 2.7400000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.8681457519531250E+002, 4.7422754578292370E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 1.0105075836181641E+002, 1.4285715224104933E-006, 2.8681402587890625E+002, 4.7422754578292370E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5421500165757607E-006, 3.5619527101516724E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9845789372920990E-004, 1.0089492797851562E+002, 1.4246550108509837E-006
20,1, 1.0000000000000000E+000, 8.0000000000000000E+002, 1.1200000047683716E+000, 8.5000000000000000E+004, 9.5459932088851929E-001, 2.7400000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 6.0000000521540642E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.8703143310546875E+002, 4.7548282891511917E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 1.2631344795227051E+001, 1.4285715224104933E-006, 2.8703121948242188E+002, 4.7548282891511917E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.4839633751034853E-007, 6.1152849346399307E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9935161415487528E-004, 1.2623154640197754E+001, 1.4269247685660957E-006
