case,repetition,dt_s,cell_depth_m,rho_kg_m3,pressure_pa,exner,temperature_k,cloud_diameter_m,rain_diameter_m,snow_diameter_m,graupel_diameter_m,hail_diameter_m,graupel_density_kg_m3,hail_density_kg_m3,theta_before_k,qv_before,qc_before,qnc_before_per_kg,qr_before,qnr_before_per_kg,qs_before,qns_before_per_kg,qg_before,qng_before_per_kg,qvolg_before_m3_per_kg,qh_before,qnh_before_per_kg,qvolh_before_m3_per_kg,theta_after_k,qv_after,qc_after,qnc_after_per_kg,qr_after,qnr_after_per_kg,qs_after,qns_after_per_kg,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qh_after,qnh_after_per_kg,qvolh_after_m3_per_kg
10,0, 1.0000000149011612E-001, 5.7500000000000000E+002, 1.2350000143051147E+000, 9.4750000000000000E+004, 9.8470032215118408E-001, 2.7320001220703125E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.7744482421875000E+002, 4.0251766331493855E-003, 7.9999997979030013E-004, 5.6588424000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 7.6394350585937500E+003, 3.9999999899009708E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7744479370117188E+002, 4.0251766331493855E-003, 7.9874932998791337E-004, 5.6499956000000000E+007, 1.3319532854438876E-006, 1.6202938556671143E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999188371002674E-003, 7.6391240234375000E+003, 3.9997471503738780E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
11,0, 1.0000000149011612E-001, 6.5000000000000000E+002, 1.2365000247955322E+000, 9.4525000000000000E+004, 9.8403120040893555E-001, 2.7500000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.7946267700195312E+002, 4.5947036705911160E-003, 7.9999997979030013E-004, 5.6588420000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 2.0210151672363281E+002, 2.8571430448209867E-006, 2.7946243286132812E+002, 4.5947036705911160E-003, 7.9930754145607352E-004, 5.6539444000000000E+007, 1.3733309742747224E-006, 2.3125943541526794E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9993192981928587E-003, 2.0203269958496094E+002, 2.8554136406455655E-006
12,0, 1.0000000149011612E-001, 7.2500000000000000E+002, 1.2380000352859497E+000, 9.4300000000000000E+004, 9.8336100578308105E-001, 2.8000000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.8473776245117188E+002, 6.5419115126132965E-003, 1.5000000130385160E-003, 1.0610329600000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 7.6394350585937500E+003, 3.9999999899009708E-006, 2.0000000949949026E-003, 2.0210151672363281E+002, 2.8571430448209867E-006, 2.8473251342773438E+002, 6.5419115126132965E-003, 1.4963527210056782E-003, 1.0584531200000000E+008, 1.9186645658919588E-005, 5.1856628417968750E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9872742705047131E-003, 7.5908261718750000E+003, 3.9604083212907426E-006, 1.9971865694969893E-003, 2.0181721496582031E+002, 2.8499973723228322E-006
13,0, 1.0000000149011612E-001, 8.0000000000000000E+002, 1.2395000457763672E+000, 9.4075000000000000E+004, 9.8268961906433105E-001, 2.7400000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.7882659912109375E+002, 4.2961509898304939E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 7.0735525000000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7882110595703125E+002, 4.2961509898304939E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6273550500045530E-005, 3.8370597656250000E+004, 9.8372646607458591E-004, 6.9584406250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
14,0, 1.0000000149011612E-001, 3.5000000000000000E+002, 1.2410000562667847E+000, 9.3850000000000000E+004, 9.8201709985733032E-001, 2.7400000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 5.0000002374872565E-004, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.7901754760742188E+002, 4.3064509518444538E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 3.0557740234375000E+004, 1.9999999949504854E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7901690673828125E+002, 4.3064509518444538E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8584131566967699E-006, 5.6788894653320312E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9814159329980612E-004, 3.0500949218750000E+004, 1.9942181097576395E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
15,0, 1.0000000149011612E-001, 4.2500000000000000E+002, 1.2425000667572021E+000, 9.3625000000000000E+004, 9.8134344816207886E-001, 2.7400000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 2.0000000949949026E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.7920907592773438E+002, 4.3168002739548683E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 4.7746472167968750E+002, 1.9999999949504854E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7920898437500000E+002, 4.3168002739548683E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7401767965784529E-007, 1.3083375990390778E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9972600582987070E-004, 4.7733389282226562E+002, 1.9991473436675733E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
16,0, 1.0000000149011612E-001, 5.0000000000000000E+002, 1.2440000772476196E+000, 9.3400000000000000E+004, 9.8066860437393188E-001, 2.7400000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 4.0000001899898052E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.7940121459960938E+002, 4.3271994218230247E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 5.9683086395263672E+001, 1.9999999949504854E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7940118408203125E+002, 4.3271994218230247E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1028284774283748E-007, 1.0401216335594654E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9988980218768120E-004, 5.9676506042480469E+001, 1.9996568880742416E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
17,0, 1.0000000149011612E-001, 5.7500000000000000E+002, 1.2455000877380371E+000, 9.3175000000000000E+004, 9.7999262809753418E-001, 2.7400000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 8.0000003799796104E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.7959393310546875E+002, 4.3376488611102104E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 7.4603857994079590E+000, 1.9999999949504854E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7959390258789062E+002, 4.3376488611102104E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5167304563165089E-008, 4.2599090375006199E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9995487835258245E-004, 7.4600486755371094E+000, 1.9998594780190615E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
18,0, 1.0000000149011612E-001, 6.5000000000000000E+002, 1.2469999790191650E+000, 9.2950000000000000E+004, 9.7931545972824097E-001, 2.7400000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 2.0000000949949026E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.7978726196289062E+002, 4.3481485918164253E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 3.4104623413085938E+002, 1.4285715224104933E-006, 2.7978717041015625E+002, 4.3481485918164253E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5543954507156741E-007, 1.9912385940551758E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9974463228136301E-004, 3.4095910644531250E+002, 1.4279227116276161E-006
19,0, 1.0000000149011612E-001, 7.2500000000000000E+002, 1.2484999895095825E+000, 9.2725000000000000E+004, 9.7863715887069702E-001, 2.7400000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.7998120117187500E+002, 4.3586995452642441E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 1.0105075836181641E+002, 1.4285715224104933E-006, 2.7998114013671875E+002, 4.3586995452642441E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5252889795647206E-007, 3.5230077803134918E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9984754342585802E-004, 1.0103534698486328E+002, 1.4281841913543758E-006
