case,i,k,dt_s,rho_kg_m3,cloud_radius_m,rain_volume_diameter_m,qc_before,nc_before_per_kg,qr_before,nr_before_per_kg,qc_after_accretion,qr_after_accretion,nc_after_accretion_per_kg,nr_after_accretion_per_kg
3,4,7, 1.0000000000000000E+001, 8.7999987602233887E-001, 4.9999998736893758E-006, 2.0999999251216650E-003, 1.1230312520638108E-004, 2.1448318400000000E+008, 1.7893216863740236E-004, 3.6900459289550781E+001, 1.1128102778457105E-004, 1.7995426605921239E-004, 2.1253112000000000E+008, 3.6900459289550781E+001
4,1,8, 3.0000000000000000E+001, 7.7499991655349731E-001, 6.0000002122251317E-006, 2.6000000070780516E-003, 1.8530014494899660E-004, 2.0480158400000000E+008, 1.9999999494757503E-005, 2.1732571125030518E+000, 1.8480212020222098E-004, 2.0498031517490745E-005, 2.0425115200000000E+008, 2.1732571125030518E+000
5,2,8, 6.0000000000000000E+001, 7.8499990701675415E-001, 7.4999998105340637E-006, 2.7199999894946814E-003, 3.0574522679671645E-004, 1.7301640000000000E+008, 3.0999999580672011E-005, 2.9420912265777588E+000, 3.0316493939608335E-004, 3.3580301533220336E-005, 1.7155624000000000E+008, 3.1670925617218018E+000
6,3,8, 1.0000000000000000E+001, 7.9499989748001099E-001, 7.4999998105340637E-006, 3.4999998752027750E-004, 2.4999999368446879E-005, 1.4147106000000000E+007, 4.8049998440546915E-005, 2.1403776855468750E+003, 2.4944791221059859E-005, 4.8105204768944532E-005, 1.4115867000000000E+007, 2.1403776855468750E+003
7,4,8, 5.0000000000000000E+000, 8.0499988794326782E-001, 9.9999997473787516E-006, 2.0999999833293259E-004, 4.1249997593695298E-005, 9.8477120000000000E+006, 7.4477487942203879E-005, 1.5359190429687500E+004, 4.1178402170771733E-005, 7.4549083365127444E-005, 9.8306340000000000E+006, 1.5359190429687500E+004
8,1,9, 5.0000000000000000E-001, 6.9999992847442627E-001, 1.9999999494757503E-005, 8.4999999671708792E-005, 6.8062494392506778E-005, 2.0310906250000000E+006, 1.1544011067599058E-004, 3.5900553125000000E+005, 6.7895001848228276E-005, 1.1560760322026908E-004, 2.0261031250000000E+006, 3.5900553125000000E+005
9,2,9, 1.0000000000000000E+000, 7.0999991893768311E-001, 2.4999999368446879E-005, 9.8999997135251760E-005, 1.1230312520638108E-004, 1.7158653750000000E+006, 1.7893216863740236E-004, 3.5219568750000000E+005, 1.1092780914623290E-004, 1.8030748469755054E-004, 1.6949215000000000E+006, 3.5219568750000000E+005
10,3,9, 2.0000000000000000E+000, 7.1999990940093994E-001, 2.9999999242136255E-005, 1.0099999781232327E-004, 1.8530014494899660E-004, 1.6384130000000000E+006, 1.9999999494757503E-005, 3.7073800781250000E+004, 1.8525637278798968E-004, 2.0043778931722045E-005, 1.6380832500000000E+006, 3.7073800781250000E+004
11,4,9, 1.0000000000000000E+001, 7.2999989986419678E-001, 4.9999998736893758E-005, 3.0000001424923539E-004, 3.0574522679671645E-004, 5.8393037500000000E+005, 3.0999999580672011E-005, 2.1928000488281250E+003, 3.0531568336300552E-004, 3.1429543014382944E-005, 5.8313831250000000E+005, 2.1928000488281250E+003
0,1,10, 1.0000000149011612E-001, 6.2499994039535522E-001, 4.9999998736893758E-006, 5.0000002374872565E-004, 2.4999999368446879E-005, 4.7746484000000000E+007, 4.8049998440546915E-005, 7.3414941406250000E+002, 2.4999999368446879E-005, 4.8049998440546915E-005, 4.7746484000000000E+007, 7.3414941406250000E+002
