case,i,k,dt_s,pressure_pa,exner,rho_kg_m3,temperature_k,relative_humidity,qv_before,theta_before_k,qr_before,nr_before_per_kg,qv_after,theta_after_k,qr_after,nr_after_per_kg
2,3,7, 1.0000000000000000E+000, 7.9366000000000000E+004, 9.3606466054916382E-001, 9.7858136892318726E-001, 2.8172601318359375E+002, 5.5000001192092896E-001, 4.8097027465701103E-003, 3.0096853637695312E+002, 1.9999999494757503E-005, 3.8197171875000000E+004, 4.8104124143719673E-003, 3.0096667480468750E+002, 1.9290444470243528E-005, 3.6842019531250000E+004
3,4,7, 5.0000000000000000E+000, 9.4366000000000000E+004, 9.8355776071548462E-001, 1.1365516185760498E+000, 2.8772601318359375E+002, 8.0000001192092896E-001, 8.7518310174345970E-003, 2.9253594970703125E+002, 9.9999997473787516E-005, 7.0735488281250000E+003, 8.7535297498106956E-003, 2.9253170776367188E+002, 9.8301250545773655E-005, 6.9533876953125000E+003
4,1,8, 1.0000000000000000E+001, 9.9366000000000000E+004, 9.9818331003189087E-001, 1.1637220382690430E+000, 2.9472601318359375E+002, 9.4999998807907104E-001, 1.5324308536946774E-002, 2.9526242065429688E+002, 5.0000002374872565E-004, 2.7840502929687500E+003, 1.5325926244258881E-002, 2.9525845336914062E+002, 4.9838254926726222E-004, 2.7750439453125000E+003
5,2,8, 6.0000000000000000E+001, 8.9366000000000000E+004, 9.6836781501770020E-001, 1.0157058238983154E+000, 3.0472601318359375E+002, 3.0000001192092896E-001, 9.6949040889739990E-003, 3.1468002319335938E+002, 2.0000000949949026E-003, 1.1317679443359375E+003, 9.8949037492275238E-003, 3.1418103027343750E+002, 1.8000000854954123E-003, 1.0185911865234375E+003
6,3,8, 3.0000000000000000E+001, 6.9366000000000000E+004, 9.0070879459381104E-001, 7.9141056537628174E-001, 2.9972601318359375E+002, 9.9000000953674316E-001, 3.0878486111760139E-002, 3.3276684570312500E+002, 1.0000000474974513E-003, 1.0262746429443359E+002, 3.0878908932209015E-002, 3.3276571655273438E+002, 9.9957734346389771E-004, 1.0258408355712891E+002
7,4,8, 2.0000000000000000E+001, 6.4366000000000000E+004, 8.8164871931076050E-001, 8.0701464414596558E-001, 2.7772601318359375E+002, 1.0000000149011612E-001, 8.1851083086803555E-004, 3.1500756835937500E+002, 4.9999998736893758E-005, 2.8294195312500000E+004, 8.2351081073284149E-004, 3.1499349975585938E+002, 4.5000000682193786E-005, 2.5464775390625000E+004
8,1,9, 2.0000000000000000E+000, 5.9366000000000000E+004, 8.6149996519088745E-001, 7.2230732440948486E-001, 2.8472601318359375E+002, 6.4999997615814209E-001, 9.2901373282074928E-003, 3.3050030517578125E+002, 7.9999997979030013E-004, 1.2223091796875000E+004, 9.2947352677583694E-003, 3.3048715209960938E+002, 7.9540209844708443E-004, 1.2152840820312500E+004
9,2,9, 5.0000000000000000E-001, 8.4366000000000000E+004, 9.5255821943283081E-001, 1.0027010440826416E+000, 2.9172601318359375E+002, 5.0000000000000000E-001, 7.8902440145611763E-003, 3.0625531005859375E+002, 9.9999997473787516E-005, 1.9098580932617188E+002, 7.8903408721089363E-003, 3.0625506591796875E+002, 9.9903001682832837E-005, 1.9080055236816406E+002
10,3,9, 1.2000000000000000E+002, 7.4366000000000000E+004, 9.1881144046783447E-001, 8.6005836725234985E-001, 2.9772601318359375E+002, 7.5000000000000000E-001, 1.9379489123821259E-002, 3.2403384399414062E+002, 3.0000000260770321E-003, 7.1619677734375000E+002, 1.9550574943423271E-002, 3.2358093261718750E+002, 2.8289149049669504E-003, 6.7535321044921875E+002
11,4,9, 3.0000000000000000E+002, 9.9366000000000000E+004, 9.9818331003189087E-001, 1.1174197196960449E+000, 3.0972601318359375E+002, 9.9999997764825821E-003, 3.8388746907003224E-004, 3.1028970336914062E+002, 9.9999997764825821E-003, 9.7030853271484375E+002, 1.3838874874636531E-003, 3.0788076782226562E+002, 8.9999996125698090E-003, 8.7327770996093750E+002
0,1,10, 1.0000000000000000E+000, 9.9049000000000000E+004, 9.9727183580398560E-001, 1.2323912382125854E+000, 2.7958898925781250E+002, 4.0000000596046448E-001, 2.4216102901846170E-003, 2.8035385131835938E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4216102901846170E-003, 2.8035385131835938E+002, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,10, 1.0000000149011612E-001, 8.9049000000000000E+004, 9.6738451719284058E-001, 1.1291549205780029E+000, 2.7458898925781250E+002, 2.0000000298023224E-001, 9.4702636124566197E-004, 2.8384680175781250E+002, 4.9999998736893758E-006, 1.8650962890625000E+004, 9.4705977244302630E-004, 2.8384671020507812E+002, 4.9665786718833260E-006, 1.8526294921875000E+004
2,3,10, 1.0000000000000000E+000, 7.9049000000000000E+004, 9.3499422073364258E-001, 9.7516226768493652E-001, 2.8158898925781250E+002, 5.5000001192092896E-001, 4.7840019688010216E-003, 3.0116656494140625E+002, 1.9999999494757503E-005, 3.8197171875000000E+004, 4.7847088426351547E-003, 3.0116470336914062E+002, 1.9292900105938315E-005, 3.6846710937500000E+004
3,4,10, 5.0000000000000000E+000, 9.4049000000000000E+004, 9.8261201381683350E-001, 1.1333066225051880E+000, 2.8758898925781250E+002, 8.0000001192092896E-001, 8.7033538147807121E-003, 2.9267807006835938E+002, 9.9999997473787516E-005, 7.0735488281250000E+003, 8.7050469592213631E-003, 2.9267382812500000E+002, 9.8307034932076931E-005, 6.9537958984375000E+003
4,1,11, 1.0000000000000000E+001, 9.9049000000000000E+004, 9.9727183580398560E-001, 1.1606050729751587E+000, 2.9458898925781250E+002, 9.4999998807907104E-001, 1.5244096517562866E-002, 2.9539486694335938E+002, 5.0000002374872565E-004, 2.7840502929687500E+003, 1.5245708636939526E-002, 2.9539093017578125E+002, 4.9838749691843987E-004, 2.7750715332031250E+003
5,2,11, 6.0000000000000000E+001, 8.9049000000000000E+004, 9.6738451719284058E-001, 1.0125833749771118E+000, 3.0458898925781250E+002, 3.0000001192092896E-001, 9.6535636112093925E-003, 3.1485824584960938E+002, 2.0000000949949026E-003, 1.1317679443359375E+003, 9.8535632714629173E-003, 3.1435867309570312E+002, 1.8000000854954123E-003, 1.0185911254882812E+003
6,3,11, 3.0000000000000000E+001, 6.9049000000000000E+004, 8.9953005313873291E-001, 7.8820568323135376E-001, 2.9958898925781250E+002, 9.9000000953674316E-001, 3.0769187957048416E-002, 3.3305056762695312E+002, 1.0000000474974513E-003, 1.0262746429443359E+002, 3.0769608914852142E-002, 3.3304943847656250E+002, 9.9957850761711597E-004, 1.0258419036865234E+002
7,4,11, 2.0000000000000000E+001, 6.4049000000000000E+004, 8.8040512800216675E-001, 8.0343842506408691E-001, 2.7758898925781250E+002, 1.0000000149011612E-001, 8.1464409595355392E-004, 3.1529687500000000E+002, 4.9999998736893758E-005, 2.8294195312500000E+004, 8.1964407581835985E-004, 3.1528277587890625E+002, 4.5000000682193786E-005, 2.5464777343750000E+004
8,1,12, 2.0000000000000000E+000, 5.9049000000000000E+004, 8.6018228530883789E-001, 7.1881157159805298E-001, 2.8458898925781250E+002, 6.4999997615814209E-001, 9.2550711706280708E-003, 3.3084729003906250E+002, 7.9999997979030013E-004, 1.2223091796875000E+004, 9.2596551403403282E-003, 3.3083416748046875E+002, 7.9541612649336457E-004, 1.2153055664062500E+004
9,2,12, 5.0000000000000000E-001, 8.4049000000000000E+004, 9.5153361558914185E-001, 9.9942600727081299E-001, 2.9158898925781250E+002, 5.0000000000000000E-001, 7.8518483787775040E-003, 3.0644107055664062E+002, 9.9999997473787516E-005, 1.9098580932617188E+002, 7.8519452363252640E-003, 3.0644082641601562E+002, 9.9903299997095019E-005, 1.9080113220214844E+002
10,3,12, 1.2000000000000000E+002, 7.4049000000000000E+004, 9.1769003868103027E-001, 8.5682618618011475E-001, 2.9758898925781250E+002, 7.5000000000000000E-001, 1.9302528351545334E-002, 3.2428051757812500E+002, 3.0000000260770321E-003, 7.1619677734375000E+002, 1.9473141059279442E-002, 3.2382824707031250E+002, 2.8293870855122805E-003, 6.7546594238281250E+002
11,4,12, 3.0000000000000000E+002, 9.9049000000000000E+004, 9.9727183580398560E-001, 1.1143490076065063E+000, 3.0958898925781250E+002, 9.9999997764825821E-003, 3.8222176954150200E-004, 3.1043591308593750E+002, 9.9999997764825821E-003, 9.7030853271484375E+002, 1.3822218170389533E-003, 3.0802447509765625E+002, 8.9999996125698090E-003, 8.7327764892578125E+002
