case,repetition,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,rain_diameter_m,ice_diameter_m,snow_diameter_m,graupel_diameter_m,hail_diameter_m,graupel_density_kg_m3,hail_density_kg_m3,theta_before_k,qv_before,qc_before,qr_before,qnr_before_per_kg,qi_before,qni_before_per_kg,qs_before,qns_before_per_kg,qg_before,qng_before_per_kg,qvolg_before_m3_per_kg,qh_before,qnh_before_per_kg,qvolh_before_m3_per_kg,theta_after_k,qv_after,qc_after,qr_after,qnr_after_per_kg,qi_after,qni_after_per_kg,qs_after,qns_after_per_kg,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qh_after,qnh_after_per_kg,qvolh_after_m3_per_kg
10,0, 1.0000000149011612E-001, 1.2350000143051147E+000, 9.3500000000000000E+004, 9.8096871376037598E-001, 2.4000000000000000E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4465612792968750E+002, 2.4606965598650277E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 6.9724456250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 3.3157272338867188E+001, 1.1111111462014378E-006, 2.4465612792968750E+002, 2.4606965598650277E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9998506468255073E-004, 6.9719325000000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000149486586452E-003, 3.3157272338867188E+001, 1.1111409321529209E-006
11,0, 1.0000000149011612E-001, 1.2365000247955322E+000, 9.3250000000000000E+004, 9.8021811246871948E-001, 2.4019999694824219E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4504750061035156E+002, 2.5162479141727090E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 3.5367762500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 3.3157272338867188E+001, 1.1111111462014378E-006, 2.4504750061035156E+002, 2.5162479141727090E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9999920884147286E-004, 3.5367712500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000008624047041E-003, 3.3157272338867188E+001, 1.1111127378171659E-006
12,0, 1.0000000149011612E-001, 1.2380000352859497E+000, 9.3000000000000000E+004, 9.7946608066558838E-001, 2.4039999389648438E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4543983459472656E+002, 2.5729730259627104E-004, 0.0000000000000000E+000, 5.0000002374872565E-004, 9.5492938232421875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 3.3157272338867188E+001, 1.1111111462014378E-006, 2.4543988037109375E+002, 2.5729730259627104E-004, 0.0000000000000000E+000, 4.9981765914708376E-004, 9.5475183105468750E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0001823538914323E-003, 3.3157272338867188E+001, 1.1113137361462577E-006
13,0, 1.0000000149011612E-001, 1.2395000457763672E+000, 9.2750000000000000E+004, 9.7871255874633789E-001, 2.4060000610351562E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4583316040039062E+002, 2.6308998349122703E-004, 9.9999998245167004E-014, 5.0000002374872565E-004, 9.5492938232421875E+002, 1.9999999494757503E-004, 6.9724456250000000E+005, 5.0000002374872565E-004, 3.5367762500000000E+005, 1.0000000474974513E-003, 1.1317684326171875E+003, 1.9999999949504854E-006, 1.0000000474974513E-003, 3.3157272338867188E+001, 1.1111111462014378E-006, 2.4583349609375000E+002, 2.6308998349122703E-004, 9.9999998245167004E-014, 4.9870391376316547E-004, 9.5419812011718750E+002, 1.9998414791189134E-004, 6.9719018750000000E+005, 4.9999874318018556E-004, 3.5367671875000000E+005, 1.0011150734499097E-003, 1.1317684326171875E+003, 2.0022353055537678E-006, 1.0001983027905226E-003, 3.3157272338867188E+001, 1.1113455684608198E-006
14,0, 1.0000000149011612E-001, 1.2410000562667847E+000, 9.2500000000000000E+004, 9.7795766592025757E-001, 2.4080000305175781E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 1.5000000712461770E-004, 1.5000000130385160E-003, 1.5000000130385160E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4622743225097656E+002, 2.6900385273620486E-004, 9.9999998245167004E-014, 4.9999998736893758E-006, 9.5492935180664062E+000, 3.0000001061125658E-006, 1.0458668945312500E+004, 4.9999998882412910E-003, 2.8294206000000000E+007, 5.0000000745058060E-002, 5.6588414062500000E+004, 1.0000000474974513E-004, 5.0000000745058060E-002, 3.1438015625000000E+004, 5.5555556173203513E-005, 2.4622763061523438E+002, 2.6900385273620486E-004, 9.9999998245167004E-014, 4.2307274270569906E-006, 9.1308345794677734E+000, 2.9814589197485475E-006, 1.0396413085937500E+004, 4.9990164116024971E-003, 2.8289582000000000E+007, 5.0000794231891632E-002, 5.6588414062500000E+004, 1.0000272595789284E-004, 5.0000980496406555E-002, 3.1438015625000000E+004, 5.5557273299200460E-005
15,0, 1.0000000149011612E-001, 1.2425000667572021E+000, 9.2250000000000000E+004, 9.7720122337341309E-001, 2.4100000000000000E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 8.0000003799796104E-003, 1.7000000000000000E+002, 5.0000000000000000E+002, 2.4662269592285156E+002, 2.7504304307512939E-004, 9.9999998245167004E-014, 7.9999997979030013E-004, 1.5278869628906250E+003, 3.0000001424923539E-004, 1.0458669375000000E+006, 7.9999997979030013E-004, 1.2223096875000000E+005, 2.0000000949949026E-003, 8.3218267822265625E+002, 1.1764706869143993E-005, 2.0000000949949026E-003, 1.4920772552490234E+001, 3.9999999899009708E-006, 2.4662359619140625E+002, 2.7504304307512939E-004, 9.9999998245167004E-014, 7.9658004688099027E-004, 1.5249116210937500E+003, 2.9995210934430361E-004, 1.0457011250000000E+006, 7.9999788431450725E-004, 1.2223058593750000E+005, 2.0029647275805473E-003, 8.3218267822265625E+002, 1.1770644050557166E-005, 2.0005053374916315E-003, 1.4920772552490234E+001, 4.0006038943829481E-006
16,0, 1.0000000149011612E-001, 1.2440000772476196E+000, 9.2000000000000000E+004, 9.7644340991973877E-001, 2.4119999694824219E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 1.8000000636675395E-005, 5.0000002374872565E-004, 5.0000002374872565E-004, 1.7000000000000000E+002, 5.0000000000000000E+002, 2.4701892089843750E+002, 2.8120877686887980E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000001061125658E-006, 1.0458668945312500E+004, 5.0000002374872565E-004, 1.6373964800000000E+009, 5.0000000745058060E-002, 4.4937855000000000E+006, 2.9411766445264220E-004, 5.0000000745058060E-002, 1.5278870000000000E+006, 1.0000000474974513E-004, 2.4701892089843750E+002, 2.8120877686887980E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9521236228902126E-006, 1.0307860351562500E+004, 4.9987877719104290E-004, 1.6370232320000000E+009, 5.0000000745058060E-002, 4.4937855000000000E+006, 2.9411766445264220E-004, 5.0000168383121490E-002, 1.5278870000000000E+006, 1.0000034671975300E-004
17,0, 1.0000000149011612E-001, 1.2455000877380371E+000, 9.1750000000000000E+004, 9.7568404674530029E-001, 2.4139999389648438E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 1.5000000712461770E-004, 3.4999998752027750E-004, 5.0000002374872565E-004, 9.0000000000000000E+002, 5.0000000000000000E+002, 2.4741615295410156E+002, 2.8750393539667130E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9999998736893758E-006, 2.8294207031250000E+004, 1.0000000149011612E-001, 4.9494250000000000E+006, 1.1111111234640703E-004, 5.0000000745058060E-002, 1.5278870000000000E+006, 1.0000000474974513E-004, 2.4741615295410156E+002, 2.8750393539667130E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9947434490604792E-006, 2.8277246093750000E+004, 1.0000000149011612E-001, 4.9494250000000000E+006, 1.1111112689832225E-004, 5.0000004470348358E-002, 1.5278870000000000E+006, 9.9999997473787516E-005
18,0, 1.0000000149011612E-001, 1.2469999790191650E+000, 9.1500000000000000E+004, 9.7492325305938721E-001, 2.4160000610351562E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 1.5000000130385160E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4781439208984375E+002, 2.9393163276836276E-004, 0.0000000000000000E+000, 4.9999998736893758E-006, 9.5492935180664062E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000000745058060E-002, 5.6588417968750000E+004, 1.0000000474974513E-004, 5.0000000745058060E-002, 3.1438013671875000E+004, 5.5555556173203513E-005, 2.4781459045410156E+002, 2.9393163276836276E-004, 0.0000000000000000E+000, 4.2300775930925738E-006, 9.1298246383666992E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000499933958054E-002, 5.6588417968750000E+004, 1.0000100883189589E-004, 5.0000268965959549E-002, 3.1438013671875000E+004, 5.5555850849486887E-005
19,0, 1.0000000149011612E-001, 1.2484999895095825E+000, 9.1250000000000000E+004, 9.7416096925735474E-001, 2.4180000305175781E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 3.4999998752027750E-004, 5.0000002374872565E-004, 9.0000000000000000E+002, 7.0000000000000000E+002, 2.4821360778808594E+002, 3.0049300403334200E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000149011612E-001, 4.9494250000000000E+006, 1.1111111962236464E-004, 5.0000000745058060E-002, 1.0913478750000000E+006, 7.1428570663556457E-005, 2.4821360778808594E+002, 3.0049300403334200E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000149011612E-001, 4.9494250000000000E+006, 1.1111111962236464E-004, 5.0000000745058060E-002, 1.0913478750000000E+006, 7.1428570663556457E-005
