case,repetition,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,rain_diameter_m,ice_diameter_m,snow_diameter_m,graupel_diameter_m,hail_diameter_m,graupel_density_kg_m3,hail_density_kg_m3,theta_before_k,qv_before,qc_before,qr_before,qnr_before_per_kg,qi_before,qni_before_per_kg,qs_before,qns_before_per_kg,qg_before,qng_before_per_kg,qvolg_before_m3_per_kg,qh_before,qnh_before_per_kg,qvolh_before_m3_per_kg,theta_after_k,qv_after,qc_after,qr_after,qnr_after_per_kg,qi_after,qni_after_per_kg,qs_after,qns_after_per_kg,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qh_after,qnh_after_per_kg,qvolh_after_m3_per_kg
0,1, 1.0000000000000000E+000, 1.0900000333786011E+000, 8.8000000000000000E+004, 9.6411269903182983E-001, 2.3800000000000000E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4685910034179688E+002, 2.1435362577904016E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4685910034179688E+002, 2.1435362577904016E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,1, 1.0000000000000000E+000, 1.0915000438690186E+000, 8.7750000000000000E+004, 9.6332883834838867E-001, 2.3819999694824219E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4726759338378906E+002, 2.1931508672423661E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 6.9724456250000000E+005, 5.0000002374872565E-004, 3.5367762500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4726759338378906E+002, 2.1931508672423661E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999791402369738E-004, 6.9723731250000000E+005, 5.0000211922451854E-004, 3.5367762500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,1, 1.0000000000000000E+000, 1.0930000543594360E+000, 8.7500000000000000E+004, 9.6254336833953857E-001, 2.3839999389648438E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4767713928222656E+002, 2.2438434825744480E-004, 0.0000000000000000E+000, 5.0000002374872565E-004, 9.5492944335937500E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 3.5367762500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4767713928222656E+002, 2.2438434825744480E-004, 0.0000000000000000E+000, 5.0000002374872565E-004, 9.5492944335937500E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 3.5367762500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,1, 1.0000000000000000E+000, 1.0945000648498535E+000, 8.7250000000000000E+004, 9.6175634860992432E-001, 2.3860000610351562E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4808778381347656E+002, 2.2956397151574492E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 6.9724456250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 1.1317684326171875E+003, 1.9999999949504854E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4808778381347656E+002, 2.2956397151574492E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999545475002378E-004, 6.9722937500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000045876950026E-003, 1.1317684326171875E+003, 2.0000265976705123E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,1, 1.0000000000000000E+000, 1.0960000753402710E+000, 8.7000000000000000E+004, 9.6096765995025635E-001, 2.3880000305175781E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 2.9999999242136255E-005, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4849952697753906E+002, 2.3485516430810094E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 3.5367766400000000E+008, 1.0000000474974513E-003, 1.1317684326171875E+003, 1.9999999949504854E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4849952697753906E+002, 2.3485516430810094E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 3.5367766400000000E+008, 1.0000000474974513E-003, 1.1317684326171875E+003, 1.9999999949504854E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,1, 1.0000000000000000E+000, 1.0975000858306885E+000, 8.6750000000000000E+004, 9.6017736196517944E-001, 2.3900000000000000E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 7.9999997979030013E-005, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4891235351562500E+002, 2.4026160826906562E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 1.8650972000000000E+007, 1.0000000474974513E-003, 1.1317684326171875E+003, 1.9999999949504854E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4891235351562500E+002, 2.4026160826906562E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9999856855720282E-004, 1.8650924000000000E+007, 1.0000015608966351E-003, 1.1317684326171875E+003, 2.0000086351501523E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
6,1, 1.0000000000000000E+000, 1.0989999771118164E+000, 8.6500000000000000E+004, 9.5938545465469360E-001, 2.3919999694824219E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 1.9999999494757503E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 2.9000000000000000E+002, 9.0000000000000000E+002, 2.4932626342773438E+002, 2.4578455486334860E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 1.1936622500000000E+006, 1.0000000474974513E-003, 1.9513249511718750E+003, 3.4482759474485647E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4932626342773438E+002, 2.4578455486334860E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 1.1936622500000000E+006, 1.0000000474974513E-003, 1.9513249511718750E+003, 3.4482759474485647E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,1, 1.0000000000000000E+000, 1.1004999876022339E+000, 8.6250000000000000E+004, 9.5859193801879883E-001, 2.3939999389648438E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 1.9999999494757503E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 4.5000000000000000E+002, 9.0000000000000000E+002, 2.4974130249023438E+002, 2.5142671074718237E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 1.1936622500000000E+006, 1.0000000474974513E-003, 1.2575205078125000E+003, 2.2222222924028756E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4974130249023438E+002, 2.5142671074718237E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9999589100480080E-004, 1.1936545000000000E+006, 1.0000041220337152E-003, 1.2575205078125000E+003, 2.2222463940124726E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,1, 1.0000000000000000E+000, 1.1019999980926514E+000, 8.6000000000000000E+004, 9.5779669284820557E-001, 2.3960000610351562E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.5015748596191406E+002, 2.5719092809595168E-004, 0.0000000000000000E+000, 5.0000002374872565E-004, 9.5492938232421875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 1.1317684326171875E+003, 1.9999999949504854E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5016026306152344E+002, 2.5719092809595168E-004, 0.0000000000000000E+000, 4.8949947813525796E-004, 9.4970971679687500E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0105005931109190E-003, 1.1317684326171875E+003, 2.0210009097354487E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
9,1, 1.0000000000000000E+000, 1.1035000085830688E+000, 8.5750000000000000E+004, 9.5699989795684814E-001, 2.3980000305175781E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.5057473754882812E+002, 2.6307860389351845E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 6.9724456250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 3.3157272338867188E+001, 1.1111111462014378E-006, 2.5057473754882812E+002, 2.6307860389351845E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 6.9724456250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 3.3157272338867188E+001, 1.1111111462014378E-006
10,1, 1.0000000000000000E+000, 1.1050000190734863E+000, 8.5500000000000000E+004, 9.5620137453079224E-001, 2.4000000000000000E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.5099314880371094E+002, 2.6909372536465526E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 6.9724456250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 3.3157272338867188E+001, 1.1111111462014378E-006, 2.5099314880371094E+002, 2.6909372536465526E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9985875405836850E-004, 6.9675918750000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0001412592828274E-003, 3.3157272338867188E+001, 1.1113936579931760E-006
11,1, 1.0000000000000000E+000, 1.1065000295639038E+000, 8.5250000000000000E+004, 9.5540118217468262E-001, 2.4019999694824219E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.5141270446777344E+002, 2.7523766038939357E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 3.5367762500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 3.3157272338867188E+001, 1.1111111462014378E-006, 2.5141270446777344E+002, 2.7523766038939357E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9999228212982416E-004, 3.5367287500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000077309086919E-003, 3.3157272338867188E+001, 1.1111264939245302E-006
12,1, 1.0000000000000000E+000, 1.1080000400543213E+000, 8.5000000000000000E+004, 9.5459932088851929E-001, 2.4039999389648438E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.5183340454101562E+002, 2.8151352307759225E-004, 0.0000000000000000E+000, 5.0000002374872565E-004, 9.5492938232421875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 3.3157272338867188E+001, 1.1111111462014378E-006, 2.5183386230468750E+002, 2.8151352307759225E-004, 0.0000000000000000E+000, 4.9827480688691139E-004, 9.5324945068359375E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0017252061516047E-003, 3.3157272338867188E+001, 1.1130280199722620E-006
13,1, 1.0000000000000000E+000, 1.1095000505447388E+000, 8.4750000000000000E+004, 9.5379579067230225E-001, 2.4060000610351562E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.5225526428222656E+002, 2.8792439843527973E-004, 9.9999998245167004E-014, 5.0000002374872565E-004, 9.5492932128906250E+002, 1.9999999494757503E-004, 6.9724456250000000E+005, 5.0000002374872565E-004, 3.5367762500000000E+005, 1.0000000474974513E-003, 1.1317684326171875E+003, 1.9999999949504854E-006, 1.0000000474974513E-003, 3.3157272338867188E+001, 1.1111111462014378E-006, 2.5225854492187500E+002, 2.8792439843527973E-004, 9.9999998245167004E-014, 4.8773741582408547E-004, 9.4801086425781250E+002, 1.9985019753221422E-004, 6.9673012500000000E+005, 4.9998756730929017E-004, 3.5366915625000000E+005, 1.0105489054694772E-003, 1.1317684326171875E+003, 2.0211468836350832E-006, 1.0018759639933705E-003, 3.3157272338867188E+001, 1.1133284942843602E-006
14,1, 1.0000000000000000E+000, 1.1110000610351562E+000, 8.4500000000000000E+004, 9.5299053192138672E-001, 2.4080000305175781E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 1.5000000712461770E-004, 1.5000000130385160E-003, 1.5000000130385160E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.5267826843261719E+002, 2.9447168344631791E-004, 9.9999998245167004E-014, 4.9999998736893758E-006, 9.5492935180664062E+000, 3.0000001061125658E-006, 1.0458668945312500E+004, 4.9999998882412910E-003, 2.8294206000000000E+007, 5.0000000745058060E-002, 5.6588417968750000E+004, 1.0000000474974513E-004, 5.0000000745058060E-002, 3.1438015625000000E+004, 5.5555556173203513E-005, 2.5267854309082031E+002, 2.9447168344631791E-004, 9.9999998245167004E-014, 3.9999999899009708E-006, 7.6394348144531250E+000, 2.8245985959074460E-006, 9.8697246093750000E+003, 4.9906941130757332E-003, 2.8250452000000000E+007, 5.0003271549940109E-002, 5.6588417968750000E+004, 1.0001731425290927E-004, 5.0007209181785583E-002, 3.1438015625000000E+004, 5.5569529649801552E-005
15,1, 1.0000000000000000E+000, 1.1125000715255737E+000, 8.4250000000000000E+004, 9.5218360424041748E-001, 2.4100000000000000E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 8.0000003799796104E-003, 1.7000000000000000E+002, 5.0000000000000000E+002, 2.5310244750976562E+002, 3.0115988920442760E-004, 9.9999998245167004E-014, 7.9999997979030013E-004, 1.5278869628906250E+003, 3.0000001424923539E-004, 1.0458668750000000E+006, 7.9999997979030013E-004, 1.2223097656250000E+005, 2.0000000949949026E-003, 8.3218267822265625E+002, 1.1764706869143993E-005, 2.0000000949949026E-003, 1.4920771598815918E+001, 3.9999999899009708E-006, 2.5311116027832031E+002, 3.0115988920442760E-004, 9.9999998245167004E-014, 7.6763890683650970E-004, 1.4997326660156250E+003, 2.9954704223200679E-004, 1.0442998125000000E+006, 7.9997995635494590E-004, 1.2222738281250000E+005, 2.0280524622648954E-003, 8.3218267822265625E+002, 1.1820888175861910E-005, 2.0047817379236221E-003, 1.4920771598815918E+001, 4.0057157093542628E-006
16,1, 1.0000000000000000E+000, 1.1140000820159912E+000, 8.4000000000000000E+004, 9.5137494802474976E-001, 2.4119999694824219E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 1.8000000636675395E-005, 5.0000002374872565E-004, 5.0000002374872565E-004, 1.7000000000000000E+002, 5.0000000000000000E+002, 2.5352780151367188E+002, 3.0799055821262300E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000001061125658E-006, 1.0458668945312500E+004, 5.0000002374872565E-004, 1.6373964800000000E+009, 5.0000000745058060E-002, 4.4937855000000000E+006, 2.9411766445264220E-004, 5.0000000745058060E-002, 1.5278870000000000E+006, 1.0000000474974513E-004, 2.5352780151367188E+002, 3.0799055821262300E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6795114536071196E-006, 9.3454697265625000E+003, 4.9885193584486842E-004, 1.6338645760000000E+009, 5.0000011920928955E-002, 4.4937855000000000E+006, 2.9411772266030312E-004, 5.0001457333564758E-002, 1.5278870000000000E+006, 1.0000291513279080E-004
17,1, 1.0000000000000000E+000, 1.1154999732971191E+000, 8.3750000000000000E+004, 9.5056456327438354E-001, 2.4139999389648438E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 1.5000000712461770E-004, 3.4999998752027750E-004, 5.0000002374872565E-004, 9.0000000000000000E+002, 5.0000000000000000E+002, 2.5395433044433594E+002, 3.1496697920374572E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9999998736893758E-006, 2.8294207031250000E+004, 1.0000000149011612E-001, 4.9494250000000000E+006, 1.1111111234640703E-004, 5.0000000745058060E-002, 1.5278870000000000E+006, 1.0000000474974513E-004, 2.5395433044433594E+002, 3.1496697920374572E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9502527872391511E-006, 2.8133707031250000E+004, 1.0000003129243851E-001, 4.9494250000000000E+006, 1.1111126514151692E-004, 5.0000023096799850E-002, 1.5278870000000000E+006, 1.0000004840549082E-004
18,1, 1.0000000000000000E+000, 1.1169999837875366E+000, 8.3500000000000000E+004, 9.4975250959396362E-001, 2.4160000610351562E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 1.5000000130385160E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.5438206481933594E+002, 3.2209273194894195E-004, 0.0000000000000000E+000, 4.9999998736893758E-006, 9.5492935180664062E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000000745058060E-002, 5.6588417968750000E+004, 1.0000000474974513E-004, 5.0000000745058060E-002, 3.1438013671875000E+004, 5.5555559811182320E-005, 2.5438233947753906E+002, 3.2209273194894195E-004, 0.0000000000000000E+000, 3.9999999899009708E-006, 7.6394352912902832E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000499933958054E-002, 5.6588417968750000E+004, 1.0000100883189589E-004, 5.0000499933958054E-002, 3.1438013671875000E+004, 5.5556112783960998E-005
19,1, 1.0000000000000000E+000, 1.1184999942779541E+000, 8.3250000000000000E+004, 9.4893866777420044E-001, 2.4180000305175781E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 3.4999998752027750E-004, 5.0000002374872565E-004, 9.0000000000000000E+002, 7.0000000000000000E+002, 2.5481098937988281E+002, 3.2936921343207359E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000149011612E-001, 4.9494250000000000E+006, 1.1111111234640703E-004, 5.0000000745058060E-002, 1.0913478750000000E+006, 7.1428570663556457E-005, 2.5481098937988281E+002, 3.2936921343207359E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000149011612E-001, 4.9494250000000000E+006, 1.1111111234640703E-004, 5.0000000745058060E-002, 1.0913478750000000E+006, 7.1428570663556457E-005
0,2, 1.0000000000000000E+001, 9.6000003814697266E-001, 8.0000000000000000E+004, 9.3819642066955566E-001, 2.3800000000000000E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.5367822265625000E+002, 2.3578898981213570E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5367822265625000E+002, 2.3578898981213570E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2, 1.0000000000000000E+001, 9.6150004863739014E-001, 7.9750000000000000E+004, 9.3735730648040771E-001, 2.3819999694824219E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.5411868286132812E+002, 2.4131535610649735E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 6.9724456250000000E+005, 5.0000002374872565E-004, 3.5367762500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5411868286132812E+002, 2.4131535610649735E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9998165953438729E-004, 6.9718068750000000E+005, 5.0001835916191339E-004, 3.5367762500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,2, 1.0000000000000000E+001, 9.6300005912780762E-001, 7.9500000000000000E+004, 9.3651628494262695E-001, 2.3839999389648438E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.5456044006347656E+002, 2.4696390028111637E-004, 0.0000000000000000E+000, 5.0000002374872565E-004, 9.5492938232421875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 3.5367762500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5456044006347656E+002, 2.4696390028111637E-004, 0.0000000000000000E+000, 5.0000002374872565E-004, 9.5492938232421875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 3.5367762500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,2, 1.0000000000000000E+001, 9.6450001001358032E-001, 7.9250000000000000E+004, 9.3567335605621338E-001, 2.3860000610351562E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.5500352478027344E+002, 2.5273763458244503E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 6.9724456250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 1.1317684326171875E+003, 1.9999999949504854E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5500352478027344E+002, 2.5273763458244503E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9995741604361683E-004, 6.9710150000000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000426555052400E-003, 1.1317684326171875E+003, 2.0002503333671484E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
