d,h,pu,pq,pthnl,pthl,ptke
 1.0000000000000000E+004, 0.0000000000000000E+000, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.0000000000000000E+000
 2.0000000000000000E+004, 0.0000000000000000E+000, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.0000000000000000E+000
 5.0000000000000000E+004, 0.0000000000000000E+000, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.0000000000000000E+000
 5.0000000000000000E+001, 1.2000000000000000E+001, 9.8553729057312012E-001, 9.9416041374206543E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.8553729057312012E-001
 1.0000000000000000E+002, 1.2000000000000000E+001, 9.9476534128189087E-001, 9.9853342771530151E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9476534128189087E-001
 1.5800000000000000E+002, 1.2000000000000000E+001, 9.9728822708129883E-001, 9.9941194057464600E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9728822708129883E-001
 2.5000000000000000E+002, 1.2000000000000000E+001, 9.9858415126800537E-001, 9.9976503849029541E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9858415126800537E-001
 5.0000000000000000E+002, 1.2000000000000000E+001, 9.9946117401123047E-001, 9.9994122982025146E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9946117401123047E-001
 7.0700000000000000E+002, 1.2000000000000000E+001, 9.9966561794281006E-001, 9.9997067451477051E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9966561794281006E-001
 1.0000000000000000E+003, 1.2000000000000000E+001, 9.9979209899902344E-001, 9.9998533725738525E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9979209899902344E-001
 1.4140000000000000E+003, 1.2000000000000000E+001, 9.9987024068832397E-001, 9.9999260902404785E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9987024068832397E-001
 2.0000000000000000E+003, 1.2000000000000000E+001, 9.9991893768310547E-001, 9.9999630451202393E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9991893768310547E-001
 3.1620000000000000E+003, 1.2000000000000000E+001, 9.9995636940002441E-001, 9.9999845027923584E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9995636940002441E-001
 5.0000000000000000E+003, 1.2000000000000000E+001, 9.9997639656066895E-001, 9.9999940395355225E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9997639656066895E-001
