call,a,b,result
logf,3E00C3AC,,C004B406
log10f,3E00C3AC,,BF668774
logf,3CA459D7,,C07A2B92
log10f,3CA459D7,,BFD94B8A
logf,3CA5DD38,,C0799569
log10f,3CA5DD38,,BFD8C91D
logf,3B3C2680,,C0BB4CB4
log10f,3B3C2680,,C022AFB7
logf,3F5E6A71,,BE100106
log10f,3F5E6A71,,BD7A291B
logf,412931A1,,4016F0F3
log10f,412931A1,,3F831B1A
logf,3F9301BD,,3E0DC572
log10f,3F9301BD,,3D76482C
logf,41528037,,4024EBF2
log10f,41528037,,3F8F3FC7
logf,3F2B0959,,BECE7D63
log10f,3F2B0959,,BE335AD1
logf,36B7E46E,,C141D44B
log10f,36B7E46E,,C0A85BA3
logf,4503161D,,40F4C010
log10f,4503161D,,4054965D
logf,3BB86A83,,C0A5C2AB
log10f,3BB86A83,,C00FFA49
logf,406C69C7,,3FA741E1
log10f,406C69C7,,3F114724
logf,3D34A13D,,C047C3A6
log10f,3D34A13D,,BFAD8355
logf,39E1366C,,C0F8168B
log10f,39E1366C,,C0577C8E
logf,4432E675,,40D25705
log10f,4432E675,,4036B2ED
logf,3CCCF73A,,C06C0959
log10f,3CCCF73A,,BFCD04CA
logf,38B77CF9,,C11580C8
log10f,38B77CF9,,C081DB51
logf,3A5A191D,,C0E2EF3E
log10f,3A5A191D,,C0451CE3
logf,3D73E7D9,,C0348B03
log10f,3D73E7D9,,BF9CD153
logf,424F7B1B,,407CB83C
log10f,424F7B1B,,3FDB8270
logf,39923234,,C102F523
log10f,39923234,,C0637F20
logf,44BC36C1,,40EA2508
log10f,44BC36C1,,404B601E
logf,3F059E35,,BF267304
log10f,3F059E35,,BE909375
logf,3AC98235,,C0CF4912
log10f,3AC98235,,C0340BBC
logf,4445A674,,40D58786
log10f,4445A674,,40397822
logf,3F89D3D6,,3D977EE8
log10f,3F89D3D6,,3D039668
logf,3773EB84,,C1323815
log10f,3773EB84,,C09ACC93
logf,3A330C9D,,C0E93F64
log10f,3A330C9D,,C04A98A8
logf,38A570ED,,C11728DC
log10f,38A570ED,,C0834BAA
logf,3CA32359,,C07AA4EE
log10f,3CA32359,,BFD9B4F3
logf,42ABC63B,,408E7F42
log10f,42ABC63B,,3FF78AF6
logf,3FCA9595,,3EEB128B
log10f,3FCA9595,,3E4C2E6B
logf,43C99A7A,,40BFFB7E
log10f,43C99A7A,,4026C0F8
logf,37CED81F,,C129C447
log10f,37CED81F,,C093751E
logf,39102F78,,C10E44FE
log10f,39102F78,,C07725BE
logf,3EDA4DED,,BF5A3921
log10f,3EDA4DED,,BEBD8BD6
logf,41E28DB6,,4055FC8F
log10f,41E28DB6,,3FB9DDCA
logf,44E2223B,,40F004A7
log10f,44E2223B,,40507A26
logf,37EEF69E,,C127750B
log10f,37EEF69E,,C0917394
logf,431B3375,,40A16E5B
log10f,431B3375,,400C379E
logf,43BDB72C,,40BE099C
log10f,43BDB72C,,40251083
logf,3E242B2B,,BFEA505F
log10f,3E242B2B,,BF4B85C3
logf,3D6AD376,,C036F891
log10f,3D6AD376,,BF9EED33
logf,3ADB5127,,C0CC9353
log10f,3ADB5127,,C031B127
logf,4289BC0C,,40876E07
log10f,4289BC0C,,3FEB4402
logf,3B866EF2,,C0AFE05F
log10f,3B866EF2,,C018C3AC
logf,42277603,,406F0154
log10f,42277603,,3FCF98E6
logf,45BC4BC8,,410B4291
log10f,45BC4BC8,,4071EB60
logf,405A72D2,,3F9D2434
log10f,405A72D2,,3F087DC6
logf,3982B3F7,,C104BFFA
log10f,3982B3F7,,C0669C36
logf,41FA08B9,,405C4C47
log10f,41FA08B9,,3FBF592F
logf,446DF1B3,,40DB7771
log10f,446DF1B3,,403EA051
logf,381D70D4,,C1230B03
log10f,381D70D4,,C08D9E0C
logf,3AD5D165,,C0CD6358
log10f,3AD5D165,,C03265D7
logf,39196ED5,,C10D465F
log10f,39196ED5,,C0756B6B
logf,3647280D,,C14BA4CF
log10f,3647280D,,C0B0E1FB
logf,44DB918B,,40EF134D
log10f,44DB918B,,404FA883
logf,3B0B6B9B,,C0C4E43E
log10f,3B0B6B9B,,C02B0491
logf,3B04D6E5,,C0C67058
log10f,3B04D6E5,,C02C5C9E
logf,37687BF8,,C132FCC3
log10f,37687BF8,,C09B7769
logf,42297632,,406FC3EA
log10f,42297632,,3FD041EA
logf,379209AE,,C12F5619
log10f,379209AE,,C0984B91
logf,41AF73D4,,4045A097
log10f,41AF73D4,,3FABA82A
logf,3FDAA666,,3F0912BA
log10f,3FDAA666,,3E6E1ED6
logf,39E10F6D,,C0F81C16
log10f,39E10F6D,,C057815F
logf,453C7B82,,41002F7D
log10f,453C7B82,,405EAE57
logf,3898BE43,,C1186FF4
log10f,3898BE43,,C08467C7
logf,35A32989,,C159EC75
log10f,35A32989,,C0BD493D
logf,44086423,,40C9A885
log10f,44086423,,402F287D
logf,3B07F924,,C0C5B155
log10f,3B07F924,,C02BB6B5
logf,433CABAF,,40A7AE1A
log10f,433CABAF,,4011A524
logf,41A59A73,,4041EE0A
log10f,41A59A73,,3FA87200
logf,43A650DB,,40B9D33D
log10f,43A650DB,,402167DA
logf,3A8DC679,,C0DA894A
log10f,3A8DC679,,C03DD176
logf,36687212,,C1492BB5
log10f,36687212,,C0AEBC14
logf,40129B8D,,3F543143
log10f,40129B8D,,3EB84ED9
logf,408E00CA,,3FBEBC05
log10f,408E00CA,,3F25AB7A
logf,43110250,,409F41EA
log10f,43110250,,400A544C
logf,3FB0AD11,,3EA502DE
log10f,3FB0AD11,,3E0F53B0
logf,3AC687C3,,C0CFC30E
log10f,3AC687C3,,C03475B0
logf,36729990,,C1487C93
log10f,36729990,,C0AE23F5
logf,3B8D5C2F,,C0AE44CA
log10f,3B8D5C2F,,C0175E2D
logf,39172A4B,,C10D835C
log10f,39172A4B,,C075D55F
logf,390E49B0,,C10E7B41
log10f,390E49B0,,C0778402
logf,40E1323B,,3FF9C21B
log10f,40E1323B,,3F58EFEF
logf,3CACCE84,,C076F597
log10f,3CACCE84,,BFD68194
logf,39D32192,,C0FA2776
log10f,39D32192,,C05947F8
logf,3F9E3A2A,,3E5916FB
log10f,3F9E3A2A,,3DBC8FD1
logf,4233814F,,40737340
log10f,4233814F,,3FD3754A
logf,3F50F688,,BE4FE486
log10f,3F50F688,,BDB492C3
logf,4189093A,,4035CFB5
log10f,4189093A,,3F9DEB5A
logf,3E42AEE2,,BFD47E1C
log10f,3E42AEE2,,BF389199
logf,41635D9A,,4029DAA8
log10f,41635D9A,,3F93888E
logf,3D19E090,,C05205EB
log10f,3D19E090,,BFB66C7C
logf,38083745,,C1255C26
log10f,38083745,,C08FA13C
logf,45BEA070,,410B74F4
log10f,45BEA070,,407242E8
logf,3C399EC3,,C08F5F18
log10f,3C399EC3,,BFF90FCE
logf,3B1B0466,,C0C17F8A
log10f,3B1B0466,,C0281206
logf,45E7BC6C,,410E94D4
log10f,45E7BC6C,,4077B06E
logf,3A22074A,,C0EC71AF
log10f,3A22074A,,C04D5F6A
logf,409D0B72,,3FCB9F29
log10f,409D0B72,,3F30DD13
logf,430BE8E3,,409E1CA6
log10f,430BE8E3,,40095592
logf,35ABBA4A,,C1591AE3
log10f,35ABBA4A,,C0BC9335
logf,3E272968,,BFE80053
log10f,3E272968,,BF498385
logf,377DE5C0,,C13193E0
log10f,377DE5C0,,C09A3DF2
logf,3694B425,,C1453A43
log10f,3694B425,,C0AB4F49
logf,381CD893,,C1231A84
log10f,381CD893,,C08DAB83
logf,42864FFC,,40869FEC
log10f,42864FFC,,3FE9DDF6
logf,4420A8E2,,40CEE60E
log10f,4420A8E2,,4033B5BB
logf,424E7666,,407C679E
log10f,424E7666,,3FDB3C6A
logf,372AA816,,C137EF1F
log10f,372AA816,,C09FC35A
logf,4511326E,,40F80592
log10f,4511326E,,40576DD1
logf,37BAC99E,,C12B660B
log10f,37BAC99E,,C094DFFC
logf,3AC03484,,C0D0CC4D
log10f,3AC03484,,C0355C14
logf,380438F6,,C125D606
log10f,380438F6,,C0900B19
logf,431CB337,,40A1BD1A
log10f,431CB337,,400C7C03
logf,41F77750,,405BA322
log10f,41F77750,,3FBEC644
logf,3C4FFE17,,C08BBAD9
log10f,3C4FFE17,,BFF2BC53
logf,3C9EAED7,,C07C6A94
log10f,3C9EAED7,,BFDB3EFC
logf,3E0E2608,,BFFCBFAA
log10f,3E0E2608,,BF5B88E4
logf,358B14AF,,C15C7A8C
log10f,358B14AF,,C0BF8160
logf,380B2B7A,,C1250446
log10f,380B2B7A,,C08F54E9
logf,36311CF6,,C14D8547
log10f,36311CF6,,C0B28350
logf,416B9A8C,,402C21CA
log10f,416B9A8C,,3F958310
logf,3F9F8DFE,,3E61A513
log10f,3F9F8DFE,,3DC3FE1B
logf,38B3BFFA,,C115D517
log10f,38B3BFFA,,C082248C
logf,410FB834,,400C7F63
log10f,410FB834,,3F7411C0
logf,35BD8BC6,,C1578686
log10f,35BD8BC6,,C0BB33FB
logf,3E4F9AFB,,BFCC443F
log10f,3E4F9AFB,,BF316C78
logf,40D526E7,,3FF2B8F5
log10f,40D526E7,,3F52D37A
logf,3A64D233,,C0E16610
log10f,3A64D233,,C043C760
logf,38D0A94B,,C1137231
log10f,38D0A94B,,C08011ED
logf,3DBEDC6A,,C017E070
log10f,3DBEDC6A,,BF83EB1E
logf,3A92628E,,C0D9832C
log10f,3A92628E,,C03CEDCA
logf,4181F057,,40326867
log10f,4181F057,,3F9AF68C
logf,3FB48638,,3EB00B27
log10f,3FB48638,,3E18E8D5
logf,3BA22F24,,C0A9DF08
log10f,3BA22F24,,C0138C5B
logf,4417D87F,,40CD17D5
log10f,4417D87F,,40322440
logf,3C1B2DB9,,C0951A7E
log10f,3C1B2DB9,,C0018278
logf,39A6C2E6,,C100DA0B
log10f,39A6C2E6,,C05FD6A0
logf,4048A490,,3F924222
log10f,4048A490,,3EFE13A6
logf,3DC54EE2,,C015C024
log10f,3DC54EE2,,BF821259
logf,389AF6FA,,C11834CF
log10f,389AF6FA,,C0843467
logf,428B9D69,,4087DD1B
log10f,428B9D69,,3FEC04F9
logf,430D46CD,,409E6C4B
log10f,430D46CD,,40099AC0
logf,3B18A93E,,C0C1FD01
log10f,3B18A93E,,C0287F00
logf,3F8C045C,,3DB7C659
log10f,3F8C045C,,3D1F9FF0
logf,3EDFC05C,,BF53E9FB
log10f,3EDFC05C,,BEB810EF
logf,41EC92D7,,4058C19F
log10f,41EC92D7,,3FBC45AC
logf,360E327E,,C15108A6
log10f,360E327E,,C0B5907F
logf,36CB8ED9,,C1403423
log10f,36CB8ED9,,C0A6F22B
logf,41F52531,,405B08C2
log10f,41F52531,,3FBE402E
logf,3893719A,,C1190097
log10f,3893719A,,C084E568
logf,37864EA0,,C130AD15
log10f,37864EA0,,C099757B
logf,3D38D2A5,,C0464BAB
log10f,3D38D2A5,,BFAC3CC3
logf,42AF4705,,408F24A4
log10f,42AF4705,,3FF8AA43
logf,3AB3DEA1,,C0D2EBAE
log10f,3AB3DEA1,,C037340E
logf,382A0040,,C121D0A0
log10f,382A0040,,C08C8CF9
logf,42F78818,,409A3043
log10f,42F78818,,4005ED2B
logf,438B1C05,,40B41BEC
log10f,438B1C05,,401C70D5
logf,4386FD62,,40B325A7
log10f,4386FD62,,401B9AED
logf,37353FDD,,C136F875
log10f,37353FDD,,C09EED1A
logf,3639C571,,C14CC1C9
log10f,3639C571,,C0B1D982
logf,3B24E433,,C0BF85AD
log10f,3B24E433,,C0265AA3
logf,3C45AE27,,C08D5B6B
log10f,3C45AE27,,BFF58FFC
logf,4233D94C,,40739297
log10f,4233D94C,,3FD39082
logf,455DC7DE,,4102C9D8
log10f,455DC7DE,,406333EB
logf,426EDEC1,,4082DE37
log10f,426EDEC1,,3FE3574E
logf,402EC781,,3F809814
log10f,402EC781,,3EDF6408
logf,3B5C428F,,C0B641EA
log10f,3B5C428F,,C01E4E8D
logf,35FEF084,,C152C87D
log10f,35FEF084,,C0B7157C
logf,3A606FC4,,C0E2048E
log10f,3A606FC4,,C044510A
logf,43A1E5D2,,40B8F6AE
log10f,43A1E5D2,,4020A847
logf,39132C77,,C10DF0F8
log10f,39132C77,,C07693C8
logf,36C88AC0,,C1407147
log10f,36C88AC0,,C0A72747
logf,40926211,,3FC29F73
log10f,40926211,,3F290C1A
logf,3EA765BC,,BF8F191E
log10f,3EA765BC,,BEF8963E
logf,40D13501,,3FF054D2
log10f,40D13501,,3F50BFC8
logf,39519F33,,C108483F
log10f,39519F33,,C06CBF18
logf,3A7D7398,,C0DE2094
log10f,3A7D7398,,C040EFF2
logf,415DA513,,40283924
log10f,415DA513,,3F921DE8
logf,3A9EF57B,,C0D6E01A
log10f,3A9EF57B,,C03AA36E
logf,3646D2E7,,C14BABA7
log10f,3646D2E7,,C0B0E7ED
logf,44737C6D,,40DC340D
log10f,44737C6D,,403F4424
logf,3C9F1097,,C07C4334
log10f,3C9F1097,,BFDB1CC8
logf,3E08E4D9,,C000C8F5
log10f,3E08E4D9,,BF5FB8F2
logf,4108917E,,40093B2B
log10f,4108917E,,3F6E6517
logf,41D52B04,,405216C3
log10f,41D52B04,,3FB67B1D
logf,40AD6403,,3FD84BBD
log10f,40AD6403,,3F3BDF48
logf,3DD85A15,,C00FDA87
log10f,3DD85A15,,BF79E63B
logf,3F3DC89A,,BE993CEE
log10f,3F3DC89A,,BE0519D1
logf,3E15CC57,,BFF60A15
log10f,3E15CC57,,BF55B504
logf,3F921510,,3E074FA3
log10f,3F921510,,3D6B0F37
logf,40035710,,3F380A49
log10f,40035710,,3E9FDAF3
logf,43B80858,,40BD1077
log10f,43B80858,,4024381C
logf,35B8D109,,C157EE05
log10f,35B8D109,,C0BB8DE1
logf,3C172D3D,,C095F087
log10f,3C172D3D,,C0023C60
logf,43029B8D,,409BE90B
log10f,43029B8D,,40076C07
logf,42A47602,,408D1AD6
log10f,42A47602,,3FF51FCC
logf,36291ABA,,C14E42CF
log10f,36291ABA,,C0B327F0
logf,38381CE4,,C12089FE
log10f,38381CE4,,C08B7143
logf,431C3146,,40A1A286
log10f,431C3146,,400C64ED
logf,3B0D6301,,C0C47182
log10f,3B0D6301,,C02AA0E9
logf,35BEC489,,C1576C35
log10f,35BEC489,,C0BB1D1F
logf,36131E98,,C1507D43
log10f,36131E98,,C0B5176D
logf,3C5340EC,,C08B3B67
log10f,3C5340EC,,BFF1DEEE
logf,40D00F05,,3FEFA075
log10f,40D00F05,,3F50231E
logf,3F377D15,,BEAA823D
log10f,3F377D15,,BE141A1E
logf,370D6D27,,C13AF0A7
log10f,370D6D27,,C0A25FC3
logf,44A27937,,40E57048
log10f,44A27937,,404749B0
logf,442D3F12,,40D14FF2
log10f,442D3F12,,4035CE6D
logf,42E98C8F,,409853ED
log10f,42E98C8F,,40044F6E
logf,39254A52,,C10C1577
log10f,39254A52,,C07359BE
logf,450051CC,,40F4114D
log10f,450051CC,,4053FE92
logf,4135F893,,401B99BE
log10f,4135F893,,3F872726
logf,4043E3C4,,3F8F3089
log10f,4043E3C4,,3EF8BEED
logf,3CE0D8CE,,C0661C91
log10f,3CE0D8CE,,BFC7DF55
logf,3C1F0CA8,,C09450A7
log10f,3C1F0CA8,,C000D327
logf,3C059FAE,,C099E398
log10f,3C059FAE,,C005AA94
logf,3779833E,,C131DB3B
log10f,3779833E,,C09A7BEC
logf,4480308C,,40DDDABF
log10f,4480308C,,4040B34A
logf,45BCF198,,410B50A1
