call,a,b,result
log10f,3E275BEB,,BF4961F2
log10f,3F6825E4,,BD2DFA44
log10f,3F6A1EF4,,BD1EEC7F
log10f,3F748329,,BCA3577B
log10f,3F5285EB,,BDADF51D
log10f,3EB0CBC4,,BEEC70BD
log10f,3E636261,,BF274E5D
log10f,3F6CA2C1,,BD0BEAEF
log10f,3F0BEF87,,BE864DB4
log10f,3E90DB93,,BF0C5F3F
log10f,3EB218F0,,BEEACF3D
log10f,3EA5D87E,,BEFAA85F
log10f,3F686676,,BD2C0BC1
log10f,3F04EA4E,,BE91BFA2
log10f,3E8B6699,,BF10A428
log10f,3F562150,,BD9ED8ED
log10f,3ECBA369,,BECD029A
log10f,3E6CD073,,BF22C9D3
log10f,3F2BE353,,BE312575
log10f,3EF106E7,,BEA78754
log10f,3EEA4382,,BEADDB75
log10f,3EE72DA8,,BEB0CE27
log10f,3E2B1D24,,BF46EA72
log10f,3EA29805,,BEFF0F9A
log10f,3F45B912,,BDE5C02A
log10f,3DFFE47B,,BF673CDC
log10f,3F7B2AA0,,BC07A17A
log10f,3F697DD6,,BD23B654
log10f,3F6C2414,,BD0FA431
log10f,3F64DE0E,,BD474B8B
log10f,3E43BA75,,BF37F933
log10f,3F7C6176,,BBCAA196
log10f,3F4D03F2,,BDC58964
log10f,3DD86C8E,,BF79DCBD
log10f,3F70E49F,,BCD865B9
log10f,3F1F89DE,,BE524DA7
log10f,3EB3B3B4,,BEE8D0B0
log10f,3E26F4DC,,BF49A67D
log10f,3F0C2C9E,,BE85ECB7
log10f,3F4C2FC8,,BDC923B5
log10f,3EB122CE,,BEEC0360
log10f,3F4B9F7D,,BDCB991D
log10f,3DF8E037,,BF6A5432
log10f,3E81EFBA,,BF187540
log10f,3EA11395,,BF0092A8
log10f,3E966B74,,BF082EDE
log10f,3F7D7F93,,BB8BC02A
log10f,3F1CC1E6,,BE5A1FC9
log10f,3ED9A07A,,BEBE3CC8
log10f,3F2962E6,,BE37AA93
log10f,3F7BABBF,,BBF2B65B
log10f,3F485864,,BDDA0827
log10f,3DE7CDD2,,BF723AC2
log10f,3E19CC22,,BF52C721
log10f,3DCD2339,,BF7FD11F
log10f,3F491933,,BDD6B1C8
log10f,3E3357F9,,BF41B174
log10f,3F7B356D,,BC066F85
log10f,3F329709,,BE2022D5
log10f,3F7F6079,,BA8ABB8C
log10f,3F60137C,,BD6CEE43
log10f,3F49EC0C,,BDD30F21
log10f,3F7BC1EE,,BBEDD02F
log10f,3F2D176E,,BE2E0B16
log10f,3F4B6005,,BDCCAE84
log10f,3F6CA68D,,BD0BCE64
log10f,3E994297,,BF061A6E
log10f,3E14E77B,,BF565F62
log10f,3F7CCA2B,,BBB39643
log10f,3F3F3450,,BE01C8B6
log10f,3F57D00D,,BD97E2C1
log10f,3EAAB723,,BEF438FE
log10f,3F0AD3CD,,BE881258
log10f,3F5D527A,,BD8176E3
log10f,3EF973AB,,BE9FE398
log10f,3F41C3FE,,BDF7BB9C
log10f,3E2220D1,,BF4CE9BB
log10f,3EF472D1,,BEA464F0
log10f,3EBD0BC7,,BEDD8B2D
log10f,3EF77DB0,,BEA1A4D2
log10f,3E0E713B,,BF5B4E22
log10f,3EB46346,,BEE7F7DA
log10f,3E882E79,,BF133D25
log10f,3E1BF1BD,,BF513C92
log10f,3ECE1623,,BECA5A57
log10f,3E884414,,BF132B83
log10f,3F567C08,,BD9D606B
log10f,3EF48EED,,BEA44B5F
log10f,3E7D5DDD,,BF1B46E5
log10f,3F091311,,BE8AE5A8
log10f,3EF34FDF,,BEA56E35
log10f,3DFB5798,,BF693B88
log10f,3EA5FE3B,,BEFA75CC
log10f,3EEAD3BC,,BEAD52BA
log10f,3F32E8C7,,BE1F5777
log10f,3DF2F910,,BF6CFF67
log10f,3EC420D6,,BED55D9B
log10f,3F65F079,,BD3EFB9D
log10f,3E27FD9D,,BF48F6BA
log10f,3EBDB52B,,BEDCC449
log10f,3F2524CA,,BE42F270
log10f,3F6835DB,,BD2D7FF3
log10f,3F1A9C8E,,BE604107
log10f,3E3FE25B,,BF3A2DC2
log10f,3F458855,,BDE69B82
log10f,3F7DBCCA,,BB7CAA93
log10f,3F5822FB,,BD968D3B
log10f,3F5476F0,,BDA5CAE4
log10f,3EEFEC64,,BEA88C8E
log10f,3E5AA37A,,BF2BAAAF
log10f,3EA06B90,,BF0106DE
log10f,3F01F8E7,,BE96BA30
log10f,3EEE81CF,,BEA9DD97
log10f,3EF566D5,,BEA38767
log10f,3F0F5BBD,,BE80EE27
log10f,3F44B260,,BDEA60F2
log10f,3F253BDB,,BE42B456
log10f,3ECBAF8A,,BECCF55B
log10f,3E7BE758,,BF1BEBB6
log10f,3F4AF9B8,,BDCE6E5B
log10f,3F55513D,,BDA23ADA
log10f,3F1F082C,,BE53B7C1
log10f,3F50CB12,,BDB54BD3
log10f,3E214168,,BF4D8359
log10f,3F7AD870,,BC10BB51
log10f,3F03B3D9,,BE93C963
log10f,3E34578A,,BF411376
log10f,3EB9D1B6,,BEE15F32
log10f,3ED348A6,,BEC4D093
log10f,3E75EEC0,,BF1E967E
log10f,3F2229D7,,BE4B0BC1
log10f,3F752F83,,BC998F27
log10f,3E16C62B,,BF54FC33
log10f,3E731993,,BF1FE03A
log10f,3E14A067,,BF569481
log10f,3F51A046,,BDB1C168
log10f,3E6A0CB9,,BF24180B
log10f,3F63B17B,,BD5071C5
log10f,3F261736,,BE40677B
log10f,3F18DFC7,,BE65479B
log10f,3DD2D2CC,,BF7CC6F9
log10f,3F5CB364,,BD83F71C
log10f,3DD6C56E,,BF7AB6F0
log10f,3EF0034F,,BEA87752
log10f,3EAECD9E,,BEEEF601
log10f,3F109AD1,,BE7E02C2
log10f,3E72D01D,,BF2001D8
log10f,3F630910,,BD559773
log10f,3F5CD8FD,,BD835FA4
log10f,3EC42888,,BED554E2
log10f,3F2E02C9,,BE2BAFFF
log10f,3F322A39,,BE21321E
log10f,3F6782D6,,BD32DD6A
log10f,3EFD9BB5,,BE9C36EF
log10f,3F40E0FA,,BDFBD010
log10f,3F625B46,,BD5AEB2A
log10f,3F68E81A,,BD282C86
log10f,3F545D42,,BDA6366B
log10f,3E7D1082,,BF1B68DC
log10f,3EA518DA,,BEFBA9E6
log10f,3F783F59,,BC5ACFA1
log10f,3F47D45E,,BDDC5307
log10f,3E8F77E0,,BF0D7191
log10f,3DEF871C,,BF6E95DA
log10f,3F6B0129,,BD1838FE
log10f,3EA694E0,,BEF9AC5A
log10f,3F55F790,,BD9F8669
log10f,3E16115D,,BF5581D6
log10f,3E5BEFAD,,BF2B0242
log10f,3EF81D8D,,BEA1155F
log10f,3F24CA84,,BE43E5CB
log10f,3E5EF2AD,,BF297F28
log10f,3EB18455,,BEEB8914
log10f,3F260998,,BE408BF2
log10f,3F1624B9,,BE6D4B91
log10f,3F168F60,,BE6C101B
log10f,3E5A91A6,,BF2BB3C0
log10f,3F393F27,,BE0FDC7B
log10f,3EF330E0,,BEA58A8A
log10f,3F79E3CC,,BC2BE40B
log10f,3DDA9B56,,BF78BF20
log10f,3E1E6CE4,,BF4F7B4F
log10f,3F2C0E06,,BE30B709
log10f,3F693CA7,,BD25A734
log10f,3F0CCF7A,,BE84EAF5
log10f,3ED9DDFF,,BEBDFDF5
log10f,3F4B97ED,,BDCBBA26
log10f,3EEB6F28,,BEACBFBF
log10f,3E829883,,BF17E531
log10f,3F714274,,BCD2FCFA
log10f,3F2EAA68,,BE2A046A
log10f,3E662E6A,,BF25F265
log10f,3F3916D2,,BE103D5A
log10f,3F5CCCBE,,BD8390F7
log10f,3E778B92,,BF1DDC7A
log10f,3F2417FB,,BE45C8A0
log10f,3E405CB8,,BF39E6F3
log10f,3F7A40DB,,BC218C2D
log10f,3F3002B8,,BE269B1E
log10f,3E9AF2FF,,BF04E278
log10f,3EEC9F43,,BEABA140
log10f,3EA99A78,,BEF5ACFD
log10f,3ED73922,,BEC0B500
log10f,3F357833,,BE1905D1
log10f,3F613D3B,,BD63B8A9
log10f,3F6827B1,,BD2DEC78
log10f,3E980F25,,BF06FA57
log10f,3F7E480B,,BB3FB714
log10f,3F2166D8,,BE4D23C6
log10f,3F2C0669,,BE30CAB8
log10f,3F782BD7,,BC5CFEDD
log10f,3F2320A9,,BE4868E1
log10f,3F3A0809,,BE0DFB3F
log10f,3F2439DD,,BE456CD6
log10f,3F0C5D50,,BE859F85
log10f,3E8DAF05,,BF0ED5D3
log10f,3F778F43,,BC6E8DC2
log10f,3EAFEA79,,BEED8CCD
log10f,3F22F57D,,BE48DEA3
log10f,3E636E11,,BF2748A6
log10f,3E926F61,,BF0B2B00
log10f,3EA33FC9,,BEFE2AA2
log10f,3EB19B0B,,BEEB6CA4
log10f,3F68B4E8,,BD29B3B4
log10f,3E39B28A,,BF3DD28E
log10f,3EFA2DA1,,BE9F3E12
log10f,3F0CCCE3,,BE84EF0C
log10f,3E89D46E,,BF11E6BA
log10f,3EEEAF57,,BEA9B328
log10f,3E733E6C,,BF1FCF61
log10f,3EF1943A,,BEA70519
log10f,3F540DB3,,BDA783E0
log10f,3EF0067B,,BEA87462
log10f,3F4ACD15,,BDCF320A
log10f,3F0985E6,,BE8A2BAE
log10f,3EB280F1,,BEEA4D89
log10f,3F32F4C6,,BE1F39A6
log10f,3F3BF3DF,,BE096985
log10f,3EAF1107,,BEEEA052
log10f,3EA8B73B,,BEF6D7B2
log10f,3ECFF490,,BEC85876
log10f,3E9F68B5,,BF01BAD5
log10f,3F5DE2AD,,BD7E683F
log10f,3E080942,,BF606BD8
log10f,3F5A549E,,BD8D91A9
log10f,3ED47FF9,,BEC389DF
log10f,3E9E8072,,BF025D49
log10f,3F51E3E1,,BDB0A2BE
log10f,3F289BA0,,BE39B6F8
log10f,3F589C1D,,BD949B4C
log10f,3F7125CB,,BCD4A3B6
log10f,3F5839B6,,BD962FB6
log10f,3E28F004,,BF4856C0
log10f,3E93E6A1,,BF0A0F82
log10f,3F40EE9F,,BDFB9126
log10f,3E7C3C28,,BF1BC64E
log10f,3F2D7087,,BE2D2667
log10f,3E9B7703,,BF0483E7
log10f,3ED4BF4F,,BEC347A3
log10f,3E1320CB,,BF57B4EB
log10f,3EE1E306,,BEB5F440
log10f,3F49902B,,BDD4A434
log10f,3F5F3C4C,,BD739DC6
log10f,3F4F5B27,,BDBB7088
log10f,3F145D40,,BE7298B7
log10f,3ED18464,,BEC6AE8A
log10f,3E226E7E,,BF4CB483
log10f,3E8EA40B,,BF0E1633
log10f,3E12D844,,BF57EBC7
log10f,3ECD1513,,BECB7060
log10f,3F021409,,BE968BCA
log10f,3EE62D7F,,BEB1C513
log10f,3F1CA54B,,BE5A70F7
log10f,3EBFED6B,,BEDA2E19
log10f,3EF6FEEC,,BEA216D4
log10f,3EEDF3D1,,BEAA621F
log10f,3F309D18,,BE2515BB
log10f,3F312616,,BE23BD4E
log10f,3E91BB92,,BF0BB3D8
log10f,3EB27170,,BEEA60DA
log10f,3F09C232,,BE89CA45
log10f,3E680E52,,BF250B89
log10f,3E45C9B9,,BF36CF43
log10f,3F1A649A,,BE60E216
log10f,3ED4BA97,,BEC34C91
log10f,3F58C773,,BD93E96C
log10f,3F3FDA0A,,BE0047E7
log10f,3F7E3439,,BB4861EB
log10f,3E1A0BD4,,BF52991F
log10f,3E28E6C7,,BF485CD5
log10f,3E0BF1B0,,BF5D45BE
log10f,3EFBB5BD,,BE9DE2A0
log10f,3F5A3043,,BD8E25D1
log10f,3F689F1F,,BD2A5A44
log10f,3E9A6C0B,,BF054377
log10f,3EDD1B06,,BEBAB611
log10f,3EA2C2A2,,BEFED55B
log10f,3EB87017,,BEE307EF
log10f,3F1C45EF,,BE5B8004
log10f,3EB8FB91,,BEE26008
log10f,3F2928FB,,BE3842BD
log10f,3DF2CFBE,,BF6D1251
log10f,3F35FAEE,,BE17C5E5
log10f,3E8B9C8C,,BF107929
log10f,3EC96E28,,BECF6F30
log10f,3E45E991,,BF36BD5E
log10f,3F232E95,,BE4842EE
log10f,3F7BBA93,,BBEF6FFC
log10f,3F4906E0,,BDD702D7
log10f,3F5272C4,,BDAE460C
log10f,3EA9E695,,BEF5494A
log10f,3EA59226,,BEFB06C4
log10f,3F72DCBF,,BCBB6E97
log10f,3ED9983F,,BEBE4531
log10f,3F539413,,BDA98296
log10f,3EBA7415,,BEE09D3A
log10f,3E8B2725,,BF10D6CE
log10f,3F136E1D,,BE7567C9
log10f,3EB6DC88,,BEE4F08E
log10f,3EA4F9DC,,BEFBD3A8
log10f,3F240E36,,BE45E31B
log10f,3EC9A22D,,BECF35CB
log10f,3F36BE33,,BE15E9B3
log10f,3EFC7CF2,,BE9D32EB
log10f,3E9AE06A,,BF04EFCE
log10f,3F6A5A9F,,BD1D275D
log10f,3F533262,,BDAB1DA3
log10f,3F0537ED,,BE913DEC
log10f,3E8D2554,,BF0F4213
log10f,3EDEF0A2,,BEB8DFBE
log10f,3F481C1B,,BDDB13F2
log10f,3F56220C,,BD9ED5E1
log10f,3EE8715E,,BEAF97A4
log10f,3EFC2E13,,BE9D786C
log10f,3DDF828D,,BF7647CC
log10f,3F3F5629,,BE017A03
log10f,3F15F7D4,,BE6DD0A0
log10f,3F25854D,,BE41EED5
log10f,3F3B10BC,,BE0B8439
log10f,3EBDFD69,,BEDC6FAC
log10f,3EEFF022,,BEA88916
log10f,3F766A6D,,BC87C10D
log10f,3F182E2D,,BE674D6F
log10f,3ED5A9A0,,BEC25342
log10f,3EC66D18,,BED2C68D
log10f,3ED78481,,BEC0672F
log10f,3F2E7541,,BE2A8BD3
log10f,3F0F3085,,BE81313B
log10f,3F6596C4,,BD41B223
log10f,3F7049EC,,BCE15558
log10f,3F4813DA,,BDDB38A3
log10f,3F09A4FA,,BE89F974
log10f,3EAA3604,,BEF4E16C
log10f,3EFDA419,,BE9C2F94
log10f,3F6E49D9,,BCFF12E6
log10f,3F08F19D,,BE8B1BF3
log10f,3ED25956,,BEC5CCFE
log10f,3F417C3B,,BDF90541
log10f,3F748FF0,,BCA29D96
log10f,3F1625BC,,BE6D4893
log10f,3E43D230,,BF37EBB9
log10f,3F3CAC0C,,BE07B692
log10f,3ED88F8F,,BEBF5451
log10f,3F0B93A1,,BE86DFEB
log10f,3E6B0C54,,BF239EE2
log10f,3EDD3CFF,,BEBA93E9
log10f,3E95D395,,BF089F58
log10f,3F37214F,,BE14F8C3
log10f,3F7A8A33,,BC1967FA
log10f,3F6C60ED,,BD0DDA0E
log10f,3F7C866A,,BBC27E82
log10f,3EE50487,,BEB2E4AE
log10f,3F62CB5A,,BD577B39
log10f,3F14B497,,BE719337
log10f,3F43BD7A,,BDEEB70B
log10f,3E8C03CB,,BF10270F
log10f,3F66DD3E,,BD37D793
log10f,3EE46577,,BEB37F54
log10f,3F3B98D1,,BE0A412B
log10f,3F4C7403,,BDC7FAB0
log10f,3EC4F94E,,BED468B6
log10f,3F03ACAB,,BE93D583
log10f,3EAC31F9,,BEF24DAE
log10f,3F1DFE0F,,BE56A25C
log10f,3F68E51E,,BD284351
log10f,3E88C5AC,,BF12C1F9
log10f,3E1BBEB2,,BF5160FC
log10f,3EA42391,,BEFCF538
log10f,3F6C4577,,BD0EA8C2
log10f,3DDBFCE8,,BF780BDF
log10f,3F4E9DEB,,BDBE9DAF
log10f,3DE9D01C,,BF714527
log10f,3F3E920F,,BE0342B8
log10f,3E6B96C9,,BF235D78
log10f,3F0F340B,,BE812BC2
log10f,3F5FBB8A,,BD6FA8F7
log10f,3F0FEA98,,BE801102
log10f,3F40843C,,BDFD7C22
log10f,3F16DCDA,,BE6B2B7E
log10f,3F0A74CB,,BE88AAB8
log10f,3F2CE529,,BE2E8C51
log10f,3F136343,,BE758885
log10f,3F635D75,,BD5302AF
log10f,3F0FB083,,BE806AD1
log10f,3E205F6B,,BF4E1F96
log10f,3F271AEF,,BE3DB22C
log10f,3F3C18CF,,BE091227
log10f,3F755B80,,BC971117
log10f,3F7FB411,,BA03FC94
log10f,3EEF633F,,BEA90BCD
log10f,3F41CF82,,BDF786C1
log10f,3EC4616F,,BED5146A
log10f,3F61C4B1,,BD5F8C16
log10f,3F7E4EE5,,BB3CB838
log10f,3F66952D,,BD3A0334
log10f,3F4AA9CE,,BDCFCCCF
log10f,3E856376,,BF158AF4
log10f,3F73EB40,,BCABFC84
log10f,3DE5DCB8,,BF732A2F
log10f,3E3BDCCB,,BF3C88A3
log10f,3F75D144,,BC90670F
log10f,3F51BFE8,,BDB13B3B
log10f,3E4A5E72,,BF344394
log10f,3F346353,,BE1BAE5F
log10f,3F730C01,,BCB8BA90
log10f,3F28320E,,BE3ACDC2
log10f,3F141EDD,,BE7353DF
log10f,3F02F699,,BE9509CF
log10f,3ED16C96,,BEC6C7CF
log10f,3E2BEEDA,,BF466283
log10f,3F73D1CA,,BCAD6FF5
log10f,3F7C01DA,,BBDFB4B1
log10f,3F24C560,,BE43F3AB
log10f,3F572F3F,,BD9A7A74
log10f,3F0BB25D,,BE86AEFB
log10f,3F3343A2,,BE1E75D9
log10f,3EFC945D,,BE9D1E4C
log10f,3E8F9657,,BF0D59F8
log10f,3F289F21,,BE39ADBA
log10f,3EFBFC7E,,BE9DA428
log10f,3F25E332,,BE40F2D6
log10f,3ED4DD47,,BEC32852
log10f,3F46955D,,BDE1E35A
log10f,3F07A7E2,,BE8D35DF
log10f,3ED17B12,,BEC6B86E
log10f,3F2D2A8A,,BE2DDA00
log10f,3EA4A361,,BEFC4856
log10f,3F11D5AB,,BE7A3E90
log10f,3F2115CB,,BE4E0351
log10f,3EAAE75C,,BEF3FA38
log10f,3F273344,,BE3D716F
log10f,3F16E70E,,BE6B0D6A
log10f,3E1CCE59,,BF509FB9
log10f,3F403147,,BDFEFBB8
log10f,3E9694C2,,BF08105A
log10f,3DD1FCB9,,BF7D3817
log10f,3ED0C6AA,,BEC77840
log10f,3F45CFA5,,BDE55AA4
log10f,3F039C97,,BE93F0AC
log10f,3F378006,,BE1412FD
log10f,3F5731C2,,BD9A7012
log10f,3EEEDCC2,,BEA988DC
log10f,3F3381E1,,BE1DDB88
log10f,3EF7EE44,,BEA13FC4
log10f,3E9D3B40,,BF034250
log10f,3E7CD0F6,,BF1B84CA
log10f,3E3CEB10,,BF3BE923
log10f,3F334E35,,BE1E5B9E
log10f,3EDACB9F,,BEBD0BF3
log10f,3F3E404C,,BE0401AE
log10f,3E4531CF,,BF3724C8
log10f,3F79AF68,,BC31B873
log10f,3E22BBBD,,BF4C7FB0
log10f,3F5E4837,,BD7B3AEE
log10f,3F01574A,,BE97CF5A
log10f,3EEFA5BE,,BEA8CE12
log10f,3F0B72C2,,BE871450
log10f,3F3A0F61,,BE0DE9B1
log10f,3F700EF0,,BCE4BF17
log10f,3E322232,,BF427224
log10f,3F75E976,,BC8F08F2
log10f,3F174234,,BE6A011E
log10f,3F29D601,,BE367CC5
log10f,3DE8E85F,,BF71B38F
log10f,3EAEE6F5,,BEEED5C8
log10f,3F5B86C9,,BD88B5CC
log10f,3DEE184B,,BF6F40A0
log10f,3F263D36,,BE4001C7
log10f,3F21566E,,BE4D5102
log10f,3F07C606,,BE8D047D
log10f,3EBB7A78,,BEDF652C
log10f,3EF1105F,,BEA77E98
log10f,3F659ACE,,BD4192D8
log10f,3F77A583,,BC6C0E59
log10f,3F5AE5B8,,BD8B4350
log10f,3E50E1B6,,BF30BE07
log10f,3E5B6703,,BF2B476D
log10f,3F7086E2,,BCDDCF32
log10f,3F4DED09,,BDC19866
log10f,3F0AA5F7,,BE885BCE
log10f,3F2EC72E,,BE29BB2D
log10f,3F659FE3,,BD416B79
log10f,3F04555E,,BE92B957
log10f,3F3DDC84,,BE04EB29
log10f,3F43E81A,,BDEDF572
log10f,3F6C130F,,BD10246C
log10f,3E56BD8B,,BF2DAAB8
log10f,3E9EB5B8,,BF0237F1
log10f,3F262270,,BE40496C
log10f,3E16F94B,,BF54D686
log10f,3EC4939E,,BED4DB9F
log10f,3F1C0BE6,,BE5C254A
log10f,3F2366ED,,BE47A97C
log10f,3F728637,,BCC06316
log10f,3F1F8F58,,BE523E63
log10f,3F6140CE,,BD639C6E
log10f,3F4E0D00,,BDC10E61
log10f,3F23B8C8,,BE46CAEC
log10f,3F077E03,,BE8D7A8C
log10f,3EDEC6DC,,BEB9096C
log10f,3E2DFB38,,BF451170
log10f,3F4BA1A6,,BDCB8FAE
log10f,3F4E5204,,BDBFE4A9
log10f,3F778002,,BC70443F
log10f,3F434729,,BDF0D14E
log10f,3F2937BC,,BE381BF6
log10f,3E2EE1BE,,BF447E82
log10f,3F608750,,BD6957A9
log10f,3F19BE9E,,BE62C131
log10f,3F600BDF,,BD6D2AB4
log10f,3ED65A8E,,BEC19B6D
log10f,3E910B99,,BF0C3A6A
log10f,3F45ABC1,,BDE5FC13
log10f,3F55E90C,,BD9FC2C2
log10f,3F6CC8B7,,BD0ACDA8
log10f,3F0993DC,,BE8A151D
log10f,3F41FC1A,,BDF6BA32
log10f,3E09E065,,BF5EED60
log10f,3F3F551E,,BE017C70
log10f,3ED03D15,,BEC80AF9
log10f,3E3A7349,,BF3D5F64
log10f,3E067BB5,,BF61B2A0
log10f,3F6A90D7,,BD1B8C00
log10f,3F386A25,,BE11DCFF
log10f,3F7A8B8B,,BC1941D0
log10f,3F0A202F,,BE8932C3
log10f,3F19AAF3,,BE62FA19
log10f,3F48988B,,BDD8EB87
log10f,3E3763D9,,BF3F366D
log10f,3E04A3D9,,BF633B6A
log10f,3E5FEFE3,,BF29012A
log10f,3E7EF8AA,,BF1A9333
log10f,3F533103,,BDAB2368
log10f,3F6CB463,,BD0B6666
log10f,3E5CF8B2,,BF2A7C9A
log10f,3F16782C,,BE6C54AA
log10f,3F15EC1F,,BE6DF359
log10f,3E92BA05,,BF0AF262
log10f,3EEDFEF7,,BEAA57B4
log10f,3E3EAAF5,,BF3AE2C3
log10f,3E25A383,,BF4A8807
log10f,3F489329,,BDD90364
log10f,3EBD2DE0,,BEDD6316
log10f,3F557B09,,BDA18CA5
log10f,3F1E7C35,,BE553FD4
log10f,3E96BF4D,,BF07F0F6
log10f,3EBE1DC9,,BEDC49CB
log10f,3EC0F09E,,BED90297
log10f,3EA87C4C,,BEF7256A
log10f,3DF32016,,BF6CED8D
log10f,3F2EFD40,,BE2931AE
log10f,3ED282BE,,BEC5A13C
log10f,3E19A55A,,BF52E32E
log10f,3F198E17,,BE634DA7
log10f,3E06AE11,,BF618906
log10f,3E03D385,,BF63EA93
log10f,3E0EB915,,BF5B161B
log10f,3F21BCDE,,BE4C36FE
log10f,3F4FF3D2,,BDB8E29D
log10f,3E5FB688,,BF291DA7
log10f,3F294C3A,,BE37E61E
log10f,3F6E5632,,BCFE5A8F
log10f,3EBC2466,,BEDE9BFB
log10f,3EF8FA7A,,BEA04FB9
log10f,3F5B0A95,,BD8AAD94
log10f,3EF76D8B,,BEA1B354
log10f,3F795BCF,,BC3B085B
log10f,3EE1ED67,,BEB5EA08
log10f,3F2B7A2E,,BE3235D2
log10f,3EE0B696,,BEB71CC4
log10f,3F0707D7,,BE8E3CD0
log10f,3F3B4976,,BE0AFD71
log10f,3E63B9CF,,BF2723A6
log10f,3F4C052D,,BDC9DD5F
log10f,3F10C47E,,BE7D82A9
log10f,3F3DD10F,,BE050600
log10f,3F7DCB3A,,BB76574B
log10f,3F5639C9,,BD9E734C
log10f,3DF24AEE,,BF6D4F31
log10f,3EA412C1,,BEFD0C00
log10f,3F5B0432,,BD8AC784
log10f,3F33AD04,,BE1D70B7
log10f,3F21B126,,BE4C5739
log10f,3F67D3EF,,BD306EB5
log10f,3E9A7636,,BF053C25
log10f,3F29C310,,BE36AE62
log10f,3F6F2F37,,BCF1B8C8
log10f,3EAE9F8D,,BEEF30A2
log10f,3E96FFDC,,BF07C163
log10f,3F3F2309,,BE01F0E7
log10f,3EEB479D,,BEACE51B
log10f,3F5B328F,,BD8A0B4F
log10f,3F2D793B,,BE2D1016
log10f,3F3A1C68,,BE0DCA8F
log10f,3EAF5F97,,BEEE3C9F
log10f,3F0883CF,,BE8BCE85
log10f,3E574CB7,,BF2D60B0
log10f,3EA21735,,BEFFC00A
log10f,3F5FE0E9,,BD6E7FEE
log10f,3F47B3C2,,BDDCE438
log10f,3F27CD4C,,BE3BD87B
log10f,3ECDD180,,BECAA472
log10f,3F02FD38,,BE94FE92
log10f,3F472226,,BDDF6DA8
log10f,3E4BB7B6,,BF338685
log10f,3F7A281D,,BC244BCE
log10f,3F04F335,,BE91B0BD
log10f,3E42E49E,,BF3872ED
log10f,3F5061E6,,BDB70C49
log10f,3F09A2F9,,BE89FCB1
log10f,3ED251DC,,BEC5D4E5
log10f,3F2B6618,,BE3269EC
log10f,3E753FF3,,BF1EE5A0
log10f,3F71407A,,BCD31A20
log10f,3F133A07,,BE760502
log10f,3EE1E2FC,,BEB5F449
log10f,3F1B038A,,BE5F1931
log10f,3F02693E,,BE95FA52
log10f,3F2EA7AB,,BE2A0B63
log10f,3F4CE9DF,,BDC5FA8A
log10f,3E83188F,,BF177864
log10f,3E112DE6,,BF59306F
log10f,3F281C6D,,BE3B06F6
log10f,3F556BE9,,BDA1CBAC
log10f,3F44CE48,,BDE9E2CA
log10f,3F66329F,,BD3CFC29
log10f,3EBBDF70,,BEDEED8B
log10f,3F6107DC,,BD655E5C
log10f,3E5CF8E8,,BF2A7C7F
log10f,3E774284,,BF1DFD4E
log10f,3F28BB9F,,BE39629B
log10f,3F4571EC,,BDE70071
log10f,3F0B1FC8,,BE8798C6
log10f,3E2EE35A,,BF447D7C
log10f,3F0C9412,,BE8548D8
log10f,3F24741B,,BE44CF3A
log10f,3E1783CE,,BF5470B4
log10f,3F77EDAD,,BC63F616
log10f,3F3B93A9,,BE0A4D64
log10f,3F5CA940,,BD841FFB
log10f,3F0190A6,,BE976CD4
log10f,3E12F25E,,BF57D806
log10f,3F080F58,,BE8C8C89
log10f,3F254709,,BE429640
log10f,3F7C6378,,BBCA3060
log10f,3DDA4AFC,,BF78E805
log10f,3F7C9EEE,,BBBD1934
log10f,3F176703,,BE6994F1
log10f,3F041904,,BE931ED7
log10f,3F2B4699,,BE32BBAC
log10f,3EC8A1C2,,BED05145
log10f,3F2C0BB2,,BE30BD0E
log10f,3F35F879,,BE17CBE6
log10f,3F72D3B5,,BCBBF303
log10f,3F01779A,,BE9797D4
log10f,3EF58D82,,BEA3645F
log10f,3F590654,,BD92E794
log10f,3F45CDB9,,BDE56347
log10f,3EB79D3A,,BEE406B8
log10f,3F76AAF5,,BC841DD4
log10f,3F6A04C0,,BD1FB3A3
log10f,3F6AF0A2,,BD18B61D
log10f,3F3C1CE1,,BE090888
log10f,3EEA490F,,BEADD631
log10f,3F7D0FDF,,BBA44464
log10f,3E9161E7,,BF0BF856
log10f,3F7FFF09,,B6D68B06
log10f,3E0BC349,,BF5D6AA1
log10f,3E813D42,,BF190E5D
log10f,3F3B92B3,,BE0A4FAC
log10f,3F660078,,BD3E7FE1
log10f,3F2895AE,,BE39C6A6
log10f,3F46B5B1,,BDE1529A
log10f,3EDC1FA1,,BEBBB372
log10f,3E9BB96E,,BF045471
log10f,3F431929,,BDF1A2EB
log10f,3EDF7F2D,,BEB851C0
log10f,3E94F74A,,BF094348
log10f,3EB50057,,BEE73692
log10f,3F5A3F01,,BD8DE9BA
log10f,3F5C28A4,,BD8626F8
log10f,3F253773,,BE42C032
log10f,3F064AB3,,BE8F7521
log10f,3F12211D,,BE7958BA
log10f,3F180B28,,BE67B3D2
log10f,3F6E28B3,,BD0080FA
log10f,3F734E44,,BCB4F122
log10f,3EE222F8,,BEB5B556
log10f,3F33F66C,,BE1CBB2B
log10f,3E9E39C2,,BF028EEA
log10f,3ECF78E2,,BEC8DCDD
