name,value,bits
expf_fcr_115,1.104574353E-01,3DE23782
expf_fcr_116,1.121968925E-01,3DE5C77C
expf_fcr_117,1.139637381E-01,3DE965D2
expf_fcr_118,1.157584041E-01,3DED12BE
expf_fcr_119,1.175813302E-01,3DF0CE7B
expf_fcr_120,1.194329709E-01,3DF49946
expf_fcr_121,1.213137656E-01,3DF8735A
expf_fcr_122,1.232241765E-01,3DFC5CF5
expf_fcr_123,1.251646727E-01,3E002B2B
expf_fcr_124,1.271357387E-01,3E022FDF
expf_fcr_125,1.291378289E-01,3E043CB5
expf_fcr_126,1.311714500E-01,3E0651CF
expf_fcr_127,1.332371086E-01,3E086F4F
expf_fcr_128,1.353352815E-01,3E0A9555
expf_fcr_129,1.374665052E-01,3E0CC405
expf_fcr_130,1.396312863E-01,3E0EFB81
expf_fcr_131,1.418301612E-01,3E113BED
expf_fcr_132,1.440636665E-01,3E13856D
expf_fcr_133,1.463323385E-01,3E15D825
expf_fcr_134,1.486367285E-01,3E18343A
expf_fcr_135,1.509774178E-01,3E1A99D3
expf_fcr_136,1.533549726E-01,3E1D0916
expf_fcr_137,1.557699591E-01,3E1F8229
expf_fcr_138,1.582229733E-01,3E220534
expf_fcr_139,1.607146263E-01,3E249260
expf_fcr_140,1.632455140E-01,3E2729D5
expf_fcr_141,1.658162624E-01,3E29CBBD
expf_fcr_142,1.684274822E-01,3E2C7841
expf_fcr_143,1.710798293E-01,3E2F2F8D
expf_fcr_144,1.737739444E-01,3E31F1CC
expf_fcr_145,1.765104830E-01,3E34BF2A
expf_fcr_146,1.792901158E-01,3E3797D4
expf_fcr_147,1.821135283E-01,3E3A7BF8
expf_fcr_148,1.849814057E-01,3E3D6BC4
expf_fcr_149,1.878944337E-01,3E406766
expf_fcr_150,1.908533424E-01,3E436F0F
expf_fcr_151,1.938588470E-01,3E4682EF
expf_fcr_152,1.969116777E-01,3E49A337
expf_fcr_153,2.000125796E-01,3E4CD019
expf_fcr_154,2.031623274E-01,3E5009C9
expf_fcr_155,2.063616663E-01,3E535079
expf_fcr_156,2.096113861E-01,3E56A45E
expf_fcr_157,2.129122913E-01,3E5A05AE
expf_fcr_158,2.162651718E-01,3E5D749E
expf_fcr_159,2.196708471E-01,3E60F165
expf_fcr_160,2.231301665E-01,3E647C3C
expf_fcr_161,2.266439497E-01,3E68155A
expf_fcr_162,2.302130759E-01,3E6BBCFA
expf_fcr_163,2.338383943E-01,3E6F7355
expf_fcr_164,2.375208139E-01,3E7338A8
expf_fcr_165,2.412612289E-01,3E770D2F
expf_fcr_166,2.450605333E-01,3E7AF126
expf_fcr_167,2.489196807E-01,3E7EE4CD
expf_fcr_168,2.528395951E-01,3E817431
expf_fcr_169,2.568212450E-01,3E837E13
expf_fcr_170,2.608655989E-01,3E85902D
expf_fcr_171,2.649736106E-01,3E87AA9F
expf_fcr_172,2.691463530E-01,3E89CD8D
expf_fcr_173,2.733847797E-01,3E8BF917
expf_fcr_174,2.776899636E-01,3E8E2D61
expf_fcr_175,2.820629478E-01,3E906A8E
expf_fcr_176,2.865048051E-01,3E92B0C2
expf_fcr_177,2.910165787E-01,3E950020
expf_fcr_178,2.955994308E-01,3E9758CF
expf_fcr_179,3.002544343E-01,3E99BAF3
expf_fcr_180,3.049827814E-01,3E9C26B4
expf_fcr_181,3.097855449E-01,3E9E9C36
expf_fcr_182,3.146639466E-01,3EA11BA2
expf_fcr_183,3.196192086E-01,3EA3A521
expf_fcr_184,3.246524632E-01,3EA638D9
expf_fcr_185,3.297649920E-01,3EA8D6F5
expf_fcr_186,3.349580467E-01,3EAB7F9F
expf_fcr_187,3.402328789E-01,3EAE3301
expf_fcr_188,3.455907404E-01,3EB0F145
expf_fcr_189,3.510330021E-01,3EB3BA99
expf_fcr_190,3.565609753E-01,3EB68F29
expf_fcr_191,3.621760011E-01,3EB96F22
expf_fcr_192,3.678794503E-01,3EBC5AB2
expf_fcr_193,3.736726940E-01,3EBF5207
expf_fcr_194,3.795571923E-01,3EC25552
expf_fcr_195,3.855343461E-01,3EC564C2
expf_fcr_196,3.916056156E-01,3EC88088
expf_fcr_197,3.977725208E-01,3ECBA8D7
