band,i,x_bits,y_bits,x,y
coarse,82,C233628F,1F1DA53B,-4.484624863E+01,3.338271862E-20
coarse,83,C23360A4,1F1DF0E4,-4.484437561E+01,3.344530323E-20
coarse,84,C2335EB8,1F1E3CD9,-4.484249878E+01,3.350813342E-20
coarse,85,C2335CCD,1F1E88CB,-4.484062576E+01,3.357095391E-20
coarse,86,C2335AE1,1F1ED509,-4.483874893E+01,3.363401997E-20
coarse,87,C23358F6,1F1F2144,-4.483687592E+01,3.369707633E-20
coarse,88,C233570A,1F1F6DCB,-4.483499908E+01,3.376037827E-20
coarse,89,C233551F,1F1FBA4F,-4.483312607E+01,3.382367051E-20
coarse,90,C2335333,1F200720,-4.483124924E+01,3.388721155E-20
coarse,91,C2335148,1F2053EE,-4.482937622E+01,3.395074290E-20
coarse,92,C2334F5C,1F20A109,-4.482749939E+01,3.401452305E-20
coarse,93,C2334D71,1F20EE20,-4.482562637E+01,3.407829027E-20
coarse,94,C2334B85,1F213B85,-4.482374954E+01,3.414230953E-20
coarse,95,C233499A,1F2188E7,-4.482187653E+01,3.420631909E-20
coarse,96,C23347AE,1F21D697,-4.481999969E+01,3.427058069E-20
coarse,97,C23345C3,1F222443,-4.481812668E+01,3.433482935E-20
coarse,98,C23343D7,1F22723D,-4.481624985E+01,3.439933006E-20
coarse,99,C23341EC,1F22C034,-4.481437683E+01,3.446382106E-20
coarse,100,C2334000,1F230E79,-4.481250000E+01,3.452856410E-20
coarse,101,C2333E14,1F235CE4,-4.481062317E+01,3.459342992E-20
coarse,102,C2333C29,1F23AB4C,-4.480875015E+01,3.465828605E-20
coarse,103,C2333A3D,1F23FA02,-4.480687332E+01,3.472339422E-20
coarse,104,C2333852,1F2448B5,-4.480500031E+01,3.478849268E-20
coarse,105,C2333666,1F2497B7,-4.480312347E+01,3.485384641E-20
coarse,106,C233347B,1F24E6B5,-4.480125046E+01,3.491918722E-20
coarse,107,C233328F,1F253603,-4.479937363E+01,3.498478652E-20
coarse,108,C23330A4,1F25854E,-4.479750061E+01,3.505037613E-20
coarse,109,C2332EB8,1F25D4E8,-4.479562378E+01,3.511622100E-20
coarse,110,C2332CCD,1F26247F,-4.479375076E+01,3.518205617E-20
coarse,111,C2332AE1,1F267466,-4.479187393E+01,3.524814984E-20
coarse,112,C23328F6,1F26C449,-4.479000092E+01,3.531423059E-20
coarse,113,C233270A,1F27147D,-4.478812408E+01,3.538057306E-20
