# glibc 2.39 logf / atanf / powf(x,0.25f) reference points
#   libc     Ubuntu GLIBC 2.39-0ubuntu8.7, x86-64 with FMA+AVX2
#            (logf and powf are ifunc-dispatched to their -mfma builds;
#             atanf is a plain FUNC, so no contraction)
#   produced by running the live libm through
#   tools/noahmp_wrf461_oracle/libm_ref_dump.c
# These are the functions gfortran calls for LOG, ATAN and **0.25 on a
# REAL(4); none of them is correctly rounded, so both the CPU and the
# CUDA transcriptions are checked against these bits, not against each
# other and not against a correctly-rounded library.
# Every column is an IEEE-754 binary32 bit pattern.
x,logf,atanf,powf025
16B2198E,C26207F1,16B2198E,35449A29
17295756,C25F75CC,17295756,3566DF24
173F327B,C25EF97E,173F327B,356DFC44
17CB9B61,C25BF351,17CB9B61,358FBFD0
17FEE6A7,C25B0D3D,17FEE6A7,35980E0C
18B25F25,C256EF40,18B25F25,35C4AD5B
18CF92FE,C25653FD,18CF92FE,35CC4679
18D3ECA4,C2563EC0,18D3ECA4,35CD5655
18F2004F,C255B6DA,18F2004F,35D443A6
196AEAB5,C2530F7F,196AEAB5,35FA8EE2
19834DE0,C2529D63,19834DE0,3600D174
1998719B,C2520487,1998719B,3605B76A
19CC9F13,C250D719,19CC9F13,360FED90
1A056132,C24FC78C,1A056132,3619CB15
1A879547,C24CF0FC,1A879547,3637A48E
1AAA5B5A,C24C0732,1AAA5B5A,36426DFA
1AFF1A8F,C24A69BB,1AFF1A8F,365714B1
1B0A3AFA,C24A1767,1B0A3AFA,365B7296
1B0E99B4,C249F788,1B0E99B4,365D296D
1B190DA9,C249AF17,1B190DA9,36611B9E
1B6AD469,C247F8BE,1B6AD469,367A88F0
1B8D296A,C2473C21,1B8D296A,36832BB1
1BC950F3,C245D0A4,1BC950F3,368F57DD
1C0E734F,C2446D0B,1C0E734F,369C5809
1C23BD8D,C243DE69,1C23BD8D,36A1E24F
1C3F1352,C2434052,1C3F1352,36A8411B
1C4BB61D,C242FEBF,1C4BB61D,36AAF835
1C69B618,C2427211,1C69B618,36B0F191
1C9371FF,C24183F8,1C9371FF,36BB88BA
1CD7F264,C23FFD3C,1CD7F264,36CE4E03
1D239CBE,C23E53A6,1D239CBE,36E4E4CD
1D44818D,C23D980E,1D44818D,36EF9ED9
1D53E364,C23D4AE2,1D53E364,36F42D97
1D6439D7,C23CFED2,1D6439D7,36F8C131
1DA207BC,C23B97D0,1DA207BC,3707C555
1DB5C67F,C23B2211,1DB5C67F,370BBB03
1DB98C68,C23B0D07,1DB98C68,370C7335
1DBC2D2C,C23AFEA0,1DBC2D2C,370CF1D9
1E033407,C239AA22,1E033407,3719297B
1E421BB6,C2381910,1E421BB6,3728EB03
1E49B36A,C237F1C6,1E49B36A,372A8BD0
1E5F0BA2,C2378AC5,1E5F0BA2,372EE3AB
1E6DD902,C23748F9,1E6DD902,3731B8AD
1E8766CB,C236C418,1E8766CB,373794CE
1ED8F56E,C234E151,1ED8F56E,374E8BC5
1EE2C535,C234B407,1EE2C535,3750D7B3
1EF8588A,C23456F6,1EF8588A,3755A45C
1F1ECD01,C2335B15,1F1ECD01,3763312B
1F3A5B80,C232B73A,1F3A5B80,376C7702
1F8AE36E,C2311E7E,1F8AE36E,3782A3AC
1F9C15A6,C230A6F7,1F9C15A6,378681FF
1FDBAD80,C22F4900,1FDBAD80,3792816A
1FF911FB,C22EC869,1FF911FB,37972D82
2011A2A1,C22E2823,2011A2A1,379D35E5
202E6355,C22D6FA3,202E6355,37A47432
205B98B8,C22C8398,205B98B8,37AE3595
21017FA4,C22914D4,21017FA4,37D7E596
21DBBBAC,C224319C,21DBBBAC,381283C7
2232668D,C2224136,2232668D,3825644F
229E2151,C21FF6F0,229E2151,383ED7CC
22FDC123,C21E12A3,22FDC123,3856CBBD
23652ADF,C21BB537,23652ADF,387902C5
23BA9409,C219C1F8,23BA9409,388CA4FE
23C73870,C2197ED5,23C73870,388EF7FD
23CFDD8D,C2195356,23CFDD8D,38907EBD
23FAC71D,C2189327,23FAC71D,38976FAC
2454E6B6,C216750A,2454E6B6,38ACDDB0
245FCA36,C21641F7,245FCA36,38AF08FB
246FCD79,C215FB32,246FCD79,38B215E1
248C0112,C2155C79,248C0112,38B91F33
24C9C242,C213E64D,24C9C242,38CAD44A
24D03AC1,C213C5FA,24D03AC1,38CC6FB2
24E66679,C2135E5F,24E66679,38D1AC60
24ED4FE4,C213401B,24ED4FE4,38D33A7C
24F09A65,C2133200,24F09A65,38D3F4FF
251A4BEE,C2123327,251A4BEE,38E1904A
25655842,C2109D4A,25655842,38F90F18
25A66E6D,C20F1FD9,25A66E6D,3908AEFD
25AF8E47,C20EE931,25AF8E47,390A8505
26931DA1,C20A129B,26931DA1,393B6DE0
26AEE866,C209616A,26AEE866,3943B71E
26E19DD3,C2085CBA,26E19DD3,39509390
273E0519,C20646C6,273E0519,396D9E44
279E5807,C2043BBA,279E5807,3986FDEF
27AF1F11,C203D499,27AF1F11,398A6F10
27B73ECB,C203A62A,27B73ECB,398C031B
281945F1,C2019745,281945F1,399F3B81
2837C47A,C200DD78,2837C47A,39A69F36
28532C4A,C2004F20,28532C4A,39AC839C
28B54E33,C1FC4AFE,28B54E33,39C57B1F
28B5804B,C1FC48C8,28B5804B,39C588C2
28CA0182,C1FB6D93,28CA0182,39CAE42E
28CC3F15,C1FB56FC,28CC3F15,39CB739B
28D0E783,C1FB28CE,28D0E783,39CC9A0C
290F122A,C1F8A47B,290F122A,39DD5813
2984C39D,C1F3B20A,2984C39D,3A012CBD
29A4A6F6,C1F1F92F,29A4A6F6,3A085119
29ADA351,C1F18C5B,29ADA351,3A0A23C6
29B40B71,C1F14227,29B40B71,3A0B6590
29CA511A,C1F0534C,29CA511A,3A0F8561
2A1FA2F3,C1ECACF9,2A1FA2F3,3A20DC28
2A44EE0F,C1EAFF00,2A44EE0F,3A298750
2A56BC5F,C1EA4DB9,2A56BC5F,3A2D3CB8
2A787FDD,C1E922A6,2A787FDD,3A33ADB8
2AD353C3,C1E4E2ED,2AD353C3,3A4D3143
2B26EAD8,C1E13A81,2B26EAD8,3A660A83
2B81347F,C1DDBB6D,2B81347F,3A804CDA
2BDF90B5,C1D95881,2BDF90B5,3A932640
2C1345D6,C1D723CE,2C1345D6,3A9DA68D
2C9310D6,C1D19B1F,2C9310D6,3ABB69CD
2C985AB6,C1D152C5,2C985AB6,3ABD136E
2CBF7F57,C1CF7E76,2CBF7F57,3AC83319
2CCDB27A,C1CEEBF7,2CCDB27A,3ACBCFD9
2CEC4680,C1CDD021,2CEC4680,3AD2FF55
2D2B981A,C1CAD3A6,2D2B981A,3AE7A2C1
2D2C2807,C1CACCF3,2D2C2807,3AE7D344
2D62FBC5,C1C896BB,2D62FBC5,3AF86A58
2DF86219,C1C252A6,2DF86219,3B1712CB
2DFCFB03,C1C22D17,2DFCFB03,3B17C486
2E098556,C1C181DB,2E098556,3B1AF92F
2E180EEA,C1C0B40E,2E180EEA,3B1EEA7B
2E251CC1,C1C00B61,2E251CC1,3B2238D7
2E50929C,C1BE2CD7,2E50929C,3B2BFB05
2E8FF9C6,C1BB985A,2E8FF9C6,3B3A6BC5
2EDB345E,C1B83B74,2EDB345E,3B4F1414
2F090B4C,C1B671D6,2F090B4C,3B5AF9AC
2F1E91B2,C1B5470F,2F1E91B2,3B631BF1
2F257B41,C1B4EFAC,2F257B41,3B658B73
2F544CE8,C1B2F16E,2F544CE8,3B744BF8
2FE641EB,C1ACBF93,2FE641EB,3B943D0C
302E82CD,C1A96BBC,302E82CD,3BA47B9D
30B1F7A5,C1A3B801,30B1F7A5,3BC490CD
31000000,C1A0CF66,31000000,3BD744FD
3103AF9F,C1A09541,3103AF9F,3BD8CD84
310912E3,C1A04322,310912E3,3BDAFCB4
318E52D5,C19A6A98,318E52D5,3C037093
31AD003F,C198DAD6,31AD003F,3C0A034C
31AD8591,C198D4AE,31AD8591,3C0A1DDB
31D79770,C1971819,31D79770,3C11D1C7
31E265F7,C196B3EE,31E265F7,3C139D07
3205D638,C1955CF2,3205D638,3C19ECC6
32128022,C194A3CA,32128022,3C1D718A
322FD8E1,C1932DDA,322FD8E1,3C24CBFC
32588D4C,C191836E,32588D4C,3C2D9A31
32600454,C1913E05,32600454,3C2F1457
332075B2,C188D243,332075B2,3C63C879
337B761E,C1853A34,337B761E,3C7EDB94
337EFAE6,C1851DBF,337EFAE6,3C7FBEA0
3383808A,C184DE4A,3383808A,3C80DDDF
33846F2C,C184CFD3,33846F2C,3C81182E
33F07A65,C1800A1B,33F07A65,3C95DB55
34212558,C17B64C9,34212558,3CA13D27
3446B9B0,C1780A35,3446B9B0,3CA9E9E5
3481488C,C173D404,3481488C,3CB578AD
3485D19E,C17346C9,3485D19E,3CB70ADD
34C9B30E,C16CB63B,34C9B30E,3CCAD078
34F0F37F,C169DDE6,34F0F37F,3CD4089B
35095660,C167C559,35095660,3CDB17A3
3537D00C,C1631B75,3537D00C,3CEBA74A
355840CE,C16081BA,355840CE,3CF56D0F
356C921F,C15F11EA,356C921F,3CFAFF7D
3578BAD0,C15E44A0,3578BAD0,3CFE29AA
35828F1E,C15D7D89,35828F1E,3D00A291
359448D6,C15B7416,359448D6,3D04CB7F
35A5AAD4,C159AE0C,35A5AAD4,3D0886C3
35B15F7A,C1589667,35B15F7A,3D0AE06E
35E27545,C154ADBA,35E27545,3D139F86
35ED4538,C153EEB0,35ED4538,3D155AC2
3602E0BD,C1525C6A,3602E0BD,3D191126
36783545,C1481EF6,36783545,3D33A03B
36945120,C14544EE,36945120,3D3BCF84
372AAB51,C137EED1,372AAB51,3D6752AE
378A732E,C13030A5,378A732E,3D82893E
3797CEDE,C12EB75F,3797CEDE,3D8593AC
3805DBDB,C125A3A5,3805DBDB,3D99EE65
3815667B,C123E1BA,3815667B,3D9E3786
3819F3DF,C12366C8,3819F3DF,3D9F689A
385F9A90,C11D6E07,385F9A90,3DAEFFA9
387B5A36,C11B8EE1,387B5A36,3DB4312D
391D6EB5,C10CDCF8,391D6EB5,3DE2B378
393069D7,C10B0AB4,393069D7,3DE93ECC
396A0037,C106859B,396A0037,3DFA5044
39AE3890,C10026CC,39AE3890,3E0A416C
39D25AA5,C0FA45AB,39D25AA4,3E10ECF6
3A182D67,C0EE7387,3A182D66,3E1EF272
3A66D06E,C0E11F04,3A66D06A,3E306488
3AB5ED02,C0D28E91,3AB5ECFA,3E45A650
3AC4BA1B,C0D00DCE,3AC4BA11,3E498D79
3ACACBB3,C0CF14EA,3ACACBA8,3E4B16E0
3B3E5843,C0BAEDB7,3B3E5820,3E6DB840
3B618809,C0B5802B,3B6187CF,3E780464
3BA1805B,C0AA0197,3BA18005,3E87A8F0
3BA88453,C0A8A53F,3BA883F2,3E891C19
3BB26DCD,C0A6D10A,3BB26D59,3E8B153A
3BC2F2DF,C0A3FBAB,3BC2F248,3E8E3231
3BC7B34F,C0A33664,3BC7B2AD,3E8F0E03
3C610949,C08935A6,3C6105AA,3EAF473D
3CBAA7F6,C072067B,3CBA9FB2,3EC6EC0E
3D4EB4B8,C03F224F,3D4E87DE,3EF2ABD3
3D5DCB18,C03AA013,3D5D93B3,3EF6FBA7
3D6511B6,C0388F3B,3D64D4B0,3EF8FBEF
3D960583,C0274928,3D95C10A,3F052E9E
3DCD662D,C0132DB2,3DCCB6EE,3F101086
3DEAEAE4,C00A95A9,3DE9E532,3F14FB9D
3DF3A233,C00840C6,3DF27E74,3F165891
3DF477BA,C00808C8,3DF350FE,3F167977
3E03AFBC,C003445F,3E02F7B7,3F194D88
3E090E37,C000B5A1,3E083EED,3F1AD795
3E4135EE,BFD576E4,3E3EF731,3F28B8EF
3E51F7AB,BFCAD187,3E4F18CF,3F2C4471
3E62D67F,BFC0ED1E,3E5F3BA5,3F2FA0C8
3EA223A6,BF932EE9,3E9D060E,3F400A8F
3EAFD171,BF88D0E1,3EA95BC8,3F43F82E
3EC3CD24,BF7612C8,3EBB03DD,3F4950AB
3EE00000,BF53A135,3ED32776,3F5033A9
3EFD336C,BF34429E,3EEB24B4,3F56ADB9
3F0AE56F,BF1C8803,3EFE85F6,3F5BB61E
3F300000,BEBFD7D2,3F1A2F81,3F691BC8
3F7C7D4D,BC623AC2,3F474B69,3F7F1E29
3F800000,00000000,3F490FDB,3F800000
3F80C30B,3BC276FD,3F49D251,3F8030A7
3F817360,3C38A4A5,3F4A8122,3F805C74
3F86CC2A,3D53F100,3F4FAEA1,3F81AAA3
3F871308,3D5C582F,3F4FF1C3,3F81BBAA
3F877A2C,3D688B2B,3F505334,3F81D467
3F89DF7D,3D982C06,3F52905E,3F826660
3F8BA39C,3DB23D4B,3F543017,3F82D0C5
3F8BA6E1,3DB26D3E,3F543314,3F82D189
3F8EAC22,3DDE4025,3F56ECE7,3F83852C
3F8F5306,3DE79655,3F578161,3F83AB91
3F8F535D,3DE79B30,3F5781AE,3F83ABA5
3F90DBCC,3DFD64F3,3F58DBDC,3F84056B
3F954291,3E1D58F5,3F5CA746,3F850345
3F961AEB,3E23210D,3F5D5E0C,3F85335E
3F980000,3E2FF984,3F5EF387,3F859E7A
3F994FE3,3E38C69F,3F6008DA,3F85E80E
3F99AEE0,3E3B404C,3F6056C6,3F85FCC7
3F9CE892,3E508505,3F62F2D7,3F86AF59
3F9D304A,3E5258A5,3F632C17,3F86BEBA
3F9EFDB5,3E5E056F,3F649984,3F872131
3FA103AC,3E6AF866,3F662DC6,3F878EBA
3FA3B330,3E7BE8B7,3F683CD8,3F881E89
3FA45DFC,3E800978,3F68BE20,3F8841FC
3FA60FDA,3E854A09,3F6A039C,3F889B8E
3FA77F27,3E89B1A1,3F6B13EA,3F88E6DA
3FA94046,3E8F075A,3F6C5CE8,3F894243
3FA99830,3E901108,3F6C9CCC,3F895413
3FAB38E2,3E94F505,3F6DC967,3F89A820
3FB073E7,3EA45D1B,3F7176F9,3F8AB23B
3FB0C481,3EA546C6,3F71AE7D,3F8AC20F
3FB1AA69,3EA7DF00,3F724C21,3F8AEF17
3FB1C347,3EA826A5,3F725D1E,3F8AF3F3
3FB1F099,3EA8A91D,3F727C0B,3F8AFCCD
3FB3043D,3EABBFD8,3F733749,3F8B3282
3FB315CB,3EABF20B,3F734329,3F8B35EB
3FB41FFE,3EAEE8E6,3F73F67D,3F8B698A
3FB56B29,3EB292DF,3F74D3AC,3F8BA972
3FB64498,3EB4F714,3F7563C0,3F8BD338
3FB76BFF,3EB83243,3F76260F,3F8C0BBD
3FB96FE0,3EBDCA6D,3F77757A,3F8C6DCE
3FBECDC9,3ECC65FF,3F7ADB1D,3F8D6F24
3FBF27C7,3ECD5742,3F7B12E7,3F8D7FCE
3FC13A4D,3ED2DC97,3F7C58EF,3F8DE196
3FC2366D,3ED576F4,3F7CF22D,3F8E0FC8
3FC302B4,3ED79062,3F7D6D8C,3F8E3514
3FC4C293,3EDC2307,3F7E7994,3F8E8675
3FC50E8E,3EDCE897,3F7EA6B7,3F8E9435
3FC9ACBD,3EE8C4BE,3F80AC72,3F8F6831
3FCB88D8,3EED77EA,3F813444,3F8FBC8A
3FCCAB14,3EF04FFC,3F818632,3F8FEFAC
3FCF684D,3EF71E89,3F824978,3F906A59
3FCFE80F,3EF85989,3F826CA5,3F908091
3FD1C27B,3EFCE4B1,3F82EE35,3F90D2BA
3FD462FD,3F01A202,3F83A307,3F914644
3FD47E9B,3F01C349,3F83AA62,3F914AFC
3FD65D3A,3F040161,3F8428FF,3F919C88
3FD7BF60,3F05A6F4,3F8485A3,3F91D887
3FD8B984,3F06CF18,3F84C68B,3F9202BB
3FD9A64B,3F07E62F,3F850395,3F922A8C
3FDD6C26,3F0C4C7E,3F85F8A1,3F92CBA9
3FDDAAFD,3F0C951B,3F86085B,3F92D612
3FE29168,3F122E07,3F873CE9,3F93A41C
3FE34164,3F12F492,3F876764,3F93C0BF
3FE76A77,3F179983,3F886461,3F946CB0
3FE8EA73,3F1940EB,3F88BDE4,3F94AA1C
3FEBE7DE,3F1C84D8,3F896DB3,3F9523A9
3FECBFF4,3F1D6EEB,3F899EB6,3F9545C4
3FEEC9AA,3F1FA0A2,3F8A13F0,3F9597BD
3FEFD9EF,3F20C3E1,3F8A5080,3F95C24F
3FF1A51C,3F22AC26,3F8AB5B1,3F9609C9
3FF40C35,3F253491,3F8B3B6D,3F9668E9
3FF51957,3F264E46,3F8B754B,3F969250
3FF6585F,3F279AA7,3F8BB963,3F96C337
3FF695DD,3F27DA86,3F8BC673,3F96CC9F
3FF7B77B,3F290682,3F8C03B4,3F96F8D3
3FF8BC0A,3F2A133B,3F8C3A6F,3F972076
3FF91716,3F2A70DE,3F8C4D79,3F972E49
3FF99850,3F2AF58C,3F8C686D,3F9741E0
3FFA5CFE,3F2BBEF6,3F8C9148,3F975FA4
3FFC9FA1,3F2E0BF9,3F8D0855,3F97B6CF
3FFD98AE,3F2F07DE,3F8D3B0E,3F97DC26
3FFFA93E,3F311B47,3F8DA5AE,3F982B09
40008205,3F32759E,3F8DEAE4,3F985E89
400108D8,3F3381A7,3F8E204E,3F988671
4002730C,3F364C57,3F8EAE15,3F98F10A
40033A8E,3F37D2B3,3F8EFB1F,3F992B62
40039F45,3F3896E1,3F8F21BB,3F9948BD
4003CABD,3F38EB5E,3F8F3256,3F995564
4003DDBF,3F391048,3F8F3997,3F995AEB
4005AA66,3F3C8887,3F8FE750,3F99E02B
40066081,3F3DE460,3F902AF2,3F9A1479
40070AAD,3F3F27C4,3F90699F,3F9A452A
40089AE7,3F421A1F,3F90FB0E,3F9AB6F9
400A464C,3F453636,3F919362,3F9B2F70
400A9C44,3F45D52E,3F91B1A8,3F9B4789
400C575D,3F490279,3F924BCC,3F9BC30E
400EB277,3F4D4579,3F93189C,3F9C695B
400F8DB2,3F4ECD99,3F9361AC,3F9CA54B
400F91B5,3F4ED4C1,3F936301,3F9CA663
40136ADB,3F559A41,3F94A27A,3F9DB075
