case,role,name,hex,value
veg_warm_day_dry,seed,SNOWHIN,00000000,  0.000000000E+00
veg_warm_day_dry,seed,CMC,3E19999A,  1.500000060E-01
veg_warm_day_dry,seed,QINTR,00000000,  0.000000000E+00
veg_warm_day_dry,seed,QDRIPR,00000000,  0.000000000E+00
veg_warm_day_dry,seed,QTHROR,00000000,  0.000000000E+00
veg_warm_day_dry,seed,QINTS,00000000,  0.000000000E+00
veg_warm_day_dry,seed,QDRIPS,00000000,  0.000000000E+00
veg_warm_day_dry,seed,QTHROS,00000000,  0.000000000E+00
veg_warm_day_dry,seed,SWDOWN,444D0000,  8.200000000E+02
veg_warm_day_dry,seed,QPRECC,00000000,  0.000000000E+00
veg_warm_day_dry,seed,QPRECL,00000000,  0.000000000E+00
veg_warm_day_dry,in,ICE,00000000,                0
veg_warm_day_dry,in,IST,00000001,                1
veg_warm_day_dry,in,ISNOW,00000000,                0
veg_warm_day_dry,in,ILOC,00000001,                1
veg_warm_day_dry,in,JLOC,00000001,                1
veg_warm_day_dry,in,DT,42700000,  6.000000000E+01
veg_warm_day_dry,in,RHOAIR,3F90752B,  1.128575683E+00
veg_warm_day_dry,in,SFCPRS,47BC7A00,  9.650000000E+04
veg_warm_day_dry,in,QAIR,3C2C0831,  1.049999986E-02
veg_warm_day_dry,in,SFCTMP,43940000,  2.960000000E+02
veg_warm_day_dry,in,THAIR,43940000,  2.960000000E+02
veg_warm_day_dry,in,LWDN,43AF0000,  3.500000000E+02
veg_warm_day_dry,in,UU,40600000,  3.500000000E+00
veg_warm_day_dry,in,VV,BF99999A, -1.200000048E+00
veg_warm_day_dry,in,ZREF,41A00000,  2.000000000E+01
veg_warm_day_dry,in,CO2AIR,42200000,  4.000000000E+01
veg_warm_day_dry,in,O2AIR,46A5A000,  2.120000000E+04
veg_warm_day_dry,in,SOLAD_+1,438F8000,  2.870000000E+02
veg_warm_day_dry,in,SOLAI_+1,42F60001,  1.230000076E+02
veg_warm_day_dry,in,SOLAD_+2,438F8000,  2.870000000E+02
veg_warm_day_dry,in,SOLAI_+2,42F60001,  1.230000076E+02
veg_warm_day_dry,in,COSZ,3F51EB85,  8.199999928E-01
veg_warm_day_dry,in,IGS,3F800000,  1.000000000E+00
veg_warm_day_dry,in,EAIR,44CA5618,  1.618690430E+03
veg_warm_day_dry,in,TBOT,43900000,  2.880000000E+02
veg_warm_day_dry,in,ZSNSO_-2,00000000,  0.000000000E+00
veg_warm_day_dry,in,DZSNSO_-2,00000000,  0.000000000E+00
veg_warm_day_dry,in,STC_-2,00000000,  0.000000000E+00
veg_warm_day_dry,in,ZSNSO_-1,00000000,  0.000000000E+00
veg_warm_day_dry,in,DZSNSO_-1,00000000,  0.000000000E+00
veg_warm_day_dry,in,STC_-1,00000000,  0.000000000E+00
veg_warm_day_dry,in,ZSNSO_+0,00000000,  0.000000000E+00
veg_warm_day_dry,in,DZSNSO_+0,00000000,  0.000000000E+00
veg_warm_day_dry,in,STC_+0,00000000,  0.000000000E+00
veg_warm_day_dry,in,ZSNSO_+1,BDCCCCCD, -1.000000015E-01
veg_warm_day_dry,in,DZSNSO_+1,3DCCCCCD,  1.000000015E-01
veg_warm_day_dry,in,STC_+1,43930000,  2.940000000E+02
veg_warm_day_dry,in,ZSNSO_+2,BECCCCCD, -4.000000060E-01
veg_warm_day_dry,in,DZSNSO_+2,3E99999A,  3.000000119E-01
veg_warm_day_dry,in,STC_+2,43920000,  2.920000000E+02
veg_warm_day_dry,in,ZSNSO_+3,BF800000, -1.000000000E+00
veg_warm_day_dry,in,DZSNSO_+3,3F19999A,  6.000000238E-01
veg_warm_day_dry,in,STC_+3,43910000,  2.900000000E+02
veg_warm_day_dry,in,ZSNSO_+4,C0000000, -2.000000000E+00
veg_warm_day_dry,in,DZSNSO_+4,3F800000,  1.000000000E+00
veg_warm_day_dry,in,STC_+4,43900000,  2.880000000E+02
veg_warm_day_dry,in,ZSOIL_+1,BDCCCCCD, -1.000000015E-01
veg_warm_day_dry,in,SH2O_+1,3E6147AE,  2.199999988E-01
veg_warm_day_dry,in,SMC_+1,3E6147AE,  2.199999988E-01
veg_warm_day_dry,in,ZSOIL_+2,BECCCCCD, -4.000000060E-01
veg_warm_day_dry,in,SH2O_+2,3E75C28F,  2.399999946E-01
veg_warm_day_dry,in,SMC_+2,3E75C28F,  2.399999946E-01
veg_warm_day_dry,in,ZSOIL_+3,BF800000, -1.000000000E+00
veg_warm_day_dry,in,SH2O_+3,3E851EB8,  2.599999905E-01
veg_warm_day_dry,in,SMC_+3,3E851EB8,  2.599999905E-01
veg_warm_day_dry,in,ZSOIL_+4,C0000000, -2.000000000E+00
veg_warm_day_dry,in,SH2O_+4,3E8F5C29,  2.800000012E-01
veg_warm_day_dry,in,SMC_+4,3E8F5C29,  2.800000012E-01
veg_warm_day_dry,in,SNICE_-2,00000000,  0.000000000E+00
veg_warm_day_dry,in,SNLIQ_-2,00000000,  0.000000000E+00
veg_warm_day_dry,in,SNICE_-1,00000000,  0.000000000E+00
veg_warm_day_dry,in,SNLIQ_-1,00000000,  0.000000000E+00
veg_warm_day_dry,in,SNICE_+0,00000000,  0.000000000E+00
veg_warm_day_dry,in,SNLIQ_+0,00000000,  0.000000000E+00
veg_warm_day_dry,in,ELAI,40544088,  3.316438675E+00
veg_warm_day_dry,in,ESAI,3F588C45,  8.458903432E-01
veg_warm_day_dry,in,FWET,3F166536,  5.874818563E-01
veg_warm_day_dry,in,FOLN,3F800000,  1.000000000E+00
veg_warm_day_dry,in,FVEG,3F4CCCCD,  8.000000119E-01
veg_warm_day_dry,in,PAHV,00000000,  0.000000000E+00
veg_warm_day_dry,in,PAHG,80000000, -0.000000000E+00
veg_warm_day_dry,in,PAHB,80000000, -0.000000000E+00
veg_warm_day_dry,in,QSNOW,00000000,  0.000000000E+00
