# WRF v4.6.1 Noah-MP ESAT bitwise oracle (module_sf_noahmplsm.F:4952-5001)
#   tree     <wrf-4.6.1-checkout> (WSL)
#   commit   d66e442fccc04111067e29274c9f9eaccc3cef28
#   sha256   bd592a5b7db29000e715250e3a7c779ffb5e0dcc356f6b5a7d9e1c9f69c55282
#   compiler gfortran 13.3.0, WRF FCOPTIM -O2 -ftree-vectorize -funroll-loops
#   produced by tools/noahmp_wrf461_oracle/run_bareflux.F90 in 'esat' mode,
#   which calls the module procedure directly through the visibility patch.
# ESAT is pure float32 polynomial arithmetic -- no libm -- so this sweep
# also serves as the ptxas constant-folding check for the CUDA half:
# a mis-folded coefficient table cannot survive 12007 points.
# T is degrees C; every column is an IEEE-754 binary32 bit pattern.
t,esw,esi,desw,desi
41C34CCD,453F1B34,456F05B6,433716DA,43855D91
41C34D67,453F1C11,456F06EE,43371793,43855E30
41C353F5,453F2571,456F1446,43371F6A,438564FA
41C36666,453F3FD5,456F39D4,43373579,43857813
41C38000,453F647E,456F6E02,4337541F,4385929A
41C3999A,453F892B,456FA236,433772C8,4385AD27
41C39A71,453F8A61,456FA3ED,433773C9,4385AE06
41C3B333,453FADE0,456FD673,43379173,4385C7B7
41C3CCCD,453FD29A,45700ABF,4337B026,4385E24C
41C3DD94,453FEAAE,45702D09,4337C446,4385F3BB
41C3E38F,453FF345,45703942,4337CB72,4385F9F2
41C3E666,453FF759,45703F10,4337CEDA,4385FCE6
41C40000,45401C20,4570736D,4337ED95,43861785
41C4170E,45403D43,4570A29E,43380945,43862F81
41C4199A,454040EE,4570A7D6,43380C54,43863228
41C41FEF,45404A08,4570B4CF,433813EF,438638C0
41C43173,4540633C,4570D8B0,433828FC,43864AFC
41C43333,454065BF,4570DC46,43382B16,43864CD0
41C44CCD,45408A98,457110C3,433849DD,4386677C
41C45820,45409AE6,457127FC,4338577C,4386734A
41C46666,4540AF77,45714547,433868A8,4386822D
41C48000,4540D45C,457179D7,43388778,43869CE2
41C4999A,4540F948,4571AE72,4338A64C,4386B79D
41C4B333,45411E39,4571E314,4338C523,4386D25C
41C4CCCD,45414330,457217C3,4338E400,4386ED1F
41C4E666,4541682F,45724C7B,433902E0,438707E7
41C4F6E8,4541800C,45726E7E,433916CB,4387192F
41C4FECE,45418B78,45727EC6,43392054,43872175
41C50000,45418D33,4572813D,433921C5,438722B5
41C5199A,4541B23D,4572B60C,433940B0,43873D87
41C51D4C,4541B797,4572BDAA,43394526,43874166
41C53333,4541D74D,4572EADF,43395F9D,4387585D
41C5412D,4541EB8C,457307BC,43397082,43876706
41C54CCD,4541FC65,45731FC1,43397E8F,43877338
41C55E94,45421629,4573447F,43399410,438785E1
41C56666,45422181,457354AB,43399D85,43878E17
41C566A4,454221DA,4573552A,43399DD1,43878E58
41C58000,454246A4,457389A0,4339BC81,4387A8FC
41C5999A,45426BCD,4573BEA0,4339DB80,4387C3E5
41C5B333,454290FC,4573F3A7,4339FA83,4387DED2
41C5CCCD,4542B632,457428BC,433A198D,4387F9C5
41C5E666,4542DB6E,45745DD8,433A3897,438814BB
41C60000,454300AF,45749301,433A57A9,43882FB8
41C6199A,454325F9,4574C834,433A76BE,43884AB8
41C62604,4543380F,4574E205,433A85D2,438857D2
41C63333,45434B46,4574FD70,433A95D7,438865BD
41C64CCD,4543709B,457532B6,433AB4F4,438880C7
41C66666,454395F6,45756806,433AD417,43889BD5
41C68000,4543BB57,45759D61,433AF33E,4388B6E9
41C6999A,4543E0BF,4575D2C6,433B1269,4388D201
41C6B333,4544062D,45760836,433B3197,4388ED1D
41C6BA7E,454410D6,45761770,433B3A7A,4388F4D7
41C6CCCD,45442B9F,45763DAF,433B50CB,4389083F
41C6E666,45445118,45767334,433B7002,43892364
41C6EF3F,45445E0F,457685B4,433B7ACD,43892CC7
41C6FE63,4544743C,4576A562,433B8D46,43893CD9
41C70000,4544769A,4576A8C2,433B8F3E,43893E8F
41C71055,45448E8B,4576CAF1,433BA32E,43894FE7
41C7199A,45449C20,4576DE5A,433BAE80,438959BF
41C73333,4544C1AE,457713FC,433BCDC4,438974F2
41C73E49,4544D1F2,45772B38,433BDB50,438980BC
41C73FFD,4544D471,45772ECC,433BDD65,4389828C
41C74CCD,4544E740,457749AA,433BED0E,4389902C
41C76666,45450CD9,45777F5E,433C0C5B,4389AB69
41C78000,45453279,4577B521,433C2BAE,4389C6AC
41C7872F,45453D08,4577C439,433C3478,4389CE53
41C7999A,4545581E,4577EAEE,433C4B05,4389E1F4
41C7B333,45457DCB,457820C2,433C6A5F,4389FD3E
41C7CCCD,4545A37E,457856A4,433C89BE,438A188F
41C7DAD5,4545B82A,45787430,433C9AF2,438A278A
41C7E666,4545C936,45788C8F,433CA922,438A33E4
41C80000,4545EEF4,4578C283,433CC88A,438A4F3F
41C8027A,4545F29D,4578C7BD,433CCB94,438A51E5
41C8199A,454614BA,4578F883,433CE7F7,438A6A9E
41C827D2,454629B7,45791686,433CF96D,438A79D3
41C83333,45463A85,45792E8C,433D0767,438A8601
41C84A70,45465CDA,45795FA3,433D23F5,438A9EE1
41C84CCD,45466057,457964A1,433D26DD,438AA16A
41C86666,4546862F,45799ABE,433D4655,438ABCD6
41C88000,4546AC0E,4579D0E6,433D65D5,438AD848
41C8999A,4546D1F2,457A071B,433D8557,438AF3BE
41C8B333,4546F7DC,457A3D57,433DA4DD,438B0F3A
41C8CCCD,45471DCF,457A73A0,433DC46A,438B2ABA
41C8CD45,45471E80,457A749D,433DC4FE,438B2B3B
41C8E666,454743C4,457AA9EF,433DE3F8,438B463E
41C90000,454769C4,457AE04C,433E038D,438B61C9
41C90D46,45477D7A,457AFC82,433E13EE,438B7011
41C9199A,45478FC9,457B16B3,433E2326,438B7D57
41C91E27,4547968A,457B2061,433E28C5,438B823E
41C93333,4547B5D2,457B4D24,433E42C2,438B98EA
41C94CCD,4547DBE3,457B83A1,433E6264,438BB482
41C96666,454801FA,457BBA27,433E8209,438BD01D
41C98000,45482818,457BF0B7,433EA1B4,438BEBBF
41C98865,4548349A,457C02A0,433EAC17,438BF4D1
41C9999A,45484E3C,457C2753,433EC163,438C0766
41C99C17,454851F2,457C2CA4,433EC477,438C0A17
41C9B333,45487466,457C5DF7,433EE115,438C2310
41C9C257,45488AFA,457C7E50,433EF3D6,438C3371
41C9CCCD,45489A95,457C94AA,433F00CD,438C3EC1
41C9E666,4548C0CC,457CCB62,433F2088,438C5A75
41C9E883,4548C3F4,457CCFE6,433F2326,438C5CC0
41C9EED8,4548CD6A,457CDD71,433F2B01,438C639A
41CA0000,4548E70B,457D0227,433F404A,438C762F
41CA09E6,4548F5D5,457D1755,433F4C91,438C80E9
41CA199A,45490D4E,457D38F5,433F600E,438C91EE
41CA3333,45493398,457D6FCF,433F7FD7,438CADAF
41CA4CCD,454959E9,457DA6B4,433F9FA5,438CC978
41CA6666,4549803F,457DDDA0,433FBF77,438CE544
41CA8000,4549A69C,457E1499,433FDF4D,438D0117
41CA999A,4549CD00,457E4B9F,433FFF28,438D1CED
41CAB333,4549F368,457E82AB,43401F07,438D38C7
41CACCCD,454A19D9,457EB9C6,43403EEB,438D54A8
41CACE57,454A1C29,457EBD14,434040D7,438D5655
41CAE666,454A404E,457EF0E8,43405ED3,438D708C
41CAF56B,454A56E2,457F1146,4340718D,438D80EC
41CB0000,454A66CD,457F2815,43407EC0,438D8C76
41CB146A,454A8582,457F541E,43409838,438DA2BB
41CB199A,454A8D50,457F5F4E,43409EB2,438DA864
41CB3333,454AB3D8,457F968F,4340BEA7,438DC457
41CB4CCD,454ADA6A,457FCDDF,4340DEA1,438DE04F
41CB6666,454B00FE,4580029A,4340FE9F,438DFC4B
41CB7261,454B1310,45800F8F,43410D9A,438E0966
41CB8000,454B279C,45801E4B,43411EA2,438E184E
41CB999A,454B4E41,45803A03,43413EAB,438E3455
41CBB333,454B74E8,458055BE,43415EB5,438E5060
41CBCCCD,454B9B9A,4580717E,43417EC6,438E6C70
41CBD6CC,454BAAB7,45807C56,43418B4D,438E7766
41CBE666,454BC24E,45808D45,43419EDB,438E8884
41CBE9CE,454BC776,458090F7,4341A31F,438E8C42
41CBEA82,454BC886,458091BA,4341A402,438E8D07
41CC0000,454BE90B,4580A910,4341BEF4,438EA49F
41CC199A,454C0FD0,4580C4E1,4341DF12,438EC0BE
41CC1DD5,454C1639,4580C97B,4341E461,438EC564
41CC3333,454C369A,4580E0B8,4341FF34,438EDCE1
41CC41C9,454C4CB5,4580F096,43421185,438EECEB
41CC4CCD,454C5D6A,4580FC93,43421F5B,438EF90A
41CC6666,454C843E,45811873,43423F86,438F1536
41CC6989,454C8903,45811BDD,43424377,438F18AA
41CC8000,454CAB1E,45813459,43425FB6,438F3169
41CC999A,454CD201,45815046,43427FEA,438F4DA0
41CC99B5,454CD22B,45815063,4342800C,438F4DBE
41CCA29A,454CDFAE,45815A17,43428B3E,438F578D
41CCB333,454CF8EA,45816C35,4342A022,438F69DC
41CCC01A,454D0C89,45817A4C,4342B061,438F7818
41CCCCCD,454D1FDC,4581882C,4342C060,438F861C
41CCD1D6,454D2785,45818DAC,4342C6B7,438F8BAC
41CCE666,454D46D1,4581A426,4342E0A1,438FA263
41CD0000,454D6DD0,4581C028,434300E7,438FBEAC
41CD16DD,454D90A5,4581D92E,43431DBE,438FD7F6
41CD199A,454D94D2,4581DC2E,43432132,438FDAFD
41CD1A6F,454D9619,4581DD17,4343223F,438FDBE9
41CD3333,454DBBDC,4581F838,43434180,438FF750
41CD491F,454DDD50,45821040,43435D2E,43900F96
41CD4CCD,454DE2ED,45821449,434361D5,439013AB
41CD4E80,454DE586,45821626,434363FA,4390158C
41CD6666,454E0A04,4582305E,4343822C,43903008
41CD8000,454E3120,45824C7B,4343A289,43904C6B
41CD999A,454E5846,4582689B,4343C2EB,439068D4
41CDB333,454E7F71,458284C1,4343E34F,4390853F
41CDCCCD,454EA6A1,4582A0ED,434403B9,4390A1B1
41CDD6A1,454EB5AF,4582ABBE,4344102C,4390AC9F
41CDD8F7,454EB942,4582AE51,43441322,4390AF37
41CDE666,454ECDD8,4582BD1C,43442427,4390BE28
41CE0000,454EF516,4582D953,4344449B,4390DAA4
41CE199A,454F1C59,4582F58E,43446513,4390F724
41CE3333,454F43A5,458311CF,4344858D,439113A8
41CE4CCD,454F6AF6,45832E15,4344A60F,43913033
41CE6666,454F924E,45834A60,4344C693,43914CC2
41CE75EE,454FAA30,45835B8D,4344DA51,43915E19
41CE7FF1,454FB996,458366A0,4344E70A,43916946
41CE8000,454FB9AC,458366B1,4344E71E,43916957
41CE999A,454FE114,45838309,434507AB,439185F0
41CE9B5A,454FE3C3,458384F8,434509E6,439187E5
41CEB333,4550087B,45839F64,4345283D,4391A28E
41CECCCD,45502FEF,4583BBC5,434548D6,4391BF30
41CEE666,45505766,4583D82B,43456970,4391DBD8
41CEE8B5,45505AF7,4583DABB,43456C62,4391DE6E
41CF0000,45507EE7,4583F497,43458A11,4391F885
41CF199A,4550A66C,45841108,4345AAB6,43921537
41CF3333,4550CDF9,45842D7E,4345CB5F,439231ED
41CF4BA1,4550F3BB,458448AD,4345EA8E,43924D57
41CF4CCD,4550F58B,458449FB,4345EC0D,43924EA8
41CF6666,45511D24,4584667C,43460CBE,43926B68
41CF8000,455144C4,45848303,43462D76,4392882F
41CF999A,45516C6A,45849F90,43464E32,4392A4F9
41CFAE8A,45518CDC,4584B6ED,434668FA,4392BC88
41CFB333,45519416,4584BC20,43466EF1,4392C1C7
41CFCCCD,4551BBC9,4584D8B8,43468FB6,4392DE9D
41CFE666,4551E383,4584F554,4346B07E,4392FB75
41CFFF41,45520A1B,45851121,4346D057,4393177B
41D00000,45520B45,458511F6,4346D14C,43931854
41D0199A,4552330C,45852E9E,4346F21E,43933537
41D03333,45525AD8,45854B4A,434712F4,4393521F
41D03A2E,455265B3,4585531D,43471BE9,43935A01
41D04CCD,455282AC,458567FD,434733D0,43936F0C
41D06666,4552AA86,458584B3,434754AF,43938BFD
41D08000,4552D269,4585A171,43477594,4393A8F5
41D0999A,4552FA4F,4585BE34,4347967D,4393C5F2
41D0B333,4553223E,4585DAFC,4347B76A,4393E2F2
41D0CCCD,45534A33,4585F7CA,4347D85D,4393FFF8
41D0DD5A,4553640C,45860A6B,4347EDAB,439412BF
41D0E666,4553722F,4586149C,4347F953,43941D03
41D10000,45539A31,45863175,43481A4E,43943A13
41D10BF6,4553ACE4,45863EF1,434829B9,439447A9
41D1199A,4553C23B,45864E53,43483B4D,43945729
41D13333,4553EA49,45866B35,43485C51,43947442
41D14CCD,45541260,4586881E,43487D5B,43949161
41D16666,45543A7B,4586A50C,43489E66,4394AE84
41D18000,4554629E,4586C200,4348BF7B,4394CBAE
41D1999A,45548ACA,4586DEFA,4348E090,4394E8DC
41D19BD2,45548E45,4586E17C,4348E36E,4394EB64
41D1B333,4554B2F8,4586FBF8,434901AA,4395060F
41D1B3F0,4554B421,4586FCCD,4349029E,439506E6
41D1CCCD,4554DB30,458718FC,434922CA,43952347
41D1CE84,4554DDE2,45871AEE,43492503,4395253C
41D1E666,4555036D,45873606,434943ED,43954083
41D20000,45552BB3,45875316,43496518,43955DC6
41D2199A,455553FE,45877029,43498645,43957B0D
41D23333,45557C4F,45878D43,4349A776,43959859
41D24854,45559D9A,4587A54D,4349C2DF,4395B08A
41D24CCD,4555A4A8,4587AA64,4349C8AD,4395B5AA
41D26666,4555CD04,4587C788,4349E9E8,4395D2FF
41D28000,4555F56B,4587E4B4,434A0B28,4395F05B
41D2999A,45561DD8,458801E4,434A2C6D,43960DBB
41D2B333,4556464A,45881F18,434A4DB6,43962B20
41D2B8C8,45564F1C,45882578,434A54F7,43963189
41D2CCCD,45566EC3,45883C54,434A6F03,4396488A
41D2D359,4556791D,458843CF,434A7788,43965012
41D2E666,45569741,45885994,434A9054,439665F9
41D2F778,4556B248,45886D19,434AA68F,4396799C
41D30000,4556BFCA,458876DB,434AB1AC,4396836E
41D30D4A,4556D4D7,45888610,434AC2FC,439692BA
41D3199A,4556E858,45889427,434AD307,4396A0E7
41D33333,455710EA,4588B179,434AF467,4396BE65
41D34CCD,45573986,4588CECF,434B15CC,4396DBEA
41D34E6D,45573C1B,4588D0AC,434B17EB,4396DDC9
41D35AB8,45574F9C,4588DEC5,434B27F6,4396EBF8
41D35C09,455751B4,4588E048,434B29AE,4396ED7C
41D36666,45576227,4588EC2B,434B3735,4396F971
41D38000,45578AD1,4589098D,434B58A2,439716FF
41D3999A,4557B37F,458926F5,434B7A15,43973492
41D3B333,4557DC33,45894462,434B9B8C,4397522A
41D3BC45,4557EAA1,45894ED1,434BA76A,43975CA7
41D3CCCD,455804F1,458961D5,434BBD08,43976FC8
41D3E666,45582DB3,45897F4C,434BDE87,43978D67
41D40000,4558567D,45899CCA,434C000C,4397AB0F
41D4199A,45587F4E,4589BA4F,434C2196,4397C8BB
41D43333,4558A823,4589D7D6,434C4323,4397E66C
41D44CCD,4558D103,4589F565,434C64B7,43980423
41D44F9E,4558D581,4589F8A7,434C6868,43980769
41D46666,4558F9E6,458A12F8,434C864D,439821DD
41D48000,455922D1,458A3093,434CA7E8,43983F9F
41D4999A,45594BC5,458A4E33,434CC98B,43985D64
41D4A21F,45595965,458A580F,434CD4BE,4398674D
41D4A7FB,455962C6,458A5ED8,434CDC71,43986E20
41D4B333,455974BB,458A6BD6,434CEB30,43987B2E
41D4BD16,45598490,458A774A,434CF82E,439886B1
41D4CCCD,45599DBB,458A8982,434D0CD9,439898FE
41D4DEEE,4559BAC8,458A9E87,434D24B3,4398AE1E
41D4E666,4559C6C2,458AA730,434D2E87,4398B6D2
41D50000,4559EFCE,458AC4E7,434D503B,4398D4AC
41D5199A,455A18E3,458AE2A3,434D71F4,4398F28C
41D519E7,455A195E,458AE2FB,434D7259,4398F2E7
41D524A8,455A2AA1,458AEF7A,434D8085,4398FF74
41D53333,455A41FB,458B0063,434D93B0,43991070
41D54CCD,455A6B1D,458B1E29,434DB570,43992E59
41D56666,455A9445,458B3BF4,434DD735,43994C46
41D58000,455ABD73,458B59C7,434DF901,43996A3A
41D5999A,455AE6A9,458B779E,434E1AD1,43998835
41D5A99B,455B006F,458B8A49,434E2FF6,43999AF3
41D5B333,455B0FE4,458B957B,434E3CA3,4399A630
41D5B597,455B13BF,458B9844,434E3FCB,4399A8FE
41D5CCCD,455B3928,458BB35D,434E5E7B,4399C434
41D5E666,455B626F,458BD145,434E8058,4399E23B
41D60000,455B8BC2,458BEF32,434EA23B,439A0048
41D6199A,455BB519,458C0D26,434EC421,439A1E5B
41D63333,455BDE76,458C2B1E,434EE60A,439A3C72
41D64CCD,455C07DB,458C491E,434F07FB,439A5A8F
41D65466,455C1425,458C5206,434F120F,439A6380
41D66666,455C3146,458C6722,434F29F0,439A78B0
41D68000,455C5AB8,458C852B,434F4BE8,439A96D7
41D6999A,455C8432,458CA33B,434F6DE8,439AB504
41D69E53,455C8BD8,458CA8C8,434F742C,439ABA95
41D6AAB2,455C9FE8,458CB752,434F849C,439AC92C
41D6B333,455CADB0,458CC150,434F8FE8,439AD334
41D6CCCD,455CD739,458CDF6B,434FB1EF,439AF16A
41D6E666,455D00C5,458CFD8C,434FD3FB,439B0FA5
41D70000,455D2A5A,458D1BB2,434FF60B,439B2DE6
41D7199A,455D53F6,458D39DE,43501822,439B4C2C
41D73333,455D7D98,458D5810,43503A3A,439B6A76
41D74CCD,455DA740,458D7647,43505C58,439B88C7
41D76666,455DD0F0,458D9483,43507E7D,439BA71B
41D78000,455DFAA4,458DB2C7,4350A0A4,439BC576
41D7999A,455E2462,458DD10F,4350C2D1,439BE3D5
41D7B333,455E4E26,458DEF5C,4350E500,439C023B
41D7B54D,455E5195,458DF1DA,4350E7CF,439C04B9
41D7B818,455E5624,458DF529,4350EB8C,439C080A
41D7CCCD,455E77F2,458E0DB0,43510738,439C20A5
41D7D5C3,455E8694,458E184F,43511332,439C2B4B
41D7E666,455EA1C2,458E2C0A,43512972,439C3F12
41D80000,455ECB9C,458E4A69,43514BB0,439C5D87
41D812DE,455EEA78,458E60CE,435164F2,439C73FD
41D8199A,455EF57C,458E68CE,43516DF5,439C7C02
41D81F0A,455EFE62,458E6F44,4351753E,439C827C
41D8209D,455F00F4,458E7122,43517759,439C845B
41D83333,455F1F62,458E8738,4351903E,439C9A80
41D84CCD,455F494F,458EA5A9,4351B28B,439CB904
41D86666,455F7342,458EC41E,4351D4DC,439CD78D
41D88000,455F9D3D,458EE29A,4351F734,439CF61B
41D88325,455FA267,458EE658,4351FB6C,439CF9DC
41D8999A,455FC740,458F011C,4352198F,439D14AF
41D8B333,455FF147,458F1FA2,43523BEF,439D3347
41D8CCCD,45601B58,458F3E30,43525E55,439D51E5
41D8E666,4560456C,458F5CC2,435280BF,439D7088
41D8E6C8,4560460D,458F5D36,43528142,439D70FD
41D90000,45606F8C,458F7B5A,4352A32D,439D8F31
41D9199A,456099B0,458F99F9,4352C5A0,439DADDF
41D91FF3,4560A423,458FA191,4352CE2B,439DB57B
41D93333,4560C3DB,458FB89B,4352E817,439DCC90
41D94CCD,4560EE0D,458FD746,43530A93,439DEB49
41D96666,45611844,458FF5F4,43532D16,439E0A06
41D98000,45614284,459014AA,43534F9B,439E28C9
41D9999A,45616CCD,45903365,43537227,439E4791
41D9B333,45619718,45905224,435394B6,439E665D
41D9CCCD,4561C16D,459070EC,4353B749,439E8530
41D9E666,4561EBC9,45908FB7,4353D9E1,439EA407
41D9F8CE,45620A41,4590A5E0,4353F2C4,439EBA37
41DA0000,45621629,4590AE8A,4353FC80,439EC2E4
41DA199A,45624095,4590CD62,43541F23,439EE1C7
41DA3333,45626B03,4590EC3E,435441C8,439F00AD
41DA4CCD,4562957A,45910B22,43546476,439F1F99
41DA6666,4562BFF9,45912A0B,43548726,439F3E8B
41DA8000,4562EA7E,459148F9,4354A9DC,439F5D82
41DA8E26,45630202,45915A14,4354BD0C,439F6EA1
41DA999A,4563150B,459167EF,4354CC96,439F7C7F
41DAB333,45633F9E,459186E9,4354EF54,439F9B7F
41DABEE7,45635315,45919514,4354FF39,439FA9AE
41DACCCD,45636A36,4591A5E8,43551218,439FBA87
41DAE666,456394D7,4591C4EE,435534DF,439FD993
41DAFC11,4563B8F1,4591DF36,43555254,439FF3DE
41DB0000,4563BF7F,4591E3FB,435557AC,439FF8A5
41DB0B68,4563D282,4591F1D2,43556730,43A0067D
41DB199A,4563EA2E,4592030C,43557A80,43A017BC
41DB32E8,45641466,459221C8,43559CF0,43A0367B
41DB3333,456414E3,45922223,43559D57,43A036D6
41DB4CCD,45643F9F,45924141,4355C031,43A055F9
41DB6666,45646A62,45926063,4355E311,43A0751E
41DB8000,4564952D,45927F8D,435605F7,43A0944B
41DB999A,4564C001,45929EBC,435628E1,43A0B37D
41DBB333,4564EAD8,4592BDF0,43564BCF,43A0D2B2
41DBBFE8,4565001F,4592CD70,43565D28,43A0E232
41DBCB94,456513AC,4592DBAE,43566D17,43A0F070
41DBCCCD,456515B9,4592DD2C,43566EC3,43A0F1EE
41DBE666,4565409C,4592FC6A,435691B9,43A1112E
41DC0000,45656B8B,45931BB2,4356B4B7,43A13076
41DC03F5,4565722F,45932088,4356BA21,43A1354B
41DC199A,45659681,45933AFE,4356D7BA,43A14FC1
41DC25E0,4565AB1B,45934A01,4356E884,43A15EC4
41DC2E55,4565B94F,4593545A,4356F417,43A1691D
41DC3333,4565C17B,45935A4F,4356FABE,43A16F11
41DC4CCD,4565EC7E,459379A6,43571DCA,43A18E68
41DC6666,45661786,45939902,435740DA,43A1ADC3
41DC8000,45664297,4593B867,435763EE,43A1CD24
41DC94E0,456665BA,4593D204,4357808E,43A1E6BE
41DC999A,45666DAF,4593D7D1,43578709,43A1EC8A
41DCA108,45667A32,4593E0F1,4357913B,43A1F5A8
41DCB333,456698CD,4593F740,4357AA28,43A20BF5
41DCCCCD,4566C3F2,459416B5,4357CD4A,43A22B68
41DCE666,4566EF1F,4594362E,4357F072,43A24ADD
41DCF02D,4566FF9F,45944236,4357FDDF,43A256E2
41DD0000,45671A53,459455B0,435813A0,43A26A59
41DD0AF0,45672CCB,45946328,435822A7,43A277CE
41DD199A,4567458E,45947538,435836D1,43A289DA
41DD3333,456770CE,459494C4,43585A06,43A2A95F
41DD4CCD,45679C19,4594B456,43587D42,43A2C8EB
41DD6666,4567C768,4594D3ED,4358A082,43A2E87C
41DD7637,4567E22C,4594E775,4358B64C,43A2FBFF
41DD79D8,4567E851,4594EBF1,4358BB4A,43A30079
41DD8000,4567F2BE,4594F38D,4358C3C6,43A30812
41DD999A,45681E1B,45951331,4358E710,43A327AF
41DD99B8,45681E4F,45951355,4358E73A,43A327D4
41DDB333,45684982,459532DA,43590A5E,43A3474F
41DDBD08,45685A2C,45953F05,435917EF,43A35376
41DDC0F6,456860D6,459543E1,43591D5C,43A35851
41DDCCCD,456874EE,4595528B,43592DB1,43A366F5
41DDD720,45688672,45955F54,43593BF3,43A373BB
41DDDD7E,45689142,45956737,435944BD,43A37B9B
41DDE666,4568A060,45957240,43595108,43A386A0
41DDEF56,4568AF8C,45957D53,43595D61,43A391B0
41DE0000,4568CBDB,459591FD,43597467,43A3A652
41DE1185,4568E99E,4595A7B7,43598C9D,43A3BC06
41DE199A,4568F75D,4595B1BE,435997C9,43A3C60A
41DE3333,456922E3,4595D185,4359BB2F,43A3E5C4
41DE34B0,4569256B,4595D35E,4359BD3C,43A3E79D
41DE4CCD,45694E74,4595F154,4359DE99,43A40585
41DE6666,45697A08,45961125,435A0209,43A4254C
41DE7F05,4569A3FA,45962FC7,435A2424,43A443E0
41DE8000,4569A5A7,459630FF,435A257F,43A44517
41DE999A,4569D14B,459650E0,435A48FA,43A464EA
41DEA759,4569E8BE,459661FF,435A5C06,43A47602
41DEB333,4569FCF7,459670C3,435A6C78,43A484C0
41DECCCD,456A28AA,459690B0,435A8FFA,43A4A49C
41DEE666,456A5463,4596B0A0,435AB383,43A4C47D
41DF0000,456A8026,4596D097,435AD70F,43A4E465
41DF0053,456A80B2,4596D100,435AD784,43A4E4CC
41DF199A,456AABEE,4596F094,435AFAA1,43A50451
41DF1FC9,456AB681,4596F84F,435B0339,43A50C08
41DF3333,456AD7BC,45971098,435B1E3A,43A52442
41DF4CCD,456B0391,459730A1,435B41D6,43A5443A
41DF4EBE,456B06E5,4597330F,435B4488,43A546A7
41DF6666,456B2F6E,459750B0,435B6574,43A56436
41DF8000,456B5B53,459770C5,435B891B,43A58438
41DF95E4,456B80E1,45978C39,435BA799,43A59F9A
41DF999A,456B8742,459790DF,435BACC4,43A5A440
41DFAA07,456BA372,4597A57D,435BC3A9,43A5B8D0
41DFB333,456BB332,4597B101,435BD073,43A5C44C
41DFBFE1,456BC8F9,4597C0EC,435BE220,43A5D42D
41DFC6ED,456BD515,4597C9C6,435BEBF7,43A5DD02
41DFCCCD,456BDF2C,4597D127,435BF428,43A5E45E
41DFDE90,456BFDB4,4597E77A,435C0CF1,43A5FAA2
41DFE666,456C0B2E,4597F154,435C17DF,43A60475
41DFEC37,456C152D,4597F8A4,435C1FFD,43A60BC1
41E00000,456C3736,45981187,435C3B9D,43A62492
41E0199A,456C6345,459831C1,435C5F62,43A644B6
41E03333,456C8F5B,459851FF,435C8326,43A664DE
41E03927,456C999E,4598597F,435C8B79,43A66C58
41E04B6E,456CB91C,4598708A,435CA509,43A68351
41E04CCD,456CBB7B,45987243,435CA6F3,43A6850C
41E06666,456CE79F,4598928E,435CCAC4,43A6A53D
41E08000,456D13CA,4598B2DF,435CEE9B,43A6C576
41E08CD5,456D29F1,4598C315,435D0093,43A6D59E
41E0999A,456D4000,4598D337,435D1277,43A6E5B4
41E0B333,456D6C36,4598F393,435D3656,43A705F6
41E0BEF4,456D808A,45990271,435D46D0,43A714C8
41E0CCCD,456D987B,459913F7,435D5A39,43A7263F
41E0E666,456DC4C2,45993460,435D7E21,43A7468D
41E10000,456DF113,459954CF,435DA213,43A766E0
41E1199A,456E1D6A,45997544,435DC606,43A7873A
41E13333,456E49C7,459995BE,435DE9FC,43A7A798
41E13D45,456E5B3F,4599A288,435DF825,43A7B455
41E14CCD,456E762E,4599B63F,435E0DFA,43A7C7FC
41E15533,456E84C0,4599C0EA,435E19CA,43A7D29D
41E16666,456EA298,4599D6C6,435E31FC,43A7E865
41E18000,456ECF0D,4599F753,435E5601,43A808D4
41E1999A,456EFB89,459A17E7,435E7A0F,43A82948
41E1B333,456F280B,459A3880,435E9E1E,43A849C2
41E1CCCD,456F5494,459A5920,435EC235,43A86A41
41E1CD1A,456F551B,459A5983,435EC2A0,43A86AA3
41E1E666,456F8124,459A79C4,435EE64E,43A88AC5
41E20000,456FADBD,459A9A70,435F0A6D,43A8AB50
41E2199A,456FDA5D,459ABB22,435F2E92,43A8CBE0
41E23333,45700702,459ADBDA,435F52BA,43A8EC74
41E24CCD,457033B0,459AFC97,435F76E9,43A90D10
41E26666,45706064,459B1D5B,435F9B1A,43A92DAF
41E2715C,4570738B,459B2B64,435FAA9B,43A93BAA
41E28000,45708D22,459B3E25,435FBF54,43A94E56
41E28A57,45709F35,459B4B64,435FCDF5,43A95B86
41E2999A,4570B9E6,459B5EF5,435FE390,43A96F02
41E2B333,4570E6AE,459B7FCA,436007D2,43A98FB1
41E2CCCD,45711382,459BA0A7,43602C18,43A9B068
41E2E0DC,457136A4,459BBA6A,43604887,43A9CA0D
41E2E666,4571405A,459BC188,43605061,43A9D123
41E30000,45716D3A,459BE271,436074B5,43A9F1E5
41E3199A,45719A22,459C035F,43609909,43AA12AC
41E31A6F,45719B98,459C0472,43609A38,43AA13BD
41E32AD9,4571B868,459C1993,4360B185,43AA28C3
41E33333,4571C712,459C2454,4360BD63,43AA3377
