# WRF v4.6.1 Noah-MP ESAT bitwise oracle (module_sf_noahmplsm.F:4952-5001)
#   tree     <wrf-4.6.1-checkout> (WSL)
#   commit   d66e442fccc04111067e29274c9f9eaccc3cef28
#   sha256   bd592a5b7db29000e715250e3a7c779ffb5e0dcc356f6b5a7d9e1c9f69c55282
#   compiler gfortran 13.3.0, WRF FCOPTIM -O2 -ftree-vectorize -funroll-loops
#   produced by tools/noahmp_wrf461_oracle/run_bareflux.F90 in 'esat' mode,
#   which calls the module procedure directly through the visibility patch.
# ESAT is pure float32 polynomial arithmetic -- no libm -- so this sweep
# also serves as the ptxas constant-folding check for the CUDA half:
# a mis-folded coefficient table cannot survive 12007 points.
# T is degrees C; every column is an IEEE-754 binary32 bit pattern.
t,esw,esi,desw,desi
3F433333,44215CDF,44229B0C,423A6CB4,4255051D
3F43A404,44216201,4422A0EC,423A71F6,42550C1D
3F466666,44218228,4422C5B5,423A92DE,425537F6
3F4832E1,44219722,4422DDB4,423AA854,42555490
3F49999A,4421A77A,4422F067,423AB90D,42556ADA
3F4CCCCD,4421CCD3,44231B24,423ADF44,42559DCA
3F500000,4421F233,442345EB,423B0581,4255D0C4
3F533333,4422179C,442370BC,423B2BC5,425603C9
3F566666,44223D0B,44239B97,423B520F,425636D9
3F59999A,44226284,4423C67C,423B7860,425669F4
3F5CCCCD,44228803,4423F16C,423B9EB8,42569D1A
3F600000,4422AD89,44241C66,423BC518,4256D04B
3F633333,4422D318,4424476A,423BEB7D,42570386
3F63ABDF,4422D8A1,44244DC1,423BF126,42570B13
3F6458A1,4422E08E,442456D5,423BF940,425715E4
3F666666,4422F8AF,44247279,423C11E9,425736CD
3F69999A,44231E4C,44249D91,423C385D,42576A1E
3F6A0823,44232360,4424A362,423C3D8D,4257710C
3F6CCCCD,442343F2,4424C8B4,423C5ED7,42579D7B
3F700000,4423699F,4424F3E1,423C8557,4257D0E4
3F713312,442377C1,44250413,423C93C8,4257E42A
3F733333,44238F54,44251F18,423CABDF,42580456
3F766666,4423B511,44254A59,423CD26E,425837D3
3F79999A,4423DAD6,442575A6,423CF902,42586B5B
3F7CCCCD,442400A2,4425A0FC,423D1F9E,42589EEE
3F7ECF74,44241864,4425BC3B,423D37E3,4258BF5A
3F7EF2FE,44241A09,4425BE1D,423D3991,4258C198
3F800000,44242676,4425CC5D,423D4641,4258D28D
3F8131E9,442442BC,4425ECC9,423D6320,4258F921
3F81999A,44244C51,4425F7C8,423D6CEB,42590637
3F82CD8D,442468CD,44261873,423D8A00,42592D15
3F833333,44247235,4426233D,423D939B,425939EB
3F84CCCD,44249820,44264EBC,423DBA52,42596DAA
3F866666,4424BE13,44267A46,423DE110,4259A175
3F869E23,4424C33E,44268033,423DE656,4259A882
3F873217,4424D0F5,44268FF1,423DF457,4259BB3A
3F879117,4424D9C4,44269A0C,423DFD55,4259C740
3F880000,4424E40E,4426A5DA,423E07D5,4259D54A
3F893C1A,44250163,4426C784,423E25C5,4259FD52
3F89999A,44250A10,4426D179,423E2EA1,425A092B
3F8B3333,4425301B,4426FD22,423E5573,425A3D18
3F8C8354,44254F58,442720FE,423E7554,425A67BB
3F8CCCCD,4425562C,442728D6,423E7C4C,425A710D
3F8E6666,44257C46,44275492,423EA32C,425AA50F
3F900000,4425A268,4427805B,423ECA13,425AD91C
3F91999A,4425C891,4427AC2E,423EF102,425B0D34
3F933333,4425EEC2,4427D80B,423F17F6,425B4157
3F94CCCD,442614FB,442803F2,423F3EF1,425B7586
3F94F643,442618DA,44280864,423F42E4,425B7ACE
3F95765B,442624D0,44281621,423F4F17,425B8B23
3F966666,44263B3C,44282FE4,423F65F4,425BA9BF
3F96CE82,442644F6,44283B11,423F6FDF,425BB707
3F980000,44266184,44285BE0,423F8CFD,425BDE03
3F981DE2,4426644F,44285F16,423F8FD6,425BE1D5
3F99999A,442687D4,442887E6,423FB40D,425C1253
3F9B3333,4426AE2D,4428B3F8,423FDB24,425C46AE
3F9C06BB,4426C1FD,4428CABD,423FEF57,425C61BB
3F9CCCCD,4426D48C,4428E013,42400242,425C7B14
