scenario,k,t1d_entry_hex,t1d_entry_k,t1d_exit_hex,t1d_exit_k,pii_hex,pii,round_trip_exit_hex,round_trip_matches
aero-drop-evap,20,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F34B8FB,  7.0594757795333862E-01,438E8000,1
aero-drop-evap,21,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F318627,  6.9345325231552124E-01,438E8000,1
aero-drop-evap,22,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F2E61D1,  6.8118005990982056E-01,438E8000,1
aero-drop-evap,23,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F2B4BB8,  6.6912412643432617E-01,438E8000,1
aero-drop-evap,24,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F28439A,  6.5728151798248291E-01,438E8000,1
aero-nc-auto,1,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F7DB976,  9.9111115932464600E-01,438E8000,1
aero-nc-auto,2,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F793BDF,  9.7356981039047241E-01,438E8000,1
aero-nc-auto,3,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F74D2A1,  9.5633894205093384E-01,438E8000,1
aero-nc-auto,4,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F707D60,  9.3941307067871094E-01,438E8000,1
aero-nc-auto,5,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F6C3BC0,  9.2278671264648438E-01,438E8000,1
aero-nc-auto,6,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F680D69,  9.0645462274551392E-01,438E8000,1
aero-nc-auto,7,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F63F204,  8.9041161537170410E-01,438E8000,1
aero-nc-auto,8,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F5FE93A,  8.7465250492095947E-01,438E8000,1
aero-nc-auto,9,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F5BF2B8,  8.5917234420776367E-01,438E8000,1
aero-nc-auto,10,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F580E2B,  8.4396618604660034E-01,438E8000,1
