temp_k,w_m_s,nccn_per_m3,activated_per_m3
 2.3800000000000000E+002, 3.1600001454353333E-001, 1.0000000000000000E+010, 1.1725134080000000E+009
 2.3800000000000000E+002, 3.1600001454353333E-001, 2.0000000000000000E+010, 2.3450268160000000E+009
 2.3800000000000000E+002, 5.0000000000000000E-001, 5.0000000000000000E+006, 4.9258990000000000E+006
 2.3800000000000000E+002, 5.0000000000000000E-001, 1.0000000000000000E+007, 9.8517980000000000E+006
 2.3800000000000000E+002, 5.0000000000000000E-001, 1.1100000000000000E+007, 1.0932940000000000E+007
 2.3800000000000000E+002, 5.0000000000000000E-001, 3.1600000000000000E+007, 3.0283534000000000E+007
 2.3800000000000000E+002, 5.0000000000000000E-001, 1.0000000000000000E+008, 8.9919888000000000E+007
 2.3800000000000000E+002, 5.0000000000000000E-001, 3.1600000000000000E+008, 2.5620646400000000E+008
 2.3800000000000000E+002, 5.0000000000000000E-001, 1.0000000000000000E+009, 6.5160448000000000E+008
 2.3800000000000000E+002, 5.0000000000000000E-001, 3.1600000000000000E+009, 1.1389984000000000E+009
 2.3800000000000000E+002, 5.0000000000000000E-001, 1.0000000000000000E+010, 1.4207349760000000E+009
 2.3800000000000000E+002, 5.0000000000000000E-001, 2.0000000000000000E+010, 2.8414699520000000E+009
 2.3800000000000000E+002, 1.0000000000000000E+000, 5.0000000000000000E+006, 4.9893435000000000E+006
 2.3800000000000000E+002, 1.0000000000000000E+000, 1.0000000000000000E+007, 9.9786870000000000E+006
 2.3800000000000000E+002, 1.0000000000000000E+000, 1.1100000000000000E+007, 1.1075755000000000E+007
 2.3800000000000000E+002, 1.0000000000000000E+000, 3.1600000000000000E+007, 3.1337340000000000E+007
 2.3800000000000000E+002, 1.0000000000000000E+000, 1.0000000000000000E+008, 9.6866200000000000E+007
 2.3800000000000000E+002, 1.0000000000000000E+000, 3.1600000000000000E+008, 2.8995052800000000E+008
 2.3800000000000000E+002, 1.0000000000000000E+000, 1.0000000000000000E+009, 8.1984902400000000E+008
 2.3800000000000000E+002, 1.0000000000000000E+000, 3.1600000000000000E+009, 1.6217908480000000E+009
 2.3800000000000000E+002, 1.0000000000000000E+000, 1.0000000000000000E+010, 1.7956898560000000E+009
