max_cfl,target_cfl,mif,precision,last_S,last_Sn,last_Sd,out_S,out_Sn,out_Sd,out_real
 0.100000001E+00, 0.120000005E+01, 0.200000000E+01,100,30,0,1,360,0,1, 0.360000000E+03
 0.100000001E+00, 0.839999974E+00, 0.104999995E+01,100,30,0,1,252,0,1, 0.252000000E+03
 0.100000001E+00, 0.839999974E+00, 0.150999999E+01,100,30,0,1,252,0,1, 0.252000000E+03
 0.100000001E+00, 0.839999974E+00, 0.200000000E+01,100,30,0,1,252,0,1, 0.252000000E+03
 0.100000001E+00, 0.200000000E+01, 0.104999995E+01,100,30,0,1,600,0,1, 0.600000000E+03
 0.100000001E+00, 0.200000000E+01, 0.150999999E+01,100,30,0,1,600,0,1, 0.600000000E+03
 0.100000001E+00, 0.200000000E+01, 0.200000000E+01,100,30,0,1,600,0,1, 0.600000000E+03
 0.100000001E+00, 0.500000000E+00, 0.104999995E+01,100,30,0,1,150,0,1, 0.150000000E+03
 0.100000001E+00, 0.500000000E+00, 0.150999999E+01,100,30,0,1,150,0,1, 0.150000000E+03
 0.100000001E+00, 0.500000000E+00, 0.200000000E+01,100,30,0,1,150,0,1, 0.150000000E+03
 0.200000003E+00, 0.120000005E+01, 0.104999995E+01,100,30,0,1,180,0,1, 0.180000000E+03
 0.200000003E+00, 0.120000005E+01, 0.150999999E+01,100,30,0,1,180,0,1, 0.180000000E+03
 0.200000003E+00, 0.120000005E+01, 0.200000000E+01,100,30,0,1,180,0,1, 0.180000000E+03
 0.200000003E+00, 0.839999974E+00, 0.104999995E+01,100,30,0,1,126,0,1, 0.126000000E+03
 0.200000003E+00, 0.839999974E+00, 0.150999999E+01,100,30,0,1,126,0,1, 0.126000000E+03
 0.200000003E+00, 0.839999974E+00, 0.200000000E+01,100,30,0,1,126,0,1, 0.126000000E+03
 0.200000003E+00, 0.200000000E+01, 0.104999995E+01,100,30,0,1,300,0,1, 0.300000000E+03
 0.200000003E+00, 0.200000000E+01, 0.150999999E+01,100,30,0,1,300,0,1, 0.300000000E+03
 0.200000003E+00, 0.200000000E+01, 0.200000000E+01,100,30,0,1,300,0,1, 0.300000000E+03
 0.200000003E+00, 0.500000000E+00, 0.104999995E+01,100,30,0,1,75,0,1, 0.750000000E+02
 0.200000003E+00, 0.500000000E+00, 0.150999999E+01,100,30,0,1,75,0,1, 0.750000000E+02
 0.200000003E+00, 0.500000000E+00, 0.200000000E+01,100,30,0,1,75,0,1, 0.750000000E+02
 0.300000012E+00, 0.120000005E+01, 0.104999995E+01,100,30,0,1,120,0,1, 0.120000000E+03
 0.300000012E+00, 0.120000005E+01, 0.150999999E+01,100,30,0,1,120,0,1, 0.120000000E+03
 0.300000012E+00, 0.120000005E+01, 0.200000000E+01,100,30,0,1,120,0,1, 0.120000000E+03
 0.300000012E+00, 0.839999974E+00, 0.104999995E+01,100,30,0,1,84,0,1, 0.840000000E+02
 0.300000012E+00, 0.839999974E+00, 0.150999999E+01,100,30,0,1,84,0,1, 0.840000000E+02
 0.300000012E+00, 0.839999974E+00, 0.200000000E+01,100,30,0,1,84,0,1, 0.840000000E+02
 0.300000012E+00, 0.200000000E+01, 0.104999995E+01,100,30,0,1,200,1,10, 0.200100006E+03
 0.300000012E+00, 0.200000000E+01, 0.150999999E+01,100,30,0,1,200,1,10, 0.200100006E+03
 0.300000012E+00, 0.200000000E+01, 0.200000000E+01,100,30,0,1,200,1,10, 0.200100006E+03
 0.300000012E+00, 0.500000000E+00, 0.104999995E+01,100,30,0,1,50,1,10, 0.500999985E+02
 0.300000012E+00, 0.500000000E+00, 0.150999999E+01,100,30,0,1,50,1,10, 0.500999985E+02
 0.300000012E+00, 0.500000000E+00, 0.200000000E+01,100,30,0,1,50,1,10, 0.500999985E+02
 0.400000006E+00, 0.120000005E+01, 0.104999995E+01,100,30,0,1,90,0,1, 0.900000000E+02
 0.400000006E+00, 0.120000005E+01, 0.150999999E+01,100,30,0,1,90,0,1, 0.900000000E+02
 0.400000006E+00, 0.120000005E+01, 0.200000000E+01,100,30,0,1,90,0,1, 0.900000000E+02
 0.400000006E+00, 0.839999974E+00, 0.104999995E+01,100,30,0,1,63,0,1, 0.630000000E+02
 0.400000006E+00, 0.839999974E+00, 0.150999999E+01,100,30,0,1,63,0,1, 0.630000000E+02
 0.400000006E+00, 0.839999974E+00, 0.200000000E+01,100,30,0,1,63,0,1, 0.630000000E+02
 0.400000006E+00, 0.200000000E+01, 0.104999995E+01,100,30,0,1,150,0,1, 0.150000000E+03
 0.400000006E+00, 0.200000000E+01, 0.150999999E+01,100,30,0,1,150,0,1, 0.150000000E+03
 0.400000006E+00, 0.200000000E+01, 0.200000000E+01,100,30,0,1,150,0,1, 0.150000000E+03
 0.400000006E+00, 0.500000000E+00, 0.104999995E+01,100,30,0,1,37,1,2, 0.375000000E+02
 0.400000006E+00, 0.500000000E+00, 0.150999999E+01,100,30,0,1,37,1,2, 0.375000000E+02
 0.400000006E+00, 0.500000000E+00, 0.200000000E+01,100,30,0,1,37,1,2, 0.375000000E+02
 0.500000000E+00, 0.120000005E+01, 0.104999995E+01,100,30,0,1,72,0,1, 0.720000000E+02
 0.500000000E+00, 0.120000005E+01, 0.150999999E+01,100,30,0,1,72,0,1, 0.720000000E+02
 0.500000000E+00, 0.120000005E+01, 0.200000000E+01,100,30,0,1,72,0,1, 0.720000000E+02
 0.500000000E+00, 0.839999974E+00, 0.104999995E+01,100,30,0,1,50,2,5, 0.504000015E+02
 0.500000000E+00, 0.839999974E+00, 0.150999999E+01,100,30,0,1,50,2,5, 0.504000015E+02
 0.500000000E+00, 0.839999974E+00, 0.200000000E+01,100,30,0,1,50,2,5, 0.504000015E+02
