field,step,k,j,i,value,bits
dn,0,19,0,0,-3.329594433E-002,-1123524268
fnm,0,19,0,0, 5.041708350E-001,1057034583
fnp,0,19,0,0, 4.958291948E-001,1056824659
dnw,0,20,0,0,-3.242257237E-002,-1123758712
dn,0,20,0,0,-3.272038698E-002,-1123678768
fnm,0,20,0,0, 5.045508742E-001,1057040959
fnp,0,20,0,0, 4.954490960E-001,1056811905
dnw,0,21,0,0,-3.177958727E-002,-1123931312
dn,0,21,0,0,-3.210107982E-002,-1123845012
fnm,0,21,0,0, 5.050075054E-001,1057048620
fnp,0,21,0,0, 4.949924946E-001,1056796584
dnw,0,22,0,0,-3.107988834E-002,-1124164800
dn,0,22,0,0,-3.142973781E-002,-1124025224
fnm,0,22,0,0, 5.055655837E-001,1057057983
fnp,0,22,0,0, 4.944344163E-001,1056777858
dnw,0,23,0,0,-3.031073511E-002,-1124577736
dn,0,23,0,0,-3.069531173E-002,-1124371268
fnm,0,23,0,0, 5.062644482E-001,1057069708
fnp,0,23,0,0, 4.937355816E-001,1056754409
dnw,0,24,0,0,-2.945438027E-002,-1125037488
dn,0,24,0,0,-2.988255769E-002,-1124807612
fnm,0,24,0,0, 5.071643591E-001,1057084806
fnp,0,24,0,0, 4.928356707E-001,1056724213
dnw,0,25,0,0,-2.848473936E-002,-1125558060
dn,0,25,0,0,-2.896955982E-002,-1125297774
fnm,0,25,0,0, 5.083677769E-001,1057104996
fnp,0,25,0,0, 4.916322529E-001,1056683833
dnw,0,26,0,0,-2.736117691E-002,-1126161268
dn,0,26,0,0,-2.792295814E-002,-1125859664
fnm,0,26,0,0, 5.100594759E-001,1057133378
fnp,0,26,0,0, 4.899405241E-001,1056627068
dnw,0,27,0,0,-2.601427585E-002,-1126884380
dn,0,27,0,0,-2.668772638E-002,-1126522824
fnm,0,27,0,0, 5.126172304E-001,1057176290
fnp,0,27,0,0, 4.873827696E-001,1056541244
dnw,0,28,0,0,-2.430834621E-002,-1127800244
dn,0,28,0,0,-2.516131103E-002,-1127342312
fnm,0,28,0,0, 5.169499516E-001,1057248981
fnp,0,28,0,0, 4.830500782E-001,1056395863
dnw,0,29,0,0,-2.190419286E-002,-1129090964
dn,0,29,0,0,-2.310626954E-002,-1128445604
fnm,0,29,0,0, 5.260119438E-001,1057401016
fnp,0,29,0,0, 4.739880860E-001,1056091793
dnw,0,30,0,0,-1.688318700E-002,-1131786596
dn,0,30,0,0,-1.939368993E-002,-1130438780
fnm,0,30,0,0, 5.647247434E-001,1058050509
fnp,0,30,0,0, 4.352752566E-001,1054792806
cf1,0,0,0,0, 2.005211115E+000,1073763681
cf2,0,0,0,0,-1.512244463E+000,-1077833414
cf3,0,0,0,0, 5.070332885E-001,1057082607
rdx,0,0,0,0, 1.000000047E-003,981668463
rdy,0,0,0,0, 1.000000047E-003,981668463
ht,0,0,1,1, 7.990633392E+001,1117769739
ht,0,0,1,2, 1.869756012E+002,1127938497
ht,0,0,1,3, 1.434657898E+002,1125087038
ht,0,0,1,4, 2.160602951E+001,1101846822
ht,0,0,1,5, 2.369155693E+001,1102940239
ht,0,0,1,6, 1.462602081E+002,1125270173
ht,0,0,1,7, 1.858399658E+002,1127864072
ht,0,0,1,8, 7.672585297E+001,1117352867
