route,mechanism,input_id,kernel,device_bits,ieee_reference_bits,flushed_reference_bits,control_bits
R4,plain-operator arithmetic,smallest_normal_control,ftz_probe_r4_mul,0x00800000,0x00800000,0x00800000,0x00800000
R4,plain-operator arithmetic,subnormal_vs_zero,ftz_probe_r4_mul,0x00000000,0x00000000,0x00000000,0x00000000
R4,plain-operator arithmetic,min_subnormal_vs_zero,ftz_probe_r4_mul,0x00000000,0x00000000,0x00000000,0x00000000
R4,__f*_rn intrinsic,normal_control,ftz_probe_r4_mul_rn,0x40400000,0x40400000,0x40400000,0x40400000
R4,__f*_rn intrinsic,subnormal_product,ftz_probe_r4_mul_rn,0x00000000,0x000116c2,0x00000000,0x00000000
R4,__f*_rn intrinsic,deep_underflow,ftz_probe_r4_mul_rn,0x00000000,0x00000001,0x00000000,0x00000000
R4,__f*_rn intrinsic,subnormal_operand,ftz_probe_r4_mul_rn,0x00000000,0x000116c2,0x00000000,0x00000000
R4,__f*_rn intrinsic,min_subnormal_operand,ftz_probe_r4_mul_rn,0x00000000,0x00000001,0x00000000,0x00000000
R4,__f*_rn intrinsic,negative_subnormal_operand,ftz_probe_r4_mul_rn,0x80000000,0x800116c2,0x80000000,0x80000000
R4,__f*_rn intrinsic,smallest_normal_control,ftz_probe_r4_mul_rn,0x00800000,0x00800000,0x00800000,0x00800000
R4,__f*_rn intrinsic,subnormal_vs_zero,ftz_probe_r4_mul_rn,0x00000000,0x00000000,0x00000000,0x00000000
