k,tbq
291,0.133196954E-3
292,0.134365095E-3
293,0.135542447E-3
294,0.136730130E-3
295,0.137927156E-3
296,0.139134136E-3
297,0.140350588E-3
298,0.141577708E-3
299,0.142814461E-3
300,0.144061458E-3
301,0.145318772E-3
302,0.146585968E-3
303,0.147864208E-3
304,0.149152460E-3
305,0.150451335E-3
306,0.151760963E-3
307,0.153080837E-3
308,0.154411580E-3
309,0.155753907E-3
310,0.157106682E-3
311,0.158470022E-3
312,0.159845178E-3
313,0.161231030E-3
314,0.162628290E-3
315,0.164037032E-3
316,0.165457343E-3
317,0.166888683E-3
318,0.168332394E-3
319,0.169787323E-3
320,0.171254156E-3
321,0.172732995E-3
322,0.174223285E-3
323,0.175726440E-3
324,0.177241192E-3
325,0.178768343E-3
326,0.180307950E-3
327,0.181859417E-3
328,0.183424258E-3
329,0.185001147E-3
330,0.186590871E-3
331,0.188193546E-3
332,0.189809260E-3
333,0.191437372E-3
334,0.193079482E-3
335,0.194734166E-3
336,0.196402281E-3
337,0.198083930E-3
338,0.199778457E-3
339,0.201487492E-3
340,0.203209580E-3
341,0.204945609E-3
342,0.206695695E-3
343,0.208459911E-3
344,0.210238388E-3
345,0.212030427E-3
346,0.213836931E-3
347,0.215657987E-3
348,0.217493725E-3
349,0.219344263E-3
350,0.221209688E-3
351,0.223089286E-3
352,0.224984004E-3
353,0.226893942E-3
354,0.228819204E-3
355,0.230759935E-3
356,0.232716222E-3
357,0.234687337E-3
358,0.236675129E-3
359,0.238677938E-3
360,0.240696783E-3
361,0.242731767E-3
362,0.244782103E-3
363,0.246849755E-3
364,0.248932978E-3
365,0.251032790E-3
366,0.253149366E-3
367,0.255282823E-3
368,0.257433276E-3
369,0.259600842E-3
370,0.261784677E-3
371,0.263986876E-3
372,0.266205578E-3
373,0.268441887E-3
374,0.270695979E-3
375,0.272967940E-3
376,0.275256869E-3
377,0.277564977E-3
378,0.279890315E-3
379,0.282234076E-3
380,0.284596346E-3
381,0.286977302E-3
382,0.289377087E-3
383,0.291795266E-3
384,0.294232508E-3
385,0.296688988E-3
386,0.299164851E-3
387,0.301659631E-3
388,0.304174057E-3
389,0.306708302E-3
390,0.309261843E-3
391,0.311835494E-3
392,0.314429344E-3
393,0.317043567E-3
394,0.319677696E-3
395,0.322333100E-3
396,0.325008703E-3
397,0.327704620E-3
398,0.330422277E-3
399,0.333160569E-3
400,0.335920253E-3
401,0.338701560E-3
402,0.341503881E-3
403,0.344328757E-3
404,0.347175024E-3
405,0.350042799E-3
406,0.352933595E-3
407,0.355846219E-3
408,0.358781515E-3
409,0.361739658E-3
410,0.364720792E-3
411,0.367724366E-3
412,0.370751979E-3
413,0.373802410E-3
414,0.376875745E-3
415,0.379973673E-3
416,0.383094826E-3
417,0.386240135E-3
418,0.389409834E-3
419,0.392604037E-3
420,0.395822892E-3
421,0.399065873E-3
422,0.402333913E-3
423,0.405627128E-3
424,0.408945780E-3
425,0.412289199E-3
426,0.415659160E-3
427,0.419054268E-3
428,0.422475481E-3
429,0.425922219E-3
430,0.429396256E-3
431,0.432896108E-3
432,0.436422881E-3
433,0.439976691E-3
434,0.443557714E-3
435,0.447166211E-3
436,0.450801483E-3
437,0.454465422E-3
438,0.458156544E-3
439,0.461875868E-3
440,0.465622696E-3
441,0.469399092E-3
442,0.473203370E-3
443,0.477037538E-3
444,0.480900053E-3
445,0.484791963E-3
446,0.488712685E-3
447,0.492664054E-3
448,0.496644527E-3
449,0.500656257E-3
450,0.504697498E-3
451,0.508769415E-3
452,0.512871251E-3
453,0.517005159E-3
454,0.521170441E-3
455,0.525366224E-3
456,0.529593788E-3
457,0.533853367E-3
458,0.538145076E-3
459,0.542469264E-3
460,0.546825060E-3
461,0.551214791E-3
462,0.555636536E-3
463,0.560092740E-3
464,0.564581424E-3
465,0.569103926E-3
466,0.573659374E-3
467,0.578250212E-3
468,0.582875451E-3
469,0.587534450E-3
470,0.592229480E-3
471,0.596958678E-3
472,0.601723325E-3
473,0.606523652E-3
474,0.611359952E-3
475,0.616231351E-3
476,0.621140294E-3
477,0.626086025E-3
478,0.631067494E-3
479,0.636086159E-3
480,0.641142251E-3
481,0.646236120E-3
482,0.651367998E-3
483,0.656538061E-3
484,0.661746715E-3
485,0.666994136E-3
486,0.672279275E-3
487,0.677605043E-3
488,0.682968996E-3
489,0.688374159E-3
490,0.693818205E-3
491,0.699302531E-3
492,0.704827544E-3
493,0.710393477E-3
494,0.716000679E-3
495,0.721647986E-3
496,0.727338484E-3
497,0.733071065E-3
498,0.738844567E-3
499,0.744662073E-3
500,0.750521198E-3
501,0.756423513E-3
502,0.762370706E-3
503,0.768360274E-3
504,0.774394022E-3
505,0.780472183E-3
506,0.786594930E-3
507,0.792762788E-3
508,0.798974419E-3
509,0.805233140E-3
510,0.811537844E-3
511,0.817888766E-3
512,0.824284682E-3
513,0.830729026E-3
514,0.837219006E-3
515,0.843757996E-3
516,0.850343262E-3
517,0.856976607E-3
518,0.863660069E-3
519,0.870390679E-3
520,0.877170416E-3
521,0.883999513E-3
522,0.890878437E-3
523,0.897807477E-3
524,0.904786924E-3
525,0.911817187E-3
526,0.918898557E-3
527,0.926031382E-3
528,0.933216070E-3
529,0.940452795E-3
530,0.947742083E-3
531,0.955084222E-3
532,0.962477701E-3
533,0.969926652E-3
534,0.977429561E-3
535,0.984986662E-3
536,0.992596382E-3
537,0.100026315E-2
538,0.100798521E-2
539,0.101576117E-2
540,0.102359522E-2
541,0.103148364E-2
542,0.103943096E-2
543,0.104743533E-2
544,0.105549546E-2
545,0.106361555E-2
546,0.107179210E-2
547,0.108002929E-2
548,0.108832563E-2
549,0.109667960E-2
550,0.110509538E-2
551,0.111356948E-2
552,0.112210633E-2
553,0.113070232E-2
554,0.113936188E-2
555,0.114808325E-2
556,0.115686492E-2
557,0.116571155E-2
558,0.117461907E-2
559,0.118359248E-2
560,0.119262969E-2
561,0.120172917E-2
562,0.121089572E-2
563,0.122012757E-2
564,0.122942508E-2
565,0.123878638E-2
566,0.124821661E-2
567,0.125771388E-2
568,0.126727845E-2
569,0.127691089E-2
570,0.128661166E-2
571,0.129637879E-2
572,0.130621751E-2
573,0.131612585E-2
574,0.132610439E-2
575,0.133615581E-2
576,0.134627591E-2
577,0.135646749E-2
578,0.136673090E-2
579,0.137706683E-2
580,0.138747820E-2
581,0.139796024E-2
582,0.140851620E-2
583,0.141914922E-2
584,0.142985419E-2
585,0.144063716E-2
586,0.145149324E-2
587,0.146242825E-2
588,0.147344009E-2
589,0.148452632E-2
590,0.149569300E-2
591,0.150693813E-2
592,0.151826197E-2
593,0.152966497E-2
594,0.154114782E-2
595,0.155271089E-2
596,0.156435475E-2
597,0.157608290E-2
598,0.158788997E-2
599,0.159978238E-2
600,0.161175465E-2
601,0.162381341E-2
602,0.163595309E-2
603,0.164818030E-2
604,0.166049262E-2
605,0.167289050E-2
606,0.168537453E-2
607,0.169794529E-2
608,0.171060325E-2
609,0.172334898E-2
610,0.173618295E-2
611,0.174910936E-2
612,0.176212180E-2
613,0.177522784E-2
614,0.178842433E-2
615,0.180170871E-2
616,0.181508833E-2
617,0.182856026E-2
618,0.184212509E-2
619,0.185578363E-2
620,0.186953961E-2
621,0.188338698E-2
622,0.189733331E-2
623,0.191137195E-2
624,0.192551094E-2
625,0.193974678E-2
626,0.195408077E-2
627,0.196851301E-2
628,0.198304420E-2
629,0.199767528E-2
630,0.201240648E-2
631,0.202724244E-2
632,0.204217597E-2
633,0.205721566E-2
634,0.207235827E-2
635,0.208760449E-2
636,0.210295455E-2
637,0.211840961E-2
638,0.213397411E-2
639,0.214964058E-2
640,0.216541789E-2
641,0.218130299E-2
642,0.219729170E-2
643,0.221339357E-2
644,0.222960929E-2
645,0.224593095E-2
646,0.226236321E-2
647,0.227891165E-2
648,0.229556789E-2
649,0.231234124E-2
650,0.232922868E-2
651,0.234622997E-2
652,0.236335117E-2
653,0.238058367E-2
654,0.239793723E-2
655,0.241540349E-2
656,0.243299245E-2
657,0.245069992E-2
658,0.246853149E-2
659,0.248647900E-2
660,0.250454713E-2
661,0.252274168E-2
662,0.254105870E-2
663,0.255949935E-2
664,0.257806340E-2
665,0.259675272E-2
666,0.261557242E-2
667,0.263451319E-2
668,0.265358621E-2
669,0.267278706E-2
670,0.269211666E-2
671,0.271157548E-2
672,0.273117027E-2
673,0.275089568E-2
674,0.277074776E-2
675,0.279073790E-2
676,0.281086704E-2
677,0.283112493E-2
678,0.285152346E-2
679,0.287205237E-2
680,0.289272401E-2
681,0.291353278E-2
682,0.293448591E-2
683,0.295557268E-2
684,0.297680544E-2
685,0.299817929E-2
686,0.301969494E-2
687,0.304135378E-2
688,0.306315580E-2
689,0.308510847E-2
690,0.310720666E-2
691,0.312945107E-2
692,0.315184286E-2
693,0.317438249E-2
694,0.319707743E-2
695,0.321992231E-2
696,0.324291782E-2
697,0.326606538E-2
698,0.328936568E-2
699,0.331282569E-2
700,0.333644031E-2
701,0.336021045E-2
702,0.338413706E-2
703,0.340822758E-2
704,0.343247643E-2
705,0.345687801E-2
706,0.348145305E-2
707,0.350618293E-2
708,0.353108160E-2
709,0.355613674E-2
710,0.358136278E-2
711,0.360676111E-2
712,0.363231846E-2
713,0.365804997E-2
714,0.368394982E-2
715,0.371001894E-2
716,0.373625825E-2
717,0.376267591E-2
718,0.378926587E-2
719,0.381602929E-2
720,0.384296686E-2
721,0.387008744E-2
722,0.389737682E-2
723,0.392485177E-2
724,0.395251205E-2
725,0.398034509E-2
726,0.400836673E-2
727,0.403656950E-2
728,0.406495528E-2
729,0.409353338E-2
730,0.412228843E-2
731,0.415123766E-2
732,0.418038201E-2
733,0.420970703E-2
734,0.423922995E-2
735,0.426894333E-2
736,0.429884857E-2
737,0.432895543E-2
738,0.435924763E-2
739,0.438974379E-2
740,0.442044483E-2
