case,k,tso_before,soilmois_before,sh2o_before,smfr_before,tso_after,soilmois_after,sh2o_after,smfr_after,tsk,hfx,qfx,lh,grdflx,snow,snowh,snowc,mavail,smavail,smmax,sfcrunoff,udrunoff,acrunoff,sfcevp,qsfc,qvg,emiss,alb,znt,rhosnf,precipfr,snowfallac
cold_snow,4,271.500000,0.312000006,0.169365019,0.158483312,271.499481,0.311988473,0.169354916,0.158483312,268.611359,6.85489893,-0.291946344E-5,-7.70126963,138.690445,20.2767754,0.819876567E-1,0.380163699,0.874598682,975.400208,1455.00000,0.164680278E-4,0.00000000,0.164680278E-4,-0.350335613E-3,0.272713671E-2,0.273459428E-2,0.942809582,0.467488348,0.750000030E-1,68.3138199,0.300000042,4.39149857
cold_snow,5,272.000000,0.316000015,0.181366429,0.149592862,272.000000,0.315999717,0.181366444,0.149592847,268.611359,6.85489893,-0.291946344E-5,-7.70126963,138.690445,20.2767754,0.819876567E-1,0.380163699,0.874598682,975.400208,1455.00000,0.164680278E-4,0.00000000,0.164680278E-4,-0.350335613E-3,0.272713671E-2,0.273459428E-2,0.942809582,0.467488348,0.750000030E-1,68.3138199,0.300000042,4.39149857
cold_snow,6,272.500000,0.320000023,0.202050313,0.131055221,272.499969,0.320000350,0.202048510,0.131055206,268.611359,6.85489893,-0.291946344E-5,-7.70126963,138.690445,20.2767754,0.819876567E-1,0.380163699,0.874598682,975.400208,1455.00000,0.164680278E-4,0.00000000,0.164680278E-4,-0.350335613E-3,0.272713671E-2,0.273459428E-2,0.942809582,0.467488348,0.750000030E-1,68.3138199,0.300000042,4.39149857
cold_snow,7,273.000000,0.324000001,0.266543061,0.638410449E-1,273.000092,0.324000090,0.266573787,0.638410449E-1,268.611359,6.85489893,-0.291946344E-5,-7.70126963,138.690445,20.2767754,0.819876567E-1,0.380163699,0.874598682,975.400208,1455.00000,0.164680278E-4,0.00000000,0.164680278E-4,-0.350335613E-3,0.272713671E-2,0.273459428E-2,0.942809582,0.467488348,0.750000030E-1,68.3138199,0.300000042,4.39149857
cold_snow,8,273.500000,0.328000009,0.328000009,0.00000000,273.500000,0.327999055,0.327999055,0.326666653,268.611359,6.85489893,-0.291946344E-5,-7.70126963,138.690445,20.2767754,0.819876567E-1,0.380163699,0.874598682,975.400208,1455.00000,0.164680278E-4,0.00000000,0.164680278E-4,-0.350335613E-3,0.272713671E-2,0.273459428E-2,0.942809582,0.467488348,0.750000030E-1,68.3138199,0.300000042,4.39149857
cold_snow,9,274.000000,0.332000017,0.332000017,0.00000000,274.000000,0.332000017,0.332000017,0.331111103,268.611359,6.85489893,-0.291946344E-5,-7.70126963,138.690445,20.2767754,0.819876567E-1,0.380163699,0.874598682,975.400208,1455.00000,0.164680278E-4,0.00000000,0.164680278E-4,-0.350335613E-3,0.272713671E-2,0.273459428E-2,0.942809582,0.467488348,0.750000030E-1,68.3138199,0.300000042,4.39149857
water,1,285.000000,1.00000000,1.00000000,0.00000000,285.000000,1.00000000,1.00000000,0.00000000,285.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.900758244E-2,0.908945687E-2,0.980000019,0.799999982E-1,0.999999975E-4,-1000.00000,0.00000000,0.00000000
water,2,285.000000,1.00000000,1.00000000,0.00000000,285.000000,1.00000000,1.00000000,0.00000000,285.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.900758244E-2,0.908945687E-2,0.980000019,0.799999982E-1,0.999999975E-4,-1000.00000,0.00000000,0.00000000
water,3,285.000000,1.00000000,1.00000000,0.00000000,285.000000,1.00000000,1.00000000,0.00000000,285.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.900758244E-2,0.908945687E-2,0.980000019,0.799999982E-1,0.999999975E-4,-1000.00000,0.00000000,0.00000000
water,4,285.000000,1.00000000,1.00000000,0.00000000,285.000000,1.00000000,1.00000000,0.00000000,285.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.900758244E-2,0.908945687E-2,0.980000019,0.799999982E-1,0.999999975E-4,-1000.00000,0.00000000,0.00000000
water,5,285.000000,1.00000000,1.00000000,0.00000000,285.000000,1.00000000,1.00000000,0.00000000,285.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.900758244E-2,0.908945687E-2,0.980000019,0.799999982E-1,0.999999975E-4,-1000.00000,0.00000000,0.00000000
water,6,285.000000,1.00000000,1.00000000,0.00000000,285.000000,1.00000000,1.00000000,0.00000000,285.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.900758244E-2,0.908945687E-2,0.980000019,0.799999982E-1,0.999999975E-4,-1000.00000,0.00000000,0.00000000
water,7,285.000000,1.00000000,1.00000000,0.00000000,285.000000,1.00000000,1.00000000,0.00000000,285.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.900758244E-2,0.908945687E-2,0.980000019,0.799999982E-1,0.999999975E-4,-1000.00000,0.00000000,0.00000000
water,8,285.000000,1.00000000,1.00000000,0.00000000,285.000000,1.00000000,1.00000000,0.00000000,285.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.900758244E-2,0.908945687E-2,0.980000019,0.799999982E-1,0.999999975E-4,-1000.00000,0.00000000,0.00000000
water,9,285.000000,1.00000000,1.00000000,0.00000000,285.000000,1.00000000,1.00000000,0.00000000,285.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.900758244E-2,0.908945687E-2,0.980000019,0.799999982E-1,0.999999975E-4,-1000.00000,0.00000000,0.00000000
sea_ice,1,266.000000,1.00000000,0.00000000,1.00000000,266.211884,1.00000000,0.00000000,1.00000000,266.966888,10.8413572,0.412195095E-5,11.6345558,-0.996900737,50.0997581,0.200697318,0.781316757,1.00000000,3000.00000,3000.00000,0.00000000,0.00000000,0.00000000,0.494634092E-3,0.236908998E-2,0.237471610E-2,0.980000019,0.744663715,0.109999999E-1,63.8490067,0.100000001,1.56619501
sea_ice,2,266.750000,1.00000000,0.00000000,1.00000000,266.634460,1.00000000,0.00000000,1.00000000,266.966888,10.8413572,0.412195095E-5,11.6345558,-0.996900737,50.0997581,0.200697318,0.781316757,1.00000000,3000.00000,3000.00000,0.00000000,0.00000000,0.00000000,0.494634092E-3,0.236908998E-2,0.237471610E-2,0.980000019,0.744663715,0.109999999E-1,63.8490067,0.100000001,1.56619501
sea_ice,3,267.500000,1.00000000,0.00000000,1.00000000,267.477814,1.00000000,0.00000000,1.00000000,266.966888,10.8413572,0.412195095E-5,11.6345558,-0.996900737,50.0997581,0.200697318,0.781316757,1.00000000,3000.00000,3000.00000,0.00000000,0.00000000,0.00000000,0.494634092E-3,0.236908998E-2,0.237471610E-2,0.980000019,0.744663715,0.109999999E-1,63.8490067,0.100000001,1.56619501
sea_ice,4,268.250000,1.00000000,0.00000000,1.00000000,268.245087,1.00000000,0.00000000,1.00000000,266.966888,10.8413572,0.412195095E-5,11.6345558,-0.996900737,50.0997581,0.200697318,0.781316757,1.00000000,3000.00000,3000.00000,0.00000000,0.00000000,0.00000000,0.494634092E-3,0.236908998E-2,0.237471610E-2,0.980000019,0.744663715,0.109999999E-1,63.8490067,0.100000001,1.56619501
sea_ice,5,269.000000,1.00000000,0.00000000,1.00000000,268.999603,1.00000000,0.00000000,1.00000000,266.966888,10.8413572,0.412195095E-5,11.6345558,-0.996900737,50.0997581,0.200697318,0.781316757,1.00000000,3000.00000,3000.00000,0.00000000,0.00000000,0.00000000,0.494634092E-3,0.236908998E-2,0.237471610E-2,0.980000019,0.744663715,0.109999999E-1,63.8490067,0.100000001,1.56619501
sea_ice,6,269.750000,1.00000000,0.00000000,1.00000000,269.749908,1.00000000,0.00000000,1.00000000,266.966888,10.8413572,0.412195095E-5,11.6345558,-0.996900737,50.0997581,0.200697318,0.781316757,1.00000000,3000.00000,3000.00000,0.00000000,0.00000000,0.00000000,0.494634092E-3,0.236908998E-2,0.237471610E-2,0.980000019,0.744663715,0.109999999E-1,63.8490067,0.100000001,1.56619501
sea_ice,7,270.500000,1.00000000,0.00000000,1.00000000,270.499847,1.00000000,0.00000000,1.00000000,266.966888,10.8413572,0.412195095E-5,11.6345558,-0.996900737,50.0997581,0.200697318,0.781316757,1.00000000,3000.00000,3000.00000,0.00000000,0.00000000,0.00000000,0.494634092E-3,0.236908998E-2,0.237471610E-2,0.980000019,0.744663715,0.109999999E-1,63.8490067,0.100000001,1.56619501
sea_ice,8,271.000000,1.00000000,0.00000000,1.00000000,270.999939,1.00000000,0.00000000,1.00000000,266.966888,10.8413572,0.412195095E-5,11.6345558,-0.996900737,50.0997581,0.200697318,0.781316757,1.00000000,3000.00000,3000.00000,0.00000000,0.00000000,0.00000000,0.494634092E-3,0.236908998E-2,0.237471610E-2,0.980000019,0.744663715,0.109999999E-1,63.8490067,0.100000001,1.56619501
sea_ice,9,271.000000,1.00000000,0.00000000,1.00000000,271.000000,1.00000000,0.00000000,1.00000000,266.966888,10.8413572,0.412195095E-5,11.6345558,-0.996900737,50.0997581,0.200697318,0.781316757,1.00000000,3000.00000,3000.00000,0.00000000,0.00000000,0.00000000,0.494634092E-3,0.236908998E-2,0.237471610E-2,0.980000019,0.744663715,0.109999999E-1,63.8490067,0.100000001,1.56619501
