case,k,iland,isoil,nroot,delt,conflx,prcpms,rainf,patm,qvatm,qcatm,glw,gsw,gswin,emiss,rnet,qkms,tkms,pc,cst_before,cst_after,drip,infwater,rho,vegfrac,lai,qwrtz,rhocs,dqm,qmin,ref,wilt,psis,bclh,ksat,sat,cn,tabs,soilmois_before,soilmois_after,tso_before,tso_after,smfrkeep_before,smfrkeep_after,keepfr_before,keepfr_after,soilice,soiliqw,soilt_before,soilt_after,qvg_before,qvg_after,qsg_before,qsg_after,qcg_before,qcg_after,dew,edir1,ec1,ett1,eeta,qfx,hfx,s,evapl,prcpl,fltot,runoff1,runoff2,mavail_before,mavail_after,infiltrp,smf
warm_forest_rain,1,1,1,8,60.0000000,40.0000000,0.799999998E-5,1.00000000,0.949999988,0.999999978E-2,0.00000000,330.000000,420.000000,500.000000,0.949999988,360.000000,0.149999997E-1,0.999999978E-2,0.550000012,0.799999980E-4,0.790608829E-4,0.00000000,0.649999993E-5,1.10000002,0.750000000,6.40000010,0.920000017,1470000.00,0.393000007,0.200000009E-2,0.173999995,0.329999998E-1,-0.120999999,4.05000019,0.176000001E-3,0.500000024E-3,0.500000000,295.000000,0.239999995,0.256266475,294.000000,292.889221,0.00000000,0.266666651,0.00000000,0.00000000,0.00000000,0.239999995,294.000000,292.889221,0.120000001E-1,0.130355330E-1,0.160000008E-1,0.150592215E-1,0.00000000,0.00000000,0.00000000,0.125215758E-7,0.156519686E-7,0.374173084E-7,0.655908516E-4,163.977127,-23.6673717,-72.5220413,0.655908516E-4,0.799999998E-5,-0.801055908,0.826826181E-7,0.00000000,0.600000024,1.00000000,-0.641731731E-5,0.00000000
warm_forest_rain,2,1,1,8,60.0000000,40.0000000,0.799999998E-5,1.00000000,0.949999988,0.999999978E-2,0.00000000,330.000000,420.000000,500.000000,0.949999988,360.000000,0.149999997E-1,0.999999978E-2,0.550000012,0.799999980E-4,0.790608829E-4,0.00000000,0.649999993E-5,1.10000002,0.750000000,6.40000010,0.920000017,1470000.00,0.393000007,0.200000009E-2,0.173999995,0.329999998E-1,-0.120999999,4.05000019,0.176000001E-3,0.500000024E-3,0.500000000,295.000000,0.243999988,0.252699614,293.250000,293.235931,0.00000000,0.271111101,0.00000000,0.00000000,0.00000000,0.243999988,294.000000,292.889221,0.120000001E-1,0.130355330E-1,0.160000008E-1,0.150592215E-1,0.00000000,0.00000000,0.00000000,0.125215758E-7,0.156519686E-7,0.374173084E-7,0.655908516E-4,163.977127,-23.6673717,-72.5220413,0.655908516E-4,0.799999998E-5,-0.801055908,0.826826181E-7,0.00000000,0.600000024,1.00000000,-0.641731731E-5,0.00000000
warm_forest_rain,3,1,1,8,60.0000000,40.0000000,0.799999998E-5,1.00000000,0.949999988,0.999999978E-2,0.00000000,330.000000,420.000000,500.000000,0.949999988,360.000000,0.149999997E-1,0.999999978E-2,0.550000012,0.799999980E-4,0.790608829E-4,0.00000000,0.649999993E-5,1.10000002,0.750000000,6.40000010,0.920000017,1470000.00,0.393000007,0.200000009E-2,0.173999995,0.329999998E-1,-0.120999999,4.05000019,0.176000001E-3,0.500000024E-3,0.500000000,295.000000,0.247999996,0.249966606,292.500000,292.517365,0.00000000,0.275555551,0.00000000,0.00000000,0.00000000,0.247999996,294.000000,292.889221,0.120000001E-1,0.130355330E-1,0.160000008E-1,0.150592215E-1,0.00000000,0.00000000,0.00000000,0.125215758E-7,0.156519686E-7,0.374173084E-7,0.655908516E-4,163.977127,-23.6673717,-72.5220413,0.655908516E-4,0.799999998E-5,-0.801055908,0.826826181E-7,0.00000000,0.600000024,1.00000000,-0.641731731E-5,0.00000000
warm_forest_rain,4,1,1,8,60.0000000,40.0000000,0.799999998E-5,1.00000000,0.949999988,0.999999978E-2,0.00000000,330.000000,420.000000,500.000000,0.949999988,360.000000,0.149999997E-1,0.999999978E-2,0.550000012,0.799999980E-4,0.790608829E-4,0.00000000,0.649999993E-5,1.10000002,0.750000000,6.40000010,0.920000017,1470000.00,0.393000007,0.200000009E-2,0.173999995,0.329999998E-1,-0.120999999,4.05000019,0.176000001E-3,0.500000024E-3,0.500000000,295.000000,0.252000004,0.251844049,291.750000,291.754486,0.00000000,0.280000001,0.00000000,0.00000000,0.00000000,0.252000004,294.000000,292.889221,0.120000001E-1,0.130355330E-1,0.160000008E-1,0.150592215E-1,0.00000000,0.00000000,0.00000000,0.125215758E-7,0.156519686E-7,0.374173084E-7,0.655908516E-4,163.977127,-23.6673717,-72.5220413,0.655908516E-4,0.799999998E-5,-0.801055908,0.826826181E-7,0.00000000,0.600000024,1.00000000,-0.641731731E-5,0.00000000
warm_forest_rain,5,1,1,8,60.0000000,40.0000000,0.799999998E-5,1.00000000,0.949999988,0.999999978E-2,0.00000000,330.000000,420.000000,500.000000,0.949999988,360.000000,0.149999997E-1,0.999999978E-2,0.550000012,0.799999980E-4,0.790608829E-4,0.00000000,0.649999993E-5,1.10000002,0.750000000,6.40000010,0.920000017,1470000.00,0.393000007,0.200000009E-2,0.173999995,0.329999998E-1,-0.120999999,4.05000019,0.176000001E-3,0.500000024E-3,0.500000000,295.000000,0.255999982,0.255917847,291.000000,291.000305,0.00000000,0.284444422,0.00000000,0.00000000,0.00000000,0.255999982,294.000000,292.889221,0.120000001E-1,0.130355330E-1,0.160000008E-1,0.150592215E-1,0.00000000,0.00000000,0.00000000,0.125215758E-7,0.156519686E-7,0.374173084E-7,0.655908516E-4,163.977127,-23.6673717,-72.5220413,0.655908516E-4,0.799999998E-5,-0.801055908,0.826826181E-7,0.00000000,0.600000024,1.00000000,-0.641731731E-5,0.00000000
warm_forest_rain,6,1,1,8,60.0000000,40.0000000,0.799999998E-5,1.00000000,0.949999988,0.999999978E-2,0.00000000,330.000000,420.000000,500.000000,0.949999988,360.000000,0.149999997E-1,0.999999978E-2,0.550000012,0.799999980E-4,0.790608829E-4,0.00000000,0.649999993E-5,1.10000002,0.750000000,6.40000010,0.920000017,1470000.00,0.393000007,0.200000009E-2,0.173999995,0.329999998E-1,-0.120999999,4.05000019,0.176000001E-3,0.500000024E-3,0.500000000,295.000000,0.259999990,0.259941936,290.250000,290.250092,0.00000000,0.288888872,0.00000000,0.00000000,0.00000000,0.259999990,294.000000,292.889221,0.120000001E-1,0.130355330E-1,0.160000008E-1,0.150592215E-1,0.00000000,0.00000000,0.00000000,0.125215758E-7,0.156519686E-7,0.374173084E-7,0.655908516E-4,163.977127,-23.6673717,-72.5220413,0.655908516E-4,0.799999998E-5,-0.801055908,0.826826181E-7,0.00000000,0.600000024,1.00000000,-0.641731731E-5,0.00000000
warm_forest_rain,7,1,1,8,60.0000000,40.0000000,0.799999998E-5,1.00000000,0.949999988,0.999999978E-2,0.00000000,330.000000,420.000000,500.000000,0.949999988,360.000000,0.149999997E-1,0.999999978E-2,0.550000012,0.799999980E-4,0.790608829E-4,0.00000000,0.649999993E-5,1.10000002,0.750000000,6.40000010,0.920000017,1470000.00,0.393000007,0.200000009E-2,0.173999995,0.329999998E-1,-0.120999999,4.05000019,0.176000001E-3,0.500000024E-3,0.500000000,295.000000,0.263999999,0.263952166,289.500000,289.500092,0.00000000,0.293333322,0.00000000,0.00000000,0.00000000,0.263999999,294.000000,292.889221,0.120000001E-1,0.130355330E-1,0.160000008E-1,0.150592215E-1,0.00000000,0.00000000,0.00000000,0.125215758E-7,0.156519686E-7,0.374173084E-7,0.655908516E-4,163.977127,-23.6673717,-72.5220413,0.655908516E-4,0.799999998E-5,-0.801055908,0.826826181E-7,0.00000000,0.600000024,1.00000000,-0.641731731E-5,0.00000000
warm_forest_rain,8,1,1,8,60.0000000,40.0000000,0.799999998E-5,1.00000000,0.949999988,0.999999978E-2,0.00000000,330.000000,420.000000,500.000000,0.949999988,360.000000,0.149999997E-1,0.999999978E-2,0.550000012,0.799999980E-4,0.790608829E-4,0.00000000,0.649999993E-5,1.10000002,0.750000000,6.40000010,0.920000017,1470000.00,0.393000007,0.200000009E-2,0.173999995,0.329999998E-1,-0.120999999,4.05000019,0.176000001E-3,0.500000024E-3,0.500000000,295.000000,0.268000007,0.267970860,288.750000,288.750061,0.00000000,0.297777772,0.00000000,0.00000000,0.00000000,0.268000007,294.000000,292.889221,0.120000001E-1,0.130355330E-1,0.160000008E-1,0.150592215E-1,0.00000000,0.00000000,0.00000000,0.125215758E-7,0.156519686E-7,0.374173084E-7,0.655908516E-4,163.977127,-23.6673717,-72.5220413,0.655908516E-4,0.799999998E-5,-0.801055908,0.826826181E-7,0.00000000,0.600000024,1.00000000,-0.641731731E-5,0.00000000
warm_forest_rain,9,1,1,8,60.0000000,40.0000000,0.799999998E-5,1.00000000,0.949999988,0.999999978E-2,0.00000000,330.000000,420.000000,500.000000,0.949999988,360.000000,0.149999997E-1,0.999999978E-2,0.550000012,0.799999980E-4,0.790608829E-4,0.00000000,0.649999993E-5,1.10000002,0.750000000,6.40000010,0.920000017,1470000.00,0.393000007,0.200000009E-2,0.173999995,0.329999998E-1,-0.120999999,4.05000019,0.176000001E-3,0.500000024E-3,0.500000000,295.000000,0.271999985,0.271999985,288.000000,288.000000,0.00000000,0.302222192,0.00000000,0.00000000,0.00000000,0.271999985,294.000000,292.889221,0.120000001E-1,0.130355330E-1,0.160000008E-1,0.150592215E-1,0.00000000,0.00000000,0.00000000,0.125215758E-7,0.156519686E-7,0.374173084E-7,0.655908516E-4,163.977127,-23.6673717,-72.5220413,0.655908516E-4,0.799999998E-5,-0.801055908,0.826826181E-7,0.00000000,0.600000024,1.00000000,-0.641731731E-5,0.00000000
dry_grass,1,10,4,6,60.0000000,40.0000000,0.00000000,0.00000000,0.949999988,0.300000003E-2,0.00000000,330.000000,420.000000,500.000000,0.920000017,520.000000,0.149999997E-1,0.999999978E-2,0.400000006,0.00000000,0.00000000,0.00000000,0.00000000,1.10000002,0.349999994,2.90000010,0.250000000,1270000.00,0.451000005,0.340000018E-1,0.368999988,0.143000007,-0.786000013,5.30000019,0.719999980E-5,0.500000024E-3,0.500000000,305.000000,0.350000001E-1,0.349833071E-1,302.000000,293.992035,0.00000000,0.388888866E-1,0.00000000,0.00000000,0.00000000,0.350000001E-1,302.000000,293.992035,0.600000005E-2,0.108730374E-1,0.260000005E-1,0.161217283E-1,0.00000000,0.00000000,0.00000000,0.796779798E-8,0.00000000,0.113666958E-9,0.808146524E-5,20.2036629,-123.428192,-256.695618,0.808146524E-5,0.00000000,-5.76177979,0.00000000,0.00000000,0.600000024,0.104427792,-0.00000000,0.00000000
