3f89999a,3f89999a,3f946efe
3f89999a,3fa66666,3fb53923
3f89999a,3fc00000,3fd2b269
3f89999a,40000000,400ec290
3f89999a,40180000,402b4521
3f89999a,40200000,4034d924
3f89999a,40400000,405b7e53
3f89999a,40600000,40814e72
3f89999a,406ccccd,4089308a
3f89999a,40a00000,40bd22ca
3fa66666,3f89999a,3fb53923
3fa66666,3fa66666,3fe330ee
3fa66666,3fc00000,4006e6b7
3fa66666,40000000,403f5c29
3fa66666,40180000,406c5bca
3fa66666,40200000,407bd0cc
3fa66666,40400000,409ddf3e
3fa66666,40600000,40bf6145
3fa66666,406ccccd,40cd2e51
3fa66666,40a00000,4115e9a4
3fb00000,40200000,408b2f1d
3fb24840,40200000,408e7310
3fb2cc21,40200000,408f313f
3fc00000,3f89999a,3fd2b269
3fc00000,3fa66666,4006e6b7
3fc00000,3fc00000,4022f983
3fc00000,40000000,406fffff
3fc00000,40180000,4097d64d
3fc00000,40200000,40a2f983
3fc00000,40400000,40d1ffff
3fc00000,40600000,41026136
3fc00000,406ccccd,410d0672
3fc00000,40a00000,41589000
3fc357a8,40200000,40a8362b
3fcb8905,40200000,40b571d4
3fccf0ff,40200000,40b7c5e0
3fdefc1c,40200000,40d7274c
40000000,3f89999a,400ec290
40000000,3fa66666,403f5c29
40000000,3fc00000,406fffff
40000000,40000000,40c00000
40000000,40180000,41004000
40000000,40200000,410c0000
40000000,40400000,41400000
40000000,40600000,417c0000
40000000,406ccccd,418b1eb5
40000000,40a00000,41f00000
401762ed,40800000,41f89b3f
4017ab12,40800000,41f9da06
4017b9d7,40800000,41fa1b74
40180000,3f89999a,402b4521
40180000,3fa66666,406c5bca
40180000,3fc00000,4097d64d
40180000,40000000,41004000
40180000,40180000,4131a407
40180000,40200000,41441f78
40180000,40400000,418c4600
40180000,40600000,41bf384a
40180000,406ccccd,41d623c3
40180000,40a00000,424845f0
40185d30,40800000,41fcf1f3
401fec9c,40200000,415917d7
401ff382,40200000,41592aa2
40200000,3f89999a,4034d924
40200000,3fa66666,407bd0cc
40200000,3fc00000,40a2f983
40200000,40000000,410c0000
40200000,40180000,41441f78
40200000,40200000,41594cb0
40200000,40400000,419d8000
40200000,40600000,41d94cb0
40200000,406ccccd,41f47193
40200000,40a00000,426a9c01
403077b8,3fa66666,408e2754
40370f2f,3fa66666,4094c753
403f7d4a,3fa66666,409d596f
40400000,3f89999a,405b7e53
40400000,3fa66666,409ddf3e
40400000,3fc00000,40d1ffff
40400000,40000000,41400000
40400000,40180000,418c4600
40400000,40200000,419d8000
40400000,40400000,41f00000
40400000,40600000,422d4000
40400000,406ccccd,42463ef5
40400000,40a00000,42d20000
40526375,3fa66666,40b0f2da
405de1ad,3fa66666,40bd1df4
40600000,3f89999a,40814e72
40600000,3fa66666,40bf6145
40600000,3fc00000,41026136
40600000,40000000,417c0000
40600000,40180000,41bf384a
40600000,40200000,41d94cb0
40600000,40400000,422d4000
40600000,40600000,42826136
40600000,406ccccd,42978e18
40600000,40a00000,432ff500
4062a6dd,3fa66666,40c23896
40657017,3fa66666,40c5375c
406cccc7,3fa66666,40cd2e4a
406ccccd,3f89999a,4089308a
406ccccd,3fa66666,40cd2e51
406ccccd,3fc00000,410d0672
406ccccd,40000000,418b1eb5
406ccccd,40180000,41d623c3
406ccccd,40200000,41f47193
406ccccd,40400000,42463ef5
406ccccd,40600000,42978e18
406ccccd,406ccccd,42b13909
406ccccd,40a00000,435512b5
40859d75,40200000,421e5afd
40a00000,3f89999a,40bd22ca
40a00000,3fa66666,4115e9a4
40a00000,3fc00000,41589000
40a00000,40000000,41f00000
40a00000,40180000,424845f0
40a00000,40200000,426a9c01
40a00000,40400000,42d20000
40a00000,40600000,432ff500
40a00000,406ccccd,435512b5
40a00000,40a00000,441d8000
40a54822,40200000,427c0b10
40e00001,40200000,42f945b2
41777c0f,40800000,4655fc88
418b179f,40800000,46a482d7
