case,idx,arm,nz,dt,dx,ichoice,ishallow,ht,hfx,qfx,xland,kpbl,psfc_p8w,raincv,pratec,htop,hbot,ktop_deep,k22_shallow,kbcon_shallow,ktop_shallow,xmb_shallow
15,2,0,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,0, 4.2000000000000000E+002, 3.2000000000000000E+002, 1.1000000085914508E-004, 1.0000000000000000E+000,5, 9.6416242187500000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
16,2,0,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,0, 1.0000000000000000E+001, 4.5000000000000000E+001, 1.5999999595806003E-004, 2.0000000000000000E+000,3, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
17,2,0,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,0, 1.0000000000000000E+001, 1.2000000000000000E+001, 1.9999999494757503E-005, 2.0000000000000000E+000,3, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
18,2,0,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,0, 1.0000000000000000E+001, 1.3000000000000000E+002, 2.5000001187436283E-004, 2.0000000000000000E+000,4, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
1,2,1,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,1, 1.0000000000000000E+001, 1.2000000000000000E+002, 1.1999999696854502E-004, 2.0000000000000000E+000,8, 1.0118089843750000E+005, 1.2737029464915395E-004, 2.1228381683613406E-006, 2.8000999450683594E+001, 6.0009999275207520E+000,28,0,0,0, 0.0000000000000000E+000
2,2,1,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,1, 3.5000000000000000E+002, 3.5000000000000000E+002, 1.8000000272877514E-004, 1.0000000000000000E+000,14, 9.7213531250000000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
3,2,1,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,1, 1.0000000000000000E+001, 1.2000000000000000E+002, 1.1999999696854502E-004, 1.0000000000000000E+000,10, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
4,2,1,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,1, 1.0000000000000000E+001, 1.4000000000000000E+002, 2.2000000171829015E-004, 2.0000000000000000E+000,5, 1.0118089843750000E+005, 7.7608553692698479E-004, 1.2934759070049040E-005, 1.0000000000000000E+000, 1.0000000474974513E-003,0,2,5,10, 3.5678133368492126E-002
5,2,1,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,1, 1.0000000000000000E+001, 2.0000000000000000E+001, 1.9999999494757503E-005, 2.0000000000000000E+000,8, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
6,2,1,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,1, 9.0000000000000000E+002,-3.5000000000000000E+001, 0.0000000000000000E+000, 1.0000000000000000E+000,3, 9.1122437500000000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
7,2,1,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,1, 1.0000000000000000E+001, 1.2000000000000000E+002, 1.1999999696854502E-004, 2.0000000000000000E+000,8, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
8,2,1,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,1, 1.0000000000000000E+001, 1.2000000000000000E+002, 1.1999999696854502E-004, 2.0000000000000000E+000,8, 1.0118089843750000E+005, 3.6573750548996031E-004, 6.0956249399168883E-006, 2.8000999450683594E+001, 6.0009999275207520E+000,28,0,0,0, 0.0000000000000000E+000
9,2,1,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,1, 1.0000000000000000E+001, 1.5000000000000000E+001, 2.9999999242136255E-005, 2.0000000000000000E+000,2, 1.0118089843750000E+005, 4.5258540194481611E-004, 7.5430898505146615E-006, 2.8000999450683594E+001, 7.0009999275207520E+000,28,2,7,12, 8.4656393155455589E-003
10,2,1,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,1, 1.0000000000000000E+001, 5.0000000000000000E+002, 3.9999998989515007E-004, 1.0000000000000000E+000,20, 1.0118089843750000E+005, 3.4240933018736541E-005, 5.7068223213718738E-007, 3.1000999450683594E+001, 6.0009999275207520E+000,31,0,0,0, 0.0000000000000000E+000
11,2,1,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,1, 1.0000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000000000000E+000,8, 1.0118089843750000E+005, 1.4131181524135172E-004, 2.3551970116386656E-006, 2.8000999450683594E+001, 7.0009999275207520E+000,28,0,0,0, 0.0000000000000000E+000
12,2,1,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,1, 2.0000000000000000E+002,-4.5000000000000000E+001,-9.9999999747524271E-007, 1.0000000000000000E+000,4, 9.8944296875000000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
13,2,1,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,1, 1.0000000000000000E+001, 1.1000000000000000E+002, 2.6000000070780516E-004, 2.0000000000000000E+000,3, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
14,2,1,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,1, 1.0000000000000000E+001, 1.6000000000000000E+002, 2.3999999393709004E-004, 2.0000000000000000E+000,6, 1.0118089843750000E+005, 2.5375748518854380E-003, 4.2292915168218315E-005, 1.0000000000000000E+000, 1.0000000474974513E-003,0,2,5,13, 4.5244161039590836E-002
15,2,1,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,1, 4.2000000000000000E+002, 3.2000000000000000E+002, 1.1000000085914508E-004, 1.0000000000000000E+000,5, 9.6416242187500000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
16,2,1,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,1, 1.0000000000000000E+001, 4.5000000000000000E+001, 1.5999999595806003E-004, 2.0000000000000000E+000,3, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
17,2,1,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,1, 1.0000000000000000E+001, 1.2000000000000000E+001, 1.9999999494757503E-005, 2.0000000000000000E+000,3, 1.0118089843750000E+005, 1.4095382357481867E-004, 2.3492304990213597E-006, 1.0000000000000000E+000, 1.0000000474974513E-003,0,2,5,10, 6.3648377545177937E-003
18,2,1,40, 6.0000000000000000E+001, 4.0000000000000000E+003,0,1, 1.0000000000000000E+001, 1.3000000000000000E+002, 2.5000001187436283E-004, 2.0000000000000000E+000,4, 1.0118089843750000E+005, 5.6480709463357925E-004, 9.4134520622901618E-006, 1.0000000000000000E+000, 1.0000000474974513E-003,0,2,5,9, 3.8404393941164017E-002
1,3,0,40, 6.0000000000000000E+001, 6.0000000000000000E+003,0,0, 1.0000000000000000E+001, 1.2000000000000000E+002, 1.1999999696854502E-004, 2.0000000000000000E+000,8, 1.0118089843750000E+005, 1.0403064079582691E-003, 1.7338439647573978E-005, 2.8000999450683594E+001, 6.0009999275207520E+000,28,0,0,0, 0.0000000000000000E+000
2,3,0,40, 6.0000000000000000E+001, 6.0000000000000000E+003,0,0, 3.5000000000000000E+002, 3.5000000000000000E+002, 1.8000000272877514E-004, 1.0000000000000000E+000,14, 9.7213531250000000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
3,3,0,40, 6.0000000000000000E+001, 6.0000000000000000E+003,0,0, 1.0000000000000000E+001, 1.2000000000000000E+002, 1.1999999696854502E-004, 1.0000000000000000E+000,10, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
4,3,0,40, 6.0000000000000000E+001, 6.0000000000000000E+003,0,0, 1.0000000000000000E+001, 1.4000000000000000E+002, 2.2000000171829015E-004, 2.0000000000000000E+000,5, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
