case,idx,arm,ndiff_words_vs_gfdrv,ktop_direct,ktop_driver,xmbs_direct,xmbs_driver,ierr_direct
7,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
8,3,0,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
9,3,0,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
10,3,0,0,31,31, 0.0000000000000000E+000, 0.0000000000000000E+000,0
11,3,0,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
12,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
13,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
14,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,51
15,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
16,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
17,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,6
18,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,6
1,3,1,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
2,3,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
3,3,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
4,3,1,0,0,0, 3.5678133368492126E-002, 3.5678133368492126E-002,6
5,3,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
6,3,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,2
7,3,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
8,3,1,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
9,3,1,0,28,28, 8.4656393155455589E-003, 8.4656393155455589E-003,0
10,3,1,0,31,31, 0.0000000000000000E+000, 0.0000000000000000E+000,0
11,3,1,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
12,3,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
13,3,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
14,3,1,0,0,0, 4.5244161039590836E-002, 4.5244161039590836E-002,51
15,3,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
16,3,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
17,3,1,0,0,0, 6.3648377545177937E-003, 6.3648377545177937E-003,6
18,3,1,0,0,0, 3.8404393941164017E-002, 3.8404393941164017E-002,6
1,4,0,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
2,4,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
3,4,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
4,4,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,6
5,4,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
6,4,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,2
7,4,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
8,4,0,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
9,4,0,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
10,4,0,0,31,31, 0.0000000000000000E+000, 0.0000000000000000E+000,0
11,4,0,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
12,4,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
13,4,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
14,4,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,51
15,4,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
16,4,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
17,4,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,6
18,4,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,6
1,4,1,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
2,4,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
3,4,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
4,4,1,0,0,0, 3.5678133368492126E-002, 3.5678133368492126E-002,6
5,4,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
6,4,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,2
7,4,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
8,4,1,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
9,4,1,0,28,28, 8.4656393155455589E-003, 8.4656393155455589E-003,0
10,4,1,0,31,31, 0.0000000000000000E+000, 0.0000000000000000E+000,0
11,4,1,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
12,4,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
13,4,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
14,4,1,0,0,0, 4.5244161039590836E-002, 4.5244161039590836E-002,51
15,4,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
16,4,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
17,4,1,0,0,0, 6.3648377545177937E-003, 6.3648377545177937E-003,6
18,4,1,0,0,0, 3.8404393941164017E-002, 3.8404393941164017E-002,6
1,5,0,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
2,5,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
3,5,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
4,5,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,6
5,5,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
6,5,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,2
7,5,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
8,5,0,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
9,5,0,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
10,5,0,0,31,31, 0.0000000000000000E+000, 0.0000000000000000E+000,0
11,5,0,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
12,5,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
13,5,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
14,5,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,51
15,5,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
16,5,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
17,5,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,6
18,5,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,6
1,5,1,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
2,5,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
