i,zet,phim,phih
27,-1.8700000762939453E+001, 1.7376643419265747E-001, 1.1719179153442383E-001
28,-1.8649999618530273E+001, 1.7391747236251831E-001, 1.1729788780212402E-001
29,-1.8600000381469727E+001, 1.7406952381134033E-001, 1.1740493774414062E-001
30,-1.8549999237060547E+001, 1.7422223091125488E-001, 1.1751258373260498E-001
31,-1.8500000000000000E+001, 1.7437440156936646E-001, 1.1762297153472900E-001
32,-1.8450000762939453E+001, 1.7452788352966309E-001, 1.1773025989532471E-001
33,-1.8399999618530273E+001, 1.7468231916427612E-001, 1.1783850193023682E-001
34,-1.8350000381469727E+001, 1.7483592033386230E-001, 1.1795026063919067E-001
35,-1.8299999237060547E+001, 1.7499119043350220E-001, 1.1806035041809082E-001
36,-1.8250000000000000E+001, 1.7514747381210327E-001, 1.1817044019699097E-001
37,-1.8200000762939453E+001, 1.7530387639999390E-001, 1.1828166246414185E-001
38,-1.8149999618530273E+001, 1.7546004056930542E-001, 1.1839163303375244E-001
39,-1.8100000381469727E+001, 1.7561799287796021E-001, 1.1850452423095703E-001
40,-1.8049999237060547E+001, 1.7577534914016724E-001, 1.1861687898635864E-001
41,-1.8000000000000000E+001, 1.7593419551849365E-001, 1.1872911453247070E-001
42,-1.7950000762939453E+001, 1.7609304189682007E-001, 1.1884254217147827E-001
43,-1.7899999618530273E+001, 1.7625212669372559E-001, 1.1895459890365601E-001
44,-1.7850000381469727E+001, 1.7641240358352661E-001, 1.1906856298446655E-001
45,-1.7799999237060547E+001, 1.7657417058944702E-001, 1.1918300390243530E-001
46,-1.7750000000000000E+001, 1.7673468589782715E-001, 1.1929893493652344E-001
47,-1.7700000762939453E+001, 1.7689621448516846E-001, 1.1941230297088623E-001
48,-1.7649999618530273E+001, 1.7705899477005005E-001, 1.1952811479568481E-001
49,-1.7600000381469727E+001, 1.7722237110137939E-001, 1.1964464187622070E-001
50,-1.7549999237060547E+001, 1.7738455533981323E-001, 1.1976122856140137E-001
51,-1.7500000000000000E+001, 1.7755073308944702E-001, 1.1987721920013428E-001
52,-1.7450000762939453E+001, 1.7771476507186890E-001, 1.1999541521072388E-001
53,-1.7399999618530273E+001, 1.7788106203079224E-001, 1.2011343240737915E-001
54,-1.7350000381469727E+001, 1.7804747819900513E-001, 1.2023282051086426E-001
55,-1.7299999237060547E+001, 1.7821371555328369E-001, 1.2035167217254639E-001
56,-1.7250000000000000E+001, 1.7838072776794434E-001, 1.2047004699707031E-001
